Site Name ,FRCH,,,
Site Number ,3,,,
Logger ,Integrating Light Sensor,,,
Logger Serial Number ,11615,,,
,,,,
,,,,
Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,
,,,,
1,11/6/2020, 13:15:00,112,112
2,11/6/2020, 13:30:00,740,740
3,11/6/2020, 13:45:00,29192,29192
4,11/6/2020, 14:00:00,24016,24016
5,11/6/2020, 14:15:00,42347,42347
6,11/6/2020, 14:30:00,46288,46288
7,11/6/2020, 14:45:00,39652,39652
8,11/6/2020, 15:00:00,45873,45873
9,11/6/2020, 15:15:00,45932,45932
10,11/6/2020, 15:30:00,44974,44974
11,11/6/2020, 15:45:00,44349,44349
12,11/6/2020, 16:00:00,29738,29738
13,11/6/2020, 16:15:00,23995,23995
14,11/6/2020, 16:30:00,43388,43388
15,11/6/2020, 16:45:00,32879,32879
16,11/6/2020, 17:00:00,28546,28546
17,11/6/2020, 17:15:00,41327,41327
18,11/6/2020, 17:30:00,24054,24054
19,11/6/2020, 17:45:00,18495,18495
20,11/6/2020, 18:00:00,19784,19784
21,11/6/2020, 18:15:00,24893,24893
22,11/6/2020, 18:30:00,26047,26047
23,11/6/2020, 18:45:00,12657,12657
24,11/6/2020, 19:00:00,10230,10230
25,11/6/2020, 19:15:00,8741,8741
26,11/6/2020, 19:30:00,6716,6716
27,11/6/2020, 19:45:00,6625,6625
28,11/6/2020, 20:00:00,5999,5999
29,11/6/2020, 20:15:00,5347,5347
30,11/6/2020, 20:30:00,6043,6043
31,11/6/2020, 20:45:00,3956,3956
32,11/6/2020, 21:00:00,3712,3712
33,11/6/2020, 21:15:00,3880,3880
34,11/6/2020, 21:30:00,3799,3799
35,11/6/2020, 21:45:00,3314,3314
36,11/6/2020, 22:00:00,2699,2699
37,11/6/2020, 22:15:00,2261,2261
38,11/6/2020, 22:30:00,1655,1655
39,11/6/2020, 22:45:00,1304,1304
40,11/6/2020, 23:00:00,1115,1115
41,11/6/2020, 23:15:00,953,953
42,11/6/2020, 23:30:00,819,819
43,11/6/2020, 23:45:00,646,646
44,11/6/2020, 24:00:00,452,452
45,12/6/2020, 00:15:00,322,322
46,12/6/2020, 00:30:00,228,228
47,12/6/2020, 00:45:00,167,167
48,12/6/2020, 01:00:00,125,125
49,12/6/2020, 01:15:00,99,99
50,12/6/2020, 01:30:00,85,85
51,12/6/2020, 01:45:00,82,82
52,12/6/2020, 02:00:00,83,83
53,12/6/2020, 02:15:00,85,85
54,12/6/2020, 02:30:00,97,97
55,12/6/2020, 02:45:00,118,118
56,12/6/2020, 03:00:00,157,157
57,12/6/2020, 03:15:00,215,215
58,12/6/2020, 03:30:00,298,298
59,12/6/2020, 03:45:00,408,408
60,12/6/2020, 04:00:00,547,547
61,12/6/2020, 04:15:00,723,723
62,12/6/2020, 04:30:00,960,960
63,12/6/2020, 04:45:00,1308,1308
64,12/6/2020, 05:00:00,1711,1711
65,12/6/2020, 05:15:00,1796,1796
66,12/6/2020, 05:30:00,2017,2017
67,12/6/2020, 05:45:00,2482,2482
68,12/6/2020, 06:00:00,2526,2526
69,12/6/2020, 06:15:00,2708,2708
70,12/6/2020, 06:30:00,3710,3710
71,12/6/2020, 06:45:00,4808,4808
72,12/6/2020, 07:00:00,3833,3833
73,12/6/2020, 07:15:00,4476,4476
74,12/6/2020, 07:30:00,6786,6786
75,12/6/2020, 07:45:00,8370,8370
76,12/6/2020, 08:00:00,8124,8124
77,12/6/2020, 08:15:00,10394,10394
78,12/6/2020, 08:30:00,12612,12612
79,12/6/2020, 08:45:00,19110,19110
80,12/6/2020, 09:00:00,20690,20690
81,12/6/2020, 09:15:00,16859,16859
82,12/6/2020, 09:30:00,19519,19519
83,12/6/2020, 09:45:00,15000,15000
84,12/6/2020, 10:00:00,22605,22605
85,12/6/2020, 10:15:00,12989,12989
86,12/6/2020, 10:30:00,11140,11140
87,12/6/2020, 10:45:00,10554,10554
88,12/6/2020, 11:00:00,26865,26865
89,12/6/2020, 11:15:00,18902,18902
90,12/6/2020, 11:30:00,20242,20242
91,12/6/2020, 11:45:00,34772,34772
92,12/6/2020, 12:00:00,25334,25334
93,12/6/2020, 12:15:00,20553,20553
94,12/6/2020, 12:30:00,19966,19966
95,12/6/2020, 12:45:00,16587,16587
96,12/6/2020, 13:00:00,40461,40461
97,12/6/2020, 13:15:00,47540,47540
98,12/6/2020, 13:30:00,45180,45180
99,12/6/2020, 13:45:00,36213,36213
100,12/6/2020, 14:00:00,22541,22541
101,12/6/2020, 14:15:00,30176,30176
102,12/6/2020, 14:30:00,33566,33566
103,12/6/2020, 14:45:00,27918,27918
104,12/6/2020, 15:00:00,24808,24808
105,12/6/2020, 15:15:00,24575,24575
106,12/6/2020, 15:30:00,24240,24240
107,12/6/2020, 15:45:00,21664,21664
108,12/6/2020, 16:00:00,21229,21229
109,12/6/2020, 16:15:00,22071,22071
110,12/6/2020, 16:30:00,26247,26247
111,12/6/2020, 16:45:00,19369,19369
112,12/6/2020, 17:00:00,18760,18760
113,12/6/2020, 17:15:00,18825,18825
114,12/6/2020, 17:30:00,27742,27742
115,12/6/2020, 17:45:00,21955,21955
116,12/6/2020, 18:00:00,24650,24650
117,12/6/2020, 18:15:00,24037,24037
118,12/6/2020, 18:30:00,25477,25477
119,12/6/2020, 18:45:00,23829,23829
120,12/6/2020, 19:00:00,22380,22380
