Site Name ,VAUL,,,
Site Number ,5,,,
Logger ,Integrating Light Sensor,,,
Logger Serial Number ,11616,,,
,,,,
,,,,
Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,
,,,,
1,5/6/2020, 15:30:00,7766,7766
2,5/6/2020, 15:45:00,9441,9441
3,5/6/2020, 16:00:00,8854,8854
4,5/6/2020, 16:15:00,27239,27239
5,5/6/2020, 16:30:00,34005,34005
6,5/6/2020, 16:45:00,29111,29111
7,5/6/2020, 17:00:00,25835,25835
8,5/6/2020, 17:15:00,6856,6856
9,5/6/2020, 17:30:00,8745,8745
10,5/6/2020, 17:45:00,6575,6575
11,5/6/2020, 18:00:00,4276,4276
12,5/6/2020, 18:15:00,7660,7660
13,5/6/2020, 18:30:00,16023,16023
14,5/6/2020, 18:45:00,3997,3997
15,5/6/2020, 19:00:00,2486,2486
16,5/6/2020, 19:15:00,2079,2079
17,5/6/2020, 19:30:00,3261,3261
18,5/6/2020, 19:45:00,3163,3163
19,5/6/2020, 20:00:00,3815,3815
20,5/6/2020, 20:15:00,4597,4597
21,5/6/2020, 20:30:00,4205,4205
22,5/6/2020, 20:45:00,3386,3386
23,5/6/2020, 21:00:00,1623,1623
24,5/6/2020, 21:15:00,601,601
25,5/6/2020, 21:30:00,472,472
26,5/6/2020, 21:45:00,460,460
27,5/6/2020, 22:00:00,478,478
28,5/6/2020, 22:15:00,442,442
29,5/6/2020, 22:30:00,424,424
30,5/6/2020, 22:45:00,544,544
31,5/6/2020, 23:00:00,573,573
32,5/6/2020, 23:15:00,402,402
33,5/6/2020, 23:30:00,272,272
34,5/6/2020, 23:45:00,196,196
35,5/6/2020, 24:00:00,152,152
36,6/6/2020, 00:15:00,113,113
37,6/6/2020, 00:30:00,79,79
38,6/6/2020, 00:45:00,53,53
39,6/6/2020, 01:00:00,43,43
40,6/6/2020, 01:15:00,37,37
41,6/6/2020, 01:30:00,31,31
42,6/6/2020, 01:45:00,29,29
43,6/6/2020, 02:00:00,29,29
44,6/6/2020, 02:15:00,33,33
45,6/6/2020, 02:30:00,35,35
46,6/6/2020, 02:45:00,41,41
47,6/6/2020, 03:00:00,57,57
48,6/6/2020, 03:15:00,73,73
49,6/6/2020, 03:30:00,101,101
50,6/6/2020, 03:45:00,138,138
51,6/6/2020, 04:00:00,190,190
52,6/6/2020, 04:15:00,302,302
53,6/6/2020, 04:30:00,416,416
54,6/6/2020, 04:45:00,529,529
55,6/6/2020, 05:00:00,529,529
56,6/6/2020, 05:15:00,485,485
57,6/6/2020, 05:30:00,547,547
58,6/6/2020, 05:45:00,599,599
59,6/6/2020, 06:00:00,648,648
60,6/6/2020, 06:15:00,851,851
61,6/6/2020, 06:30:00,1049,1049
62,6/6/2020, 06:45:00,1077,1077
63,6/6/2020, 07:00:00,881,881
64,6/6/2020, 07:15:00,951,951
65,6/6/2020, 07:30:00,1473,1473
66,6/6/2020, 07:45:00,2759,2759
67,6/6/2020, 08:00:00,2171,2171
68,6/6/2020, 08:15:00,3271,3271
69,6/6/2020, 08:30:00,1826,1826
70,6/6/2020, 08:45:00,3393,3393
71,6/6/2020, 09:00:00,3594,3594
72,6/6/2020, 09:15:00,2019,2019
73,6/6/2020, 09:30:00,2388,2388
74,6/6/2020, 09:45:00,2284,2284
75,6/6/2020, 10:00:00,4173,4173
76,6/6/2020, 10:15:00,5917,5917
77,6/6/2020, 10:30:00,4516,4516
78,6/6/2020, 10:45:00,3834,3834
79,6/6/2020, 11:00:00,3731,3731
80,6/6/2020, 11:15:00,24237,24237
81,6/6/2020, 11:30:00,10753,10753
82,6/6/2020, 11:45:00,2920,2920
83,6/6/2020, 12:00:00,11998,11998
84,6/6/2020, 12:15:00,45641,45641
85,6/6/2020, 12:30:00,46999,46999
86,6/6/2020, 12:45:00,41880,41880
87,6/6/2020, 13:00:00,8958,8958
88,6/6/2020, 13:15:00,2085,2085
89,6/6/2020, 13:30:00,1410,1410
90,6/6/2020, 13:45:00,4893,4893
91,6/6/2020, 14:00:00,12845,12845
92,6/6/2020, 14:15:00,33453,33453
93,6/6/2020, 14:30:00,38930,38930
94,6/6/2020, 14:45:00,41556,41556
95,6/6/2020, 15:00:00,44861,44861
96,6/6/2020, 15:15:00,46549,46549
97,6/6/2020, 15:30:00,44698,44698
98,6/6/2020, 15:45:00,37711,37711
99,6/6/2020, 16:00:00,18260,18260
100,6/6/2020, 16:15:00,7535,7535
101,6/6/2020, 16:30:00,9369,9369
102,6/6/2020, 16:45:00,5141,5141
103,6/6/2020, 17:00:00,7005,7005
104,6/6/2020, 17:15:00,7171,7171
105,6/6/2020, 17:30:00,8380,8380
106,6/6/2020, 17:45:00,8493,8493
107,6/6/2020, 18:00:00,5520,5520
108,6/6/2020, 18:15:00,5179,5179
109,6/6/2020, 18:30:00,8664,8664
110,6/6/2020, 18:45:00,15401,15401
111,6/6/2020, 19:00:00,10098,10098
112,6/6/2020, 19:15:00,6935,6935
113,6/6/2020, 19:30:00,5518,5518
114,6/6/2020, 19:45:00,2363,2363
115,6/6/2020, 20:00:00,2280,2280
116,6/6/2020, 20:15:00,3322,3322
117,6/6/2020, 20:30:00,4411,4411
118,6/6/2020, 20:45:00,4206,4206
119,6/6/2020, 21:00:00,3558,3558
120,6/6/2020, 21:15:00,2972,2972
121,6/6/2020, 21:30:00,2322,2322
122,6/6/2020, 21:45:00,1540,1540
123,6/6/2020, 22:00:00,1151,1151
124,6/6/2020, 22:15:00,1077,1077
125,6/6/2020, 22:30:00,898,898
126,6/6/2020, 22:45:00,747,747
127,6/6/2020, 23:00:00,652,652
128,6/6/2020, 23:15:00,580,580
129,6/6/2020, 23:30:00,406,406
130,6/6/2020, 23:45:00,302,302
131,6/6/2020, 24:00:00,231,231
132,7/6/2020, 00:15:00,175,175
133,7/6/2020, 00:30:00,132,132
134,7/6/2020, 00:45:00,100,100
135,7/6/2020, 01:00:00,77,77
136,7/6/2020, 01:15:00,62,62
137,7/6/2020, 01:30:00,51,51
138,7/6/2020, 01:45:00,47,47
139,7/6/2020, 02:00:00,45,45
140,7/6/2020, 02:15:00,48,48
141,7/6/2020, 02:30:00,53,53
142,7/6/2020, 02:45:00,64,64
143,7/6/2020, 03:00:00,81,81
144,7/6/2020, 03:15:00,104,104
145,7/6/2020, 03:30:00,136,136
146,7/6/2020, 03:45:00,181,181
147,7/6/2020, 04:00:00,243,243
148,7/6/2020, 04:15:00,322,322
149,7/6/2020, 04:30:00,409,409
150,7/6/2020, 04:45:00,513,513
151,7/6/2020, 05:00:00,654,654
152,7/6/2020, 05:15:00,761,761
153,7/6/2020, 05:30:00,858,858
154,7/6/2020, 05:45:00,969,969
155,7/6/2020, 06:00:00,1081,1081
156,7/6/2020, 06:15:00,1197,1197
157,7/6/2020, 06:30:00,1324,1324
158,7/6/2020, 06:45:00,1442,1442
159,7/6/2020, 07:00:00,1548,1548
160,7/6/2020, 07:15:00,1693,1693
161,7/6/2020, 07:30:00,1931,1931
162,7/6/2020, 07:45:00,3625,3625
163,7/6/2020, 08:00:00,1977,1977
164,7/6/2020, 08:15:00,4131,4131
165,7/6/2020, 08:30:00,3431,3431
166,7/6/2020, 08:45:00,4856,4856
167,7/6/2020, 09:00:00,3510,3510
168,7/6/2020, 09:15:00,2195,2195
169,7/6/2020, 09:30:00,2478,2478
170,7/6/2020, 09:45:00,2208,2208
171,7/6/2020, 10:00:00,2663,2663
172,7/6/2020, 10:15:00,2177,2177
173,7/6/2020, 10:30:00,2492,2492
174,7/6/2020, 10:45:00,2575,2575
175,7/6/2020, 11:00:00,2650,2650
176,7/6/2020, 11:15:00,24981,24981
177,7/6/2020, 11:30:00,40798,40798
178,7/6/2020, 11:45:00,42648,42648
179,7/6/2020, 12:00:00,44026,44026
180,7/6/2020, 12:15:00,43950,43950
181,7/6/2020, 12:30:00,21688,21688
182,7/6/2020, 12:45:00,8369,8369
183,7/6/2020, 13:00:00,6509,6509
184,7/6/2020, 13:15:00,4228,4228
185,7/6/2020, 13:30:00,3936,3936
186,7/6/2020, 13:45:00,17031,17031
187,7/6/2020, 14:00:00,31380,31380
188,7/6/2020, 14:15:00,21356,21356
189,7/6/2020, 14:30:00,8080,8080
190,7/6/2020, 14:45:00,4174,4174
191,7/6/2020, 15:00:00,6798,6798
192,7/6/2020, 15:15:00,22158,22158
193,7/6/2020, 15:30:00,19327,19327
194,7/6/2020, 15:45:00,28275,28275
195,7/6/2020, 16:00:00,29579,29579
196,7/6/2020, 16:15:00,19809,19809
197,7/6/2020, 16:30:00,16365,16365
198,7/6/2020, 16:45:00,17221,17221
199,7/6/2020, 17:00:00,18653,18653
200,7/6/2020, 17:15:00,8961,8961
201,7/6/2020, 17:30:00,10550,10550
202,7/6/2020, 17:45:00,7893,7893
203,7/6/2020, 18:00:00,3579,3579
204,7/6/2020, 18:15:00,3996,3996
205,7/6/2020, 18:30:00,13310,13310
206,7/6/2020, 18:45:00,17509,17509
207,7/6/2020, 19:00:00,8699,8699
208,7/6/2020, 19:15:00,4793,4793
209,7/6/2020, 19:30:00,6142,6142
210,7/6/2020, 19:45:00,3302,3302
211,7/6/2020, 20:00:00,2764,2764
212,7/6/2020, 20:15:00,1635,1635
213,7/6/2020, 20:30:00,1448,1448
214,7/6/2020, 20:45:00,1798,1798
215,7/6/2020, 21:00:00,1780,1780
216,7/6/2020, 21:15:00,1581,1581
217,7/6/2020, 21:30:00,1623,1623
218,7/6/2020, 21:45:00,1640,1640
219,7/6/2020, 22:00:00,1531,1531
220,7/6/2020, 22:15:00,1149,1149
221,7/6/2020, 22:30:00,1003,1003
222,7/6/2020, 22:45:00,916,916
223,7/6/2020, 23:00:00,887,887
224,7/6/2020, 23:15:00,889,889
225,7/6/2020, 23:30:00,674,674
226,7/6/2020, 23:45:00,515,515
227,7/6/2020, 24:00:00,281,281
228,8/6/2020, 00:15:00,185,185
229,8/6/2020, 00:30:00,142,142
230,8/6/2020, 00:45:00,130,130
231,8/6/2020, 01:00:00,105,105
232,8/6/2020, 01:15:00,87,87
233,8/6/2020, 01:30:00,71,71
234,8/6/2020, 01:45:00,62,62
235,8/6/2020, 02:00:00,60,60
236,8/6/2020, 02:15:00,60,60
237,8/6/2020, 02:30:00,65,65
238,8/6/2020, 02:45:00,72,72
239,8/6/2020, 03:00:00,85,85
240,8/6/2020, 03:15:00,106,106
241,8/6/2020, 03:30:00,135,135
242,8/6/2020, 03:45:00,186,186
243,8/6/2020, 04:00:00,250,250
244,8/6/2020, 04:15:00,358,358
245,8/6/2020, 04:30:00,505,505
246,8/6/2020, 04:45:00,698,698
247,8/6/2020, 05:00:00,913,913
248,8/6/2020, 05:15:00,1084,1084
249,8/6/2020, 05:30:00,1055,1055
250,8/6/2020, 05:45:00,1201,1201
251,8/6/2020, 06:00:00,1681,1681
252,8/6/2020, 06:15:00,1808,1808
253,8/6/2020, 06:30:00,1799,1799
254,8/6/2020, 06:45:00,2475,2475
255,8/6/2020, 07:00:00,3028,3028
256,8/6/2020, 07:15:00,3687,3687
257,8/6/2020, 07:30:00,4187,4187
258,8/6/2020, 07:45:00,4668,4668
259,8/6/2020, 08:00:00,4869,4869
260,8/6/2020, 08:15:00,4729,4729
261,8/6/2020, 08:30:00,5082,5082
262,8/6/2020, 08:45:00,6069,6069
263,8/6/2020, 09:00:00,7426,7426
264,8/6/2020, 09:15:00,8845,8845
265,8/6/2020, 09:30:00,6252,6252
266,8/6/2020, 09:45:00,4225,4225
267,8/6/2020, 10:00:00,4319,4319
268,8/6/2020, 10:15:00,4073,4073
269,8/6/2020, 10:30:00,3438,3438
270,8/6/2020, 10:45:00,3408,3408
271,8/6/2020, 11:00:00,3295,3295
272,8/6/2020, 11:15:00,24485,24485
273,8/6/2020, 11:30:00,33902,33902
274,8/6/2020, 11:45:00,21402,21402
275,8/6/2020, 12:00:00,16879,16879
276,8/6/2020, 12:15:00,11382,11382
277,8/6/2020, 12:30:00,32883,32883
278,8/6/2020, 12:45:00,43105,43105
279,8/6/2020, 13:00:00,17610,17610
280,8/6/2020, 13:15:00,11198,11198
281,8/6/2020, 13:30:00,28517,28517
282,8/6/2020, 13:45:00,13625,13625
283,8/6/2020, 14:00:00,3472,3472
284,8/6/2020, 14:15:00,1998,1998
285,8/6/2020, 14:30:00,2465,2465
286,8/6/2020, 14:45:00,2019,2019
287,8/6/2020, 15:00:00,1805,1805
288,8/6/2020, 15:15:00,2803,2803
289,8/6/2020, 15:30:00,5548,5548
290,8/6/2020, 15:45:00,7162,7162
291,8/6/2020, 16:00:00,7622,7622
292,8/6/2020, 16:15:00,8262,8262
293,8/6/2020, 16:30:00,9877,9877
294,8/6/2020, 16:45:00,16196,16196
295,8/6/2020, 17:00:00,10996,10996
296,8/6/2020, 17:15:00,9109,9109
297,8/6/2020, 17:30:00,8573,8573
298,8/6/2020, 17:45:00,8409,8409
299,8/6/2020, 18:00:00,6963,6963
300,8/6/2020, 18:15:00,5451,5451
301,8/6/2020, 18:30:00,5782,5782
302,8/6/2020, 18:45:00,4689,4689
303,8/6/2020, 19:00:00,3529,3529
304,8/6/2020, 19:15:00,3021,3021
305,8/6/2020, 19:30:00,2253,2253
306,8/6/2020, 19:45:00,1771,1771
307,8/6/2020, 20:00:00,1467,1467
308,8/6/2020, 20:15:00,1469,1469
309,8/6/2020, 20:30:00,1408,1408
310,8/6/2020, 20:45:00,1268,1268
311,8/6/2020, 21:00:00,1150,1150
312,8/6/2020, 21:15:00,1198,1198
313,8/6/2020, 21:30:00,1213,1213
314,8/6/2020, 21:45:00,1573,1573
315,8/6/2020, 22:00:00,2119,2119
316,8/6/2020, 22:15:00,2267,2267
317,8/6/2020, 22:30:00,1671,1671
318,8/6/2020, 22:45:00,1172,1172
319,8/6/2020, 23:00:00,1098,1098
320,8/6/2020, 23:15:00,735,735
321,8/6/2020, 23:30:00,579,579
322,8/6/2020, 23:45:00,357,357
323,8/6/2020, 24:00:00,230,230
324,9/6/2020, 00:15:00,177,177
325,9/6/2020, 00:30:00,145,145
326,9/6/2020, 00:45:00,123,123
327,9/6/2020, 01:00:00,95,95
328,9/6/2020, 01:15:00,59,59
329,9/6/2020, 01:30:00,28,28
330,9/6/2020, 01:45:00,26,26
331,9/6/2020, 02:00:00,34,34
332,9/6/2020, 02:15:00,42,42
333,9/6/2020, 02:30:00,49,49
334,9/6/2020, 02:45:00,67,67
335,9/6/2020, 03:00:00,83,83
336,9/6/2020, 03:15:00,98,98
337,9/6/2020, 03:30:00,103,103
338,9/6/2020, 03:45:00,158,158
339,9/6/2020, 04:00:00,242,242
340,9/6/2020, 04:15:00,326,326
341,9/6/2020, 04:30:00,395,395
342,9/6/2020, 04:45:00,558,558
343,9/6/2020, 05:00:00,1044,1044
344,9/6/2020, 05:15:00,1177,1177
345,9/6/2020, 05:30:00,1031,1031
346,9/6/2020, 05:45:00,1071,1071
347,9/6/2020, 06:00:00,1112,1112
348,9/6/2020, 06:15:00,1146,1146
349,9/6/2020, 06:30:00,1379,1379
350,9/6/2020, 06:45:00,2461,2461
351,9/6/2020, 07:00:00,2809,2809
352,9/6/2020, 07:15:00,2401,2401
353,9/6/2020, 07:30:00,2665,2665
354,9/6/2020, 07:45:00,2954,2954
355,9/6/2020, 08:00:00,3196,3196
356,9/6/2020, 08:15:00,3382,3382
357,9/6/2020, 08:30:00,3894,3894
