Site Name ,MOOS,,,
Site Number ,4,,,
Logger ,Integrating Light Sensor,,,
Logger Serial Number ,11617,,,
,,,,
,,,,
Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,
,,,,
1,10/6/2020, 13:15:00,27110,27110
2,10/6/2020, 13:30:00,8553,8553
3,10/6/2020, 13:45:00,5670,5670
4,10/6/2020, 14:00:00,22338,22338
5,10/6/2020, 14:15:00,44752,44752
6,10/6/2020, 14:30:00,14554,14554
7,10/6/2020, 14:45:00,29960,29960
8,10/6/2020, 15:00:00,43584,43584
9,10/6/2020, 15:15:00,18151,18151
10,10/6/2020, 15:30:00,15698,15698
11,10/6/2020, 15:45:00,8517,8517
12,10/6/2020, 16:00:00,3925,3925
13,10/6/2020, 16:15:00,2801,2801
14,10/6/2020, 16:30:00,2451,2451
15,10/6/2020, 16:45:00,3391,3391
16,10/6/2020, 17:00:00,3530,3530
17,10/6/2020, 17:15:00,2995,2995
18,10/6/2020, 17:30:00,4159,4159
19,10/6/2020, 17:45:00,3382,3382
20,10/6/2020, 18:00:00,3234,3234
21,10/6/2020, 18:15:00,3154,3154
22,10/6/2020, 18:30:00,2596,2596
23,10/6/2020, 18:45:00,2324,2324
24,10/6/2020, 19:00:00,2343,2343
25,10/6/2020, 19:15:00,1946,1946
26,10/6/2020, 19:30:00,2116,2116
27,10/6/2020, 19:45:00,1935,1935
28,10/6/2020, 20:00:00,1876,1876
29,10/6/2020, 20:15:00,2027,2027
30,10/6/2020, 20:30:00,2011,2011
31,10/6/2020, 20:45:00,2948,2948
32,10/6/2020, 21:00:00,3282,3282
33,10/6/2020, 21:15:00,2439,2439
34,10/6/2020, 21:30:00,2455,2455
35,10/6/2020, 21:45:00,1933,1933
36,10/6/2020, 22:00:00,1934,1934
37,10/6/2020, 22:15:00,1368,1368
38,10/6/2020, 22:30:00,925,925
39,10/6/2020, 22:45:00,520,520
40,10/6/2020, 23:00:00,322,322
41,10/6/2020, 23:15:00,265,265
42,10/6/2020, 23:30:00,207,207
43,10/6/2020, 23:45:00,186,186
44,10/6/2020, 24:00:00,130,130
45,11/6/2020, 00:15:00,90,90
46,11/6/2020, 00:30:00,64,64
47,11/6/2020, 00:45:00,53,53
48,11/6/2020, 01:00:00,39,39
49,11/6/2020, 01:15:00,36,36
50,11/6/2020, 01:30:00,36,36
51,11/6/2020, 01:45:00,35,35
52,11/6/2020, 02:00:00,36,36
53,11/6/2020, 02:15:00,43,43
54,11/6/2020, 02:30:00,54,54
55,11/6/2020, 02:45:00,61,61
56,11/6/2020, 03:00:00,70,70
57,11/6/2020, 03:15:00,95,95
58,11/6/2020, 03:30:00,124,124
59,11/6/2020, 03:45:00,169,169
60,11/6/2020, 04:00:00,237,237
61,11/6/2020, 04:15:00,342,342
62,11/6/2020, 04:30:00,463,463
63,11/6/2020, 04:45:00,518,518
64,11/6/2020, 05:00:00,620,620
65,11/6/2020, 05:15:00,684,684
66,11/6/2020, 05:30:00,995,995
67,11/6/2020, 05:45:00,1451,1451
68,11/6/2020, 06:00:00,1757,1757
69,11/6/2020, 06:15:00,1762,1762
70,11/6/2020, 06:30:00,1944,1944
71,11/6/2020, 06:45:00,2311,2311
72,11/6/2020, 07:00:00,2336,2336
73,11/6/2020, 07:15:00,3800,3800
74,11/6/2020, 07:30:00,3502,3502
75,11/6/2020, 07:45:00,1967,1967
76,11/6/2020, 08:00:00,2161,2161
77,11/6/2020, 08:15:00,2736,2736
78,11/6/2020, 08:30:00,3623,3623
79,11/6/2020, 08:45:00,4653,4653
80,11/6/2020, 09:00:00,3494,3494
81,11/6/2020, 09:15:00,3635,3635
82,11/6/2020, 09:30:00,4692,4692
83,11/6/2020, 09:45:00,5179,5179
84,11/6/2020, 10:00:00,5521,5521
85,11/6/2020, 10:15:00,5550,5550
86,11/6/2020, 10:30:00,7201,7201
87,11/6/2020, 10:45:00,10013,10013
88,11/6/2020, 11:00:00,14961,14961
89,11/6/2020, 11:15:00,14019,14019
90,11/6/2020, 11:30:00,15414,15414
91,11/6/2020, 11:45:00,17514,17514
92,11/6/2020, 12:00:00,23365,23365
93,11/6/2020, 12:15:00,15825,15825
94,11/6/2020, 12:30:00,35329,35329
95,11/6/2020, 12:45:00,33108,33108
96,11/6/2020, 13:00:00,13121,13121
97,11/6/2020, 13:15:00,27334,27334
98,11/6/2020, 13:30:00,42487,42487
99,11/6/2020, 13:45:00,42346,42346
100,11/6/2020, 14:00:00,42470,42470
101,11/6/2020, 14:15:00,40045,40045
102,11/6/2020, 14:30:00,12298,12298
103,11/6/2020, 14:45:00,27527,27527
104,11/6/2020, 15:00:00,39508,39508
105,11/6/2020, 15:15:00,12800,12800
106,11/6/2020, 15:30:00,6495,6495
107,11/6/2020, 15:45:00,4550,4550
108,11/6/2020, 16:00:00,3249,3249
109,11/6/2020, 16:15:00,3603,3603
110,11/6/2020, 16:30:00,3686,3686
111,11/6/2020, 16:45:00,4446,4446
112,11/6/2020, 17:00:00,4314,4314
113,11/6/2020, 17:15:00,3966,3966
114,11/6/2020, 17:30:00,5279,5279
115,11/6/2020, 17:45:00,4800,4800
116,11/6/2020, 18:00:00,4754,4754
117,11/6/2020, 18:15:00,4695,4695
118,11/6/2020, 18:30:00,5468,5468
119,11/6/2020, 18:45:00,5910,5910
120,11/6/2020, 19:00:00,5349,5349
121,11/6/2020, 19:15:00,4260,4260
122,11/6/2020, 19:30:00,3740,3740
123,11/6/2020, 19:45:00,3085,3085
124,11/6/2020, 20:00:00,2751,2751
125,11/6/2020, 20:15:00,2384,2384
126,11/6/2020, 20:30:00,1808,1808
127,11/6/2020, 20:45:00,1429,1429
128,11/6/2020, 21:00:00,1334,1334
129,11/6/2020, 21:15:00,1150,1150
130,11/6/2020, 21:30:00,1251,1251
131,11/6/2020, 21:45:00,1261,1261
132,11/6/2020, 22:00:00,1071,1071
133,11/6/2020, 22:15:00,901,901
134,11/6/2020, 22:30:00,696,696
135,11/6/2020, 22:45:00,568,568
136,11/6/2020, 23:00:00,507,507
137,11/6/2020, 23:15:00,423,423
138,11/6/2020, 23:30:00,341,341
139,11/6/2020, 23:45:00,268,268
140,11/6/2020, 24:00:00,206,206
141,12/6/2020, 00:15:00,159,159
142,12/6/2020, 00:30:00,115,115
143,12/6/2020, 00:45:00,87,87
144,12/6/2020, 01:00:00,64,64
145,12/6/2020, 01:15:00,50,50
146,12/6/2020, 01:30:00,44,44
147,12/6/2020, 01:45:00,43,43
148,12/6/2020, 02:00:00,45,45
149,12/6/2020, 02:15:00,46,46
150,12/6/2020, 02:30:00,53,53
151,12/6/2020, 02:45:00,61,61
152,12/6/2020, 03:00:00,79,79
153,12/6/2020, 03:15:00,108,108
154,12/6/2020, 03:30:00,149,149
155,12/6/2020, 03:45:00,206,206
156,12/6/2020, 04:00:00,266,266
157,12/6/2020, 04:15:00,383,383
158,12/6/2020, 04:30:00,517,517
159,12/6/2020, 04:45:00,626,626
160,12/6/2020, 05:00:00,745,745
161,12/6/2020, 05:15:00,931,931
162,12/6/2020, 05:30:00,1182,1182
163,12/6/2020, 05:45:00,1369,1369
164,12/6/2020, 06:00:00,1494,1494
165,12/6/2020, 06:15:00,1594,1594
166,12/6/2020, 06:30:00,1780,1780
167,12/6/2020, 06:45:00,1654,1654
168,12/6/2020, 07:00:00,1426,1426
169,12/6/2020, 07:15:00,1869,1869
170,12/6/2020, 07:30:00,2504,2504
171,12/6/2020, 07:45:00,2644,2644
172,12/6/2020, 08:00:00,3779,3779
173,12/6/2020, 08:15:00,4940,4940
174,12/6/2020, 08:30:00,5667,5667
175,12/6/2020, 08:45:00,5723,5723
176,12/6/2020, 09:00:00,6032,6032
177,12/6/2020, 09:15:00,7206,7206
178,12/6/2020, 09:30:00,9765,9765
179,12/6/2020, 09:45:00,10904,10904
180,12/6/2020, 10:00:00,8762,8762
181,12/6/2020, 10:15:00,5908,5908
182,12/6/2020, 10:30:00,5713,5713
183,12/6/2020, 10:45:00,6968,6968
184,12/6/2020, 11:00:00,18614,18614
185,12/6/2020, 11:15:00,21516,21516
186,12/6/2020, 11:30:00,10878,10878
187,12/6/2020, 11:45:00,11441,11441
188,12/6/2020, 12:00:00,17983,17983
189,12/6/2020, 12:15:00,15934,15934
190,12/6/2020, 12:30:00,17175,17175
191,12/6/2020, 12:45:00,26084,26084
192,12/6/2020, 13:00:00,14440,14440
193,12/6/2020, 13:15:00,20805,20805
194,12/6/2020, 13:30:00,33172,33172
195,12/6/2020, 13:45:00,26666,26666
196,12/6/2020, 14:00:00,32504,32504
197,12/6/2020, 14:15:00,33760,33760
198,12/6/2020, 14:30:00,16867,16867
199,12/6/2020, 14:45:00,13145,13145
200,12/6/2020, 15:00:00,14955,14955
201,12/6/2020, 15:15:00,10487,10487
202,12/6/2020, 15:30:00,9596,9596
203,12/6/2020, 15:45:00,9251,9251
204,12/6/2020, 16:00:00,9315,9315
205,12/6/2020, 16:15:00,9647,9647
206,12/6/2020, 16:30:00,9034,9034
207,12/6/2020, 16:45:00,8264,8264
208,12/6/2020, 17:00:00,7083,7083
209,12/6/2020, 17:15:00,6752,6752
210,12/6/2020, 17:30:00,7180,7180
211,12/6/2020, 17:45:00,6963,6963
212,12/6/2020, 18:00:00,6290,6290
213,12/6/2020, 18:15:00,5495,5495
214,12/6/2020, 18:30:00,4464,4464
215,12/6/2020, 18:45:00,3705,3705
216,12/6/2020, 19:00:00,3428,3428
217,12/6/2020, 19:15:00,3249,3249
218,12/6/2020, 19:30:00,2774,2774
219,12/6/2020, 19:45:00,2601,2601
220,12/6/2020, 20:00:00,2152,2152
221,12/6/2020, 20:15:00,1688,1688
222,12/6/2020, 20:30:00,1478,1478
223,12/6/2020, 20:45:00,1373,1373
224,12/6/2020, 21:00:00,1284,1284
225,12/6/2020, 21:15:00,1199,1199
226,12/6/2020, 21:30:00,1049,1049
227,12/6/2020, 21:45:00,986,986
228,12/6/2020, 22:00:00,928,928
229,12/6/2020, 22:15:00,886,886
230,12/6/2020, 22:30:00,890,890
231,12/6/2020, 22:45:00,916,916
232,12/6/2020, 23:00:00,1045,1045
233,12/6/2020, 23:15:00,943,943
234,12/6/2020, 23:30:00,591,591
235,12/6/2020, 23:45:00,358,358
236,12/6/2020, 24:00:00,240,240
237,13/06/2020 , 00:15:00,164,164
238,13/06/2020 , 00:30:00,154,154
239,13/06/2020 , 00:45:00,133,133
240,13/06/2020 , 01:00:00,127,127
241,13/06/2020 , 01:15:00,100,100
242,13/06/2020 , 01:30:00,75,75
243,13/06/2020 , 01:45:00,50,50
244,13/06/2020 , 02:00:00,48,48
245,13/06/2020 , 02:15:00,50,50
246,13/06/2020 , 02:30:00,43,43
247,13/06/2020 , 02:45:00,49,49
248,13/06/2020 , 03:00:00,81,81
249,13/06/2020 , 03:15:00,124,124
250,13/06/2020 , 03:30:00,152,152
251,13/06/2020 , 03:45:00,215,215
252,13/06/2020 , 04:00:00,312,312
253,13/06/2020 , 04:15:00,433,433
254,13/06/2020 , 04:30:00,552,552
255,13/06/2020 , 04:45:00,682,682
256,13/06/2020 , 05:00:00,794,794
257,13/06/2020 , 05:15:00,855,855
258,13/06/2020 , 05:30:00,1069,1069
259,13/06/2020 , 05:45:00,1407,1407
260,13/06/2020 , 06:00:00,1528,1528
261,13/06/2020 , 06:15:00,1971,1971
262,13/06/2020 , 06:30:00,2022,2022
263,13/06/2020 , 06:45:00,2026,2026
264,13/06/2020 , 07:00:00,2599,2599
265,13/06/2020 , 07:15:00,2739,2739
266,13/06/2020 , 07:30:00,1925,1925
267,13/06/2020 , 07:45:00,1728,1728
268,13/06/2020 , 08:00:00,1847,1847
269,13/06/2020 , 08:15:00,1979,1979
270,13/06/2020 , 08:30:00,2122,2122
271,13/06/2020 , 08:45:00,2861,2861
272,13/06/2020 , 09:00:00,3398,3398
273,13/06/2020 , 09:15:00,5121,5121
274,13/06/2020 , 09:30:00,6904,6904
275,13/06/2020 , 09:45:00,6635,6635
276,13/06/2020 , 10:00:00,6910,6910
277,13/06/2020 , 10:15:00,6036,6036
278,13/06/2020 , 10:30:00,5237,5237
279,13/06/2020 , 10:45:00,6709,6709
280,13/06/2020 , 11:00:00,16143,16143
281,13/06/2020 , 11:15:00,22456,22456
282,13/06/2020 , 11:30:00,8956,8956
283,13/06/2020 , 11:45:00,8868,8868
284,13/06/2020 , 12:00:00,9453,9453
285,13/06/2020 , 12:15:00,9624,9624
286,13/06/2020 , 12:30:00,12419,12419
287,13/06/2020 , 12:45:00,13302,13302
288,13/06/2020 , 13:00:00,9829,9829
289,13/06/2020 , 13:15:00,14231,14231
290,13/06/2020 , 13:30:00,37205,37205
291,13/06/2020 , 13:45:00,41759,41759
292,13/06/2020 , 14:00:00,42310,42310
293,13/06/2020 , 14:15:00,41605,41605
294,13/06/2020 , 14:30:00,15146,15146
295,13/06/2020 , 14:45:00,25004,25004
296,13/06/2020 , 15:00:00,39565,39565
297,13/06/2020 , 15:15:00,13749,13749
298,13/06/2020 , 15:30:00,9588,9588
299,13/06/2020 , 15:45:00,5549,5549
300,13/06/2020 , 16:00:00,9377,9377
