Site Name ,POKE,,,
Site Number ,2,,,
Logger ,Integrating Light Sensor,,,
Logger Serial Number ,11619,,,
,,,,
,,,,
Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,
,,,,
1,4/6/2020, 13:15:00,47413,47413
2,4/6/2020, 13:30:00,45949,45949
3,4/6/2020, 13:45:00,47762,47762
4,4/6/2020, 14:00:00,45015,45015
5,4/6/2020, 14:15:00,38728,38728
6,4/6/2020, 14:30:00,40133,40133
7,4/6/2020, 14:45:00,44448,44448
8,4/6/2020, 15:00:00,47495,47495
9,4/6/2020, 15:15:00,28537,28537
10,4/6/2020, 15:30:00,37761,37761
11,4/6/2020, 15:45:00,43711,43711
12,4/6/2020, 16:00:00,17235,17235
13,4/6/2020, 16:15:00,29434,29434
14,4/6/2020, 16:30:00,20687,20687
15,4/6/2020, 16:45:00,24699,24699
16,4/6/2020, 17:00:00,21835,21835
17,4/6/2020, 17:15:00,27291,27291
18,4/6/2020, 17:30:00,29279,29279
19,4/6/2020, 17:45:00,37814,37814
20,4/6/2020, 18:00:00,28505,28505
21,4/6/2020, 18:15:00,8602,8602
22,4/6/2020, 18:30:00,24935,24935
23,4/6/2020, 18:45:00,26526,26526
24,4/6/2020, 19:00:00,16664,16664
25,4/6/2020, 19:15:00,21618,21618
26,4/6/2020, 19:30:00,15838,15838
27,4/6/2020, 19:45:00,6617,6617
28,4/6/2020, 20:00:00,9084,9084
29,4/6/2020, 20:15:00,15101,15101
30,4/6/2020, 20:30:00,14657,14657
31,4/6/2020, 20:45:00,12994,12994
32,4/6/2020, 21:00:00,11335,11335
33,4/6/2020, 21:15:00,7622,7622
34,4/6/2020, 21:30:00,4232,4232
35,4/6/2020, 21:45:00,4353,4353
36,4/6/2020, 22:00:00,2137,2137
37,4/6/2020, 22:15:00,1886,1886
38,4/6/2020, 22:30:00,1832,1832
39,4/6/2020, 22:45:00,1408,1408
40,4/6/2020, 23:00:00,1223,1223
41,4/6/2020, 23:15:00,957,957
42,4/6/2020, 23:30:00,706,706
43,4/6/2020, 23:45:00,777,777
44,4/6/2020, 24:00:00,673,673
45,5/6/2020, 00:15:00,391,391
46,5/6/2020, 00:30:00,283,283
47,5/6/2020, 00:45:00,219,219
48,5/6/2020, 01:00:00,170,170
49,5/6/2020, 01:15:00,131,131
50,5/6/2020, 01:30:00,116,116
51,5/6/2020, 01:45:00,104,104
52,5/6/2020, 02:00:00,105,105
53,5/6/2020, 02:15:00,111,111
54,5/6/2020, 02:30:00,124,124
55,5/6/2020, 02:45:00,151,151
56,5/6/2020, 03:00:00,195,195
57,5/6/2020, 03:15:00,271,271
58,5/6/2020, 03:30:00,366,366
59,5/6/2020, 03:45:00,472,472
60,5/6/2020, 04:00:00,625,625
61,5/6/2020, 04:15:00,824,824
62,5/6/2020, 04:30:00,1070,1070
63,5/6/2020, 04:45:00,1390,1390
64,5/6/2020, 05:00:00,1759,1759
65,5/6/2020, 05:15:00,2087,2087
66,5/6/2020, 05:30:00,2533,2533
67,5/6/2020, 05:45:00,4027,4027
68,5/6/2020, 06:00:00,4629,4629
69,5/6/2020, 06:15:00,5777,5777
70,5/6/2020, 06:30:00,9111,9111
71,5/6/2020, 06:45:00,10920,10920
72,5/6/2020, 07:00:00,12589,12589
73,5/6/2020, 07:15:00,14587,14587
74,5/6/2020, 07:30:00,16641,16641
75,5/6/2020, 07:45:00,18298,18298
76,5/6/2020, 08:00:00,19948,19948
77,5/6/2020, 08:15:00,21584,21584
78,5/6/2020, 08:30:00,23377,23377
79,5/6/2020, 08:45:00,25317,25317
80,5/6/2020, 09:00:00,27780,27780
81,5/6/2020, 09:15:00,27435,27435
82,5/6/2020, 09:30:00,28611,28611
83,5/6/2020, 09:45:00,30637,30637
84,5/6/2020, 10:00:00,28991,28991
85,5/6/2020, 10:15:00,31503,31503
86,5/6/2020, 10:30:00,28396,28396
87,5/6/2020, 10:45:00,34498,34498
88,5/6/2020, 11:00:00,35844,35844
89,5/6/2020, 11:15:00,39445,39445
90,5/6/2020, 11:30:00,40262,40262
91,5/6/2020, 11:45:00,39854,39854
92,5/6/2020, 12:00:00,40686,40686
93,5/6/2020, 12:15:00,31251,31251
94,5/6/2020, 12:30:00,16201,16201
95,5/6/2020, 12:45:00,18119,18119
96,5/6/2020, 13:00:00,32916,32916
97,5/6/2020, 13:15:00,44557,44557
98,5/6/2020, 13:30:00,48698,48698
99,5/6/2020, 13:45:00,41747,41747
100,5/6/2020, 14:00:00,21156,21156
101,5/6/2020, 14:15:00,12534,12534
102,5/6/2020, 14:30:00,8313,8313
103,5/6/2020, 14:45:00,4054,4054
104,5/6/2020, 15:00:00,2478,2478
105,5/6/2020, 15:15:00,3476,3476
106,5/6/2020, 15:30:00,5976,5976
107,5/6/2020, 15:45:00,9652,9652
108,5/6/2020, 16:00:00,18508,18508
109,5/6/2020, 16:15:00,21743,21743
110,5/6/2020, 16:30:00,13707,13707
111,5/6/2020, 16:45:00,23414,23414
112,5/6/2020, 17:00:00,29568,29568
113,5/6/2020, 17:15:00,31238,31238
114,5/6/2020, 17:30:00,31522,31522
115,5/6/2020, 17:45:00,9044,9044
116,5/6/2020, 18:00:00,5988,5988
117,5/6/2020, 18:15:00,4989,4989
118,5/6/2020, 18:30:00,5649,5649
119,5/6/2020, 18:45:00,22042,22042
120,5/6/2020, 19:00:00,24960,24960
121,5/6/2020, 19:15:00,24945,24945
122,5/6/2020, 19:30:00,26170,26170
123,5/6/2020, 19:45:00,25486,25486
124,5/6/2020, 20:00:00,21063,21063
125,5/6/2020, 20:15:00,11284,11284
126,5/6/2020, 20:30:00,7351,7351
127,5/6/2020, 20:45:00,5259,5259
128,5/6/2020, 21:00:00,3554,3554
129,5/6/2020, 21:15:00,3634,3634
130,5/6/2020, 21:30:00,3210,3210
131,5/6/2020, 21:45:00,2971,2971
132,5/6/2020, 22:00:00,3751,3751
133,5/6/2020, 22:15:00,2235,2235
134,5/6/2020, 22:30:00,1137,1137
135,5/6/2020, 22:45:00,901,901
