Site Name ,STRT,,,
Site Number ,1,,,
Logger ,Integrating Light Sensor,,,
Logger Serial Number ,11620,,,
,,,,
,,,,
Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,
,,,,
1,17/06/2020 , 13:47:08,20168,20168
2,17/06/2020 , 14:02:08,42278,42278
3,17/06/2020 , 14:17:08,42501,42501
4,17/06/2020 , 14:32:08,42214,42214
5,17/06/2020 , 14:47:08,41965,41965
6,17/06/2020 , 15:02:08,41448,41448
7,17/06/2020 , 15:17:08,40829,40829
8,17/06/2020 , 15:32:08,40288,40288
9,17/06/2020 , 15:47:08,39586,39586
10,17/06/2020 , 16:02:08,38936,38936
11,17/06/2020 , 16:17:08,31909,31909
12,17/06/2020 , 16:32:08,24730,24730
13,17/06/2020 , 16:47:08,28478,28478
14,17/06/2020 , 17:02:08,36059,36059
15,17/06/2020 , 17:17:08,33052,33052
16,17/06/2020 , 17:32:08,31502,31502
17,17/06/2020 , 17:47:08,11622,11622
18,17/06/2020 , 18:02:08,24475,24475
19,17/06/2020 , 18:17:08,25585,25585
20,17/06/2020 , 18:32:08,12516,12516
21,17/06/2020 , 18:47:08,12071,12071
22,17/06/2020 , 19:02:08,10809,10809
23,17/06/2020 , 19:17:08,6096,6096
24,17/06/2020 , 19:32:08,8108,8108
25,17/06/2020 , 19:47:08,8685,8685
26,17/06/2020 , 20:02:08,5137,5137
27,17/06/2020 , 20:17:08,4539,4539
28,17/06/2020 , 20:32:08,7520,7520
29,17/06/2020 , 20:47:08,6235,6235
30,17/06/2020 , 21:02:08,4727,4727
31,17/06/2020 , 21:17:08,4323,4323
32,17/06/2020 , 21:32:08,4575,4575
33,17/06/2020 , 21:47:08,3388,3388
34,17/06/2020 , 22:02:08,2750,2750
35,17/06/2020 , 22:17:08,2688,2688
36,17/06/2020 , 22:32:08,2637,2637
37,17/06/2020 , 22:47:08,2103,2103
38,17/06/2020 , 23:02:08,1869,1869
39,17/06/2020 , 23:17:08,1731,1731
40,17/06/2020 , 23:32:08,1364,1364
41,17/06/2020 , 23:47:08,981,981
42,18/06/2020 , 00:02:08,733,733
43,18/06/2020 , 00:17:08,527,527
44,18/06/2020 , 00:32:08,361,361
45,18/06/2020 , 00:47:08,253,253
46,18/06/2020 , 01:02:08,197,197
47,18/06/2020 , 01:17:08,162,162
48,18/06/2020 , 01:32:08,147,147
49,18/06/2020 , 01:47:08,141,141
50,18/06/2020 , 02:02:08,134,134
51,18/06/2020 , 02:17:08,142,142
52,18/06/2020 , 02:32:08,143,143
53,18/06/2020 , 02:47:08,182,182
54,18/06/2020 , 03:02:08,252,252
55,18/06/2020 , 03:17:08,276,276
56,18/06/2020 , 03:32:08,318,318
57,18/06/2020 , 03:47:08,391,391
58,18/06/2020 , 04:02:08,468,468
59,18/06/2020 , 04:17:08,578,578
60,18/06/2020 , 04:32:08,746,746
61,18/06/2020 , 04:47:08,945,945
62,18/06/2020 , 05:02:08,1175,1175
63,18/06/2020 , 05:17:08,1434,1434
64,18/06/2020 , 05:32:08,1691,1691
65,18/06/2020 , 05:47:08,2107,2107
66,18/06/2020 , 06:02:08,2627,2627
67,18/06/2020 , 06:17:08,3017,3017
68,18/06/2020 , 06:32:08,3700,3700
69,18/06/2020 , 06:47:08,4202,4202
70,18/06/2020 , 07:02:08,4731,4731
71,18/06/2020 , 07:17:08,6212,6212
72,18/06/2020 , 07:32:08,8005,8005
73,18/06/2020 , 07:47:08,8115,8115
74,18/06/2020 , 08:02:08,13337,13337
75,18/06/2020 , 08:17:08,19635,19635
76,18/06/2020 , 08:32:08,21909,21909
77,18/06/2020 , 08:47:08,21145,21145
78,18/06/2020 , 09:02:08,28457,28457
79,18/06/2020 , 09:17:08,29601,29601
80,18/06/2020 , 09:32:08,30420,30420
81,18/06/2020 , 09:47:08,30112,30112
82,18/06/2020 , 10:02:08,29364,29364
83,18/06/2020 , 10:17:08,33271,33271
84,18/06/2020 , 10:32:08,29300,29300
85,18/06/2020 , 10:47:08,24314,24314
86,18/06/2020 , 11:02:08,32225,32225
87,18/06/2020 , 11:17:08,26510,26510
88,18/06/2020 , 11:32:08,30913,30913
89,18/06/2020 , 11:47:08,29596,29596
90,18/06/2020 , 12:02:08,26492,26492
91,18/06/2020 , 12:17:08,41099,41099
92,18/06/2020 , 12:32:08,37613,37613
93,18/06/2020 , 12:47:08,44269,44269
94,18/06/2020 , 13:02:08,39608,39608
95,18/06/2020 , 13:17:08,42725,42725
96,18/06/2020 , 13:32:08,42826,42826
97,18/06/2020 , 13:47:08,35316,35316
98,18/06/2020 , 14:02:08,35716,35716
99,18/06/2020 , 14:17:08,33474,33474
100,18/06/2020 , 14:32:08,40341,40341
101,18/06/2020 , 14:47:08,41340,41340
102,18/06/2020 , 15:02:08,39995,39995
103,18/06/2020 , 15:17:08,25072,25072
104,18/06/2020 , 15:32:08,40675,40675
105,18/06/2020 , 15:47:08,24549,24549
106,18/06/2020 , 16:02:08,38182,38182
107,18/06/2020 , 16:17:08,34918,34918
108,18/06/2020 , 16:32:08,20770,20770
109,18/06/2020 , 16:47:08,17191,17191
110,18/06/2020 , 17:02:08,28180,28180
111,18/06/2020 , 17:17:08,18680,18680
112,18/06/2020 , 17:32:08,11481,11481
113,18/06/2020 , 17:47:08,15243,15243
114,18/06/2020 , 18:02:08,14792,14792
115,18/06/2020 , 18:17:08,15281,15281
116,18/06/2020 , 18:32:08,12694,12694
117,18/06/2020 , 18:47:08,16337,16337
118,18/06/2020 , 19:02:08,7926,7926
119,18/06/2020 , 19:17:08,5011,5011
120,18/06/2020 , 19:32:08,2855,2855
121,18/06/2020 , 19:47:08,1751,1751
122,18/06/2020 , 20:02:08,2058,2058
123,18/06/2020 , 20:17:08,1868,1868
124,18/06/2020 , 20:32:08,1640,1640
125,18/06/2020 , 20:47:08,2106,2106
126,18/06/2020 , 21:02:08,2012,2012
127,18/06/2020 , 21:17:08,1006,1006
128,18/06/2020 , 21:32:08,861,861
129,18/06/2020 , 21:47:08,641,641
130,18/06/2020 , 22:02:08,391,391
131,18/06/2020 , 22:17:08,463,463
132,18/06/2020 , 22:32:08,478,478
133,18/06/2020 , 22:47:08,388,388
134,18/06/2020 , 23:02:08,465,465
135,18/06/2020 , 23:17:08,493,493
136,18/06/2020 , 23:32:08,324,324
137,18/06/2020 , 23:47:08,276,276
138,19/06/2020 , 00:02:08,214,214
139,19/06/2020 , 00:17:08,162,162
140,19/06/2020 , 00:32:08,133,133
141,19/06/2020 , 00:47:08,114,114
142,19/06/2020 , 01:02:08,82,82
143,19/06/2020 , 01:17:08,65,65
144,19/06/2020 , 01:32:08,54,54
145,19/06/2020 , 01:47:08,53,53
146,19/06/2020 , 02:02:08,54,54
147,19/06/2020 , 02:17:08,65,65
148,19/06/2020 , 02:32:08,65,65
149,19/06/2020 , 02:47:08,79,79
150,19/06/2020 , 03:02:08,107,107
151,19/06/2020 , 03:17:08,109,109
152,19/06/2020 , 03:32:08,95,95
153,19/06/2020 , 03:47:08,105,105
154,19/06/2020 , 04:02:08,159,159
155,19/06/2020 , 04:17:08,251,251
156,19/06/2020 , 04:32:08,305,305
157,19/06/2020 , 04:47:08,373,373
158,19/06/2020 , 05:02:08,363,363
159,19/06/2020 , 05:17:08,731,731
160,19/06/2020 , 05:32:08,893,893
161,19/06/2020 , 05:47:08,931,931
162,19/06/2020 , 06:02:08,1423,1423
163,19/06/2020 , 06:17:08,1523,1523
164,19/06/2020 , 06:32:08,1493,1493
165,19/06/2020 , 06:47:08,1259,1259
166,19/06/2020 , 07:02:08,1546,1546
167,19/06/2020 , 07:17:08,3080,3080
168,19/06/2020 , 07:32:08,2748,2748
169,19/06/2020 , 07:47:08,2889,2889
170,19/06/2020 , 08:02:08,3262,3262
171,19/06/2020 , 08:17:08,3608,3608
172,19/06/2020 , 08:32:08,5170,5170
173,19/06/2020 , 08:47:08,5661,5661
174,19/06/2020 , 09:02:08,4766,4766
175,19/06/2020 , 09:17:08,3591,3591
176,19/06/2020 , 09:32:08,2934,2934
177,19/06/2020 , 09:47:08,3365,3365
178,19/06/2020 , 10:02:08,3916,3916
179,19/06/2020 , 10:17:08,4420,4420
180,19/06/2020 , 10:32:08,3713,3713
181,19/06/2020 , 10:47:08,3933,3933
182,19/06/2020 , 11:02:08,3714,3714
183,19/06/2020 , 11:17:08,4026,4026
184,19/06/2020 , 11:32:08,3154,3154
185,19/06/2020 , 11:47:08,4510,4510
186,19/06/2020 , 12:02:08,6007,6007
187,19/06/2020 , 12:17:08,6100,6100
188,19/06/2020 , 12:32:08,5282,5282
189,19/06/2020 , 12:47:08,6568,6568
190,19/06/2020 , 13:02:08,5928,5928
191,19/06/2020 , 13:17:08,4979,4979
192,19/06/2020 , 13:32:08,7056,7056
193,19/06/2020 , 13:47:08,7646,7646
194,19/06/2020 , 14:02:08,9059,9059
195,19/06/2020 , 14:17:08,12158,12158
196,19/06/2020 , 14:32:08,10061,10061
197,19/06/2020 , 14:47:08,8712,8712
198,19/06/2020 , 15:02:08,7761,7761
199,19/06/2020 , 15:17:08,12131,12131
200,19/06/2020 , 15:32:08,13453,13453
201,19/06/2020 , 15:47:08,10294,10294
202,19/06/2020 , 16:02:08,10811,10811
203,19/06/2020 , 16:17:08,15336,15336
204,19/06/2020 , 16:32:08,12365,12365
205,19/06/2020 , 16:47:08,19200,19200
206,19/06/2020 , 17:02:08,26925,26925
207,19/06/2020 , 17:17:08,16143,16143
208,19/06/2020 , 17:32:08,14192,14192
209,19/06/2020 , 17:47:08,12306,12306
210,19/06/2020 , 18:02:08,11048,11048
211,19/06/2020 , 18:17:08,9179,9179
212,19/06/2020 , 18:32:08,10035,10035
213,19/06/2020 , 18:47:08,12483,12483
214,19/06/2020 , 19:02:08,8240,8240
215,19/06/2020 , 19:17:08,4120,4120
216,19/06/2020 , 19:32:08,3075,3075
217,19/06/2020 , 19:47:08,5652,5652
218,19/06/2020 , 20:02:08,3398,3398
219,19/06/2020 , 20:17:08,2968,2968
220,19/06/2020 , 20:32:08,2006,2006
221,19/06/2020 , 20:47:08,2042,2042
222,19/06/2020 , 21:02:08,2633,2633
223,19/06/2020 , 21:17:08,1883,1883
224,19/06/2020 , 21:32:08,1877,1877
225,19/06/2020 , 21:47:08,2321,2321
226,19/06/2020 , 22:02:08,2673,2673
227,19/06/2020 , 22:17:08,3161,3161
228,19/06/2020 , 22:32:08,2830,2830
229,19/06/2020 , 22:47:08,1898,1898
230,19/06/2020 , 23:02:08,1439,1439
231,19/06/2020 , 23:17:08,1161,1161
232,19/06/2020 , 23:32:08,848,848
233,19/06/2020 , 23:47:08,565,565
234,20/06/2020 , 00:02:08,390,390
235,20/06/2020 , 00:17:08,302,302
236,20/06/2020 , 00:32:08,240,240
237,20/06/2020 , 00:47:08,193,193
238,20/06/2020 , 01:02:08,148,148
239,20/06/2020 , 01:17:08,119,119
240,20/06/2020 , 01:32:08,114,114
241,20/06/2020 , 01:47:08,103,103
242,20/06/2020 , 02:02:08,106,106
243,20/06/2020 , 02:17:08,122,122
244,20/06/2020 , 02:32:08,133,133
245,20/06/2020 , 02:47:08,145,145
246,20/06/2020 , 03:02:08,176,176
247,20/06/2020 , 03:17:08,213,213
248,20/06/2020 , 03:32:08,268,268
249,20/06/2020 , 03:47:08,372,372
250,20/06/2020 , 04:02:08,524,524
251,20/06/2020 , 04:17:08,667,667
252,20/06/2020 , 04:32:08,772,772
253,20/06/2020 , 04:47:08,870,870
254,20/06/2020 , 05:02:08,1096,1096
255,20/06/2020 , 05:17:08,1904,1904
256,20/06/2020 , 05:32:08,2006,2006
257,20/06/2020 , 05:47:08,2239,2239
258,20/06/2020 , 06:02:08,2973,2973
259,20/06/2020 , 06:17:08,4297,4297
260,20/06/2020 , 06:32:08,5807,5807
261,20/06/2020 , 06:47:08,5800,5800
262,20/06/2020 , 07:02:08,9432,9432
263,20/06/2020 , 07:17:08,8363,8363
264,20/06/2020 , 07:32:08,8612,8612
265,20/06/2020 , 07:47:08,11541,11541
266,20/06/2020 , 08:02:08,10129,10129
267,20/06/2020 , 08:17:08,10829,10829
268,20/06/2020 , 08:32:08,10938,10938
269,20/06/2020 , 08:47:08,11311,11311
270,20/06/2020 , 09:02:08,14321,14321
271,20/06/2020 , 09:17:08,17367,17367
272,20/06/2020 , 09:32:08,17442,17442
273,20/06/2020 , 09:47:08,20200,20200
274,20/06/2020 , 10:02:08,23475,23475
275,20/06/2020 , 10:17:08,23455,23455
276,20/06/2020 , 10:32:08,25980,25980
277,20/06/2020 , 10:47:08,17830,17830
278,20/06/2020 , 11:02:08,18244,18244
279,20/06/2020 , 11:17:08,35584,35584
280,20/06/2020 , 11:32:08,35828,35828
281,20/06/2020 , 11:47:08,37399,37399
282,20/06/2020 , 12:02:08,31067,31067
283,20/06/2020 , 12:17:08,23606,23606
284,20/06/2020 , 12:32:08,14482,14482
285,20/06/2020 , 12:47:08,9838,9838
286,20/06/2020 , 13:02:08,32078,32078
287,20/06/2020 , 13:17:08,30486,30486
288,20/06/2020 , 13:32:08,12396,12396
289,20/06/2020 , 13:47:08,4826,4826
290,20/06/2020 , 14:02:08,9191,9191
291,20/06/2020 , 14:17:08,10902,10902
292,20/06/2020 , 14:32:08,10713,10713
293,20/06/2020 , 14:47:08,8000,8000
294,20/06/2020 , 15:02:08,7879,7879
295,20/06/2020 , 15:17:08,7002,7002
296,20/06/2020 , 15:32:08,8400,8400
297,20/06/2020 , 15:47:08,7931,7931
298,20/06/2020 , 16:02:08,4260,4260
299,20/06/2020 , 16:17:08,579,579
300,20/06/2020 , 16:32:08,703,703
301,20/06/2020 , 16:47:08,1271,1271
302,20/06/2020 , 17:02:08,3872,3872
303,20/06/2020 , 17:17:08,6121,6121
304,20/06/2020 , 17:32:08,5524,5524
305,20/06/2020 , 17:47:08,6832,6832
306,20/06/2020 , 18:02:08,9081,9081
307,20/06/2020 , 18:17:08,6656,6656
308,20/06/2020 , 18:32:08,4397,4397
309,20/06/2020 , 18:47:08,7097,7097
310,20/06/2020 , 19:02:08,7645,7645
311,20/06/2020 , 19:17:08,6408,6408
312,20/06/2020 , 19:32:08,3884,3884
313,20/06/2020 , 19:47:08,4111,4111
314,20/06/2020 , 20:02:08,3554,3554
315,20/06/2020 , 20:17:08,3609,3609
316,20/06/2020 , 20:32:08,2789,2789
317,20/06/2020 , 20:47:08,2860,2860
318,20/06/2020 , 21:02:08,2295,2295
319,20/06/2020 , 21:17:08,1688,1688
320,20/06/2020 , 21:32:08,1090,1090
321,20/06/2020 , 21:47:08,1185,1185
322,20/06/2020 , 22:02:08,1213,1213
323,20/06/2020 , 22:17:08,863,863
324,20/06/2020 , 22:32:08,930,930
325,20/06/2020 , 22:47:08,659,659
326,20/06/2020 , 23:02:08,409,409
327,20/06/2020 , 23:17:08,273,273
328,20/06/2020 , 23:32:08,128,128
329,20/06/2020 , 23:47:08,99,99
330,21/06/2020 , 00:02:08,104,104
331,21/06/2020 , 00:17:08,104,104
332,21/06/2020 , 00:32:08,78,78
333,21/06/2020 , 00:47:08,48,48
334,21/06/2020 , 01:02:08,31,31
335,21/06/2020 , 01:17:08,29,29
336,21/06/2020 , 01:32:08,23,23
337,21/06/2020 , 01:47:08,19,19
338,21/06/2020 , 02:02:08,18,18
339,21/06/2020 , 02:17:08,18,18
340,21/06/2020 , 02:32:08,22,22
341,21/06/2020 , 02:47:08,24,24
342,21/06/2020 , 03:02:08,40,40
343,21/06/2020 , 03:17:08,49,49
344,21/06/2020 , 03:32:08,68,68
345,21/06/2020 , 03:47:08,93,93
346,21/06/2020 , 04:02:08,138,138
347,21/06/2020 , 04:17:08,180,180
348,21/06/2020 , 04:32:08,297,297
349,21/06/2020 , 04:47:08,388,388
350,21/06/2020 , 05:02:08,331,331
351,21/06/2020 , 05:17:08,300,300
352,21/06/2020 , 05:32:08,191,191
353,21/06/2020 , 05:47:08,227,227
354,21/06/2020 , 06:02:08,391,391
355,21/06/2020 , 06:17:08,367,367
356,21/06/2020 , 06:32:08,248,248
357,21/06/2020 , 06:47:08,387,387
358,21/06/2020 , 07:02:08,652,652
359,21/06/2020 , 07:17:08,944,944
360,21/06/2020 , 07:32:08,1246,1246
361,21/06/2020 , 07:47:08,2057,2057
362,21/06/2020 , 08:02:08,2471,2471
363,21/06/2020 , 08:17:08,2625,2625
364,21/06/2020 , 08:32:08,2150,2150
365,21/06/2020 , 08:47:08,1788,1788
366,21/06/2020 , 09:02:08,3224,3224
367,21/06/2020 , 09:17:08,3861,3861
368,21/06/2020 , 09:32:08,3729,3729
369,21/06/2020 , 09:47:08,4991,4991
370,21/06/2020 , 10:02:08,6019,6019
371,21/06/2020 , 10:17:08,4709,4709
372,21/06/2020 , 10:32:08,4846,4846
373,21/06/2020 , 10:47:08,5302,5302
374,21/06/2020 , 11:02:08,4880,4880
375,21/06/2020 , 11:17:08,5848,5848
376,21/06/2020 , 11:32:08,6407,6407
377,21/06/2020 , 11:47:08,6957,6957
378,21/06/2020 , 12:02:08,6128,6128
379,21/06/2020 , 12:17:08,7247,7247
380,21/06/2020 , 12:32:08,6007,6007
381,21/06/2020 , 12:47:08,5714,5714
382,21/06/2020 , 13:02:08,5642,5642
383,21/06/2020 , 13:17:08,5063,5063
384,21/06/2020 , 13:32:08,6732,6732
385,21/06/2020 , 13:47:08,7624,7624
386,21/06/2020 , 14:02:08,7509,7509
387,21/06/2020 , 14:17:08,5069,5069
388,21/06/2020 , 14:32:08,6307,6307
389,21/06/2020 , 14:47:08,6072,6072
390,21/06/2020 , 15:02:08,4290,4290
391,21/06/2020 , 15:17:08,3818,3818
392,21/06/2020 , 15:32:08,4525,4525
393,21/06/2020 , 15:47:08,3890,3890
394,21/06/2020 , 16:02:08,3134,3134
395,21/06/2020 , 16:17:08,3462,3462
396,21/06/2020 , 16:32:08,3357,3357
397,21/06/2020 , 16:47:08,2788,2788
398,21/06/2020 , 17:02:08,3197,3197
