Site Name ,EXTRA11618
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,11618


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,26/06/2019 , 08:15:00,0,0
2,26/06/2019 , 08:30:00,0,0
3,26/06/2019 , 08:45:00,0,0
4,26/06/2019 , 09:00:00,0,0
5,26/06/2019 , 09:15:00,0,0
6,26/06/2019 , 09:30:00,0,0
7,26/06/2019 , 09:45:00,0,0
8,26/06/2019 , 10:00:00,0,0
9,26/06/2019 , 10:15:00,0,0
10,26/06/2019 , 10:30:00,1238,1238
11,26/06/2019 , 10:45:00,38,38
12,26/06/2019 , 11:00:00,130,130
13,26/06/2019 , 11:15:00,205,205
14,26/06/2019 , 11:30:00,263,263
15,26/06/2019 , 11:45:00,323,323
16,26/06/2019 , 12:00:00,515,515
17,26/06/2019 , 12:15:00,13595,13595
18,26/06/2019 , 12:30:00,39468,39468
19,26/06/2019 , 12:45:00,44579,44579
20,26/06/2019 , 13:00:00,44714,44714
21,26/06/2019 , 13:15:00,46016,46016
22,26/06/2019 , 13:30:00,45862,45862
23,26/06/2019 , 13:45:00,45482,45482
24,26/06/2019 , 14:00:00,45968,45968
25,26/06/2019 , 14:15:00,46169,46169
26,26/06/2019 , 14:30:00,44959,44959
27,26/06/2019 , 14:45:00,45036,45036
28,26/06/2019 , 15:00:00,43947,43947
29,26/06/2019 , 15:15:00,42086,42086
30,26/06/2019 , 15:30:00,40645,40645
31,26/06/2019 , 15:45:00,32914,32914
32,26/06/2019 , 16:00:00,31553,31553
33,26/06/2019 , 16:15:00,27783,27783
34,26/06/2019 , 16:30:00,30516,30516
35,26/06/2019 , 16:45:00,29916,29916
36,26/06/2019 , 17:00:00,27196,27196
37,26/06/2019 , 17:15:00,27253,27253
38,26/06/2019 , 17:30:00,27983,27983
39,26/06/2019 , 17:45:00,29981,29981
40,26/06/2019 , 18:00:00,30411,30411
41,26/06/2019 , 18:15:00,31842,31842
42,26/06/2019 , 18:30:00,29757,29757
43,26/06/2019 , 18:45:00,25377,25377
44,26/06/2019 , 19:00:00,15049,15049
45,26/06/2019 , 19:15:00,9230,9230
46,26/06/2019 , 19:30:00,9198,9198
47,26/06/2019 , 19:45:00,12258,12258
48,26/06/2019 , 20:00:00,18725,18725
49,26/06/2019 , 20:15:00,8625,8625
50,26/06/2019 , 20:30:00,6892,6892
51,26/06/2019 , 20:45:00,6508,6508
52,26/06/2019 , 21:00:00,5338,5338
53,26/06/2019 , 21:15:00,5153,5153
54,26/06/2019 , 21:30:00,4417,4417
55,26/06/2019 , 21:45:00,3599,3599
56,26/06/2019 , 22:00:00,3120,3120
57,26/06/2019 , 22:15:00,2632,2632
58,26/06/2019 , 22:30:00,2208,2208
59,26/06/2019 , 22:45:00,1760,1760
60,26/06/2019 , 23:00:00,1723,1723
61,26/06/2019 , 23:15:00,1223,1223
62,26/06/2019 , 23:30:00,769,769
63,26/06/2019 , 23:45:00,619,619
64,26/06/2019 , 24:00:00,471,471
65,27/06/2019 , 00:15:00,328,328
66,27/06/2019 , 00:30:00,233,233
67,27/06/2019 , 00:45:00,176,176
68,27/06/2019 , 01:00:00,129,129
69,27/06/2019 , 01:15:00,111,111
70,27/06/2019 , 01:30:00,93,93
71,27/06/2019 , 01:45:00,79,79
72,27/06/2019 , 02:00:00,93,93
73,27/06/2019 , 02:15:00,102,102
74,27/06/2019 , 02:30:00,117,117
75,27/06/2019 , 02:45:00,115,115
76,27/06/2019 , 03:00:00,140,140
77,27/06/2019 , 03:15:00,189,189
78,27/06/2019 , 03:30:00,273,273
79,27/06/2019 , 03:45:00,359,359
80,27/06/2019 , 04:00:00,530,530
81,27/06/2019 , 04:15:00,728,728
82,27/06/2019 , 04:30:00,915,915
83,27/06/2019 , 04:45:00,1390,1390
84,27/06/2019 , 05:00:00,1641,1641
85,27/06/2019 , 05:15:00,1636,1636
86,27/06/2019 , 05:30:00,1865,1865
87,27/06/2019 , 05:45:00,2250,2250
88,27/06/2019 , 06:00:00,2290,2290
89,27/06/2019 , 06:15:00,2757,2757
90,27/06/2019 , 06:30:00,3824,3824
91,27/06/2019 , 06:45:00,4052,4052
92,27/06/2019 , 07:00:00,4488,4488
93,27/06/2019 , 07:15:00,4882,4882
94,27/06/2019 , 07:30:00,4952,4952
95,27/06/2019 , 07:45:00,6687,6687
96,27/06/2019 , 08:00:00,9167,9167
97,27/06/2019 , 08:15:00,9537,9537
98,27/06/2019 , 08:30:00,12526,12526
99,27/06/2019 , 08:45:00,12070,12070
100,27/06/2019 , 09:00:00,13736,13736
101,27/06/2019 , 09:15:00,16246,16246
102,27/06/2019 , 09:30:00,16189,16189
103,27/06/2019 , 09:45:00,15970,15970
104,27/06/2019 , 10:00:00,17836,17836
105,27/06/2019 , 10:15:00,22668,22668
