Site Name ,STRT11620
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,11620


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,21/05/2019 , 12:45:00,16409,16409
2,21/05/2019 , 13:00:00,15244,15244
3,21/05/2019 , 13:15:00,21466,21466
4,21/05/2019 , 13:30:00,32300,32300
5,21/05/2019 , 13:45:00,28473,28473
6,21/05/2019 , 14:00:00,25002,25002
7,21/05/2019 , 14:15:00,30567,30567
8,21/05/2019 , 14:30:00,28707,28707
9,21/05/2019 , 14:45:00,21276,21276
10,21/05/2019 , 15:00:00,34256,34256
11,21/05/2019 , 15:15:00,42017,42017
12,21/05/2019 , 15:30:00,37935,37935
13,21/05/2019 , 15:45:00,38042,38042
14,21/05/2019 , 16:00:00,25573,25573
15,21/05/2019 , 16:15:00,39632,39632
16,21/05/2019 , 16:30:00,38041,38041
17,21/05/2019 , 16:45:00,36082,36082
18,21/05/2019 , 17:00:00,32915,32915
19,21/05/2019 , 17:15:00,30630,30630
20,21/05/2019 , 17:30:00,28987,28987
21,21/05/2019 , 17:45:00,21999,21999
22,21/05/2019 , 18:00:00,20410,20410
23,21/05/2019 , 18:15:00,20302,20302
24,21/05/2019 , 18:30:00,13850,13850
25,21/05/2019 , 18:45:00,6214,6214
26,21/05/2019 , 19:00:00,4971,4971
27,21/05/2019 , 19:15:00,4270,4270
28,21/05/2019 , 19:30:00,4455,4455
29,21/05/2019 , 19:45:00,3746,3746
30,21/05/2019 , 20:00:00,2903,2903
31,21/05/2019 , 20:15:00,3240,3240
32,21/05/2019 , 20:30:00,3681,3681
33,21/05/2019 , 20:45:00,3533,3533
34,21/05/2019 , 21:00:00,3057,3057
35,21/05/2019 , 21:15:00,2765,2765
36,21/05/2019 , 21:30:00,2891,2891
37,21/05/2019 , 21:45:00,2262,2262
38,21/05/2019 , 22:00:00,1598,1598
39,21/05/2019 , 22:15:00,1150,1150
40,21/05/2019 , 22:30:00,808,808
41,21/05/2019 , 22:45:00,559,559
42,21/05/2019 , 23:00:00,385,385
43,21/05/2019 , 23:15:00,281,281
44,21/05/2019 , 23:30:00,175,175
45,21/05/2019 , 23:45:00,110,110
46,21/05/2019 , 24:00:00,55,55
47,22/05/2019 , 00:15:00,28,28
48,22/05/2019 , 00:30:00,15,15
49,22/05/2019 , 00:45:00,9,9
50,22/05/2019 , 01:00:00,5,5
51,22/05/2019 , 01:15:00,4,4
52,22/05/2019 , 01:30:00,3,3
53,22/05/2019 , 01:45:00,3,3
54,22/05/2019 , 02:00:00,3,3
55,22/05/2019 , 02:15:00,3,3
56,22/05/2019 , 02:30:00,5,5
57,22/05/2019 , 02:45:00,7,7
58,22/05/2019 , 03:00:00,12,12
59,22/05/2019 , 03:15:00,20,20
60,22/05/2019 , 03:30:00,35,35
61,22/05/2019 , 03:45:00,64,64
62,22/05/2019 , 04:00:00,131,131
63,22/05/2019 , 04:15:00,234,234
64,22/05/2019 , 04:30:00,380,380
65,22/05/2019 , 04:45:00,552,552
66,22/05/2019 , 05:00:00,727,727
67,22/05/2019 , 05:15:00,911,911
68,22/05/2019 , 05:30:00,1089,1089
69,22/05/2019 , 05:45:00,1532,1532
70,22/05/2019 , 06:00:00,2528,2528
71,22/05/2019 , 06:15:00,2816,2816
72,22/05/2019 , 06:30:00,3277,3277
73,22/05/2019 , 06:45:00,3264,3264
74,22/05/2019 , 07:00:00,3098,3098
75,22/05/2019 , 07:15:00,3752,3752
76,22/05/2019 , 07:30:00,4242,4242
77,22/05/2019 , 07:45:00,4250,4250
78,22/05/2019 , 08:00:00,5296,5296
79,22/05/2019 , 08:15:00,5684,5684
80,22/05/2019 , 08:30:00,5664,5664
81,22/05/2019 , 08:45:00,4896,4896
82,22/05/2019 , 09:00:00,4684,4684
83,22/05/2019 , 09:15:00,4865,4865
84,22/05/2019 , 09:30:00,5063,5063
85,22/05/2019 , 09:45:00,6917,6917
86,22/05/2019 , 10:00:00,9370,9370
87,22/05/2019 , 10:15:00,7396,7396
88,22/05/2019 , 10:30:00,4587,4587
89,22/05/2019 , 10:45:00,3792,3792
90,22/05/2019 , 11:00:00,4675,4675
91,22/05/2019 , 11:15:00,19699,19699
92,22/05/2019 , 11:30:00,12884,12884
93,22/05/2019 , 11:45:00,7171,7171
94,22/05/2019 , 12:00:00,15138,15138
95,22/05/2019 , 12:15:00,22112,22112
96,22/05/2019 , 12:30:00,34681,34681
97,22/05/2019 , 12:45:00,32760,32760
98,22/05/2019 , 13:00:00,28858,28858
99,22/05/2019 , 13:15:00,15175,15175
100,22/05/2019 , 13:30:00,19733,19733
101,22/05/2019 , 13:45:00,18012,18012
102,22/05/2019 , 14:00:00,26425,26425
103,22/05/2019 , 14:15:00,42367,42367
104,22/05/2019 , 14:30:00,41603,41603
105,22/05/2019 , 14:45:00,39620,39620
