"Plot Title: 10710335_FRCH"
"#","Date Time, GMT-08:00","Abs Pres, kPa (LGR S/N: 10710335, SEN S/N: 10710335, LBL: P)","Temp, °C (LGR S/N: 10710335, SEN S/N: 10710335, LBL: T)","Coupler Detached (LGR S/N: 10710335)","Coupler Attached (LGR S/N: 10710335)","Host Connected (LGR S/N: 10710335)","Stopped (LGR S/N: 10710335)","End Of File (LGR S/N: 10710335)"
1,04/29/19 12:15:00 PM,100.945,17.284,Logged,,,,
2,04/29/19 12:30:00 PM,100.935,16.332,,,,,
3,04/29/19 12:45:00 PM,100.934,17.284,,,,,
4,04/29/19 01:00:00 PM,100.947,18.331,,,,,
5,04/29/19 01:15:00 PM,100.913,17.760,,,,,
6,04/29/19 01:30:00 PM,100.890,17.189,,,,,
7,04/29/19 01:45:00 PM,100.883,17.379,,,,,
8,04/29/19 02:00:00 PM,100.853,16.999,,,,,
9,04/29/19 02:15:00 PM,100.847,17.189,,,,,
10,04/29/19 02:30:00 PM,100.815,17.665,,,,,
11,04/29/19 02:45:00 PM,100.811,17.475,,,,,
12,04/29/19 03:00:00 PM,100.785,17.760,,,,,
13,04/29/19 03:15:00 PM,100.764,17.760,,,,,
14,04/29/19 03:30:00 PM,100.758,18.426,,,,,
15,04/29/19 03:45:00 PM,100.734,18.806,,,,,
16,04/29/19 04:00:00 PM,100.709,18.616,,,,,
17,04/29/19 04:15:00 PM,100.677,18.616,,,,,
18,04/29/19 04:30:00 PM,100.666,18.616,,,,,
19,04/29/19 04:45:00 PM,100.657,18.711,,,,,
20,04/29/19 05:00:00 PM,100.632,18.521,,,,,
21,04/29/19 05:15:00 PM,100.625,18.711,,,,,
22,04/29/19 05:30:00 PM,100.606,18.806,,,,,
23,04/29/19 05:45:00 PM,100.589,18.996,,,,,
24,04/29/19 06:00:00 PM,100.579,19.472,,,,,
25,04/29/19 06:15:00 PM,100.569,19.948,,,,,
26,04/29/19 06:30:00 PM,100.571,20.519,,,,,
27,04/29/19 06:45:00 PM,100.581,21.378,,,,,
28,04/29/19 07:00:00 PM,100.577,21.187,,,,,
29,04/29/19 07:15:00 PM,100.545,21.187,,,,,
30,04/29/19 07:30:00 PM,100.558,21.282,,,,,
31,04/29/19 07:45:00 PM,100.532,21.091,,,,,
32,04/29/19 08:00:00 PM,100.528,20.043,,,,,
33,04/29/19 08:15:00 PM,100.523,18.901,,,,,
34,04/29/19 08:30:00 PM,100.525,18.045,,,,,
35,04/29/19 08:45:00 PM,100.523,16.523,,,,,
36,04/29/19 09:00:00 PM,100.527,14.230,,,,,
37,04/29/19 09:15:00 PM,100.509,12.304,,,,,
38,04/29/19 09:30:00 PM,100.528,10.553,,,,,
39,04/29/19 09:45:00 PM,100.533,9.176,,,,,
40,04/29/19 10:00:00 PM,100.537,7.682,,,,,
41,04/29/19 10:15:00 PM,100.560,6.573,,,,,
42,04/29/19 10:30:00 PM,100.570,5.347,,,,,
43,04/29/19 10:45:00 PM,100.591,4.102,,,,,
44,04/29/19 11:00:00 PM,100.615,2.943,,,,,
45,04/29/19 11:15:00 PM,100.633,2.088,,,,,
46,04/29/19 11:30:00 PM,100.644,1.439,,,,,
47,04/29/19 11:45:00 PM,100.657,0.893,,,,,
48,04/30/19 12:00:00 AM,100.673,0.563,,,,,
49,04/30/19 12:15:00 AM,100.689,0.232,,,,,
50,04/30/19 12:30:00 AM,100.696,0.010,,,,,
51,04/30/19 12:45:00 AM,100.712,-0.325,,,,,
52,04/30/19 01:00:00 AM,100.706,-0.774,,,,,
53,04/30/19 01:15:00 AM,100.711,-1.114,,,,,
54,04/30/19 01:30:00 AM,100.738,-1.456,,,,,
55,04/30/19 01:45:00 AM,100.726,-1.570,,,,,
56,04/30/19 02:00:00 AM,100.735,-1.684,,,,,
57,04/30/19 02:15:00 AM,100.740,-2.030,,,,,
58,04/30/19 02:30:00 AM,100.758,-2.261,,,,,
59,04/30/19 02:45:00 AM,100.764,-2.610,,,,,
60,04/30/19 03:00:00 AM,100.771,-2.844,,,,,
61,04/30/19 03:15:00 AM,100.779,-3.079,,,,,
62,04/30/19 03:30:00 AM,100.818,-3.316,,,,,
63,04/30/19 03:45:00 AM,100.818,-3.316,,,,,
64,04/30/19 04:00:00 AM,100.846,-3.553,,,,,
65,04/30/19 04:15:00 AM,100.845,-3.672,,,,,
66,04/30/19 04:30:00 AM,100.843,-3.792,,,,,
67,04/30/19 04:45:00 AM,100.873,-3.911,,,,,
68,04/30/19 05:00:00 AM,100.872,-4.031,,,,,
69,04/30/19 05:15:00 AM,100.881,-4.152,,,,,
70,04/30/19 05:30:00 AM,100.902,-4.152,,,,,
71,04/30/19 05:45:00 AM,100.902,-4.152,,,,,
72,04/30/19 06:00:00 AM,100.912,-4.152,,,,,
73,04/30/19 06:15:00 AM,100.891,-4.152,,,,,
74,04/30/19 06:30:00 AM,100.914,-4.031,,,,,
75,04/30/19 06:45:00 AM,100.939,-3.792,,,,,
76,04/30/19 07:00:00 AM,100.921,-3.553,,,,,
77,04/30/19 07:15:00 AM,100.927,-3.079,,,,,
78,04/30/19 07:30:00 AM,100.925,-2.494,,,,,
79,04/30/19 07:45:00 AM,100.915,-1.684,,,,,
80,04/30/19 08:00:00 AM,100.897,0.674,,,,,
81,04/30/19 08:15:00 AM,100.878,2.837,,,,,
82,04/30/19 08:30:00 AM,100.882,10.748,,,,,
83,04/30/19 08:45:00 AM,100.853,16.999,,,,,
84,04/30/19 09:00:00 AM,100.837,13.750,,,,,
85,04/30/19 09:15:00 AM,100.835,12.110,,,,,
86,04/30/19 09:30:00 AM,100.837,13.750,,,,,
87,04/30/19 09:45:00 AM,100.827,14.804,,,,,
88,04/30/19 10:00:00 AM,100.810,12.980,,,,,
89,04/30/19 10:15:00 AM,100.847,17.189,,,,,
90,04/30/19 10:30:00 AM,100.807,15.855,,,,,
91,04/30/19 10:45:00 AM,100.785,14.325,,,,,
92,04/30/19 11:00:00 AM,100.779,14.038,,,,,
93,04/30/19 11:15:00 AM,100.755,14.421,,,,,
94,04/30/19 11:30:00 AM,100.786,14.900,,,,,
95,04/30/19 11:45:00 AM,100.779,15.569,,,,,
96,04/30/19 12:00:00 PM,100.781,16.618,,,,,
97,04/30/19 12:15:00 PM,100.779,16.999,,,,,
98,04/30/19 12:30:00 PM,100.764,17.760,,,,,
99,04/30/19 12:45:00 PM,100.743,19.662,,,,,
100,04/30/19 01:00:00 PM,100.747,20.710,,,,,
