Site Name ,FRCH11615
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,11615


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,29/04/2019 , 10:15:00,0,0
2,29/04/2019 , 10:30:00,0,0
3,29/04/2019 , 10:45:00,0,0
4,29/04/2019 , 11:00:00,0,0
5,29/04/2019 , 11:15:00,0,0
6,29/04/2019 , 11:30:00,0,0
7,29/04/2019 , 11:45:00,0,0
8,29/04/2019 , 12:00:00,0,0
9,29/04/2019 , 12:15:00,102,102
10,29/04/2019 , 12:30:00,16469,16469
11,29/04/2019 , 12:45:00,36553,36553
12,29/04/2019 , 13:00:00,39534,39534
13,29/04/2019 , 13:15:00,39859,39859
14,29/04/2019 , 13:30:00,36594,36594
15,29/04/2019 , 13:45:00,26047,26047
16,29/04/2019 , 14:00:00,25805,25805
17,29/04/2019 , 14:15:00,40294,40294
18,29/04/2019 , 14:30:00,39494,39494
19,29/04/2019 , 14:45:00,39739,39739
20,29/04/2019 , 15:00:00,39292,39292
21,29/04/2019 , 15:15:00,38760,38760
22,29/04/2019 , 15:30:00,38067,38067
23,29/04/2019 , 15:45:00,37305,37305
24,29/04/2019 , 16:00:00,36465,36465
25,29/04/2019 , 16:15:00,35469,35469
26,29/04/2019 , 16:30:00,34341,34341
27,29/04/2019 , 16:45:00,33201,33201
28,29/04/2019 , 17:00:00,31891,31891
29,29/04/2019 , 17:15:00,30429,30429
30,29/04/2019 , 17:30:00,28891,28891
31,29/04/2019 , 17:45:00,27322,27322
32,29/04/2019 , 18:00:00,18552,18552
33,29/04/2019 , 18:15:00,4444,4444
34,29/04/2019 , 18:30:00,18150,18150
35,29/04/2019 , 18:45:00,18306,18306
36,29/04/2019 , 19:00:00,14969,14969
37,29/04/2019 , 19:15:00,15907,15907
38,29/04/2019 , 19:30:00,13501,13501
39,29/04/2019 , 19:45:00,3334,3334
40,29/04/2019 , 20:00:00,2377,2377
41,29/04/2019 , 20:15:00,2194,2194
42,29/04/2019 , 20:30:00,1931,1931
43,29/04/2019 , 20:45:00,1739,1739
44,29/04/2019 , 21:00:00,1484,1484
45,29/04/2019 , 21:15:00,1224,1224
46,29/04/2019 , 21:30:00,955,955
47,29/04/2019 , 21:45:00,685,685
48,29/04/2019 , 22:00:00,433,433
49,29/04/2019 , 22:15:00,223,223
50,29/04/2019 , 22:30:00,91,91
51,29/04/2019 , 22:45:00,32,32
52,29/04/2019 , 23:00:00,10,10
53,29/04/2019 , 23:15:00,2,2
54,29/04/2019 , 23:30:00,0,0
55,29/04/2019 , 23:45:00,0,0
56,29/04/2019 , 24:00:00,0,0
57,30/04/2019 , 00:15:00,0,0
58,30/04/2019 , 00:30:00,0,0
59,30/04/2019 , 00:45:00,0,0
60,30/04/2019 , 01:00:00,0,0
61,30/04/2019 , 01:15:00,0,0
62,30/04/2019 , 01:30:00,0,0
63,30/04/2019 , 01:45:00,0,0
64,30/04/2019 , 02:00:00,0,0
65,30/04/2019 , 02:15:00,0,0
66,30/04/2019 , 02:30:00,0,0
67,30/04/2019 , 02:45:00,0,0
68,30/04/2019 , 03:00:00,0,0
69,30/04/2019 , 03:15:00,0,0
70,30/04/2019 , 03:30:00,0,0
71,30/04/2019 , 03:45:00,0,0
72,30/04/2019 , 04:00:00,0,0
73,30/04/2019 , 04:15:00,0,0
74,30/04/2019 , 04:30:00,2,2
75,30/04/2019 , 04:45:00,11,11
76,30/04/2019 , 05:00:00,35,35
77,30/04/2019 , 05:15:00,99,99
78,30/04/2019 , 05:30:00,232,232
79,30/04/2019 , 05:45:00,463,463
80,30/04/2019 , 06:00:00,740,740
81,30/04/2019 , 06:15:00,1051,1051
82,30/04/2019 , 06:30:00,1375,1375
83,30/04/2019 , 06:45:00,1665,1665
84,30/04/2019 , 07:00:00,1936,1936
85,30/04/2019 , 07:15:00,2202,2202
86,30/04/2019 , 07:30:00,2676,2676
87,30/04/2019 , 07:45:00,4971,4971
88,30/04/2019 , 08:00:00,6842,6842
89,30/04/2019 , 08:15:00,11101,11101
90,30/04/2019 , 08:30:00,14205,14205
91,30/04/2019 , 08:45:00,17504,17504
92,30/04/2019 , 09:00:00,10067,10067
93,30/04/2019 , 09:15:00,19312,19312
94,30/04/2019 , 09:30:00,23476,23476
95,30/04/2019 , 09:45:00,24376,24376
96,30/04/2019 , 10:00:00,23784,23784
97,30/04/2019 , 10:15:00,28497,28497
98,30/04/2019 , 10:30:00,22216,22216
99,30/04/2019 , 10:45:00,26573,26573
100,30/04/2019 , 11:00:00,5689,5689
101,30/04/2019 , 11:15:00,25560,25560
102,30/04/2019 , 11:30:00,4721,4721
103,30/04/2019 , 11:45:00,4651,4651
104,30/04/2019 , 12:00:00,4990,4990
105,30/04/2019 , 12:15:00,29434,29434
106,30/04/2019 , 12:30:00,17468,17468
