Site Name ,VAUL11616
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,11616


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,10/05/2019 , 16:15:00,16314,16314
2,10/05/2019 , 16:30:00,15991,15991
3,10/05/2019 , 16:45:00,2644,2644
4,10/05/2019 , 17:00:00,3536,3536
5,10/05/2019 , 17:15:00,11427,11427
6,10/05/2019 , 17:30:00,11052,11052
7,10/05/2019 , 17:45:00,14419,14419
8,10/05/2019 , 18:00:00,11287,11287
9,10/05/2019 , 18:15:00,10304,10304
10,10/05/2019 , 18:30:00,10252,10252
11,10/05/2019 , 18:45:00,12636,12636
12,10/05/2019 , 19:00:00,4988,4988
13,10/05/2019 , 19:15:00,2233,2233
14,10/05/2019 , 19:30:00,1789,1789
15,10/05/2019 , 19:45:00,2800,2800
16,10/05/2019 , 20:00:00,2908,2908
17,10/05/2019 , 20:15:00,2007,2007
18,10/05/2019 , 20:30:00,2572,2572
19,10/05/2019 , 20:45:00,1481,1481
20,10/05/2019 , 21:00:00,1137,1137
21,10/05/2019 , 21:15:00,1160,1160
22,10/05/2019 , 21:30:00,1629,1629
23,10/05/2019 , 21:45:00,2211,2211
24,10/05/2019 , 22:00:00,2348,2348
25,10/05/2019 , 22:15:00,1060,1060
26,10/05/2019 , 22:30:00,478,478
27,10/05/2019 , 22:45:00,294,294
28,10/05/2019 , 23:00:00,176,176
29,10/05/2019 , 23:15:00,91,91
30,10/05/2019 , 23:30:00,43,43
31,10/05/2019 , 23:45:00,20,20
32,10/05/2019 , 24:00:00,7,7
33,11/05/2019 , 00:15:00,3,3
34,11/05/2019 , 00:30:00,1,1
35,11/05/2019 , 00:45:00,0,0
36,11/05/2019 , 01:00:00,0,0
37,11/05/2019 , 01:15:00,0,0
38,11/05/2019 , 01:30:00,0,0
39,11/05/2019 , 01:45:00,0,0
40,11/05/2019 , 02:00:00,0,0
41,11/05/2019 , 02:15:00,0,0
42,11/05/2019 , 02:30:00,0,0
43,11/05/2019 , 02:45:00,0,0
44,11/05/2019 , 03:00:00,0,0
45,11/05/2019 , 03:15:00,0,0
46,11/05/2019 , 03:30:00,2,2
47,11/05/2019 , 03:45:00,6,6
48,11/05/2019 , 04:00:00,14,14
49,11/05/2019 , 04:15:00,36,36
50,11/05/2019 , 04:30:00,86,86
51,11/05/2019 , 04:45:00,197,197
52,11/05/2019 , 05:00:00,366,366
53,11/05/2019 , 05:15:00,581,581
54,11/05/2019 , 05:30:00,936,936
55,11/05/2019 , 05:45:00,1605,1605
56,11/05/2019 , 06:00:00,2436,2436
57,11/05/2019 , 06:15:00,2659,2659
58,11/05/2019 , 06:30:00,2679,2679
59,11/05/2019 , 06:45:00,2784,2784
60,11/05/2019 , 07:00:00,4188,4188
61,11/05/2019 , 07:15:00,5081,5081
62,11/05/2019 , 07:30:00,5016,5016
63,11/05/2019 , 07:45:00,4304,4304
64,11/05/2019 , 08:00:00,4124,4124
65,11/05/2019 , 08:15:00,4749,4749
66,11/05/2019 , 08:30:00,5452,5452
67,11/05/2019 , 08:45:00,6400,6400
68,11/05/2019 , 09:00:00,7471,7471
69,11/05/2019 , 09:15:00,9418,9418
70,11/05/2019 , 09:30:00,11938,11938
71,11/05/2019 , 09:45:00,16196,16196
72,11/05/2019 , 10:00:00,29483,29483
73,11/05/2019 , 10:15:00,20265,20265
74,11/05/2019 , 10:30:00,23734,23734
75,11/05/2019 , 10:45:00,23665,23665
76,11/05/2019 , 11:00:00,15317,15317
77,11/05/2019 , 11:15:00,12237,12237
78,11/05/2019 , 11:30:00,12029,12029
79,11/05/2019 , 11:45:00,10991,10991
80,11/05/2019 , 12:00:00,14526,14526
81,11/05/2019 , 12:15:00,22628,22628
82,11/05/2019 , 12:30:00,21046,21046
83,11/05/2019 , 12:45:00,18352,18352
84,11/05/2019 , 13:00:00,16919,16919
85,11/05/2019 , 13:15:00,15771,15771
86,11/05/2019 , 13:30:00,12794,12794
87,11/05/2019 , 13:45:00,23942,23942
88,11/05/2019 , 14:00:00,28622,28622
89,11/05/2019 , 14:15:00,16360,16360
90,11/05/2019 , 14:30:00,16055,16055
91,11/05/2019 , 14:45:00,18115,18115
92,11/05/2019 , 15:00:00,26846,26846
93,11/05/2019 , 15:15:00,21174,21174
94,11/05/2019 , 15:30:00,20594,20594
95,11/05/2019 , 15:45:00,23692,23692
96,11/05/2019 , 16:00:00,19952,19952
97,11/05/2019 , 16:15:00,28189,28189
98,11/05/2019 , 16:30:00,33193,33193
99,11/05/2019 , 16:45:00,26366,26366
100,11/05/2019 , 17:00:00,17807,17807
101,11/05/2019 , 17:15:00,20086,20086
102,11/05/2019 , 17:30:00,20518,20518
103,11/05/2019 , 17:45:00,14051,14051
104,11/05/2019 , 18:00:00,13424,13424
105,11/05/2019 , 18:15:00,15885,15885
