Site Name ,POKE11619
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,11619


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,14/05/2019 , 11:45:00,39642,39642
2,14/05/2019 , 12:00:00,38466,38466
3,14/05/2019 , 12:15:00,41905,41905
4,14/05/2019 , 12:30:00,24252,24252
5,14/05/2019 , 12:45:00,43732,43732
6,14/05/2019 , 13:00:00,35180,35180
7,14/05/2019 , 13:15:00,41359,41359
8,14/05/2019 , 13:30:00,38122,38122
9,14/05/2019 , 13:45:00,26764,26764
10,14/05/2019 , 14:00:00,22462,22462
11,14/05/2019 , 14:15:00,21504,21504
12,14/05/2019 , 14:30:00,19090,19090
13,14/05/2019 , 14:45:00,18023,18023
14,14/05/2019 , 15:00:00,23344,23344
15,14/05/2019 , 15:15:00,23363,23363
16,14/05/2019 , 15:30:00,30261,30261
17,14/05/2019 , 15:45:00,32055,32055
18,14/05/2019 , 16:00:00,21213,21213
19,14/05/2019 , 16:15:00,17839,17839
20,14/05/2019 , 16:30:00,21823,21823
21,14/05/2019 , 16:45:00,30100,30100
22,14/05/2019 , 17:00:00,19291,19291
23,14/05/2019 , 17:15:00,23417,23417
24,14/05/2019 , 17:30:00,20290,20290
25,14/05/2019 , 17:45:00,15498,15498
26,14/05/2019 , 18:00:00,15630,15630
27,14/05/2019 , 18:15:00,16180,16180
28,14/05/2019 , 18:30:00,18064,18064
29,14/05/2019 , 18:45:00,16471,16471
30,14/05/2019 , 19:00:00,21137,21137
31,14/05/2019 , 19:15:00,12382,12382
32,14/05/2019 , 19:30:00,10062,10062
33,14/05/2019 , 19:45:00,11981,11981
34,14/05/2019 , 20:00:00,8770,8770
35,14/05/2019 , 20:15:00,7253,7253
36,14/05/2019 , 20:30:00,6447,6447
37,14/05/2019 , 20:45:00,5760,5760
38,14/05/2019 , 21:00:00,4697,4697
39,14/05/2019 , 21:15:00,3960,3960
40,14/05/2019 , 21:30:00,3195,3195
41,14/05/2019 , 21:45:00,2375,2375
42,14/05/2019 , 22:00:00,1904,1904
43,14/05/2019 , 22:15:00,1401,1401
44,14/05/2019 , 22:30:00,991,991
45,14/05/2019 , 22:45:00,510,510
46,14/05/2019 , 23:00:00,201,201
47,14/05/2019 , 23:15:00,144,144
48,14/05/2019 , 23:30:00,104,104
49,14/05/2019 , 23:45:00,56,56
50,14/05/2019 , 24:00:00,28,28
51,15/05/2019 , 00:15:00,14,14
52,15/05/2019 , 00:30:00,7,7
53,15/05/2019 , 00:45:00,4,4
54,15/05/2019 , 01:00:00,2,2
55,15/05/2019 , 01:15:00,1,1
56,15/05/2019 , 01:30:00,1,1
57,15/05/2019 , 01:45:00,0,0
58,15/05/2019 , 02:00:00,1,1
59,15/05/2019 , 02:15:00,1,1
60,15/05/2019 , 02:30:00,1,1
61,15/05/2019 , 02:45:00,2,2
62,15/05/2019 , 03:00:00,3,3
63,15/05/2019 , 03:15:00,6,6
64,15/05/2019 , 03:30:00,14,14
65,15/05/2019 , 03:45:00,32,32
66,15/05/2019 , 04:00:00,76,76
67,15/05/2019 , 04:15:00,174,174
68,15/05/2019 , 04:30:00,278,278
69,15/05/2019 , 04:45:00,454,454
70,15/05/2019 , 05:00:00,770,770
71,15/05/2019 , 05:15:00,1052,1052
72,15/05/2019 , 05:30:00,1466,1466
73,15/05/2019 , 05:45:00,1879,1879
74,15/05/2019 , 06:00:00,2468,2468
75,15/05/2019 , 06:15:00,3148,3148
76,15/05/2019 , 06:30:00,3925,3925
77,15/05/2019 , 06:45:00,4660,4660
78,15/05/2019 , 07:00:00,5306,5306
79,15/05/2019 , 07:15:00,6099,6099
80,15/05/2019 , 07:30:00,7259,7259
81,15/05/2019 , 07:45:00,8300,8300
82,15/05/2019 , 08:00:00,8628,8628
83,15/05/2019 , 08:15:00,10692,10692
84,15/05/2019 , 08:30:00,14275,14275
85,15/05/2019 , 08:45:00,21432,21432
86,15/05/2019 , 09:00:00,20012,20012
87,15/05/2019 , 09:15:00,23579,23579
88,15/05/2019 , 09:30:00,23708,23708
89,15/05/2019 , 09:45:00,25709,25709
90,15/05/2019 , 10:00:00,28117,28117
91,15/05/2019 , 10:15:00,29387,29387
92,15/05/2019 , 10:30:00,30727,30727
93,15/05/2019 , 10:45:00,31986,31986
94,15/05/2019 , 11:00:00,28675,28675
95,15/05/2019 , 11:15:00,31654,31654
96,15/05/2019 , 11:30:00,36337,36337
97,15/05/2019 , 11:45:00,36389,36389
98,15/05/2019 , 12:00:00,36880,36880
99,15/05/2019 , 12:15:00,37284,37284
100,15/05/2019 , 12:30:00,37499,37499
101,15/05/2019 , 12:45:00,38279,38279
102,15/05/2019 , 13:00:00,39075,39075
103,15/05/2019 , 13:15:00,40123,40123
104,15/05/2019 , 13:30:00,35866,35866
105,15/05/2019 , 13:45:00,26829,26829
