"Plot Title: 20005936_POKE_atmo"
"#","Date Time, GMT-08:00","Abs Pres, kPa (LGR S/N: 20005936, SEN S/N: 20005936, LBL: P)","Temp, °C (LGR S/N: 20005936, SEN S/N: 20005936, LBL: T)","Coupler Detached (LGR S/N: 20005936)","Coupler Attached (LGR S/N: 20005936)","Host Connected (LGR S/N: 20005936)","Stopped (LGR S/N: 20005936)","End Of File (LGR S/N: 20005936)"
1,05/10/19 12:29:25 PM,97.308,16.713,,,,,
2,05/10/19 12:29:50 PM,,,Logged,,,,
3,05/10/19 12:44:25 PM,97.229,15.855,,,,,
4,05/10/19 12:59:25 PM,97.261,15.378,,,,,
5,05/10/19 01:14:25 PM,97.250,15.282,,,,,
6,05/10/19 01:29:25 PM,97.228,15.091,,,,,
7,05/10/19 01:44:25 PM,97.192,15.855,,,,,
8,05/10/19 01:59:25 PM,97.167,16.141,,,,,
9,05/10/19 02:14:25 PM,97.133,16.427,,,,,
10,05/10/19 02:29:25 PM,97.116,17.189,,,,,
11,05/10/19 02:44:25 PM,97.122,17.665,,,,,
12,05/10/19 02:59:25 PM,97.110,17.475,,,,,
13,05/10/19 03:14:25 PM,97.093,16.903,,,,,
14,05/10/19 03:29:25 PM,97.074,16.903,,,,,
15,05/10/19 03:44:25 PM,97.030,17.855,,,,,
16,05/10/19 03:59:25 PM,96.995,18.711,,,,,
17,05/10/19 04:14:25 PM,96.995,18.711,,,,,
18,05/10/19 04:29:25 PM,97.012,19.948,,,,,
19,05/10/19 04:44:25 PM,96.994,19.282,,,,,
20,05/10/19 04:59:25 PM,97.016,17.475,,,,,
21,05/10/19 05:14:25 PM,97.066,16.999,,,,,
22,05/10/19 05:29:25 PM,97.099,17.379,,,,,
23,05/10/19 05:44:25 PM,97.108,17.284,,,,,
24,05/10/19 05:59:25 PM,97.110,17.475,,,,,
25,05/10/19 06:14:25 PM,97.121,16.903,,,,,
26,05/10/19 06:29:25 PM,97.120,16.141,,,,,
27,05/10/19 06:44:25 PM,97.142,16.332,,,,,
28,05/10/19 06:59:25 PM,97.150,16.237,,,,,
29,05/10/19 07:14:25 PM,97.175,15.378,,,,,
30,05/10/19 07:29:25 PM,97.198,14.996,,,,,
31,05/10/19 07:44:25 PM,97.232,14.709,,,,,
32,05/10/19 07:59:25 PM,97.248,13.846,,,,,
33,05/10/19 08:14:25 PM,97.323,13.076,,,,,
34,05/10/19 08:29:25 PM,97.310,12.207,,,,,
35,05/10/19 08:44:25 PM,97.297,11.916,,,,,
36,05/10/19 08:59:25 PM,97.306,11.916,,,,,
37,05/10/19 09:14:25 PM,97.298,12.013,,,,,
38,05/10/19 09:29:25 PM,97.346,12.013,,,,,
39,05/10/19 09:44:25 PM,97.393,12.013,,,,,
40,05/10/19 09:59:25 PM,97.336,12.013,,,,,
41,05/10/19 10:14:25 PM,97.379,11.722,,,,,
42,05/10/19 10:29:25 PM,97.394,10.748,,,,,
43,05/10/19 10:44:25 PM,97.411,9.275,,,,,
44,05/10/19 10:59:25 PM,97.439,7.280,,,,,
45,05/10/19 11:14:25 PM,97.481,5.552,,,,,
46,05/10/19 11:29:25 PM,97.433,5.450,,,,,
47,05/10/19 11:44:25 PM,97.498,4.727,,,,,
48,05/10/19 11:59:25 PM,97.516,3.367,,,,,
49,05/11/19 12:14:25 AM,97.525,1.980,,,,,
50,05/11/19 12:29:25 AM,97.522,1.112,,,,,
51,05/11/19 12:44:25 AM,97.549,0.343,,,,,
52,05/11/19 12:59:25 AM,97.573,0.010,,,,,
53,05/11/19 01:14:25 AM,97.574,-0.549,,,,,
54,05/11/19 01:29:25 AM,97.599,-0.774,,,,,
55,05/11/19 01:44:25 AM,97.612,-1.228,,,,,
56,05/11/19 01:59:25 AM,97.618,-1.456,,,,,
57,05/11/19 02:14:25 AM,97.612,-1.228,,,,,
58,05/11/19 02:29:25 AM,97.648,-1.341,,,,,
59,05/11/19 02:44:25 AM,97.647,-2.030,,,,,
60,05/11/19 02:59:25 AM,97.657,-2.030,,,,,
61,05/11/19 03:14:25 AM,97.691,-2.261,,,,,
62,05/11/19 03:29:25 AM,97.699,-2.377,,,,,
63,05/11/19 03:44:25 AM,97.705,-2.610,,,,,
64,05/11/19 03:59:25 AM,97.714,-2.610,,,,,
65,05/11/19 04:14:25 AM,97.733,-2.610,,,,,
66,05/11/19 04:29:25 AM,97.750,-2.727,,,,,
67,05/11/19 04:44:25 AM,97.757,-2.962,,,,,
68,05/11/19 04:59:25 AM,97.713,-2.727,,,,,
