"Plot Title: 20574425"
"#","Date Time, GMT-08:00","Abs Pres, kPa (LGR S/N: 20574425, SEN S/N: 20574425)","Temp, °C (LGR S/N: 20574425, SEN S/N: 20574425)","Coupler Detached (LGR S/N: 20574425)","Coupler Attached (LGR S/N: 20574425)","Host Connected (LGR S/N: 20574425)","Stopped (LGR S/N: 20574425)","End Of File (LGR S/N: 20574425)"
1,06/07/19 03:30:00 PM,99.206,15.378,Logged,,,,
2,06/07/19 03:45:00 PM,99.224,15.187,,,,,
3,06/07/19 04:00:00 PM,99.213,15.473,,,,,
4,06/07/19 04:15:00 PM,99.223,16.999,,,,,
5,06/07/19 04:30:00 PM,99.206,18.521,,,,,
6,06/07/19 04:45:00 PM,99.167,19.092,,,,,
7,06/07/19 05:00:00 PM,99.167,17.760,,,,,
8,06/07/19 05:15:00 PM,99.150,16.713,,,,,
9,06/07/19 05:30:00 PM,99.115,16.523,,,,,
10,06/07/19 05:45:00 PM,99.107,16.713,,,,,
11,06/07/19 06:00:00 PM,99.109,16.903,,,,,
12,06/07/19 06:15:00 PM,99.089,18.045,,,,,
13,06/07/19 06:30:00 PM,99.106,18.140,,,,,
14,06/07/19 06:45:00 PM,99.091,17.760,,,,,
15,06/07/19 07:00:00 PM,99.085,17.665,,,,,
16,06/07/19 07:15:00 PM,99.061,17.475,,,,,
17,06/07/19 07:30:00 PM,99.085,17.189,,,,,
18,06/07/19 07:45:00 PM,99.070,16.808,,,,,
19,06/07/19 08:00:00 PM,99.078,16.618,,,,,
20,06/07/19 08:15:00 PM,99.106,16.237,,,,,
21,06/07/19 08:30:00 PM,99.085,15.951,,,,,
22,06/07/19 08:45:00 PM,99.086,15.664,,,,,
23,06/07/19 09:00:00 PM,99.106,14.900,,,,,
24,06/07/19 09:15:00 PM,99.128,14.038,,,,,
25,06/07/19 09:30:00 PM,99.138,13.461,,,,,
26,06/07/19 09:45:00 PM,99.115,13.173,,,,,
27,06/07/19 10:00:00 PM,99.131,12.690,,,,,
28,06/07/19 10:15:00 PM,99.163,12.013,,,,,
29,06/07/19 10:30:00 PM,99.164,11.236,,,,,
30,06/07/19 10:45:00 PM,99.148,10.651,,,,,
31,06/07/19 11:00:00 PM,99.175,9.965,,,,,
32,06/07/19 11:15:00 PM,99.193,9.176,,,,,
33,06/07/19 11:30:00 PM,99.205,8.581,,,,,
34,06/07/19 11:45:00 PM,99.217,7.882,,,,,
35,06/08/19 12:00:00 AM,99.235,7.381,,,,,
36,06/08/19 12:15:00 AM,99.257,6.573,,,,,
37,06/08/19 12:30:00 AM,99.285,5.860,,,,,
38,06/08/19 12:45:00 AM,99.269,5.244,,,,,
39,06/08/19 01:00:00 AM,99.315,4.623,,,,,
40,06/08/19 01:15:00 AM,99.295,3.998,,,,,
41,06/08/19 01:30:00 AM,99.328,3.367,,,,,
42,06/08/19 01:45:00 AM,99.316,2.837,,,,,
43,06/08/19 02:00:00 AM,99.336,2.410,,,,,
44,06/08/19 02:15:00 AM,99.344,1.980,,,,,
45,06/08/19 02:30:00 AM,99.353,1.656,,,,,
46,06/08/19 02:45:00 AM,99.361,1.330,,,,,
47,06/08/19 03:00:00 AM,99.379,1.003,,,,,
48,06/08/19 03:15:00 AM,99.397,0.674,,,,,
49,06/08/19 03:30:00 AM,99.394,0.453,,,,,
50,06/08/19 03:45:00 AM,99.392,0.232,,,,,
51,06/08/19 04:00:00 AM,99.399,0.010,,,,,
52,06/08/19 04:15:00 AM,99.378,0.010,,,,,
53,06/08/19 04:30:00 AM,99.401,0.121,,,,,
54,06/08/19 04:45:00 AM,99.392,0.232,,,,,
55,06/08/19 05:00:00 AM,99.392,0.232,,,,,
56,06/08/19 05:15:00 AM,99.404,0.343,,,,,
57,06/08/19 05:30:00 AM,99.404,0.343,,,,,
58,06/08/19 05:45:00 AM,99.385,0.563,,,,,
59,06/08/19 06:00:00 AM,99.392,1.221,,,,,
60,06/08/19 06:15:00 AM,99.395,1.548,,,,,
61,06/08/19 06:30:00 AM,99.387,1.980,,,,,
62,06/08/19 06:45:00 AM,99.390,2.517,,,,,
63,06/08/19 07:00:00 AM,99.392,3.155,,,,,
64,06/08/19 07:15:00 AM,99.403,3.788,,,,,
65,06/08/19 07:30:00 AM,99.412,4.519,,,,,
66,06/08/19 07:45:00 AM,99.409,5.141,,,,,
67,06/08/19 08:00:00 AM,99.404,5.860,,,,,
68,06/08/19 08:15:00 AM,99.408,6.471,,,,,
69,06/08/19 08:30:00 AM,99.399,7.179,,,,,
70,06/08/19 08:45:00 AM,99.387,7.983,,,,,
71,06/08/19 09:00:00 AM,99.391,8.978,,,,,
72,06/08/19 09:15:00 AM,99.384,9.768,,,,,
73,06/08/19 09:30:00 AM,99.395,10.651,,,,,
74,06/08/19 09:45:00 AM,99.369,11.236,,,,,
75,06/08/19 10:00:00 AM,99.382,11.916,,,,,
76,06/08/19 10:15:00 AM,99.351,12.883,,,,,
77,06/08/19 10:30:00 AM,99.330,14.421,,,,,
78,06/08/19 10:45:00 AM,99.312,15.951,,,,,
79,06/08/19 11:00:00 AM,99.329,16.808,,,,,
80,06/08/19 11:15:00 AM,99.311,18.140,,,,,
81,06/08/19 11:30:00 AM,99.275,17.760,,,,,
82,06/08/19 11:45:00 AM,99.260,17.855,,,,,
83,06/08/19 12:00:00 PM,99.272,18.045,,,,,
84,06/08/19 12:15:00 PM,99.237,18.996,,,,,
85,06/08/19 12:30:00 PM,99.306,24.158,,,,,
86,06/08/19 12:45:00 PM,99.230,20.996,,,,,
87,06/08/19 01:00:00 PM,99.208,20.805,,,,,
88,06/08/19 01:15:00 PM,99.188,21.951,,,,,
89,06/08/19 01:30:00 PM,99.220,24.158,,,,,
90,06/08/19 01:45:00 PM,99.244,26.683,,,,,
91,06/08/19 02:00:00 PM,99.214,25.805,,,,,
92,06/08/19 02:15:00 PM,99.167,23.966,,,,,
93,06/08/19 02:30:00 PM,99.139,21.473,,,,,
94,06/08/19 02:45:00 PM,99.158,20.329,,,,,
95,06/08/19 03:00:00 PM,99.169,19.282,,,,,
96,06/08/19 03:15:00 PM,99.183,18.996,,,,,
97,06/08/19 03:30:00 PM,99.172,18.996,,,,,
98,06/08/19 03:45:00 PM,99.170,19.472,,,,,
99,06/08/19 04:00:00 PM,99.225,22.621,,,,,
100,06/08/19 04:15:00 PM,99.248,23.869,,,,,
101,06/08/19 04:30:00 PM,99.206,23.677,,,,,
102,06/08/19 04:45:00 PM,99.144,21.569,,,,,
103,06/08/19 05:00:00 PM,99.134,19.948,,,,,
104,06/08/19 05:15:00 PM,99.118,18.996,,,,,
105,06/08/19 05:30:00 PM,99.127,18.806,,,,,
106,06/08/19 05:45:00 PM,99.127,18.806,,,,,
107,06/08/19 06:00:00 PM,99.141,18.521,,,,,
108,06/08/19 06:15:00 PM,99.158,18.616,,,,,
109,06/08/19 06:30:00 PM,99.152,18.521,,,,,
110,06/08/19 06:45:00 PM,99.135,19.092,,,,,
111,06/08/19 07:00:00 PM,99.155,18.901,,,,,
112,06/08/19 07:15:00 PM,99.163,19.187,,,,,
113,06/08/19 07:30:00 PM,99.155,19.758,,,,,
114,06/08/19 07:45:00 PM,99.165,19.567,,,,,
115,06/08/19 08:00:00 PM,99.147,19.282,,,,,
116,06/08/19 08:15:00 PM,99.163,18.521,,,,,
117,06/08/19 08:30:00 PM,99.147,17.950,,,,,
118,06/08/19 08:45:00 PM,99.169,17.475,,,,,
119,06/08/19 09:00:00 PM,99.180,16.999,,,,,
120,06/08/19 09:15:00 PM,99.180,16.523,,,,,
121,06/08/19 09:30:00 PM,99.190,15.760,,,,,
122,06/08/19 09:45:00 PM,99.207,14.804,,,,,
123,06/08/19 10:00:00 PM,99.232,13.846,,,,,
124,06/08/19 10:15:00 PM,99.261,12.690,,,,,
125,06/08/19 10:30:00 PM,99.299,11.431,,,,,
126,06/08/19 10:45:00 PM,99.314,10.455,,,,,
127,06/08/19 11:00:00 PM,99.348,9.472,,,,,
128,06/08/19 11:15:00 PM,99.353,8.680,,,,,
129,06/08/19 11:30:00 PM,99.410,7.882,,,,,
130,06/08/19 11:45:00 PM,99.412,7.079,,,,,
131,06/09/19 12:00:00 AM,99.419,6.471,,,,,
132,06/09/19 12:15:00 AM,99.436,5.860,,,,,
133,06/09/19 12:30:00 AM,99.451,5.347,,,,,
134,06/09/19 12:45:00 AM,99.485,4.934,,,,,
135,06/09/19 01:00:00 AM,99.477,4.311,,,,,
136,06/09/19 01:15:00 AM,99.500,3.683,,,,,
137,06/09/19 01:30:00 AM,99.510,3.261,,,,,
138,06/09/19 01:45:00 AM,99.520,2.943,,,,,
139,06/09/19 02:00:00 AM,99.518,2.410,,,,,
140,06/09/19 02:15:00 AM,99.538,1.980,,,,,
141,06/09/19 02:30:00 AM,99.557,1.656,,,,,
142,06/09/19 02:45:00 AM,99.553,1.221,,,,,
143,06/09/19 03:00:00 AM,99.563,1.112,,,,,
144,06/09/19 03:15:00 AM,99.560,0.893,,,,,
145,06/09/19 03:30:00 AM,99.591,0.784,,,,,
146,06/09/19 03:45:00 AM,99.589,0.563,,,,,
147,06/09/19 04:00:00 AM,99.609,0.453,,,,,
148,06/09/19 04:15:00 AM,99.597,0.343,,,,,
149,06/09/19 04:30:00 AM,99.607,0.343,,,,,
150,06/09/19 04:45:00 AM,99.618,0.343,,,,,
151,06/09/19 05:00:00 AM,99.642,0.563,,,,,
152,06/09/19 05:15:00 AM,99.600,1.656,,,,,
153,06/09/19 05:30:00 AM,99.617,3.998,,,,,
154,06/09/19 05:45:00 AM,99.622,5.347,,,,,
155,06/09/19 06:00:00 AM,99.602,7.280,,,,,
156,06/09/19 06:15:00 AM,99.619,8.879,,,,,
157,06/09/19 06:30:00 AM,99.681,9.965,,,,,
158,06/09/19 06:45:00 AM,99.632,9.275,,,,,
159,06/09/19 07:00:00 AM,99.600,10.651,,,,,
160,06/09/19 07:15:00 AM,99.627,9.965,,,,,
161,06/09/19 07:30:00 AM,99.641,9.866,,,,,
162,06/09/19 07:45:00 AM,99.607,10.357,,,,,
163,06/09/19 08:00:00 AM,99.576,11.916,,,,,
164,06/09/19 08:15:00 AM,99.579,12.497,,,,,
165,06/09/19 08:30:00 AM,99.602,12.787,,,,,
166,06/09/19 08:45:00 AM,99.587,13.558,,,,,
167,06/09/19 09:00:00 AM,99.552,14.804,,,,,
168,06/09/19 09:15:00 AM,99.517,17.665,,,,,
169,06/09/19 09:30:00 AM,99.587,19.567,,,,,
170,06/09/19 09:45:00 AM,99.566,18.236,,,,,
171,06/09/19 10:00:00 AM,99.569,18.616,,,,,
172,06/09/19 10:15:00 AM,99.547,19.282,,,,,
173,06/09/19 10:30:00 AM,99.566,21.378,,,,,
174,06/09/19 10:45:00 AM,99.554,20.805,,,,,
175,06/09/19 11:00:00 AM,99.632,25.028,,,,,
176,06/09/19 11:15:00 AM,99.589,23.966,,,,,
177,06/09/19 11:30:00 AM,99.534,21.760,,,,,
178,06/09/19 11:45:00 AM,99.496,21.282,,,,,
179,06/09/19 12:00:00 PM,99.523,21.569,,,,,
180,06/09/19 12:15:00 PM,99.533,22.908,,,,,
181,06/09/19 12:30:00 PM,99.593,26.488,,,,,
182,06/09/19 12:45:00 PM,99.487,23.869,,,,,
183,06/09/19 01:00:00 PM,99.485,24.255,,,,,
184,06/09/19 01:15:00 PM,99.496,24.255,,,,,
185,06/09/19 01:30:00 PM,99.518,25.805,,,,,
186,06/09/19 01:45:00 PM,99.489,23.100,,,,,
187,06/09/19 02:00:00 PM,99.442,21.855,,,,,
188,06/09/19 02:15:00 PM,99.431,22.429,,,,,
189,06/09/19 02:30:00 PM,99.419,23.196,,,,,
190,06/09/19 02:45:00 PM,99.424,23.292,,,,,
