"Plot Title: 10710340_MOOS_ATM"
"#","Date Time, GMT-08:00","Abs Pres, kPa (LGR S/N: 10710340, SEN S/N: 10710340, LBL: P)","Temp, °C (LGR S/N: 10710340, SEN S/N: 10710340, LBL: T)","Coupler Detached (LGR S/N: 10710340)","Coupler Attached (LGR S/N: 10710340)","Host Connected (LGR S/N: 10710340)","Stopped (LGR S/N: 10710340)","End Of File (LGR S/N: 10710340)"
1,05/09/19 12:00:00 PM,100.364,19.377,Logged,,,,
2,05/09/19 12:15:00 PM,100.359,18.521,,,,,
3,05/09/19 12:30:00 PM,100.353,20.615,,,,,
4,05/09/19 12:45:00 PM,100.301,19.187,,,,,
5,05/09/19 01:00:00 PM,100.272,18.045,,,,,
6,05/09/19 01:15:00 PM,100.248,17.760,,,,,
7,05/09/19 01:30:00 PM,100.265,19.377,,,,,
8,05/09/19 01:45:00 PM,100.219,19.092,,,,,
9,05/09/19 02:00:00 PM,100.196,18.806,,,,,
10,05/09/19 02:15:00 PM,100.193,17.760,,,,,
11,05/09/19 02:30:00 PM,100.165,17.379,,,,,
12,05/09/19 02:45:00 PM,100.140,18.045,,,,,
13,05/09/19 03:00:00 PM,100.130,17.094,,,,,
14,05/09/19 03:15:00 PM,100.114,16.713,,,,,
15,05/09/19 03:30:00 PM,100.090,16.427,,,,,
16,05/09/19 03:45:00 PM,100.056,16.903,,,,,
17,05/09/19 04:00:00 PM,100.040,16.046,,,,,
18,05/09/19 04:15:00 PM,100.012,15.664,,,,,
19,05/09/19 04:30:00 PM,99.983,15.760,,,,,
20,05/09/19 04:45:00 PM,99.947,15.951,,,,,
21,05/09/19 05:00:00 PM,99.945,16.141,,,,,
22,05/09/19 05:15:00 PM,99.938,16.237,,,,,
23,05/09/19 05:30:00 PM,99.920,16.332,,,,,
24,05/09/19 05:45:00 PM,99.886,16.808,,,,,
25,05/09/19 06:00:00 PM,99.890,17.379,,,,,
26,05/09/19 06:15:00 PM,99.852,16.523,,,,,
27,05/09/19 06:30:00 PM,99.828,16.237,,,,,
28,05/09/19 06:45:00 PM,99.817,16.237,,,,,
29,05/09/19 07:00:00 PM,99.777,16.332,,,,,
30,05/09/19 07:15:00 PM,99.770,15.664,,,,,
31,05/09/19 07:30:00 PM,99.764,15.282,,,,,
32,05/09/19 07:45:00 PM,99.739,15.473,,,,,
33,05/09/19 08:00:00 PM,99.732,15.569,,,,,
34,05/09/19 08:15:00 PM,99.703,15.664,,,,,
35,05/09/19 08:30:00 PM,99.673,15.473,,,,,
36,05/09/19 08:45:00 PM,99.649,15.187,,,,,
37,05/09/19 09:00:00 PM,99.648,14.900,,,,,
