Site Name ,MOOS11617
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,11617


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,08/05/2019 , 11:15:00,90,90
2,08/05/2019 , 11:30:00,90,90
3,08/05/2019 , 11:45:00,90,90
4,08/05/2019 , 12:00:00,90,90
5,08/05/2019 , 12:15:00,89,89
6,08/05/2019 , 12:30:00,90,90
7,08/05/2019 , 12:45:00,90,90
8,08/05/2019 , 13:00:00,89,89
9,08/05/2019 , 13:15:00,90,90
10,08/05/2019 , 13:30:00,95,95
11,08/05/2019 , 13:45:00,98,98
12,08/05/2019 , 14:00:00,99,99
13,08/05/2019 , 14:15:00,99,99
14,08/05/2019 , 14:30:00,98,98
15,08/05/2019 , 14:45:00,95,95
16,08/05/2019 , 15:00:00,96,96
17,08/05/2019 , 15:15:00,95,95
18,08/05/2019 , 15:30:00,97,97
19,08/05/2019 , 15:45:00,96,96
20,08/05/2019 , 16:00:00,15,15
21,08/05/2019 , 16:15:00,0,0
22,08/05/2019 , 16:30:00,15,15
23,08/05/2019 , 16:45:00,0,0
24,08/05/2019 , 17:00:00,0,0
25,08/05/2019 , 17:15:00,0,0
26,08/05/2019 , 17:30:00,0,0
27,08/05/2019 , 17:45:00,1,1
28,08/05/2019 , 18:00:00,3,3
29,08/05/2019 , 18:15:00,8,8
30,08/05/2019 , 18:30:00,0,0
31,08/05/2019 , 18:45:00,0,0
32,08/05/2019 , 19:00:00,0,0
33,08/05/2019 , 19:15:00,0,0
34,08/05/2019 , 19:30:00,0,0
35,08/05/2019 , 19:45:00,0,0
36,08/05/2019 , 20:00:00,0,0
37,08/05/2019 , 20:15:00,0,0
38,08/05/2019 , 20:30:00,0,0
39,08/05/2019 , 20:45:00,0,0
40,08/05/2019 , 21:00:00,0,0
41,08/05/2019 , 21:15:00,0,0
42,08/05/2019 , 21:30:00,0,0
43,08/05/2019 , 21:45:00,0,0
44,08/05/2019 , 22:00:00,0,0
45,08/05/2019 , 22:15:00,0,0
46,08/05/2019 , 22:30:00,0,0
47,08/05/2019 , 22:45:00,0,0
48,08/05/2019 , 23:00:00,0,0
49,08/05/2019 , 23:15:00,0,0
50,08/05/2019 , 23:30:00,0,0
51,08/05/2019 , 23:45:00,0,0
52,08/05/2019 , 24:00:00,0,0
53,09/05/2019 , 00:15:00,0,0
54,09/05/2019 , 00:30:00,0,0
55,09/05/2019 , 00:45:00,0,0
56,09/05/2019 , 01:00:00,0,0
57,09/05/2019 , 01:15:00,0,0
58,09/05/2019 , 01:30:00,0,0
59,09/05/2019 , 01:45:00,0,0
60,09/05/2019 , 02:00:00,0,0
61,09/05/2019 , 02:15:00,0,0
62,09/05/2019 , 02:30:00,0,0
63,09/05/2019 , 02:45:00,0,0
64,09/05/2019 , 03:00:00,0,0
65,09/05/2019 , 03:15:00,0,0
66,09/05/2019 , 03:30:00,0,0
67,09/05/2019 , 03:45:00,0,0
68,09/05/2019 , 04:00:00,0,0
69,09/05/2019 , 04:15:00,0,0
70,09/05/2019 , 04:30:00,0,0
71,09/05/2019 , 04:45:00,0,0
72,09/05/2019 , 05:00:00,0,0
73,09/05/2019 , 05:15:00,0,0
74,09/05/2019 , 05:30:00,0,0
75,09/05/2019 , 05:45:00,0,0
76,09/05/2019 , 06:00:00,0,0
77,09/05/2019 , 06:15:00,0,0
78,09/05/2019 , 06:30:00,0,0
79,09/05/2019 , 06:45:00,0,0
80,09/05/2019 , 07:00:00,0,0
81,09/05/2019 , 07:15:00,0,0
82,09/05/2019 , 07:30:00,0,0
83,09/05/2019 , 07:45:00,78,78
84,09/05/2019 , 08:00:00,198,198
85,09/05/2019 , 08:15:00,841,841
86,09/05/2019 , 08:30:00,75,75
87,09/05/2019 , 08:45:00,178,178
88,09/05/2019 , 09:00:00,49,49
89,09/05/2019 , 09:15:00,20,20
90,09/05/2019 , 09:30:00,131,131
91,09/05/2019 , 09:45:00,1262,1262
92,09/05/2019 , 10:00:00,3942,3942
93,09/05/2019 , 10:15:00,10146,10146
94,09/05/2019 , 10:30:00,11712,11712
95,09/05/2019 , 10:45:00,16381,16381
96,09/05/2019 , 11:00:00,7274,7274
97,09/05/2019 , 11:15:00,10149,10149
98,09/05/2019 , 11:30:00,18534,18534
99,09/05/2019 , 11:45:00,20059,20059
100,09/05/2019 , 12:00:00,35524,35524
101,09/05/2019 , 12:15:00,37356,37356
102,09/05/2019 , 12:30:00,37437,37437
103,09/05/2019 , 12:45:00,34462,34462
104,09/05/2019 , 13:00:00,33949,33949
105,09/05/2019 , 13:15:00,25144,25144
106,09/05/2019 , 13:30:00,38044,38044
107,09/05/2019 , 13:45:00,30529,30529
108,09/05/2019 , 14:00:00,37643,37643
109,09/05/2019 , 14:15:00,33717,33717
110,09/05/2019 , 14:30:00,26782,26782
