"Plot Title: 20005933_FRCH_atmo"
"#","Date Time, GMT-08:00","Abs Pres, kPa (LGR S/N: 20005933, SEN S/N: 20005933, LBL: P)","Temp, °C (LGR S/N: 20005933, SEN S/N: 20005933, LBL: T)"
1,06/11/20 12:45:00 PM,99.115,24.738
2,06/11/20 01:00:00 PM,99.155,22.717
3,06/11/20 01:15:00 PM,99.174,21.664
4,06/11/20 01:30:00 PM,99.102,22.333
5,06/11/20 01:45:00 PM,99.023,24.062
6,06/11/20 02:00:00 PM,99.013,24.062
7,06/11/20 02:15:00 PM,98.997,24.158
8,06/11/20 02:30:00 PM,98.991,24.255
9,06/11/20 02:45:00 PM,98.983,23.773
10,06/11/20 03:00:00 PM,98.969,24.158
11,06/11/20 03:15:00 PM,98.975,24.062
12,06/11/20 03:30:00 PM,98.963,24.255
13,06/11/20 03:45:00 PM,98.957,24.351
14,06/11/20 04:00:00 PM,98.966,23.581
15,06/11/20 04:15:00 PM,98.965,23.292
16,06/11/20 04:30:00 PM,98.940,24.158
17,06/11/20 04:45:00 PM,98.922,24.448
18,06/11/20 05:00:00 PM,98.917,24.062
19,06/11/20 05:15:00 PM,98.902,25.222
20,06/11/20 05:30:00 PM,98.884,24.738
21,06/11/20 05:45:00 PM,98.889,24.351
22,06/11/20 06:00:00 PM,98.893,24.448
23,06/11/20 06:15:00 PM,98.895,25.028
24,06/11/20 06:30:00 PM,98.902,25.222
25,06/11/20 06:45:00 PM,98.918,24.351
26,06/11/20 07:00:00 PM,98.931,23.677
27,06/11/20 07:15:00 PM,98.957,22.812
28,06/11/20 07:30:00 PM,98.992,21.951
29,06/11/20 07:45:00 PM,99.041,21.473
30,06/11/20 08:00:00 PM,99.062,20.996
31,06/11/20 08:15:00 PM,99.092,20.519
32,06/11/20 08:30:00 PM,99.074,20.805
33,06/11/20 08:45:00 PM,99.084,20.043
34,06/11/20 09:00:00 PM,99.095,19.567
35,06/11/20 09:15:00 PM,99.119,19.187
36,06/11/20 09:30:00 PM,99.124,18.806
37,06/11/20 09:45:00 PM,99.136,18.616
38,06/11/20 10:00:00 PM,99.121,18.711
39,06/11/20 10:15:00 PM,99.158,18.426
40,06/11/20 10:30:00 PM,99.160,17.950
41,06/11/20 10:45:00 PM,99.167,17.379
42,06/11/20 11:00:00 PM,99.178,16.903
43,06/11/20 11:15:00 PM,99.209,15.664
44,06/11/20 11:30:00 PM,99.209,14.134
45,06/11/20 11:45:00 PM,99.233,12.980
46,06/12/20 12:00:00 AM,99.257,11.819
47,06/12/20 12:15:00 AM,99.271,10.651
48,06/12/20 12:30:00 AM,99.273,9.669
49,06/12/20 12:45:00 AM,99.278,8.779
50,06/12/20 01:00:00 AM,99.277,7.983
51,06/12/20 01:15:00 AM,99.309,7.280
52,06/12/20 01:30:00 AM,99.307,6.471
53,06/12/20 01:45:00 AM,99.319,5.757
54,06/12/20 02:00:00 AM,99.353,5.141
55,06/12/20 02:15:00 AM,99.353,4.623
56,06/12/20 02:30:00 AM,99.363,4.102
57,06/12/20 02:45:00 AM,99.395,3.683
58,06/12/20 03:00:00 AM,99.389,3.261
59,06/12/20 03:15:00 AM,99.392,2.837
60,06/12/20 03:30:00 AM,99.399,2.517
61,06/12/20 03:45:00 AM,99.420,2.303
62,06/12/20 04:00:00 AM,99.431,2.088
63,06/12/20 04:15:00 AM,99.433,1.872
64,06/12/20 04:30:00 AM,99.433,1.872
65,06/12/20 04:45:00 AM,99.403,2.088
66,06/12/20 05:00:00 AM,99.380,2.517
67,06/12/20 05:15:00 AM,99.366,3.155
68,06/12/20 05:30:00 AM,99.366,3.683
69,06/12/20 05:45:00 AM,99.380,4.311
70,06/12/20 06:00:00 AM,99.395,4.727
71,06/12/20 06:15:00 AM,99.401,5.141
72,06/12/20 06:30:00 AM,99.401,5.655
73,06/12/20 06:45:00 AM,99.401,6.674
74,06/12/20 07:00:00 AM,99.398,7.381
