"Plot Title: 20005936_POKE_atmo"
"#","Date Time, GMT-08:00","Abs Pres, kPa (LGR S/N: 20005936, SEN S/N: 20005936, LBL: P)","Temp, °C (LGR S/N: 20005936, SEN S/N: 20005936, LBL: T)"
1,06/04/20 01:00:00 PM,98.654,22.046
2,06/04/20 01:15:00 PM,98.669,22.429
3,06/04/20 01:30:00 PM,98.653,22.621
4,06/04/20 01:45:00 PM,98.640,23.004
5,06/04/20 02:00:00 PM,98.627,22.812
6,06/04/20 02:15:00 PM,98.623,22.525
7,06/04/20 02:30:00 PM,98.614,23.196
8,06/04/20 02:45:00 PM,98.609,24.158
9,06/04/20 03:00:00 PM,98.598,26.000
10,06/04/20 03:15:00 PM,98.617,24.062
11,06/04/20 03:30:00 PM,98.588,24.641
12,06/04/20 03:45:00 PM,98.578,24.641
13,06/04/20 04:00:00 PM,98.576,22.525
14,06/04/20 04:15:00 PM,98.590,24.158
15,06/04/20 04:30:00 PM,98.583,27.567
16,06/04/20 04:45:00 PM,98.576,27.075
17,06/04/20 05:00:00 PM,98.569,24.641
18,06/04/20 05:15:00 PM,98.562,24.158
19,06/04/20 05:30:00 PM,98.562,24.835
20,06/04/20 05:45:00 PM,98.555,26.977
21,06/04/20 06:00:00 PM,98.563,26.195
22,06/04/20 06:15:00 PM,98.545,23.004
23,06/04/20 06:30:00 PM,98.550,24.641
24,06/04/20 06:45:00 PM,98.526,25.610
25,06/04/20 07:00:00 PM,98.556,25.708
26,06/04/20 07:15:00 PM,98.545,26.292
27,06/04/20 07:30:00 PM,98.552,25.416
28,06/04/20 07:45:00 PM,98.570,22.812
29,06/04/20 08:00:00 PM,98.578,22.046
30,06/04/20 08:15:00 PM,98.569,22.717
31,06/04/20 08:30:00 PM,98.563,24.255
32,06/04/20 08:45:00 PM,98.576,25.805
33,06/04/20 09:00:00 PM,98.574,27.567
34,06/04/20 09:15:00 PM,98.575,25.708
35,06/04/20 09:30:00 PM,98.577,22.621
36,06/04/20 09:45:00 PM,98.575,21.855
37,06/04/20 10:00:00 PM,98.589,18.901
38,06/04/20 10:15:00 PM,98.598,16.237
39,06/04/20 10:30:00 PM,98.633,14.134
40,06/04/20 10:45:00 PM,98.637,13.076
41,06/04/20 11:00:00 PM,98.645,12.304
42,06/04/20 11:15:00 PM,98.651,11.431
43,06/04/20 11:30:00 PM,98.664,11.041
44,06/04/20 11:45:00 PM,98.671,10.846
45,06/05/20 12:00:00 AM,98.673,10.357
46,06/05/20 12:15:00 AM,98.699,8.879
47,06/05/20 12:30:00 AM,98.719,7.682
48,06/05/20 12:45:00 AM,98.730,6.471
49,06/05/20 01:00:00 AM,98.746,5.655
50,06/05/20 01:15:00 AM,98.749,4.519
51,06/05/20 01:30:00 AM,98.763,4.207
52,06/05/20 01:45:00 AM,98.776,3.788
53,06/05/20 02:00:00 AM,98.792,2.943
54,06/05/20 02:15:00 AM,98.789,2.730
55,06/05/20 02:30:00 AM,98.811,2.303
56,06/05/20 02:45:00 AM,98.828,1.548
57,06/05/20 03:00:00 AM,98.815,1.330
58,06/05/20 03:15:00 AM,98.826,0.784
59,06/05/20 03:30:00 AM,98.822,0.453
60,06/05/20 03:45:00 AM,98.831,0.453
61,06/05/20 04:00:00 AM,98.843,0.010
62,06/05/20 04:15:00 AM,98.861,-0.102
63,06/05/20 04:30:00 AM,98.850,-0.213
64,06/05/20 04:45:00 AM,98.844,0.674
