"Plot Title: 20574421_MOOS_atmo"
"#","Date Time, GMT-08:00","Abs Pres, kPa (LGR S/N: 20574421, SEN S/N: 20574421)","Temp, °C (LGR S/N: 20574421, SEN S/N: 20574421)"
1,06/10/20 03:00:00 PM,98.805,25.513
2,06/10/20 03:15:00 PM,98.788,25.319
3,06/10/20 03:30:00 PM,98.781,25.125
4,06/10/20 03:45:00 PM,98.767,24.255
5,06/10/20 04:00:00 PM,98.765,23.004
6,06/10/20 04:15:00 PM,98.749,22.142
7,06/10/20 04:30:00 PM,98.743,22.238
8,06/10/20 04:45:00 PM,98.720,23.292
9,06/10/20 05:00:00 PM,98.715,23.869
10,06/10/20 05:15:00 PM,98.717,24.158
11,06/10/20 05:30:00 PM,98.711,24.255
12,06/10/20 05:45:00 PM,98.715,24.351
13,06/10/20 06:00:00 PM,98.696,24.351
14,06/10/20 06:15:00 PM,98.696,24.351
15,06/10/20 06:30:00 PM,98.694,24.062
16,06/10/20 06:45:00 PM,98.698,24.158
17,06/10/20 07:00:00 PM,98.707,24.158
18,06/10/20 07:15:00 PM,98.703,24.062
19,06/10/20 07:30:00 PM,98.715,23.869
20,06/10/20 07:45:00 PM,98.709,23.966
21,06/10/20 08:00:00 PM,98.696,23.869
22,06/10/20 08:15:00 PM,98.692,23.773
23,06/10/20 08:30:00 PM,98.702,23.773
24,06/10/20 08:45:00 PM,98.713,23.581
25,06/10/20 09:00:00 PM,98.713,23.581
26,06/10/20 09:15:00 PM,98.720,23.292
27,06/10/20 09:30:00 PM,98.741,23.100
28,06/10/20 09:45:00 PM,98.774,23.004
29,06/10/20 10:00:00 PM,98.794,22.333
30,06/10/20 10:15:00 PM,98.856,21.569
31,06/10/20 10:30:00 PM,98.927,20.615
32,06/10/20 10:45:00 PM,98.937,19.567
33,06/10/20 11:00:00 PM,98.939,18.996
34,06/10/20 11:15:00 PM,98.963,18.521
35,06/10/20 11:30:00 PM,98.997,18.236
36,06/10/20 11:45:00 PM,98.998,17.475
37,06/11/20 12:00:00 AM,99.026,16.523
38,06/11/20 12:15:00 AM,99.034,15.760
39,06/11/20 12:30:00 AM,99.030,15.664
40,06/11/20 12:45:00 AM,99.071,15.569
41,06/11/20 01:00:00 AM,99.104,15.473
42,06/11/20 01:15:00 AM,99.146,15.378
43,06/11/20 01:30:00 AM,99.192,15.187
44,06/11/20 01:45:00 AM,99.196,15.091
45,06/11/20 02:00:00 AM,99.214,14.900
46,06/11/20 02:15:00 AM,99.227,14.613
47,06/11/20 02:30:00 AM,99.235,14.230
48,06/11/20 02:45:00 AM,99.238,13.750
49,06/11/20 03:00:00 AM,99.204,13.654
50,06/11/20 03:15:00 AM,99.231,13.461
51,06/11/20 03:30:00 AM,99.268,12.594
52,06/11/20 03:45:00 AM,99.288,11.625
53,06/11/20 04:00:00 AM,99.299,10.846
54,06/11/20 04:15:00 AM,99.311,10.259
55,06/11/20 04:30:00 AM,99.328,9.768
56,06/11/20 04:45:00 AM,99.332,9.669
57,06/11/20 05:00:00 AM,99.369,9.669
58,06/11/20 05:15:00 AM,99.381,9.866
