"Plot Title: 20574425_VAUL_atmo"
"#","Date Time, GMT-08:00","Abs Pres, kPa (LGR S/N: 20574425, SEN S/N: 20574425)","Temp, °C (LGR S/N: 20574425, SEN S/N: 20574425)","Coupler Detached (LGR S/N: 20574425)","Coupler Attached (LGR S/N: 20574425)","Host Connected (LGR S/N: 20574425)","Stopped (LGR S/N: 20574425)","End Of File (LGR S/N: 20574425)"
1,05/10/21 05:00:00 PM,99.026,15.569,Logged,,,,
2,05/10/21 05:15:00 PM,99.003,15.855,,,,,
3,05/10/21 05:30:00 PM,98.992,15.855,,,,,
4,05/10/21 05:45:00 PM,98.985,16.523,,,,,
5,05/10/21 06:00:00 PM,98.992,15.855,,,,,
6,05/10/21 06:15:00 PM,98.994,15.282,,,,,
7,05/10/21 06:30:00 PM,98.988,14.613,,,,,
8,05/10/21 06:45:00 PM,98.995,14.134,,,,,
9,05/10/21 07:00:00 PM,99.005,13.558,,,,,
10,05/10/21 07:15:00 PM,99.015,13.269,,,,,
11,05/10/21 07:30:00 PM,98.992,12.980,,,,,
12,05/10/21 07:45:00 PM,98.994,12.594,,,,,
13,05/10/21 08:00:00 PM,98.993,12.304,,,,,
14,05/10/21 08:15:00 PM,98.994,11.916,,,,,
15,05/10/21 08:30:00 PM,98.981,11.625,,,,,
16,05/10/21 08:45:00 PM,98.981,11.236,,,,,
17,05/10/21 09:00:00 PM,98.978,10.944,,,,,
18,05/10/21 09:15:00 PM,99.012,10.063,,,,,
19,05/10/21 09:30:00 PM,99.021,9.176,,,,,
20,05/10/21 09:45:00 PM,99.036,8.382,,,,,
21,05/10/21 10:00:00 PM,99.048,7.682,,,,,
22,05/10/21 10:15:00 PM,99.059,6.877,,,,,
23,05/10/21 10:30:00 PM,99.079,6.064,,,,,
24,05/10/21 10:45:00 PM,99.065,5.141,,,,,
25,05/10/21 11:00:00 PM,99.091,4.311,,,,,
26,05/10/21 11:15:00 PM,99.103,3.683,,,,,
27,05/10/21 11:30:00 PM,99.102,3.049,,,,,
28,05/10/21 11:45:00 PM,99.110,2.303,,,,,
29,05/11/21 12:00:00 AM,99.116,1.548,,,,,
30,05/11/21 12:15:00 AM,99.123,1.112,,,,,
31,05/11/21 12:30:00 AM,99.108,0.674,,,,,
32,05/11/21 12:45:00 AM,99.114,0.343,,,,,
33,05/11/21 01:00:00 AM,99.122,0.121,,,,,
34,05/11/21 01:15:00 AM,99.126,-0.325,,,,,
35,05/11/21 01:30:00 AM,99.125,-0.437,,,,,
36,05/11/21 01:45:00 AM,99.110,-0.662,,,,,
37,05/11/21 02:00:00 AM,99.117,-0.887,,,,,
38,05/11/21 02:15:00 AM,99.113,-1.114,,,,,
39,05/11/21 02:30:00 AM,99.100,-1.228,,,,,
40,05/11/21 02:45:00 AM,99.108,-1.341,,,,,
41,05/11/21 03:00:00 AM,99.082,-1.570,,,,,
42,05/11/21 03:15:00 AM,99.090,-1.684,,,,,
43,05/11/21 03:30:00 AM,99.088,-1.799,,,,,
44,05/11/21 03:45:00 AM,99.085,-1.914,,,,,
45,05/11/21 04:00:00 AM,99.083,-2.030,,,,,
46,05/11/21 04:15:00 AM,99.091,-2.145,,,,,
47,05/11/21 04:30:00 AM,99.077,-2.261,,,,,
48,05/11/21 04:45:00 AM,99.099,-2.261,,,,,
49,05/11/21 05:00:00 AM,99.091,-2.145,,,,,
50,05/11/21 05:15:00 AM,99.093,-2.030,,,,,
51,05/11/21 05:30:00 AM,99.096,-1.914,,,,,
52,05/11/21 05:45:00 AM,99.120,-1.799,,,,,
53,05/11/21 06:00:00 AM,99.080,-1.684,,,,,
54,05/11/21 06:15:00 AM,99.087,-1.341,,,,,
55,05/11/21 06:30:00 AM,99.063,-0.887,,,,,
56,05/11/21 06:45:00 AM,99.073,-0.325,,,,,
57,05/11/21 07:00:00 AM,99.061,0.343,,,,,
58,05/11/21 07:15:00 AM,99.026,1.003,,,,,
59,05/11/21 07:30:00 AM,99.035,2.195,,,,,
60,05/11/21 07:45:00 AM,98.950,4.623,,,,,
61,05/11/21 08:00:00 AM,98.911,9.275,,,,,
62,05/11/21 08:15:00 AM,98.947,9.077,,,,,
63,05/11/21 08:30:00 AM,98.963,9.373,,,,,
64,05/11/21 08:45:00 AM,98.950,9.472,,,,,
65,05/11/21 09:00:00 AM,98.941,9.866,,,,,
66,05/11/21 09:15:00 AM,98.930,9.866,,,,,
67,05/11/21 09:30:00 AM,98.919,9.866,,,,,
68,05/11/21 09:45:00 AM,98.910,10.259,,,,,
69,05/11/21 10:00:00 AM,98.873,10.455,,,,,
70,05/11/21 10:15:00 AM,98.860,11.334,,,,,
71,05/11/21 10:30:00 AM,98.832,11.916,,,,,
72,05/11/21 10:45:00 AM,98.754,14.517,,,,,
73,05/11/21 11:00:00 AM,98.780,16.523,,,,,
74,05/11/21 11:15:00 AM,98.785,16.903,,,,,
75,05/11/21 11:30:00 AM,98.789,16.808,,,,,
76,05/11/21 11:45:00 AM,98.765,17.570,,,,,
77,05/11/21 12:00:00 PM,98.785,16.903,,,,,
78,05/11/21 12:15:00 PM,98.742,17.379,,,,,
79,05/11/21 12:30:00 PM,98.754,18.045,,,,,
80,05/11/21 12:45:00 PM,98.749,18.806,,,,,
81,05/11/21 01:00:00 PM,98.748,18.616,,,,,
82,05/11/21 01:15:00 PM,98.711,19.567,,,,,
83,05/11/21 01:30:00 PM,98.734,18.901,,,,,
84,05/11/21 01:45:00 PM,98.705,18.616,,,,,
85,05/11/21 02:00:00 PM,98.713,19.092,,,,,
86,05/11/21 02:15:00 PM,98.711,18.045,,,,,
87,05/11/21 02:30:00 PM,98.733,19.758,,,,,
88,05/11/21 02:45:00 PM,98.744,19.758,,,,,
89,05/11/21 03:00:00 PM,98.726,17.950,,,,,
90,05/11/21 03:15:00 PM,98.737,20.710,,,,,
91,05/11/21 03:30:00 PM,98.746,20.138,,,,,
92,05/11/21 03:45:00 PM,98.756,18.236,,,,,
93,05/11/21 04:00:00 PM,98.707,17.665,,,,,
94,05/11/21 04:15:00 PM,98.736,18.426,,,,,
95,05/11/21 04:30:00 PM,98.730,17.855,,,,,
96,05/11/21 04:45:00 PM,98.746,16.808,,,,,
97,05/11/21 05:00:00 PM,98.730,16.427,,,,,
98,05/11/21 05:15:00 PM,98.735,16.332,,,,,
99,05/11/21 05:30:00 PM,98.732,16.141,,,,,
100,05/11/21 05:45:00 PM,98.739,16.237,,,,,
101,05/11/21 06:00:00 PM,98.747,16.046,,,,,
102,05/11/21 06:15:00 PM,98.752,15.664,,,,,
103,05/11/21 06:30:00 PM,98.761,15.187,,,,,
104,05/11/21 06:45:00 PM,98.801,14.709,,,,,
105,05/11/21 07:00:00 PM,98.808,13.942,,,,,
106,05/11/21 07:15:00 PM,98.829,13.654,,,,,
107,05/11/21 07:30:00 PM,98.850,13.365,,,,,
108,05/11/21 07:45:00 PM,98.881,13.076,,,,,
109,05/11/21 08:00:00 PM,98.905,12.690,,,,,
110,05/11/21 08:15:00 PM,98.934,12.110,,,,,
111,05/11/21 08:30:00 PM,98.957,11.722,,,,,
112,05/11/21 08:45:00 PM,98.973,11.528,,,,,
113,05/11/21 09:00:00 PM,98.984,11.528,,,,,
114,05/11/21 09:15:00 PM,99.005,11.139,,,,,
115,05/11/21 09:30:00 PM,98.999,10.553,,,,,
116,05/11/21 09:45:00 PM,99.033,10.063,,,,,
117,05/11/21 10:00:00 PM,99.087,9.077,,,,,
118,05/11/21 10:15:00 PM,99.101,8.382,,,,,
119,05/11/21 10:30:00 PM,99.129,7.280,,,,,
120,05/11/21 10:45:00 PM,99.151,6.370,,,,,
121,05/11/21 11:00:00 PM,99.192,5.450,,,,,
122,05/11/21 11:15:00 PM,99.208,4.415,,,,,
123,05/11/21 11:30:00 PM,99.242,3.472,,,,,
124,05/11/21 11:45:00 PM,99.304,2.517,,,,,
125,05/12/21 12:00:00 AM,99.311,1.764,,,,,
126,05/12/21 12:15:00 AM,99.329,1.330,,,,,
127,05/12/21 12:30:00 AM,99.335,0.893,,,,,
128,05/12/21 12:45:00 AM,99.353,0.563,,,,,
129,05/12/21 01:00:00 AM,99.370,0.232,,,,,
130,05/12/21 01:15:00 AM,99.369,0.121,,,,,
131,05/12/21 01:30:00 AM,99.388,0.010,,,,,
132,05/12/21 01:45:00 AM,99.407,-0.213,,,,,
133,05/12/21 02:00:00 AM,99.426,-0.325,,,,,
134,05/12/21 02:15:00 AM,99.433,-0.549,,,,,
135,05/12/21 02:30:00 AM,99.440,-0.774,,,,,
136,05/12/21 02:45:00 AM,99.453,-0.662,,,,,
137,05/12/21 03:00:00 AM,99.453,-0.662,,,,,
138,05/12/21 03:15:00 AM,99.455,-0.549,,,,,
139,05/12/21 03:30:00 AM,99.467,-0.437,,,,,
140,05/12/21 03:45:00 AM,99.465,-0.549,,,,,
141,05/12/21 04:00:00 AM,99.469,-0.325,,,,,
142,05/12/21 04:15:00 AM,99.482,-0.213,,,,,
143,05/12/21 04:30:00 AM,99.506,0.010,,,,,
144,05/12/21 04:45:00 AM,99.496,0.010,,,,,
145,05/12/21 05:00:00 AM,99.509,0.232,,,,,
146,05/12/21 05:15:00 AM,99.509,0.232,,,,,
147,05/12/21 05:30:00 AM,99.532,0.343,,,,,
148,05/12/21 05:45:00 AM,99.535,0.563,,,,,
149,05/12/21 06:00:00 AM,99.527,0.784,,,,,
150,05/12/21 06:15:00 AM,99.540,1.003,,,,,
151,05/12/21 06:30:00 AM,99.566,1.439,,,,,
152,05/12/21 06:45:00 AM,99.558,1.872,,,,,
153,05/12/21 07:00:00 AM,99.583,2.410,,,,,
154,05/12/21 07:15:00 AM,99.574,3.049,,,,,
155,05/12/21 07:30:00 AM,99.564,3.788,,,,,
