Site Name ,STRT
Site Number ,125
Logger ,Integrating Light Sensor
Logger Serial Number ,11618


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,05/05/2022 , 15:12:10,1,1
2,05/05/2022 , 15:27:10,0,0
3,05/05/2022 , 15:42:10,0,0
4,05/05/2022 , 15:57:10,0,0
5,05/05/2022 , 16:12:10,0,0
6,05/05/2022 , 16:27:10,0,0
7,05/05/2022 , 16:42:10,0,0
8,05/05/2022 , 16:57:10,0,0
9,05/05/2022 , 17:12:10,0,0
10,05/05/2022 , 17:27:10,0,0
11,05/05/2022 , 17:42:10,0,0
12,05/05/2022 , 17:57:10,0,0
13,05/05/2022 , 18:12:10,0,0
14,05/05/2022 , 18:27:10,0,0
15,05/05/2022 , 18:42:10,0,0
16,05/05/2022 , 18:57:10,0,0
17,05/05/2022 , 19:12:10,0,0
18,05/05/2022 , 19:27:10,0,0
19,05/05/2022 , 19:42:10,0,0
20,05/05/2022 , 19:57:10,0,0
21,05/05/2022 , 20:12:10,0,0
22,05/05/2022 , 20:27:10,0,0
23,05/05/2022 , 20:42:10,0,0
24,05/05/2022 , 20:57:10,0,0
25,05/05/2022 , 21:12:10,0,0
26,05/05/2022 , 21:27:10,0,0
27,05/05/2022 , 21:42:10,0,0
28,05/05/2022 , 21:57:10,0,0
29,05/05/2022 , 22:12:10,0,0
30,05/05/2022 , 22:27:10,0,0
31,05/05/2022 , 22:42:10,0,0
32,05/05/2022 , 22:57:10,0,0
33,05/05/2022 , 23:12:10,0,0
34,05/05/2022 , 23:27:10,0,0
35,05/05/2022 , 23:42:10,0,0
36,05/05/2022 , 23:57:10,0,0
37,06/05/2022 , 00:12:10,0,0
38,06/05/2022 , 00:27:10,0,0
39,06/05/2022 , 00:42:10,0,0
40,06/05/2022 , 00:57:10,0,0
41,06/05/2022 , 01:12:10,0,0
42,06/05/2022 , 01:27:10,0,0
43,06/05/2022 , 01:42:10,0,0
44,06/05/2022 , 01:57:10,0,0
45,06/05/2022 , 02:12:10,0,0
46,06/05/2022 , 02:27:10,0,0
47,06/05/2022 , 02:42:10,0,0
48,06/05/2022 , 02:57:10,0,0
49,06/05/2022 , 03:12:10,0,0
50,06/05/2022 , 03:27:10,0,0
51,06/05/2022 , 03:42:10,0,0
52,06/05/2022 , 03:57:10,0,0
53,06/05/2022 , 04:12:10,0,0
54,06/05/2022 , 04:27:10,0,0
55,06/05/2022 , 04:42:10,0,0
56,06/05/2022 , 04:57:10,0,0
57,06/05/2022 , 05:12:10,0,0
58,06/05/2022 , 05:27:10,0,0
59,06/05/2022 , 05:42:10,0,0
60,06/05/2022 , 05:57:10,0,0
61,06/05/2022 , 06:12:10,0,0
62,06/05/2022 , 06:27:10,0,0
63,06/05/2022 , 06:42:10,0,0
64,06/05/2022 , 06:57:10,0,0
65,06/05/2022 , 07:12:10,0,0
66,06/05/2022 , 07:27:10,0,0
67,06/05/2022 , 07:42:10,0,0
68,06/05/2022 , 07:57:10,0,0
69,06/05/2022 , 08:12:10,0,0
70,06/05/2022 , 08:27:10,0,0
71,06/05/2022 , 08:42:10,0,0
72,06/05/2022 , 08:57:10,0,0
73,06/05/2022 , 09:12:10,0,0
74,06/05/2022 , 09:27:10,0,0
75,06/05/2022 , 09:42:10,0,0
76,06/05/2022 , 09:57:10,0,0
77,06/05/2022 , 10:12:10,0,0
78,06/05/2022 , 10:27:10,0,0
79,06/05/2022 , 10:42:10,0,0
80,06/05/2022 , 10:57:10,0,0
81,06/05/2022 , 11:12:10,0,0
82,06/05/2022 , 11:27:10,0,0
83,06/05/2022 , 11:42:10,0,0
84,06/05/2022 , 11:57:10,0,0
85,06/05/2022 , 12:12:10,0,0
86,06/05/2022 , 12:27:10,0,0
87,06/05/2022 , 12:42:10,0,0
88,06/05/2022 , 12:57:10,0,0
89,06/05/2022 , 13:12:10,0,0
90,06/05/2022 , 13:27:10,0,0
91,06/05/2022 , 13:42:10,0,0
92,06/05/2022 , 13:57:10,0,0
93,06/05/2022 , 14:12:10,0,0
94,06/05/2022 , 14:27:10,0,0
95,06/05/2022 , 14:42:10,0,0
96,06/05/2022 , 14:57:10,0,0
97,06/05/2022 , 15:12:10,0,0
98,06/05/2022 , 15:27:10,0,0
99,06/05/2022 , 15:42:10,0,0
100,06/05/2022 , 15:57:10,0,0
101,06/05/2022 , 16:12:10,0,0
102,06/05/2022 , 16:27:10,0,0
103,06/05/2022 , 16:42:10,0,0
104,06/05/2022 , 16:57:10,0,0
105,06/05/2022 , 17:12:10,0,0
106,06/05/2022 , 17:27:10,0,0
107,06/05/2022 , 17:42:10,0,0
108,06/05/2022 , 17:57:10,0,0
109,06/05/2022 , 18:12:10,0,0
110,06/05/2022 , 18:27:10,0,0
111,06/05/2022 , 18:42:10,0,0
112,06/05/2022 , 18:57:10,0,0
