Site Name ,AZ1
Site Number ,123
Logger ,Integrating Light Sensor
Logger Serial Number ,6365


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,13/06/2022 , 14:45:00,2031,2031
2,13/06/2022 , 15:00:00,9512,9512
3,13/06/2022 , 15:15:00,2804,2804
4,13/06/2022 , 15:30:00,3494,3494
5,13/06/2022 , 15:45:00,1698,1698
6,13/06/2022 , 16:00:00,2364,2364
7,13/06/2022 , 16:15:00,2311,2311
8,13/06/2022 , 16:30:00,2930,2930
9,13/06/2022 , 16:45:00,2754,2754
10,13/06/2022 , 17:00:00,2694,2694
11,13/06/2022 , 17:15:00,2295,2295
12,13/06/2022 , 17:30:00,2528,2528
13,13/06/2022 , 17:45:00,2926,2926
14,13/06/2022 , 18:00:00,2984,2984
15,13/06/2022 , 18:15:00,2249,2249
16,13/06/2022 , 18:30:00,2380,2380
17,13/06/2022 , 18:45:00,2102,2102
18,13/06/2022 , 19:00:00,1443,1443
19,13/06/2022 , 19:15:00,1302,1302
20,13/06/2022 , 19:30:00,1326,1326
21,13/06/2022 , 19:45:00,841,841
22,13/06/2022 , 20:00:00,429,429
23,13/06/2022 , 20:15:00,342,342
24,13/06/2022 , 20:30:00,381,381
25,13/06/2022 , 20:45:00,365,365
26,13/06/2022 , 21:00:00,361,361
27,13/06/2022 , 21:15:00,411,411
28,13/06/2022 , 21:30:00,385,385
29,13/06/2022 , 21:45:00,385,385
30,13/06/2022 , 22:00:00,340,340
31,13/06/2022 , 22:15:00,289,289
32,13/06/2022 , 22:30:00,247,247
33,13/06/2022 , 22:45:00,203,203
34,13/06/2022 , 23:00:00,176,176
35,13/06/2022 , 23:15:00,140,140
36,13/06/2022 , 23:30:00,108,108
37,13/06/2022 , 23:45:00,76,76
38,13/06/2022 , 24:00:00,50,50
39,14/06/2022 , 00:15:00,34,34
40,14/06/2022 , 00:30:00,26,26
41,14/06/2022 , 00:45:00,20,20
42,14/06/2022 , 01:00:00,15,15
43,14/06/2022 , 01:15:00,12,12
44,14/06/2022 , 01:30:00,9,9
45,14/06/2022 , 01:45:00,10,10
46,14/06/2022 , 02:00:00,10,10
47,14/06/2022 , 02:15:00,11,11
48,14/06/2022 , 02:30:00,14,14
49,14/06/2022 , 02:45:00,16,16
50,14/06/2022 , 03:00:00,18,18
51,14/06/2022 , 03:15:00,23,23
52,14/06/2022 , 03:30:00,31,31
53,14/06/2022 , 03:45:00,45,45
54,14/06/2022 , 04:00:00,69,69
55,14/06/2022 , 04:15:00,96,96
56,14/06/2022 , 04:30:00,126,126
57,14/06/2022 , 04:45:00,167,167
58,14/06/2022 , 05:00:00,194,194
59,14/06/2022 , 05:15:00,180,180
60,14/06/2022 , 05:30:00,188,188
61,14/06/2022 , 05:45:00,224,224
62,14/06/2022 , 06:00:00,289,289
63,14/06/2022 , 06:15:00,342,342
64,14/06/2022 , 06:30:00,377,377
65,14/06/2022 , 06:45:00,454,454
66,14/06/2022 , 07:00:00,532,532
67,14/06/2022 , 07:15:00,730,730
68,14/06/2022 , 07:30:00,1010,1010
69,14/06/2022 , 07:45:00,1121,1121
70,14/06/2022 , 08:00:00,1421,1421
71,14/06/2022 , 08:15:00,1389,1389
72,14/06/2022 , 08:30:00,1463,1463
73,14/06/2022 , 08:45:00,1718,1718
74,14/06/2022 , 09:00:00,2651,2651
75,14/06/2022 , 09:15:00,2850,2850
76,14/06/2022 , 09:30:00,2501,2501
77,14/06/2022 , 09:45:00,2585,2585
78,14/06/2022 , 10:00:00,2268,2268
79,14/06/2022 , 10:15:00,1942,1942
80,14/06/2022 , 10:30:00,2049,2049
81,14/06/2022 , 10:45:00,2206,2206
82,14/06/2022 , 11:00:00,2502,2502
83,14/06/2022 , 11:15:00,3012,3012
84,14/06/2022 , 11:30:00,2857,2857
85,14/06/2022 , 11:45:00,2997,2997
86,14/06/2022 , 12:00:00,3047,3047
87,14/06/2022 , 12:15:00,3591,3591
88,14/06/2022 , 12:30:00,3741,3741
89,14/06/2022 , 12:45:00,3705,3705
90,14/06/2022 , 13:00:00,3491,3491
91,14/06/2022 , 13:15:00,3720,3720
92,14/06/2022 , 13:30:00,3724,3724
93,14/06/2022 , 13:45:00,3587,3587
94,14/06/2022 , 14:00:00,3594,3594
95,14/06/2022 , 14:15:00,3695,3695
96,14/06/2022 , 14:30:00,3870,3870
97,14/06/2022 , 14:45:00,5012,5012
98,14/06/2022 , 15:00:00,11150,11150
99,14/06/2022 , 15:15:00,14386,14386
100,14/06/2022 , 15:30:00,16172,16172
101,14/06/2022 , 15:45:00,5275,5275
102,14/06/2022 , 16:00:00,3562,3562
103,14/06/2022 , 16:15:00,3140,3140
104,14/06/2022 , 16:30:00,3002,3002
105,14/06/2022 , 16:45:00,2929,2929
106,14/06/2022 , 17:00:00,2895,2895
