Site Name ,POKE
Site Number ,125
Logger ,Integrating Light Sensor
Logger Serial Number ,11619


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,06/06/2022 , 17:00:00,34729,34729
2,06/06/2022 , 17:15:00,33753,33753
3,06/06/2022 , 17:30:00,32658,32658
4,06/06/2022 , 17:45:00,31577,31577
5,06/06/2022 , 18:00:00,30447,30447
6,06/06/2022 , 18:15:00,29212,29212
7,06/06/2022 , 18:30:00,27964,27964
8,06/06/2022 , 18:45:00,26696,26696
9,06/06/2022 , 19:00:00,25349,25349
10,06/06/2022 , 19:15:00,23960,23960
11,06/06/2022 , 19:30:00,22552,22552
12,06/06/2022 , 19:45:00,21095,21095
13,06/06/2022 , 20:00:00,19617,19617
14,06/06/2022 , 20:15:00,18148,18148
15,06/06/2022 , 20:30:00,16625,16625
16,06/06/2022 , 20:45:00,14715,14715
17,06/06/2022 , 21:00:00,10764,10764
18,06/06/2022 , 21:15:00,11032,11032
19,06/06/2022 , 21:30:00,8377,8377
20,06/06/2022 , 21:45:00,7000,7000
21,06/06/2022 , 22:00:00,4213,4213
22,06/06/2022 , 22:15:00,2589,2589
23,06/06/2022 , 22:30:00,1929,1929
24,06/06/2022 , 22:45:00,1646,1646
25,06/06/2022 , 23:00:00,1435,1435
26,06/06/2022 , 23:15:00,1211,1211
27,06/06/2022 , 23:30:00,993,993
28,06/06/2022 , 23:45:00,794,794
29,06/06/2022 , 24:00:00,623,623
30,07/06/2022 , 00:15:00,481,481
31,07/06/2022 , 00:30:00,368,368
32,07/06/2022 , 00:45:00,282,282
33,07/06/2022 , 01:00:00,222,222
34,07/06/2022 , 01:15:00,180,180
35,07/06/2022 , 01:30:00,156,156
36,07/06/2022 , 01:45:00,143,143
37,07/06/2022 , 02:00:00,141,141
38,07/06/2022 , 02:15:00,149,149
39,07/06/2022 , 02:30:00,170,170
40,07/06/2022 , 02:45:00,203,203
41,07/06/2022 , 03:00:00,253,253
42,07/06/2022 , 03:15:00,322,322
43,07/06/2022 , 03:30:00,421,421
44,07/06/2022 , 03:45:00,553,553
45,07/06/2022 , 04:00:00,708,708
46,07/06/2022 , 04:15:00,898,898
47,07/06/2022 , 04:30:00,1143,1143
48,07/06/2022 , 04:45:00,1556,1556
49,07/06/2022 , 05:00:00,1976,1976
50,07/06/2022 , 05:15:00,2522,2522
51,07/06/2022 , 05:30:00,3614,3614
52,07/06/2022 , 05:45:00,4022,4022
53,07/06/2022 , 06:00:00,5629,5629
54,07/06/2022 , 06:15:00,6906,6906
55,07/06/2022 , 06:30:00,8390,8390
56,07/06/2022 , 06:45:00,10149,10149
57,07/06/2022 , 07:00:00,12172,12172
58,07/06/2022 , 07:15:00,14311,14311
59,07/06/2022 , 07:30:00,16226,16226
60,07/06/2022 , 07:45:00,17756,17756
61,07/06/2022 , 08:00:00,19254,19254
62,07/06/2022 , 08:15:00,20773,20773
63,07/06/2022 , 08:30:00,22263,22263
64,07/06/2022 , 08:45:00,23741,23741
65,07/06/2022 , 09:00:00,25187,25187
66,07/06/2022 , 09:15:00,26592,26592
67,07/06/2022 , 09:30:00,27925,27925
68,07/06/2022 , 09:45:00,29267,29267
69,07/06/2022 , 10:00:00,30651,30651
70,07/06/2022 , 10:15:00,31885,31885
71,07/06/2022 , 10:30:00,32992,32992
72,07/06/2022 , 10:45:00,34030,34030
73,07/06/2022 , 11:00:00,35047,35047
74,07/06/2022 , 11:15:00,35986,35986
75,07/06/2022 , 11:30:00,36783,36783
76,07/06/2022 , 11:45:00,37562,37562
77,07/06/2022 , 12:00:00,38266,38266
78,07/06/2022 , 12:15:00,38885,38885
79,07/06/2022 , 12:30:00,39401,39401
80,07/06/2022 , 12:45:00,39820,39820
81,07/06/2022 , 13:00:00,40205,40205
82,07/06/2022 , 13:15:00,40502,40502
83,07/06/2022 , 13:30:00,40766,40766
84,07/06/2022 , 13:45:00,40904,40904
85,07/06/2022 , 14:00:00,40950,40950
86,07/06/2022 , 14:15:00,40888,40888
87,07/06/2022 , 14:30:00,40773,40773
88,07/06/2022 , 14:45:00,40572,40572
89,07/06/2022 , 15:00:00,40280,40280
90,07/06/2022 , 15:15:00,39821,39821
91,07/06/2022 , 15:30:00,39329,39329
92,07/06/2022 , 15:45:00,38838,38838
93,07/06/2022 , 16:00:00,38183,38183
94,07/06/2022 , 16:15:00,37437,37437
95,07/06/2022 , 16:30:00,36793,36793
96,07/06/2022 , 16:45:00,36009,36009
97,07/06/2022 , 17:00:00,35088,35088
98,07/06/2022 , 17:15:00,34046,34046
99,07/06/2022 , 17:30:00,32893,32893
100,07/06/2022 , 17:45:00,31789,31789
101,07/06/2022 , 18:00:00,30491,30491
102,07/06/2022 , 18:15:00,29383,29383
103,07/06/2022 , 18:30:00,28197,28197
104,07/06/2022 , 18:45:00,26955,26955
