Site Name ,FRCH
Site Number ,125
Logger ,Integrating Light Sensor
Logger Serial Number ,11615


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,02/08/2022 , 13:00:00,15351,15351
2,02/08/2022 , 13:15:00,19728,19728
3,02/08/2022 , 13:30:00,14686,14686
4,02/08/2022 , 13:45:00,8741,8741
5,02/08/2022 , 14:00:00,17827,17827
6,02/08/2022 , 14:15:00,20349,20349
7,02/08/2022 , 14:30:00,15530,15530
8,02/08/2022 , 14:45:00,9427,9427
9,02/08/2022 , 15:00:00,21765,21765
10,02/08/2022 , 15:15:00,20808,20808
11,02/08/2022 , 15:30:00,8971,8971
12,02/08/2022 , 15:45:00,13761,13761
13,02/08/2022 , 16:00:00,18469,18469
14,02/08/2022 , 16:15:00,17085,17085
15,02/08/2022 , 16:30:00,15878,15878
16,02/08/2022 , 16:45:00,6507,6507
17,02/08/2022 , 17:00:00,6208,6208
18,02/08/2022 , 17:15:00,5927,5927
19,02/08/2022 , 17:30:00,5983,5983
20,02/08/2022 , 17:45:00,6091,6091
21,02/08/2022 , 18:00:00,6390,6390
22,02/08/2022 , 18:15:00,8445,8445
23,02/08/2022 , 18:30:00,6553,6553
24,02/08/2022 , 18:45:00,3259,3259
25,02/08/2022 , 19:00:00,3283,3283
26,02/08/2022 , 19:15:00,4606,4606
27,02/08/2022 , 19:30:00,6298,6298
28,02/08/2022 , 19:45:00,5419,5419
29,02/08/2022 , 20:00:00,3788,3788
30,02/08/2022 , 20:15:00,2720,2720
31,02/08/2022 , 20:30:00,2958,2958
32,02/08/2022 , 20:45:00,1849,1849
33,02/08/2022 , 21:00:00,1700,1700
34,02/08/2022 , 21:15:00,1348,1348
35,02/08/2022 , 21:30:00,1142,1142
36,02/08/2022 , 21:45:00,906,906
37,02/08/2022 , 22:00:00,878,878
38,02/08/2022 , 22:15:00,620,620
39,02/08/2022 , 22:30:00,348,348
40,02/08/2022 , 22:45:00,186,186
41,02/08/2022 , 23:00:00,131,131
42,02/08/2022 , 23:15:00,66,66
43,02/08/2022 , 23:30:00,28,28
44,02/08/2022 , 23:45:00,12,12
45,02/08/2022 , 24:00:00,4,4
46,03/08/2022 , 00:15:00,1,1
47,03/08/2022 , 00:30:00,0,0
48,03/08/2022 , 00:45:00,0,0
49,03/08/2022 , 01:00:00,0,0
50,03/08/2022 , 01:15:00,0,0
51,03/08/2022 , 01:30:00,0,0
52,03/08/2022 , 01:45:00,0,0
53,03/08/2022 , 02:00:00,0,0
54,03/08/2022 , 02:15:00,0,0
55,03/08/2022 , 02:30:00,0,0
56,03/08/2022 , 02:45:00,0,0
57,03/08/2022 , 03:00:00,0,0
58,03/08/2022 , 03:15:00,0,0
59,03/08/2022 , 03:30:00,0,0
60,03/08/2022 , 03:45:00,0,0
61,03/08/2022 , 04:00:00,1,1
62,03/08/2022 , 04:15:00,6,6
63,03/08/2022 , 04:30:00,18,18
64,03/08/2022 , 04:45:00,42,42
65,03/08/2022 , 05:00:00,83,83
66,03/08/2022 , 05:15:00,151,151
67,03/08/2022 , 05:30:00,282,282
68,03/08/2022 , 05:45:00,476,476
69,03/08/2022 , 06:00:00,701,701
70,03/08/2022 , 06:15:00,936,936
71,03/08/2022 , 06:30:00,1292,1292
72,03/08/2022 , 06:45:00,1610,1610
73,03/08/2022 , 07:00:00,1908,1908
74,03/08/2022 , 07:15:00,2577,2577
75,03/08/2022 , 07:30:00,3272,3272
76,03/08/2022 , 07:45:00,3758,3758
77,03/08/2022 , 08:00:00,3917,3917
78,03/08/2022 , 08:15:00,2560,2560
79,03/08/2022 , 08:30:00,1751,1751
80,03/08/2022 , 08:45:00,1954,1954
81,03/08/2022 , 09:00:00,1934,1934
82,03/08/2022 , 09:15:00,1886,1886
83,03/08/2022 , 09:30:00,2389,2389
84,03/08/2022 , 09:45:00,4362,4362
85,03/08/2022 , 10:00:00,3429,3429
86,03/08/2022 , 10:15:00,3000,3000
87,03/08/2022 , 10:30:00,3387,3387
88,03/08/2022 , 10:45:00,5026,5026
89,03/08/2022 , 11:00:00,5039,5039
90,03/08/2022 , 11:15:00,6086,6086
91,03/08/2022 , 11:30:00,7376,7376
92,03/08/2022 , 11:45:00,4089,4089
93,03/08/2022 , 12:00:00,12035,12035
94,03/08/2022 , 12:15:00,3829,3829
95,03/08/2022 , 12:30:00,9609,9609
96,03/08/2022 , 12:45:00,23544,23544
97,03/08/2022 , 13:00:00,32013,32013
98,03/08/2022 , 13:15:00,27401,27401
99,03/08/2022 , 13:30:00,5023,5023
100,03/08/2022 , 13:45:00,11780,11780
101,03/08/2022 , 14:00:00,18870,18870
102,03/08/2022 , 14:15:00,33998,33998
103,03/08/2022 , 14:30:00,39169,39169
104,03/08/2022 , 14:45:00,23297,23297
105,03/08/2022 , 15:00:00,14655,14655
