Site Name ,VAUL
Site Number ,125
Logger ,Integrating Light Sensor
Logger Serial Number ,11616


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,01/08/2022 , 12:00:00,24113,24113
2,01/08/2022 , 12:15:00,25600,25600
3,01/08/2022 , 12:30:00,32128,32128
4,01/08/2022 , 12:45:00,28260,28260
5,01/08/2022 , 13:00:00,27910,27910
6,01/08/2022 , 13:15:00,30354,30354
7,01/08/2022 , 13:30:00,30677,30677
8,01/08/2022 , 13:45:00,18979,18979
9,01/08/2022 , 14:00:00,20595,20595
10,01/08/2022 , 14:15:00,19845,19845
11,01/08/2022 , 14:30:00,17164,17164
12,01/08/2022 , 14:45:00,10129,10129
13,01/08/2022 , 15:00:00,16087,16087
14,01/08/2022 , 15:15:00,17798,17798
15,01/08/2022 , 15:30:00,9614,9614
16,01/08/2022 , 15:45:00,5310,5310
17,01/08/2022 , 16:00:00,3970,3970
18,01/08/2022 , 16:15:00,4652,4652
19,01/08/2022 , 16:30:00,5176,5176
20,01/08/2022 , 16:45:00,6488,6488
21,01/08/2022 , 17:00:00,7445,7445
22,01/08/2022 , 17:15:00,5421,5421
23,01/08/2022 , 17:30:00,3062,3062
24,01/08/2022 , 17:45:00,2975,2975
25,01/08/2022 , 18:00:00,3817,3817
26,01/08/2022 , 18:15:00,5149,5149
27,01/08/2022 , 18:30:00,4881,4881
28,01/08/2022 , 18:45:00,4556,4556
29,01/08/2022 , 19:00:00,4263,4263
30,01/08/2022 , 19:15:00,3869,3869
31,01/08/2022 , 19:30:00,1114,1114
32,01/08/2022 , 19:45:00,425,425
33,01/08/2022 , 20:00:00,394,394
34,01/08/2022 , 20:15:00,356,356
35,01/08/2022 , 20:30:00,419,419
36,01/08/2022 , 20:45:00,420,420
37,01/08/2022 , 21:00:00,401,401
38,01/08/2022 , 21:15:00,357,357
39,01/08/2022 , 21:30:00,331,331
40,01/08/2022 , 21:45:00,298,298
41,01/08/2022 , 22:00:00,303,303
42,01/08/2022 , 22:15:00,289,289
43,01/08/2022 , 22:30:00,248,248
44,01/08/2022 , 22:45:00,169,169
45,01/08/2022 , 23:00:00,84,84
46,01/08/2022 , 23:15:00,56,56
47,01/08/2022 , 23:30:00,29,29
48,01/08/2022 , 23:45:00,9,9
49,01/08/2022 , 24:00:00,3,3
50,02/08/2022 , 00:15:00,0,0
51,02/08/2022 , 00:30:00,0,0
52,02/08/2022 , 00:45:00,0,0
53,02/08/2022 , 01:00:00,0,0
54,02/08/2022 , 01:15:00,0,0
55,02/08/2022 , 01:30:00,0,0
56,02/08/2022 , 01:45:00,0,0
57,02/08/2022 , 02:00:00,0,0
58,02/08/2022 , 02:15:00,0,0
59,02/08/2022 , 02:30:00,0,0
60,02/08/2022 , 02:45:00,0,0
61,02/08/2022 , 03:00:00,0,0
62,02/08/2022 , 03:15:00,0,0
63,02/08/2022 , 03:30:00,0,0
64,02/08/2022 , 03:45:00,0,0
65,02/08/2022 , 04:00:00,4,4
66,02/08/2022 , 04:15:00,10,10
67,02/08/2022 , 04:30:00,24,24
68,02/08/2022 , 04:45:00,48,48
69,02/08/2022 , 05:00:00,82,82
70,02/08/2022 , 05:15:00,154,154
71,02/08/2022 , 05:30:00,276,276
72,02/08/2022 , 05:45:00,515,515
73,02/08/2022 , 06:00:00,838,838
74,02/08/2022 , 06:15:00,1154,1154
75,02/08/2022 , 06:30:00,1813,1813
76,02/08/2022 , 06:45:00,1834,1834
77,02/08/2022 , 07:00:00,1957,1957
78,02/08/2022 , 07:15:00,1993,1993
79,02/08/2022 , 07:30:00,1970,1970
80,02/08/2022 , 07:45:00,2450,2450
81,02/08/2022 , 08:00:00,4382,4382
82,02/08/2022 , 08:15:00,4258,4258
83,02/08/2022 , 08:30:00,4314,4314
84,02/08/2022 , 08:45:00,5658,5658
85,02/08/2022 , 09:00:00,6573,6573
86,02/08/2022 , 09:15:00,6660,6660
87,02/08/2022 , 09:30:00,7406,7406
88,02/08/2022 , 09:45:00,7032,7032
89,02/08/2022 , 10:00:00,6361,6361
90,02/08/2022 , 10:15:00,8011,8011
91,02/08/2022 , 10:30:00,17427,17427
92,02/08/2022 , 10:45:00,8932,8932
93,02/08/2022 , 11:00:00,10359,10359
94,02/08/2022 , 11:15:00,14317,14317
95,02/08/2022 , 11:30:00,11633,11633
96,02/08/2022 , 11:45:00,15692,15692
97,02/08/2022 , 12:00:00,14564,14564
98,02/08/2022 , 12:15:00,16123,16123
99,02/08/2022 , 12:30:00,16675,16675
100,02/08/2022 , 12:45:00,15055,15055
101,02/08/2022 , 13:00:00,17548,17548
102,02/08/2022 , 13:15:00,19079,19079
103,02/08/2022 , 13:30:00,10260,10260
104,02/08/2022 , 13:45:00,7964,7964
105,02/08/2022 , 14:00:00,6737,6737
106,02/08/2022 , 14:15:00,6410,6410
