Site Name ,MOOS
Site Number ,125
Logger ,Integrating Light Sensor
Logger Serial Number ,11617


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,02/08/2022 , 16:30:00,2437,2437
2,02/08/2022 , 16:45:00,2067,2067
3,02/08/2022 , 17:00:00,1639,1639
4,02/08/2022 , 17:15:00,1350,1350
5,02/08/2022 , 17:30:00,1660,1660
6,02/08/2022 , 17:45:00,2263,2263
7,02/08/2022 , 18:00:00,1710,1710
8,02/08/2022 , 18:15:00,1758,1758
9,02/08/2022 , 18:30:00,2296,2296
10,02/08/2022 , 18:45:00,2201,2201
11,02/08/2022 , 19:00:00,2024,2024
12,02/08/2022 , 19:15:00,1328,1328
13,02/08/2022 , 19:30:00,1228,1228
14,02/08/2022 , 19:45:00,1143,1143
15,02/08/2022 , 20:00:00,996,996
16,02/08/2022 , 20:15:00,798,798
17,02/08/2022 , 20:30:00,657,657
18,02/08/2022 , 20:45:00,535,535
19,02/08/2022 , 21:00:00,622,622
20,02/08/2022 , 21:15:00,537,537
21,02/08/2022 , 21:30:00,456,456
22,02/08/2022 , 21:45:00,367,367
23,02/08/2022 , 22:00:00,284,284
24,02/08/2022 , 22:15:00,196,196
25,02/08/2022 , 22:30:00,117,117
26,02/08/2022 , 22:45:00,68,68
27,02/08/2022 , 23:00:00,46,46
28,02/08/2022 , 23:15:00,22,22
29,02/08/2022 , 23:30:00,9,9
30,02/08/2022 , 23:45:00,3,3
31,02/08/2022 , 24:00:00,0,0
32,03/08/2022 , 00:15:00,0,0
33,03/08/2022 , 00:30:00,0,0
34,03/08/2022 , 00:45:00,0,0
35,03/08/2022 , 01:00:00,0,0
36,03/08/2022 , 01:15:00,0,0
37,03/08/2022 , 01:30:00,0,0
38,03/08/2022 , 01:45:00,0,0
39,03/08/2022 , 02:00:00,0,0
40,03/08/2022 , 02:15:00,0,0
41,03/08/2022 , 02:30:00,0,0
42,03/08/2022 , 02:45:00,0,0
43,03/08/2022 , 03:00:00,0,0
44,03/08/2022 , 03:15:00,0,0
45,03/08/2022 , 03:30:00,0,0
46,03/08/2022 , 03:45:00,0,0
47,03/08/2022 , 04:00:00,0,0
48,03/08/2022 , 04:15:00,2,2
49,03/08/2022 , 04:30:00,7,7
50,03/08/2022 , 04:45:00,18,18
51,03/08/2022 , 05:00:00,37,37
52,03/08/2022 , 05:15:00,65,65
53,03/08/2022 , 05:30:00,129,129
54,03/08/2022 , 05:45:00,183,183
55,03/08/2022 , 06:00:00,225,225
56,03/08/2022 , 06:15:00,337,337
57,03/08/2022 , 06:30:00,433,433
58,03/08/2022 , 06:45:00,538,538
59,03/08/2022 , 07:00:00,800,800
60,03/08/2022 , 07:15:00,1091,1091
61,03/08/2022 , 07:30:00,1404,1404
62,03/08/2022 , 07:45:00,1849,1849
63,03/08/2022 , 08:00:00,1595,1595
64,03/08/2022 , 08:15:00,926,926
65,03/08/2022 , 08:30:00,805,805
66,03/08/2022 , 08:45:00,966,966
67,03/08/2022 , 09:00:00,1355,1355
68,03/08/2022 , 09:15:00,1502,1502
69,03/08/2022 , 09:30:00,1782,1782
70,03/08/2022 , 09:45:00,1676,1676
71,03/08/2022 , 10:00:00,1745,1745
72,03/08/2022 , 10:15:00,2361,2361
73,03/08/2022 , 10:30:00,3934,3934
74,03/08/2022 , 10:45:00,7867,7867
75,03/08/2022 , 11:00:00,16913,16913
76,03/08/2022 , 11:15:00,12892,12892
77,03/08/2022 , 11:30:00,10695,10695
78,03/08/2022 , 11:45:00,7324,7324
79,03/08/2022 , 12:00:00,23833,23833
80,03/08/2022 , 12:15:00,30911,30911
81,03/08/2022 , 12:30:00,32183,32183
82,03/08/2022 , 12:45:00,32675,32675
83,03/08/2022 , 13:00:00,32265,32265
84,03/08/2022 , 13:15:00,31813,31813
85,03/08/2022 , 13:30:00,17995,17995
86,03/08/2022 , 13:45:00,5149,5149
87,03/08/2022 , 14:00:00,4427,4427
88,03/08/2022 , 14:15:00,9360,9360
89,03/08/2022 , 14:30:00,5055,5055
90,03/08/2022 , 14:45:00,6944,6944
91,03/08/2022 , 15:00:00,6025,6025
92,03/08/2022 , 15:15:00,6231,6231
93,03/08/2022 , 15:30:00,5256,5256
94,03/08/2022 , 15:45:00,4724,4724
95,03/08/2022 , 16:00:00,5427,5427
96,03/08/2022 , 16:15:00,3171,3171
97,03/08/2022 , 16:30:00,2960,2960
98,03/08/2022 , 16:45:00,2137,2137
99,03/08/2022 , 17:00:00,1873,1873
100,03/08/2022 , 17:15:00,2158,2158
101,03/08/2022 , 17:30:00,1775,1775
102,03/08/2022 , 17:45:00,1771,1771
103,03/08/2022 , 18:00:00,2731,2731
104,03/08/2022 , 18:15:00,1343,1343
105,03/08/2022 , 18:30:00,1193,1193
106,03/08/2022 , 18:45:00,1153,1153
