Site Name ,AZ2
Site Number ,123
Logger ,Integrating Light Sensor
Logger Serial Number ,7922


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,08/08/2022 , 13:30:00,5493,5493
2,08/08/2022 , 13:45:00,16330,16330
3,08/08/2022 , 14:00:00,21979,21979
4,08/08/2022 , 14:15:00,5532,5532
5,08/08/2022 , 14:30:00,4973,4973
6,08/08/2022 , 14:45:00,6909,6909
7,08/08/2022 , 15:00:00,4870,4870
8,08/08/2022 , 15:15:00,5793,5793
9,08/08/2022 , 15:30:00,7745,7745
10,08/08/2022 , 15:45:00,6011,6011
11,08/08/2022 , 16:00:00,3219,3219
12,08/08/2022 , 16:15:00,4009,4009
13,08/08/2022 , 16:30:00,3312,3312
14,08/08/2022 , 16:45:00,2644,2644
15,08/08/2022 , 17:00:00,2185,2185
16,08/08/2022 , 17:15:00,2338,2338
17,08/08/2022 , 17:30:00,2762,2762
18,08/08/2022 , 17:45:00,2288,2288
19,08/08/2022 , 18:00:00,1287,1287
20,08/08/2022 , 18:15:00,798,798
21,08/08/2022 , 18:30:00,520,520
22,08/08/2022 , 18:45:00,436,436
23,08/08/2022 , 19:00:00,481,481
24,08/08/2022 , 19:15:00,826,826
25,08/08/2022 , 19:30:00,591,591
26,08/08/2022 , 19:45:00,240,240
27,08/08/2022 , 20:00:00,84,84
28,08/08/2022 , 20:15:00,157,157
29,08/08/2022 , 20:30:00,137,137
30,08/08/2022 , 20:45:00,125,125
31,08/08/2022 , 21:00:00,81,81
32,08/08/2022 , 21:15:00,73,73
33,08/08/2022 , 21:30:00,54,54
34,08/08/2022 , 21:45:00,38,38
35,08/08/2022 , 22:00:00,17,17
36,08/08/2022 , 22:15:00,36,36
37,08/08/2022 , 22:30:00,31,31
38,08/08/2022 , 22:45:00,18,18
39,08/08/2022 , 23:00:00,15,15
40,08/08/2022 , 23:15:00,4,4
41,08/08/2022 , 23:30:00,0,0
42,08/08/2022 , 23:45:00,0,0
43,08/08/2022 , 24:00:00,0,0
44,09/08/2022 , 00:15:00,0,0
45,09/08/2022 , 00:30:00,0,0
46,09/08/2022 , 00:45:00,0,0
47,09/08/2022 , 01:00:00,0,0
48,09/08/2022 , 01:15:00,0,0
49,09/08/2022 , 01:30:00,0,0
50,09/08/2022 , 01:45:00,0,0
51,09/08/2022 , 02:00:00,0,0
52,09/08/2022 , 02:15:00,0,0
53,09/08/2022 , 02:30:00,0,0
54,09/08/2022 , 02:45:00,0,0
55,09/08/2022 , 03:00:00,0,0
56,09/08/2022 , 03:15:00,0,0
57,09/08/2022 , 03:30:00,0,0
58,09/08/2022 , 03:45:00,0,0
59,09/08/2022 , 04:00:00,0,0
60,09/08/2022 , 04:15:00,0,0
61,09/08/2022 , 04:30:00,0,0
62,09/08/2022 , 04:45:00,0,0
63,09/08/2022 , 05:00:00,1,1
64,09/08/2022 , 05:15:00,5,5
65,09/08/2022 , 05:30:00,14,14
66,09/08/2022 , 05:45:00,25,25
67,09/08/2022 , 06:00:00,42,42
68,09/08/2022 , 06:15:00,63,63
69,09/08/2022 , 06:30:00,63,63
70,09/08/2022 , 06:45:00,91,91
71,09/08/2022 , 07:00:00,203,203
72,09/08/2022 , 07:15:00,109,109
73,09/08/2022 , 07:30:00,179,179
74,09/08/2022 , 07:45:00,290,290
75,09/08/2022 , 08:00:00,482,482
76,09/08/2022 , 08:15:00,837,837
77,09/08/2022 , 08:30:00,685,685
78,09/08/2022 , 08:45:00,711,711
79,09/08/2022 , 09:00:00,664,664
80,09/08/2022 , 09:15:00,889,889
81,09/08/2022 , 09:30:00,1086,1086
82,09/08/2022 , 09:45:00,838,838
83,09/08/2022 , 10:00:00,983,983
84,09/08/2022 , 10:15:00,2134,2134
85,09/08/2022 , 10:30:00,2090,2090
86,09/08/2022 , 10:45:00,2988,2988
87,09/08/2022 , 11:00:00,2243,2243
88,09/08/2022 , 11:15:00,3216,3216
89,09/08/2022 , 11:30:00,3142,3142
90,09/08/2022 , 11:45:00,3100,3100
91,09/08/2022 , 12:00:00,2757,2757
92,09/08/2022 , 12:15:00,1793,1793
93,09/08/2022 , 12:30:00,2814,2814
94,09/08/2022 , 12:45:00,2392,2392
95,09/08/2022 , 13:00:00,2712,2712
96,09/08/2022 , 13:15:00,3024,3024
97,09/08/2022 , 13:30:00,3483,3483
98,09/08/2022 , 13:45:00,10264,10264
99,09/08/2022 , 14:00:00,7710,7710
100,09/08/2022 , 14:15:00,11814,11814
101,09/08/2022 , 14:30:00,6952,6952
102,09/08/2022 , 14:45:00,2907,2907
103,09/08/2022 , 15:00:00,2961,2961
104,09/08/2022 , 15:15:00,1443,1443
105,09/08/2022 , 15:30:00,1476,1476
106,09/08/2022 , 15:45:00,1408,1408
107,09/08/2022 , 16:00:00,1444,1444
108,09/08/2022 , 16:15:00,2071,2071
