Sample_ID,Order,TDP_uM,Abs,,,Recovery,DateTime,Site,Year
RBL,DIL 1,0,0.0006,,,0,11/16/2022 16:11,,
RBL,DIL 1,0,-0.0001,,,0,11/16/2022 16:11,,
RBL,DIL 1,0,0.0001,,,0,11/16/2022 16:12,,
RBL,DIL 1,0,0.0004,,,0,11/16/2022 16:13,,
Calib.,DIL 1,0,0.0007,,,0,11/16/2022 16:14,,
Calib.,103,0.02,0.0009,,,0,11/16/2022 16:14,,
Calib.,104,0.1,0.0024,,,0,11/16/2022 16:15,,
Calib.,105,0.2,0.004,,,0,11/16/2022 16:15,,
Calib.,106,0.5,0.0097,,,0,11/16/2022 16:16,,
Calib.,107,1,0.0177,,,0,11/16/2022 16:16,,
Calib.,108,1.5,0.0274,,,0,11/16/2022 16:17,,
Calib.,ST 1,2,0.036,,,0,11/16/2022 16:17,,
BLNK,R 4,***,0.0005,0.002,"><,LL",***,11/16/2022 16:18,,
CP2,ST 3,***,0.0385,0.323,"><,LH",***,11/16/2022 16:19,,
CSRP,ST 2,0.38,0.0073,0.323,H,117.57,11/16/2022 16:20,,
EX QC 0.323 uM 1,1,0.346,0.0067,,,0,11/16/2022 16:20,,
EX QC 0.323 uM 1_Dup,1,0.335,0.0065,,,3.32,11/16/2022 16:21,,
B-P 0.324 uM P 1,2,0.391,0.0075,,,0,11/16/2022 16:21,,
B-P 0.324 uM P 1_Dup,2,0.363,0.007,,,7.49,11/16/2022 16:22,,
1845H,3,0.425,0.0081,,,0,11/16/2022 16:22,CRAW,2022
1845H_Dup,3,0.493,0.0093,,,-14.77,11/16/2022 16:23,CRAW,2022
346,4,0.335,0.0065,,,0,11/16/2022 16:24,CRAW,2022
346_Dup,4,0.363,0.007,,,-8.1,11/16/2022 16:24,CRAW,2022
103,5,0.476,0.009,,,0,11/16/2022 16:25,CRAW,2022
103_Dup,5,0.498,0.0094,,,-4.64,11/16/2022 16:26,CRAW,2022
1847H,6,0.504,0.0095,,,0,11/16/2022 16:26,CRAW,2022
1847H_Dup,6,0.453,0.0086,,,10.62,11/16/2022 16:27,CRAW,2022
1310H,7,0.408,0.0078,,,0,11/16/2022 16:27,CRAW,2022
1310H_Dup,7,0.385,0.0074,,,5.7,11/16/2022 16:28,CRAW,2022
1898H,8,0.617,0.0115,,,0,11/16/2022 16:28,CRAW,2022
1898H_Dup,8,0.594,0.0111,,,3.73,11/16/2022 16:29,CRAW,2022
596H,9,0.532,0.01,,,0,11/16/2022 16:30,CRAW,2022
596H_Dup,9,0.459,0.0087,,,14.82,11/16/2022 16:30,CRAW,2022
482H,10,0.329,0.0064,,,0,11/16/2022 16:31,CRAW,2022
