Sample Name,NPOC mg/L,TN mg/L,Site,Year,Dilution,Notes
blank,0.0624,0.02687,,,,
"EX QC 5 mg/L C, 2 mg/L N",5.213,0.9688,,,,
"EX QC 5 mg/L C, 2 mg/L N",5.032,0.9282,,,,
NH4 0.2 mg/L,0.1715,0.225,,,,
NH4 0.2 mg/L,0.1416,0.2213,,,,
Caffeine 4.99 mg/L C 2.8 mg/L N,5.089,3.062,,,,
Caffeine 4.99 mg/L C 2.8 mg/L N,5.137,3.01,,,,
7552,11.16,0.8428,SHOV,2022,,
1315H,22.31,1.182,SHOV,2022,,
9466,2.478,1.135,SHOV,2022,,
1316H,52.63,1.083,SHOV,2022,,
10755,2.342,1.146,SHOV,2022,,
1317H,43.58,1.201,SHOV,2022,,
blank,0.2102,0.03347,,2022,,
346,5.206,0.4908,CRAW,2022,,
1276H,61.85,0.4628,CRAW,2022,,
1310H,47.37,0.4089,CRAW,2022,,
746H,37.06,0.4072,CRAW,2022,,
482H,5.27,0.4844,CRAW,2022,,
722H,5.266,0.4934,CRAW,2022,,
blank,0.08957,0.02609,,2022,,
"CCV 5 mg/L C, 0.5 mg/L N",5.073,0.5017,,2022,,
518H,33.99,0.4795,MAST,2022,,
1307H,46.85,0.4986,MAST,2022,,
1311H,78.54,0.5784,MAST,2022,,
1309H,77.43,0.627,MAST,2022,,
606H,4.97,0.4455,MAST,2022,,
612H,4.394,0.43,MAST,2022,,
blank,0.09037,0.03122,,2022,,
1424H,8.431,0.4167,CARI,2022,,
blank,0.09101,0.03226,,2022,,
"CCV 5 mg/L C, 0.5 mg/L N",4.983,0.5147,,2022,,
578H,1.24,0.9067,MONU,2022,,
776H,4.809,0.646,MONU,2022,,
blank,0.09633,0.03189,,2022,,
262H,6.684,0.6257,PEAR,2022,,Pearl Creek
287H,5.115,0.6907,PEAR,2022,,Pearl Creek
269H,4.752,0.715,PEAR,2022,,Pearl Creek
blank,0.08234,0.0313,,2022,,
596H,6.717,0.6727,CRAW,2022,,
1845H,8.445,0.5511,CRAW,2022,,
573H,6.807,0.6231,CRAW,2022,,
104,9.684,0.4158,CRAW,2022,,
1898H,8.74,0.5575,CRAW,2022,,
blank,0.1324,0.03049,,2022,,
"CCV 5 mg/L C, 0.5 mg/L N",5.235,0.5167,,2022,,
1847H,8.472,0.5598,CRAW,2022,,
149,8.475,0.4869,CRAW,2022,,
103,9.532,0.4257,CRAW,2022,,
blank,0.1208,0.02702,,2022,,
299H,8.205,0.7863,MAST,2022,,
759H,8.074,0.8094,MAST,2022,,
1848H,8.029,0.5525,MAST,2022,,
771H,10.07,0.2778,MAST,2022,,
804H,9.205,0.6556,MAST,2022,,
9458,6.751,0.3469,MAST,2022,,
1747H,9.713,0.5584,MAST,2022,,
1877H,7.509,0.5185,MAST,2022,,
1503H,7.676,0.4224,MAST,2022,,
912,8.56,0.4197,MAST,2022,,
1849H,7.46,0.5288,MAST,2022,,
Set1-17,10.21,0.6512,MAST,2022,,
blank,0.136,0.02721,,2022,,
"CCV 5 mg/L C, 0.5 mg/L N",0.09984,0.02609,,2022,,
1746H,2.005,1.023,SHOV,2022,,
1852H,1.654,1.009,SHOV,2022,,
1880H,1.925,1.015,SHOV,2022,,
1540H,12.72,0.8722,SHOV,2022,,
1515H,9.227,0.8662,SHOV,2022,,
1522H,10.44,0.8883,SHOV,2022,,
blank,0.09352,0.03097,,2022,,
1622H,7.402,0.4183,Salcha,2022,,
1609H,8.237,0.4186,Salcha,2022,,
blank,0.1001,0.02846,,,,
"EX QC 5 mg/L C, 2 mg/L N",5.224,0.9087,,,,
"EX QC 5 mg/L C, 2 mg/L N",5.152,0.9399,,,,
NH4 0.2 mg/L,0.181,0.2134,,,,
NH4 0.2 mg/L,0.2003,0.2101,,,,
Caffeine 4.99 mg/L C 2.8 mg/L N,5.348,3.089,,,,
Caffeine 4.99 mg/L C 2.8 mg/L N,5.379,3.12,,,,
