7450-990651
OS REV: 1.05 Sensor Cal: 1629216558
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1653697800,+3.50,+29.109, +7.519,+0.922
1653698700,+3.50,+28.459, +7.574,+0.923
1653699600,+3.50,+27.760, +7.663,+0.923
1653700500,+3.50,+27.191, +7.754,+0.923
1653701400,+3.51,+24.410, +8.125,+0.923
1653702300,+3.53, +4.920,+11.160,+0.922
1653703200,+3.53, +3.222,+12.018,+0.921
1653704100,+3.53, +3.005,+12.149,+0.920
1653705000,+3.53, +2.901,+12.169,+0.919
1653705900,+3.53, +2.869,+12.171,+0.919
1653706800,+3.53, +2.890,+12.149,+0.918
1653707700,+3.53, +2.880,+12.148,+0.919
1653708600,+3.53, +2.838,+12.172,+0.918
1653709500,+3.53, +2.849,+12.161,+0.918
1653710400,+3.53, +2.817,+12.157,+0.917
1653711300,+3.53, +2.807,+12.174,+0.918
1653712200,+3.53, +2.765,+12.183,+0.918
1653713100,+3.53, +2.744,+12.180,+0.918
1653714000,+3.53, +2.692,+12.190,+0.918
1653714900,+3.53, +2.661,+12.185,+0.918
1653715800,+3.52, +2.608,+12.204,+0.918
1653716700,+3.52, +2.525,+12.219,+0.917
1653717600,+3.52, +2.472,+12.234,+0.917
1653718500,+3.52, +2.409,+12.265,+0.918
1653719400,+3.52, +2.367,+12.277,+0.918
1653720300,+3.52, +2.283,+12.285,+0.917
1653721200,+3.52, +2.230,+12.310,+0.917
1653722100,+3.52, +2.167,+12.320,+0.917
1653723000,+3.52, +2.124,+12.337,+0.917
1653723900,+3.52, +2.050,+12.360,+0.917
1653724800,+3.52, +1.966,+12.380,+0.917
1653725700,+3.52, +1.891,+12.405,+0.917
1653726600,+3.52, +1.827,+12.406,+0.916
1653727500,+3.52, +1.753,+12.436,+0.917
1653728400,+3.52, +1.646,+12.459,+0.916
1653729300,+3.52, +1.593,+12.460,+0.917
1653730200,+3.52, +1.529,+12.469,+0.916
1653731100,+3.52, +1.432,+12.513,+0.916
1653732000,+3.52, +1.389,+12.522,+0.916
1653732900,+3.52, +1.303,+12.557,+0.916
1653733800,+3.52, +1.239,+12.596,+0.916
1653734700,+3.52, +1.206,+12.614,+0.916
1653735600,+3.51, +1.131,+12.654,+0.916
1653736500,+3.51, +1.066,+12.684,+0.916
1653737400,+3.51, +0.969,+12.745,+0.916
1653738300,+3.51, +0.903,+12.755,+0.916
1653739200,+3.51, +0.849,+12.765,+0.916
1653740100,+3.51, +0.784,+12.798,+0.916
1653741000,+3.51, +0.730,+12.808,+0.916
1653741900,+3.51, +0.664,+12.828,+0.916
1653742800,+3.51, +0.610,+12.844,+0.916
1653743700,+3.51, +0.588,+12.854,+0.916
1653744600,+3.51, +0.544,+12.874,+0.916
1653745500,+3.51, +0.533,+12.853,+0.915
1653746400,+3.51, +0.500,+12.873,+0.916
1653747300,+3.51, +0.489,+12.860,+0.915
1653748200,+3.51, +0.468,+12.885,+0.915
1653749100,+3.51, +0.446,+12.878,+0.915
1653750000,+3.51, +0.446,+12.883,+0.915
1653750900,+3.51, +0.424,+12.890,+0.915
1653751800,+3.51, +0.413,+12.888,+0.915
1653752700,+3.51, +0.435,+12.868,+0.915
1653753600,+3.51, +0.457,+12.857,+0.916
1653754500,+3.51, +0.457,+12.861,+0.915
1653755400,+3.51, +0.511,+12.850,+0.915
1653756300,+3.51, +0.533,+12.870,+0.915
1653757200,+3.51, +0.577,+12.856,+0.915
1653758100,+3.50, +0.621,+12.833,+0.915
1653759000,+3.50, +0.697,+12.793,+0.915
1653759900,+3.50, +0.740,+12.806,+0.915
1653760800,+3.50, +0.860,+12.813,+0.915
1653761700,+3.50, +0.958,+12.792,+0.915
1653762600,+3.50, +1.001,+12.772,+0.915
1653763500,+3.50, +1.066,+12.765,+0.915
1653764400,+3.50, +1.249,+12.719,+0.915
1653765300,+3.51, +1.357,+12.692,+0.915
1653766200,+3.51, +1.486,+12.647,+0.915
1653767100,+3.50, +1.614,+12.622,+0.915
1653768000,+3.50, +1.742,+12.603,+0.915
1653768900,+3.50, +1.881,+12.560,+0.915
1653769800,+3.50, +2.040,+12.531,+0.915
1653770700,+3.50, +2.135,+12.504,+0.915
1653771600,+3.50, +2.262,+12.479,+0.915
1653772500,+3.50, +2.399,+12.427,+0.915
1653773400,+3.50, +2.504,+12.392,+0.915
1653774300,+3.50, +2.608,+12.378,+0.915
1653775200,+3.50, +2.703,+12.347,+0.915
1653776100,+3.50, +2.807,+12.309,+0.915
1653777000,+3.50, +2.849,+12.289,+0.915
1653777900,+3.50, +2.922,+12.259,+0.915
1653778800,+3.50, +2.963,+12.245,+0.915
1653779700,+3.50, +3.025,+12.213,+0.914
1653780600,+3.50, +3.067,+12.203,+0.915
1653781500,+3.50, +3.150,+12.180,+0.915
1653782400,+3.50, +3.171,+12.126,+0.914
1653783300,+3.50, +3.222,+12.114,+0.915
1653784200,+3.50, +3.305,+12.084,+0.915
