"Time..sec.","BV..Volts.","T..deg.C.","DO..mg.l.","Q..."
1654396200,3.46,6.612,10.944,0.912
1654397100,3.46,6.592,10.954,0.913
1654398000,3.46,6.544,10.952,0.912
1654398900,3.46,6.534,10.943,0.912
1654399800,3.46,6.476,10.964,0.913
1654400700,3.46,6.447,10.96,0.913
1654401600,3.46,6.408,10.972,0.913
1654402500,3.46,6.369,10.982,0.913
1654403400,3.46,6.33,10.98,0.913
1654404300,3.46,6.281,10.998,0.913
1654405200,3.46,6.242,10.996,0.912
1654406100,3.46,6.213,11.007,0.913
1654407000,3.46,6.135,11.034,0.913
1654407900,3.46,6.116,11.03,0.912
1654408800,3.46,6.067,11.042,0.913
1654409700,3.46,6.037,11.052,0.913
1654410600,3.46,6.028,11.053,0.913
1654411500,3.46,5.949,11.075,0.913
1654412400,3.46,5.91,11.077,0.913
1654413300,3.46,5.851,11.097,0.913
1654414200,3.46,5.772,11.111,0.913
1654415100,3.46,5.723,11.121,0.913
1654416000,3.46,5.644,11.143,0.913
1654416900,3.46,5.654,11.126,0.912
1654417800,3.46,5.575,11.157,0.913
1654418700,3.46,5.506,11.191,0.913
1654419600,3.46,5.467,11.203,0.913
1654420500,3.46,5.417,11.207,0.913
1654421400,3.46,5.358,11.211,0.913
1654422300,3.46,5.288,11.23,0.913
1654423200,3.46,5.239,11.238,0.913
1654424100,3.46,5.179,11.248,0.913
1654425000,3.46,5.129,11.248,0.913
1654425900,3.46,5.099,11.259,0.913
1654426800,3.46,5.05,11.284,0.912
1654427700,3.46,4.99,11.31,0.913
1654428600,3.46,4.98,11.324,0.913
1654429500,3.46,4.94,11.35,0.913
1654430400,3.46,4.95,11.342,0.913
1654431300,3.46,4.92,11.353,0.913
1654432200,3.46,4.89,11.376,0.913
1654433100,3.46,4.87,11.374,0.912
1654434000,3.46,4.83,11.383,0.913
1654434900,3.46,4.82,11.388,0.913
1654435800,3.46,4.78,11.413,0.913
1654436700,3.46,4.75,11.417,0.913
1654437600,3.46,4.729,11.439,0.913
1654438500,3.46,4.709,11.436,0.913
1654439400,3.46,4.669,11.455,0.913
1654440300,3.46,4.659,11.467,0.913
1654441200,3.46,4.649,11.47,0.913
1654442100,3.46,4.639,11.466,0.913
1654443000,3.46,4.619,11.479,0.913
1654443900,3.46,4.639,11.482,0.913
1654444800,3.46,4.639,11.488,0.913
1654445700,3.46,4.629,11.477,0.912
1654446600,3.46,4.679,11.464,0.913
1654447500,3.46,4.669,11.484,0.913
1654448400,3.46,4.689,11.469,0.912
1654449300,3.46,4.699,11.492,0.913
1654450200,3.46,4.75,11.477,0.913
1654451100,3.46,4.81,11.467,0.913
1654452000,3.46,4.85,11.451,0.913
1654452900,3.46,4.9,11.456,0.913
1654453800,3.46,4.97,11.447,0.913
1654454700,3.45,5.03,11.414,0.912
1654455600,3.45,5.089,11.417,0.913
1654456500,3.46,5.159,11.402,0.913
1654457400,3.46,5.249,11.386,0.913
1654458300,3.46,5.348,11.378,0.913
1654459200,3.46,5.437,11.352,0.912
1654460100,3.46,5.526,11.331,0.912
1654461000,3.46,5.635,11.316,0.913
1654461900,3.46,5.743,11.275,0.912
1654462800,3.46,5.861,11.249,0.912
1654463700,3.46,5.969,11.215,0.912
1654464600,3.46,6.106,11.174,0.912
1654465500,3.46,6.203,11.162,0.912
1654466400,3.45,6.311,11.156,0.913
1654467300,3.46,6.418,11.132,0.913
1654468200,3.46,6.495,11.075,0.911
1654469100,3.46,6.505,11.09,0.912
1654470000,3.46,6.553,11.056,0.912
1654470900,3.46,6.563,11.061,0.912
1654471800,3.46,6.602,11.04,0.912
1654472700,3.46,6.592,11.011,0.912
1654473600,3.46,6.602,10.999,0.912
1654474500,3.46,6.573,11.004,0.912
1654475400,3.46,6.563,11.01,0.912
1654476300,3.46,6.553,11.015,0.912
1654477200,3.46,6.573,10.997,0.912
1654478100,3.46,6.563,10.998,0.912
1654479000,3.46,6.495,11.016,0.912
1654479900,3.46,6.476,11.008,0.912
1654480800,3.46,6.447,11.014,0.912
1654481700,3.46,6.408,11.014,0.912
1654482600,3.46,6.379,11.021,0.912
