"Time..sec.","BV..Volts.","T..deg.C.","DO..mg.l.","Q..."
1658969280,3.48,6.557,11.639,0.9
1658970180,3.48,6.586,11.613,0.9
1658971080,3.48,6.595,11.587,0.9
1658971980,3.48,6.605,11.561,0.9
1658972880,3.48,6.595,11.552,0.901
1658973780,3.48,6.644,11.52,0.9
1658974680,3.48,6.644,11.509,0.9
1658975580,3.48,6.673,11.471,0.9
1658976480,3.48,6.663,11.45,0.9
1658977380,3.48,6.624,11.423,0.9
1658978280,3.48,6.624,11.396,0.901
1658979180,3.48,6.615,11.366,0.9
1658980080,3.48,6.615,11.335,0.9
1658980980,3.48,6.595,11.337,0.9
1658981880,3.48,6.576,11.336,0.901
1658982780,3.48,6.518,11.314,0.9
1658983680,3.48,6.469,11.315,0.9
1658984580,3.48,6.45,11.293,0.9
1658985480,3.48,6.421,11.292,0.9
1658986380,3.48,6.362,11.297,0.9
1658987280,3.48,6.314,11.29,0.9
1658988180,3.48,6.275,11.293,0.9
1658989080,3.48,6.236,11.29,0.9
1658989980,3.48,6.158,11.301,0.9
1658990880,3.48,6.158,11.293,0.9
1658991780,3.48,6.099,11.294,0.9
1658992680,3.48,6.07,11.283,0.9
1658993580,3.48,6.021,11.283,0.899
1658994480,3.48,5.942,11.315,0.9
1658995380,3.48,5.903,11.316,0.9
1658996280,3.48,5.864,11.326,0.9
1658997180,3.48,5.805,11.335,0.899
1658998080,3.48,5.785,11.333,0.899
1658998980,3.48,5.687,11.369,0.899
1658999880,3.48,5.618,11.383,0.899
1659000780,3.48,5.558,11.398,0.899
1659001680,3.48,5.479,11.418,0.899
1659002580,3.48,5.4,11.447,0.899
1659003480,3.48,5.34,11.454,0.899
1659004380,3.48,5.261,11.488,0.899
1659005280,3.48,5.221,11.482,0.898
1659006180,3.47,5.162,11.508,0.898
1659007080,3.47,5.122,11.514,0.898
1659007980,3.47,5.062,11.537,0.898
1659008880,3.47,5.032,11.529,0.898
1659009780,3.47,4.962,11.566,0.898
1659010680,3.47,4.902,11.587,0.898
1659011580,3.47,4.862,11.615,0.899
1659012480,3.47,4.842,11.603,0.898
1659013380,3.47,4.782,11.626,0.898
1659014280,3.47,4.752,11.639,0.898
1659015180,3.47,4.691,11.671,0.898
1659016080,3.47,4.701,11.659,0.898
1659016980,3.47,4.641,11.684,0.897
1659017880,3.47,4.641,11.705,0.898
1659018780,3.47,4.621,11.72,0.898
1659019680,3.47,4.641,11.736,0.898
1659020580,3.47,4.661,11.754,0.898
1659021480,3.47,4.711,11.759,0.898
1659022380,3.47,4.732,11.79,0.899
1659023280,3.47,4.772,11.8,0.899
1659024180,3.47,4.832,11.796,0.898
1659025080,3.47,4.842,11.806,0.899
1659025980,3.47,4.902,11.782,0.898
1659026880,3.47,4.902,11.8,0.898
1659027780,3.47,4.912,11.821,0.899
1659028680,3.47,4.952,11.818,0.898
1659029580,3.47,4.992,11.838,0.899
1659030480,3.47,5.052,11.846,0.899
1659031380,3.47,5.062,11.884,0.899
1659032280,3.47,5.092,11.895,0.899
1659033180,3.47,5.132,11.898,0.899
1659034080,3.47,5.191,11.914,0.899
1659034980,3.48,5.261,11.922,0.899
1659035880,3.48,5.291,11.945,0.899
1659036780,3.48,5.331,11.968,0.899
1659037680,3.48,5.331,11.984,0.899
1659038580,3.48,5.39,11.961,0.9
1659039480,3.48,5.449,11.932,0.899
1659040380,3.48,5.459,11.929,0.9
1659041280,3.48,5.479,11.899,0.9
1659042180,3.48,5.509,11.891,0.9
1659043080,3.48,5.568,11.883,0.899
1659043980,3.48,5.568,11.89,0.9
1659044880,3.48,5.618,11.874,0.899
1659045780,3.48,5.677,11.869,0.899
1659046680,3.48,5.696,11.888,0.9
1659047580,3.48,5.726,11.859,0.9
1659048480,3.48,5.716,11.852,0.9
1659049380,3.48,5.765,11.847,0.9
1659050280,3.47,5.805,11.865,0.9
1659051180,3.47,5.874,11.866,0.9
1659052080,3.47,5.874,11.892,0.9
1659052980,3.47,5.893,11.894,0.9
1659053880,3.47,5.883,11.892,0.9
1659054780,3.47,5.942,11.877,0.9
1659055680,3.47,6.021,11.862,0.9
