7450-024574
OS REV: 1.05 Sensor Cal: 1629388354
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1663908600,+3.45, +2.218,+12.360,+0.896
1663909500,+3.45, +2.197,+12.364,+0.896
1663910400,+3.45, +2.218,+12.354,+0.896
1663911300,+3.45, +2.176,+12.390,+0.897
1663912200,+3.45, +2.197,+12.367,+0.896
1663913100,+3.45, +2.155,+12.412,+0.897
1663914000,+3.46, +2.144,+12.395,+0.896
1663914900,+3.45, +2.155,+12.386,+0.896
1663915800,+3.45, +2.134,+12.395,+0.896
1663916700,+3.45, +2.134,+12.402,+0.896
1663917600,+3.45, +2.113,+12.386,+0.896
1663918500,+3.46, +2.113,+12.405,+0.896
1663919400,+3.46, +2.102,+12.407,+0.896
1663920300,+3.46, +2.102,+12.407,+0.896
1663921200,+3.46, +2.091,+12.407,+0.896
1663922100,+3.46, +2.081,+12.411,+0.896
1663923000,+3.46, +2.060,+12.410,+0.896
1663923900,+3.46, +2.049,+12.415,+0.896
1663924800,+3.46, +2.038,+12.407,+0.896
1663925700,+3.46, +2.038,+12.403,+0.896
1663926600,+3.46, +2.038,+12.408,+0.896
1663927500,+3.46, +2.017,+12.406,+0.896
1663928400,+3.46, +2.028,+12.424,+0.896
1663929300,+3.46, +1.996,+12.413,+0.896
1663930200,+3.46, +1.975,+12.424,+0.896
1663931100,+3.46, +1.975,+12.422,+0.896
1663932000,+3.46, +1.975,+12.424,+0.896
1663932900,+3.46, +1.943,+12.437,+0.896
1663933800,+3.46, +1.911,+12.437,+0.895
1663934700,+3.46, +1.900,+12.445,+0.896
1663935600,+3.46, +1.858,+12.446,+0.896
1663936500,+3.46, +1.815,+12.455,+0.895
1663937400,+3.46, +1.815,+12.471,+0.896
1663938300,+3.46, +1.762,+12.500,+0.896
1663939200,+3.46, +1.762,+12.491,+0.896
1663940100,+3.46, +1.740,+12.473,+0.895
1663941000,+3.46, +1.708,+12.492,+0.895
1663941900,+3.46, +1.687,+12.512,+0.896
1663942800,+3.46, +1.655,+12.508,+0.895
1663943700,+3.46, +1.644,+12.510,+0.895
1663944600,+3.46, +1.623,+12.513,+0.895
1663945500,+3.46, +1.569,+12.529,+0.895
1663946400,+3.46, +1.537,+12.538,+0.895
1663947300,+3.46, +1.505,+12.565,+0.895
1663948200,+3.46, +1.462,+12.563,+0.895
1663949100,+3.46, +1.419,+12.593,+0.895
1663950000,+3.46, +1.419,+12.586,+0.895
1663950900,+3.46, +1.397,+12.601,+0.895
1663951800,+3.46, +1.365,+12.634,+0.895
1663952700,+3.46, +1.344,+12.643,+0.895
1663953600,+3.46, +1.322,+12.648,+0.895
1663954500,+3.46, +1.300,+12.675,+0.895
1663955400,+3.46, +1.279,+12.667,+0.894
1663956300,+3.46, +1.279,+12.678,+0.895
1663957200,+3.46, +1.257,+12.694,+0.895
1663958100,+3.46, +1.279,+12.689,+0.895
1663959000,+3.46, +1.246,+12.720,+0.895
1663959900,+3.46, +1.268,+12.725,+0.895
1663960800,+3.46, +1.279,+12.735,+0.895
1663961700,+3.46, +1.290,+12.750,+0.895
1663962600,+3.46, +1.300,+12.757,+0.894
1663963500,+3.46, +1.322,+12.737,+0.895
1663964400,+3.46, +1.344,+12.727,+0.895
1663965300,+3.46, +1.376,+12.724,+0.894
1663966200,+3.46, +1.408,+12.727,+0.895
1663967100,+3.46, +1.419,+12.733,+0.895
1663968000,+3.46, +1.462,+12.727,+0.895
1663968900,+3.46, +1.505,+12.726,+0.895
1663969800,+3.46, +1.516,+12.705,+0.894
1663970700,+3.46, +1.516,+12.706,+0.895
1663971600,+3.46, +1.537,+12.735,+0.895
1663972500,+3.46, +1.601,+12.719,+0.895
1663973400,+3.46, +1.644,+12.704,+0.895
1663974300,+3.46, +1.644,+12.716,+0.895
1663975200,+3.46, +1.676,+12.703,+0.895
1663976100,+3.46, +1.708,+12.686,+0.895
1663977000,+3.46, +1.708,+12.692,+0.895
1663977900,+3.46, +1.772,+12.686,+0.896
1663978800,+3.46, +1.772,+12.682,+0.895
1663979700,+3.46, +1.804,+12.651,+0.895
1663980600,+3.46, +1.794,+12.671,+0.896
1663981500,+3.46, +1.815,+12.638,+0.895
1663982400,+3.46, +1.836,+12.616,+0.895
1663983300,+3.46, +1.826,+12.637,+0.895
1663984200,+3.46, +1.858,+12.628,+0.896
1663985100,+3.46, +1.868,+12.616,+0.896
1663986000,+3.46, +1.858,+12.622,+0.896
1663986900,+3.46, +1.858,+12.589,+0.896
1663987800,+3.46, +1.868,+12.586,+0.895
1663988700,+3.46, +1.858,+12.576,+0.895
1663989600,+3.46, +1.879,+12.560,+0.895
1663990500,+3.46, +1.847,+12.575,+0.896
1663991400,+3.46, +1.879,+12.546,+0.895
1663992300,+3.46, +1.847,+12.543,+0.895
1663993200,+3.46, +1.858,+12.535,+0.895
1663994100,+3.46, +1.858,+12.517,+0.895
1663995000,+3.46, +1.836,+12.528,+0.895
