Data was saved using Vista Data Vision,,
Saved: 2022-12-08 21:25:59,,
,,
Time Period: 2018-12-08 23:59:59 - 2022-12-07 23:59:59,,
Time,CPCRW CRREL Main Met Station: PYR_Total_TOT[N/A],CPCRW CRREL Main Met Station: PAR_Den_AVG[W/m2]
12/9/2018 0:00,0,0
12/9/2018 1:00,0,0
12/9/2018 2:00,0,0
12/9/2018 3:00,0,0
12/9/2018 4:00,0,0
12/9/2018 5:00,0,0
12/9/2018 6:00,0,0
12/9/2018 7:00,0,0
12/9/2018 8:00,0,0
12/9/2018 9:00,0,0
12/9/2018 10:00,0,0
12/9/2018 11:00,0.085,0.602
12/9/2018 12:00,0.323,1.571
12/9/2018 13:00,0.344,1.977
12/9/2018 14:00,0.205,1.44
12/9/2018 15:00,0.079,0.445
12/9/2018 16:00,0,0
12/9/2018 17:00,0,0
12/9/2018 18:00,0,0
12/9/2018 19:00,0,0
12/9/2018 20:00,0,0
12/9/2018 21:00,0,0
12/9/2018 22:00,0,0
12/9/2018 23:00,0,0
12/10/2018 0:00,0,0
12/10/2018 1:00,0,0
12/10/2018 2:00,0,0
12/10/2018 3:00,0,0
12/10/2018 4:00,0,0
12/10/2018 5:00,0,0
12/10/2018 6:00,0,0
12/10/2018 7:00,0,0
12/10/2018 8:00,0,0
12/10/2018 9:00,0,0
12/10/2018 10:00,0,0
12/10/2018 11:00,0.134,1.023
12/10/2018 12:00,0.49,3.474
12/10/2018 13:00,0.846,6.24
12/10/2018 14:00,0.55,4.339
12/10/2018 15:00,0.238,1.783
12/10/2018 16:00,0.019,0.249
12/10/2018 17:00,0,0
12/10/2018 18:00,0,0
12/10/2018 19:00,0,0
12/10/2018 20:00,0,0
12/10/2018 21:00,0,0
12/10/2018 22:00,0,0
12/10/2018 23:00,0,0
12/11/2018 0:00,0,0
12/11/2018 1:00,0,0
12/11/2018 2:00,0.003,0
12/11/2018 3:00,0,0
12/11/2018 4:00,0,0
12/11/2018 5:00,0,0
12/11/2018 6:00,0,0
12/11/2018 7:00,0,0
12/11/2018 8:00,0,0
12/11/2018 9:00,0,0
12/11/2018 10:00,0,0
12/11/2018 11:00,0.077,0.668
12/11/2018 12:00,0.44,2.922
12/11/2018 13:00,0.273,4.652
12/11/2018 14:00,0.503,3.327
