Data was saved using Vista Data Vision
Saved: 2023-03-11 01:26:11

Time Period: 2019-03-01 00:00:00 - 2022-12-01 00:00:00

Time,CPCRW CRREL Main Met Station: WindDirect_12m_DU_WVT CRREL[°],CPCRW CRREL Main Met Station: WindDirect_12m_SDU_WVT CRREL[°],CPCRW CRREL Main Met Station: WindSpeed_1m_AVG CRREL[m/s],CPCRW CRREL Main Met Station: WindSpeed_3m_AVG CRREL[m/s],CPCRW CRREL Main Met Station: WindWpeed_10m_AVG CRREL[m/s],CPCRW CRREL Main Met Station: WindSpeed_12m_AVG CRREL[m/s],CPCRW CRREL Main Met Station: PYR_Total_TOT[N/A],CPCRW CRREL Main Met Station: PAR_Den_AVG[W/m2],CPCRW CRREL Main Met Station: WindSpeed_1m_MAX CRREL[m/s],CPCRW CRREL Main Met Station: WindSpeed_3m_MAX CRREL[m/s],CPCRW CRREL Main Met Station: WindWpeed_10m_MAX CRREL[m/s],CPCRW CRREL Main Met Station: WindSpeed_12m_MAX CRREL[m/s],CPCRW CRREL Main Met Station: LongWave_UPWELL_AVG CRREL[W/m2],CPCRW CRREL Main Met Station: LongWave_DOWNWELL_AVG CRREL[W/m2],CPCRW CRREL Main Met Station: ShortWave_UPWELL_AVG CRREL[W/m2],CPCRW CRREL Main Met Station: ShortWave_DOWNWELL_AVG CRREL[W/m2]
2019-03-01 00:00:00,264.8,11.25,0,1.099,0,3.241,0,0,0,1.794,0,4.263,278.2,251.5,0,0
2019-03-01 01:00:00,269.5,16.18,0,0.598,0,2.546,0,0,0,1.834,0,4.036,277.3,243.5,0,0
2019-03-01 02:00:00,283.3,26.83,0,0.435,0,1.61,0,0,0,1.474,0,3.557,274.8,235.9,0,0
2019-03-01 03:00:00,275.8,20.23,0,0.311,0,1.584,0,0,0,1.007,0,2.385,268.7,232.8,0,0
2019-03-01 04:00:00,282.3,32.81,0,0.149,0,1.263,0,0,0,0.874,0,2.332,263.2,232.5,0,0
2019-03-01 05:00:00,271.6,48.67,0,0.279,0,0.846,0,0,0,0.834,0,1.706,259.1,229.1,0,0
2019-03-01 06:00:00,285.4,34.45,0,0.25,0,0.874,0,0,0,0.954,0,1.746,253.3,227,0,0
2019-03-01 07:00:00,275.6,54.89,0,0.267,0,0.551,0,0,0,0.714,0,1.267,248.7,225.9,0,0
2019-03-01 08:00:00,290.2,35.91,0,0.303,0,0.761,0.033,0.446,0,1.034,0,1.839,246.2,226.9,0.125,0
2019-03-01 09:00:00,283,30.65,0,0.247,0,0.893,0.512,8.4,0,0.954,0,2.119,244.1,231.9,9.59,0.529
