"","X","datetimeAK","Time","CPCRW.CRREL.Main.Met.Station..PYR_Total_TOT.N.A.","ParWm2"
"1",1,2021-05-18 12:00:00,"5/18/2021 12:00",249.7,997
"2",2,2021-05-18 12:15:00,NA,NA,NA
"3",3,2021-05-18 12:30:00,NA,NA,NA
"4",4,2021-05-18 12:45:00,NA,NA,NA
"5",5,2021-05-18 13:00:00,"5/18/2021 13:00",244.4,929
"6",6,2021-05-18 13:15:00,NA,NA,NA
"7",7,2021-05-18 13:30:00,NA,NA,NA
"8",8,2021-05-18 13:45:00,NA,NA,NA
"9",9,2021-05-18 14:00:00,"5/18/2021 14:00",267.5,1057
"10",10,2021-05-18 14:15:00,NA,NA,NA
"11",11,2021-05-18 14:30:00,NA,NA,NA
"12",12,2021-05-18 14:45:00,NA,NA,NA
"13",13,2021-05-18 15:00:00,"5/18/2021 15:00",259.2,1010
"14",14,2021-05-18 15:15:00,NA,NA,NA
"15",15,2021-05-18 15:30:00,NA,NA,NA
"16",16,2021-05-18 15:45:00,NA,NA,NA
"17",17,2021-05-18 16:00:00,"5/18/2021 16:00",254.7,991
"18",18,2021-05-18 16:15:00,NA,NA,NA
"19",19,2021-05-18 16:30:00,NA,NA,NA
"20",20,2021-05-18 16:45:00,NA,NA,NA
"21",21,2021-05-18 17:00:00,"5/18/2021 17:00",192.9,750.8
"22",22,2021-05-18 17:15:00,NA,NA,NA
"23",23,2021-05-18 17:30:00,NA,NA,NA
"24",24,2021-05-18 17:45:00,NA,NA,NA
"25",25,2021-05-18 18:00:00,"5/18/2021 18:00",120.9,475.6
"26",26,2021-05-18 18:15:00,NA,NA,NA
"27",27,2021-05-18 18:30:00,NA,NA,NA
"28",28,2021-05-18 18:45:00,NA,NA,NA
"29",29,2021-05-18 19:00:00,"5/18/2021 19:00",94.5,365.3
"30",30,2021-05-18 19:15:00,NA,NA,NA
"31",31,2021-05-18 19:30:00,NA,NA,NA
"32",32,2021-05-18 19:45:00,NA,NA,NA
"33",33,2021-05-18 20:00:00,"5/18/2021 20:00",42.95,170.1
"34",34,2021-05-18 20:15:00,NA,NA,NA
"35",35,2021-05-18 20:30:00,NA,NA,NA
"36",36,2021-05-18 20:45:00,NA,NA,NA
"37",37,2021-05-18 21:00:00,"5/18/2021 21:00",16.12,64.18
"38",38,2021-05-18 21:15:00,NA,NA,NA
"39",39,2021-05-18 21:30:00,NA,NA,NA
"40",40,2021-05-18 21:45:00,NA,NA,NA
"41",41,2021-05-18 22:00:00,"5/18/2021 22:00",4.346,16.4
"42",42,2021-05-18 22:15:00,NA,NA,NA
"43",43,2021-05-18 22:30:00,NA,NA,NA
"44",44,2021-05-18 22:45:00,NA,NA,NA
"45",45,2021-05-18 23:00:00,"5/18/2021 23:00",0.636,2.836
"46",46,2021-05-18 23:15:00,NA,NA,NA
"47",47,2021-05-18 23:30:00,NA,NA,NA
