agency_cd,site_no,datetime,tz_cd,1760_00060,1760_00060_cd
USGS,15484000,12/8/2021 22:15,AKST,450,A:e
USGS,15484000,12/9/2021 10:15,AKST,450,A:e
USGS,15484000,12/9/2021 22:15,AKST,450,A:e
USGS,15484000,12/10/2021 10:15,AKST,450,A:e
USGS,15484000,12/10/2021 22:15,AKST,450,A:e
USGS,15484000,12/11/2021 10:15,AKST,450,A:e
USGS,15484000,12/11/2021 22:15,AKST,450,A:e
USGS,15484000,12/12/2021 10:15,AKST,450,A:e
USGS,15484000,12/12/2021 22:15,AKST,450,A:e
USGS,15484000,12/13/2021 10:15,AKST,450,A:e
USGS,15484000,12/13/2021 22:15,AKST,450,A:e
USGS,15484000,12/14/2021 10:15,AKST,450,A:e
USGS,15484000,12/14/2021 22:15,AKST,450,A:e
USGS,15484000,12/15/2021 10:15,AKST,450,A:e
USGS,15484000,12/15/2021 22:15,AKST,450,A:e
USGS,15484000,12/16/2021 10:15,AKST,450,A:e
USGS,15484000,12/16/2021 22:15,AKST,450,A:e
USGS,15484000,12/17/2021 10:15,AKST,450,A:e
USGS,15484000,12/17/2021 22:15,AKST,450,A:e
USGS,15484000,12/18/2021 10:15,AKST,450,A:e
USGS,15484000,12/18/2021 22:15,AKST,450,A:e
USGS,15484000,12/19/2021 10:15,AKST,450,A:e
USGS,15484000,12/19/2021 22:15,AKST,450,A:e
USGS,15484000,12/20/2021 10:15,AKST,450,A:e
USGS,15484000,12/20/2021 22:15,AKST,450,A:e
USGS,15484000,12/21/2021 10:15,AKST,450,A:e
USGS,15484000,12/21/2021 22:15,AKST,450,A:e
USGS,15484000,12/22/2021 10:15,AKST,450,A:e
USGS,15484000,12/22/2021 22:15,AKST,450,A:e
USGS,15484000,12/23/2021 10:15,AKST,450,A:e
USGS,15484000,12/23/2021 22:15,AKST,450,A:e
USGS,15484000,12/24/2021 10:15,AKST,450,A:e
USGS,15484000,12/24/2021 22:15,AKST,450,A:e
USGS,15484000,12/25/2021 10:15,AKST,450,A:e
USGS,15484000,12/25/2021 22:15,AKST,451,A:e
USGS,15484000,12/26/2021 10:15,AKST,451,A:e
USGS,15484000,12/26/2021 22:15,AKST,452,A:e
USGS,15484000,12/27/2021 10:15,AKST,453,A:e
USGS,15484000,12/27/2021 22:15,AKST,454,A:e
USGS,15484000,12/28/2021 10:15,AKST,455,A:e
USGS,15484000,12/28/2021 22:15,AKST,457,A:e
USGS,15484000,12/29/2021 10:15,AKST,461,A:e
USGS,15484000,12/29/2021 22:15,AKST,465,A:e
USGS,15484000,12/30/2021 10:15,AKST,470,A:e
USGS,15484000,12/30/2021 22:15,AKST,473,A:e
USGS,15484000,12/31/2021 10:15,AKST,478,A:e
USGS,15484000,12/31/2021 22:15,AKST,485,A:e
USGS,15484000,1/1/2022 10:15,AKST,492,A:e
USGS,15484000,1/1/2022 22:15,AKST,500,A:e
USGS,15484000,1/2/2022 10:15,AKST,509,A:e
USGS,15484000,1/2/2022 22:15,AKST,517,A:e
USGS,15484000,1/3/2022 10:15,AKST,525,A:e
USGS,15484000,1/3/2022 22:15,AKST,529,A:e
USGS,15484000,1/4/2022 10:15,AKST,531,A:e
USGS,15484000,1/4/2022 22:15,AKST,534,A:e
USGS,15484000,1/5/2022 10:15,AKST,535,A:e
USGS,15484000,1/5/2022 22:15,AKST,536,A:e
USGS,15484000,1/6/2022 10:15,AKST,537,A:e
USGS,15484000,1/6/2022 22:15,AKST,537,A:e
USGS,15484000,1/7/2022 10:15,AKST,537,A:e
USGS,15484000,1/7/2022 22:15,AKST,537,A:e
USGS,15484000,1/8/2022 10:15,AKST,536,A:e
USGS,15484000,1/8/2022 22:15,AKST,536,A:e
USGS,15484000,1/9/2022 10:15,AKST,535,A:e
USGS,15484000,1/9/2022 22:15,AKST,535,A:e
USGS,15484000,1/10/2022 10:15,AKST,534,A:e
USGS,15484000,1/10/2022 22:15,AKST,533,A:e
USGS,15484000,1/11/2022 10:15,AKST,532,A:e
USGS,15484000,1/11/2022 22:15,AKST,531,A:e
USGS,15484000,1/12/2022 10:15,AKST,530,A:e
USGS,15484000,1/12/2022 22:15,AKST,529,A:e
USGS,15484000,1/13/2022 10:15,AKST,528,A:e
USGS,15484000,1/13/2022 22:15,AKST,527,A:e
USGS,15484000,1/14/2022 10:15,AKST,526,A:e
USGS,15484000,1/14/2022 22:15,AKST,525,A:e
USGS,15484000,1/15/2022 10:15,AKST,524,A:e
USGS,15484000,1/15/2022 22:15,AKST,522,A:e
USGS,15484000,1/16/2022 10:15,AKST,520,A:e
USGS,15484000,1/16/2022 22:15,AKST,519,A:e
USGS,15484000,1/17/2022 10:15,AKST,517,A:e
USGS,15484000,1/17/2022 22:15,AKST,515,A:e
USGS,15484000,1/18/2022 10:15,AKST,514,A:e
USGS,15484000,1/18/2022 22:15,AKST,512,A:e
USGS,15484000,1/19/2022 10:15,AKST,511,A:e
USGS,15484000,1/19/2022 22:15,AKST,509,A:e
USGS,15484000,1/20/2022 10:15,AKST,506,A:e
USGS,15484000,1/20/2022 22:15,AKST,505,A:e
USGS,15484000,1/21/2022 10:15,AKST,502,A:e
USGS,15484000,1/21/2022 22:15,AKST,500,A:e
USGS,15484000,1/22/2022 10:15,AKST,498,A:e
USGS,15484000,1/22/2022 22:15,AKST,496,A:e
USGS,15484000,1/23/2022 10:15,AKST,493,A:e
USGS,15484000,1/23/2022 22:15,AKST,491,A:e
USGS,15484000,1/24/2022 10:15,AKST,489,A:e
USGS,15484000,1/24/2022 22:15,AKST,487,A:e
USGS,15484000,1/25/2022 10:15,AKST,485,A:e
USGS,15484000,1/25/2022 22:15,AKST,484,A:e
USGS,15484000,1/26/2022 10:15,AKST,482,A:e
USGS,15484000,1/26/2022 22:15,AKST,480,A:e
USGS,15484000,1/27/2022 10:15,AKST,479,A:e
USGS,15484000,1/27/2022 22:15,AKST,478,A:e
USGS,15484000,1/28/2022 10:15,AKST,476,A:e
USGS,15484000,1/28/2022 22:15,AKST,475,A:e
USGS,15484000,1/29/2022 10:15,AKST,474,A:e
USGS,15484000,1/29/2022 22:15,AKST,472,A:e
USGS,15484000,1/30/2022 10:15,AKST,471,A:e
USGS,15484000,1/30/2022 22:15,AKST,469,A:e
USGS,15484000,1/31/2022 10:15,AKST,468,A:e
USGS,15484000,1/31/2022 22:15,AKST,466,A:e
USGS,15484000,2/1/2022 10:15,AKST,465,A:e
USGS,15484000,2/1/2022 22:15,AKST,463,A:e
USGS,15484000,2/2/2022 10:15,AKST,462,A:e
USGS,15484000,2/2/2022 22:15,AKST,461,A:e
USGS,15484000,2/3/2022 10:15,AKST,460,A:e
USGS,15484000,2/3/2022 22:15,AKST,458,A:e
USGS,15484000,2/4/2022 10:15,AKST,457,A:e
USGS,15484000,2/4/2022 22:15,AKST,455,A:e
USGS,15484000,2/5/2022 10:15,AKST,454,A:e
USGS,15484000,2/5/2022 22:15,AKST,452,A:e
USGS,15484000,2/6/2022 10:15,AKST,451,A:e
USGS,15484000,2/6/2022 22:15,AKST,450,A:e
USGS,15484000,2/7/2022 10:15,AKST,448,A:e
USGS,15484000,2/7/2022 22:15,AKST,447,A:e
USGS,15484000,2/8/2022 10:15,AKST,446,A:e
USGS,15484000,2/8/2022 22:15,AKST,444,A:e
USGS,15484000,2/9/2022 10:15,AKST,443,A:e
USGS,15484000,2/9/2022 22:15,AKST,442,A:e
USGS,15484000,2/10/2022 10:15,AKST,440,A:e
USGS,15484000,2/10/2022 22:15,AKST,439,A:e
USGS,15484000,2/11/2022 10:15,AKST,437,A:e
USGS,15484000,2/11/2022 22:15,AKST,436,A:e
USGS,15484000,2/12/2022 10:15,AKST,434,A:e
USGS,15484000,2/12/2022 22:15,AKST,433,A:e
USGS,15484000,2/13/2022 10:15,AKST,432,A:e
USGS,15484000,2/13/2022 22:15,AKST,430,A:e
USGS,15484000,2/14/2022 10:15,AKST,429,A:e
USGS,15484000,2/14/2022 22:15,AKST,428,A:e
USGS,15484000,2/15/2022 10:15,AKST,427,A:e
USGS,15484000,2/15/2022 22:15,AKST,426,A:e
USGS,15484000,2/16/2022 10:15,AKST,425,A:e
USGS,15484000,2/16/2022 22:15,AKST,424,A:e
USGS,15484000,2/17/2022 10:15,AKST,423,A:e
USGS,15484000,2/17/2022 22:15,AKST,422,A:e
USGS,15484000,2/18/2022 10:15,AKST,422,A:e
USGS,15484000,2/18/2022 22:15,AKST,421,A:e
USGS,15484000,2/19/2022 10:15,AKST,420,A:e
USGS,15484000,2/19/2022 22:15,AKST,419,A:e
USGS,15484000,2/20/2022 10:15,AKST,418,A:e
USGS,15484000,2/20/2022 22:15,AKST,417,A:e
USGS,15484000,2/21/2022 10:15,AKST,416,A:e
USGS,15484000,2/21/2022 22:15,AKST,415,A:e
USGS,15484000,2/22/2022 10:15,AKST,414,A:e
USGS,15484000,2/22/2022 22:15,AKST,413,A:e
USGS,15484000,2/23/2022 10:15,AKST,412,A:e
USGS,15484000,2/23/2022 22:15,AKST,411,A:e
USGS,15484000,2/24/2022 10:15,AKST,410,A:e
USGS,15484000,2/24/2022 22:15,AKST,410,A:e
USGS,15484000,2/25/2022 10:15,AKST,409,A:e
USGS,15484000,2/25/2022 22:15,AKST,408,A:e
USGS,15484000,2/26/2022 10:15,AKST,407,A:e
USGS,15484000,2/26/2022 22:15,AKST,406,A:e
USGS,15484000,2/27/2022 10:15,AKST,404,A:e
USGS,15484000,2/27/2022 22:15,AKST,403,A:e
USGS,15484000,2/28/2022 10:15,AKST,403,A:e
USGS,15484000,2/28/2022 22:15,AKST,402,A:e
USGS,15484000,3/1/2022 10:15,AKST,401,A:e
USGS,15484000,3/1/2022 22:15,AKST,400,A:e
USGS,15484000,3/2/2022 10:15,AKST,399,A:e
USGS,15484000,3/2/2022 22:15,AKST,398,A:e
USGS,15484000,3/3/2022 10:15,AKST,397,A:e
USGS,15484000,3/3/2022 22:15,AKST,396,A:e
USGS,15484000,3/4/2022 10:15,AKST,395,A:e
USGS,15484000,3/4/2022 22:15,AKST,394,A:e
USGS,15484000,3/5/2022 10:15,AKST,393,A:e
USGS,15484000,3/5/2022 22:15,AKST,392,A:e
USGS,15484000,3/6/2022 10:15,AKST,391,A:e
USGS,15484000,3/6/2022 22:15,AKST,390,A:e
USGS,15484000,3/7/2022 10:15,AKST,389,A:e
USGS,15484000,3/7/2022 22:15,AKST,388,A:e
USGS,15484000,3/8/2022 10:15,AKST,387,A:e
USGS,15484000,3/8/2022 22:15,AKST,387,A:e
USGS,15484000,3/9/2022 10:15,AKST,386,A:e
USGS,15484000,3/9/2022 22:15,AKST,385,A:e
USGS,15484000,3/10/2022 10:15,AKST,384,A:e
USGS,15484000,3/10/2022 22:15,AKST,383,A:e
USGS,15484000,3/11/2022 10:15,AKST,383,A:e
USGS,15484000,3/11/2022 22:15,AKST,382,A:e
USGS,15484000,3/12/2022 10:15,AKST,381,A:e
USGS,15484000,3/12/2022 22:15,AKST,381,A:e
USGS,15484000,3/13/2022 11:15,AKDT,380,A:e
USGS,15484000,3/13/2022 23:15,AKDT,380,A:e
USGS,15484000,3/14/2022 11:15,AKDT,379,A:e
USGS,15484000,3/14/2022 23:15,AKDT,378,A:e
USGS,15484000,3/15/2022 11:15,AKDT,378,A:e
USGS,15484000,3/15/2022 23:15,AKDT,378,A:e
USGS,15484000,3/16/2022 11:15,AKDT,377,A:e
USGS,15484000,3/16/2022 23:15,AKDT,377,A:e
USGS,15484000,3/17/2022 11:15,AKDT,377,A:e
USGS,15484000,3/17/2022 23:15,AKDT,377,A:e
USGS,15484000,3/18/2022 11:15,AKDT,376,A:e
USGS,15484000,3/18/2022 23:15,AKDT,376,A:e
USGS,15484000,3/19/2022 11:15,AKDT,376,A:e
USGS,15484000,3/19/2022 23:15,AKDT,376,A:e
USGS,15484000,3/20/2022 11:15,AKDT,376,A:e
USGS,15484000,3/20/2022 23:15,AKDT,376,A:e
USGS,15484000,3/21/2022 11:15,AKDT,376,A:e
USGS,15484000,3/21/2022 23:15,AKDT,376,A:e
USGS,15484000,3/22/2022 11:15,AKDT,376,A:e
USGS,15484000,3/22/2022 23:15,AKDT,375,A:e
USGS,15484000,3/23/2022 11:15,AKDT,375,A:e
USGS,15484000,3/23/2022 23:15,AKDT,375,A:e
USGS,15484000,3/24/2022 11:15,AKDT,375,A:e
USGS,15484000,3/24/2022 23:15,AKDT,375,A:e
USGS,15484000,3/25/2022 11:15,AKDT,375,A:e
USGS,15484000,3/25/2022 23:15,AKDT,375,A:e
USGS,15484000,3/26/2022 11:15,AKDT,375,A:e
USGS,15484000,3/26/2022 23:15,AKDT,375,A:e
USGS,15484000,3/27/2022 11:15,AKDT,375,A:e
USGS,15484000,3/27/2022 23:15,AKDT,375,A:e
USGS,15484000,3/28/2022 11:15,AKDT,375,A:e
USGS,15484000,3/28/2022 23:15,AKDT,375,A:e
USGS,15484000,3/29/2022 11:15,AKDT,375,A:e
USGS,15484000,3/29/2022 23:15,AKDT,375,A:e
USGS,15484000,3/30/2022 11:15,AKDT,375,A:e
USGS,15484000,3/30/2022 23:15,AKDT,375,A:e
USGS,15484000,3/31/2022 11:15,AKDT,375,A:e
USGS,15484000,3/31/2022 23:15,AKDT,375,A:e
USGS,15484000,4/1/2022 11:15,AKDT,375,A:e
USGS,15484000,4/1/2022 23:15,AKDT,375,A:e
USGS,15484000,4/2/2022 11:15,AKDT,375,A:e
USGS,15484000,4/2/2022 23:15,AKDT,375,A:e
USGS,15484000,4/3/2022 11:15,AKDT,375,A:e
USGS,15484000,4/3/2022 23:15,AKDT,375,A:e
USGS,15484000,4/4/2022 11:15,AKDT,375,A:e
USGS,15484000,4/4/2022 23:15,AKDT,375,A:e
