"Time..sec.","BV..Volts.","T..deg.C.","DO..mg.l.","Q..."
1656642300,3.5,8.881,10.945,0.935
1656643200,3.5,8.936,10.905,0.935
1656644100,3.5,9.002,10.883,0.935
1656645000,3.5,9.094,10.84,0.935
1656645900,3.5,9.141,10.813,0.935
1656646800,3.5,9.206,10.784,0.935
1656647700,3.5,9.261,10.745,0.935
1656648600,3.5,9.335,10.708,0.935
1656649500,3.5,9.363,10.687,0.934
1656650400,3.5,9.427,10.661,0.935
1656651300,3.5,9.464,10.647,0.935
1656652200,3.5,9.529,10.611,0.935
1656653100,3.5,9.566,10.593,0.935
1656654000,3.5,9.612,10.576,0.935
1656654900,3.5,9.63,10.568,0.935
1656655800,3.5,9.667,10.538,0.935
1656656700,3.5,9.695,10.537,0.935
1656657600,3.5,9.704,10.53,0.935
1656658500,3.5,9.75,10.526,0.935
1656659400,3.5,9.768,10.501,0.934
1656660300,3.49,9.768,10.517,0.935
1656661200,3.5,9.75,10.503,0.934
1656662100,3.5,9.759,10.509,0.935
1656663000,3.5,9.74,10.496,0.934
1656663900,3.5,9.713,10.516,0.935
1656664800,3.5,9.676,10.524,0.935
1656665700,3.5,9.639,10.53,0.935
1656666600,3.5,9.63,10.513,0.934
1656667500,3.5,9.547,10.545,0.935
1656668400,3.5,9.52,10.534,0.934
1656669300,3.5,9.483,10.554,0.934
1656670200,3.5,9.418,10.588,0.935
1656671100,3.5,9.326,10.607,0.935
1656672000,3.5,9.261,10.618,0.935
1656672900,3.5,9.215,10.626,0.935
1656673800,3.5,9.131,10.66,0.936
1656674700,3.5,9.057,10.669,0.935
1656675600,3.5,8.983,10.704,0.936
1656676500,3.5,8.909,10.708,0.935
1656677400,3.5,8.834,10.728,0.935
1656678300,3.5,8.713,10.77,0.935
1656679200,3.5,8.666,10.776,0.935
1656680100,3.5,8.582,10.803,0.935
1656681000,3.5,8.526,10.822,0.935
1656681900,3.5,8.451,10.849,0.935
1656682800,3.5,8.376,10.88,0.935
1656683700,3.5,8.338,10.889,0.935
1656684600,3.5,8.301,10.917,0.935
1656685500,3.5,8.244,10.942,0.935
1656686400,3.5,8.207,10.959,0.935
1656687300,3.5,8.169,11.001,0.936
1656688200,3.5,8.131,11.009,0.936
1656689100,3.5,8.122,11.025,0.936
1656690000,3.5,8.094,11.037,0.936
1656690900,3.5,8.046,11.057,0.935
1656691800,3.5,8.018,11.082,0.936
1656692700,3.5,7.99,11.101,0.935
1656693600,3.5,7.971,11.116,0.936
1656694500,3.5,7.933,11.137,0.936
1656695400,3.5,7.924,11.14,0.935
1656696300,3.5,7.886,11.168,0.935
1656697200,3.5,7.867,11.199,0.936
1656698100,3.5,7.838,11.199,0.935
1656699000,3.5,7.838,11.224,0.936
1656699900,3.5,7.819,11.235,0.935
1656700800,3.5,7.81,11.257,0.936
1656701700,3.5,7.819,11.262,0.936
1656702600,3.5,7.81,11.27,0.936
1656703500,3.5,7.791,11.295,0.936
1656704400,3.5,7.848,11.258,0.935
1656705300,3.5,7.857,11.274,0.935
1656706200,3.5,7.838,11.298,0.936
1656707100,3.5,7.895,11.281,0.935
1656708000,3.5,7.942,11.287,0.935
1656708900,3.5,7.98,11.293,0.936
1656709800,3.5,8.027,11.274,0.935
1656710700,3.5,8.084,11.28,0.936
1656711600,3.5,8.131,11.263,0.935
1656712500,3.5,8.197,11.248,0.936
1656713400,3.5,8.254,11.236,0.935
1656714300,3.5,8.319,11.208,0.935
1656715200,3.5,8.385,11.172,0.935
1656716100,3.5,8.442,11.173,0.935
1656717000,3.5,8.47,11.162,0.935
1656717900,3.5,8.554,11.136,0.935
1656718800,3.5,8.619,11.105,0.935
1656719700,3.5,8.703,11.073,0.935
1656720600,3.5,8.787,11.036,0.935
1656721500,3.5,8.806,11.027,0.935
1656722400,3.5,8.881,11.003,0.935
1656723300,3.5,8.946,10.97,0.935
1656724200,3.5,9.039,10.939,0.935
1656725100,3.5,9.094,10.908,0.935
1656726000,3.5,9.169,10.875,0.935
1656726900,3.5,9.243,10.843,0.935
1656727800,3.5,9.317,10.83,0.935
1656728700,3.5,9.418,10.785,0.935
