7450-149332
OS REV: 1.05 Sensor Cal: 1629387177
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1661036220,+3.49, +5.398,+12.004,+0.933
1661037120,+3.49, +5.487,+12.006,+0.934
1661038020,+3.49, +5.527,+11.999,+0.934
1661038920,+3.49, +5.586,+11.959,+0.934
1661039820,+3.49, +5.635,+11.947,+0.934
1661040720,+3.49, +5.704,+11.903,+0.933
1661041620,+3.49, +5.734,+11.874,+0.933
1661042520,+3.49, +5.773,+11.852,+0.934
1661043420,+3.49, +5.832,+11.810,+0.933
1661044320,+3.49, +5.842,+11.789,+0.933
1661045220,+3.49, +5.862,+11.764,+0.933
1661046120,+3.49, +5.921,+11.752,+0.934
1661047020,+3.48, +5.950,+11.724,+0.934
1661047920,+3.48, +5.979,+11.714,+0.934
1661048820,+3.48, +6.048,+11.686,+0.934
1661049720,+3.48, +6.097,+11.632,+0.933
1661050620,+3.48, +6.155,+11.610,+0.934
1661051520,+3.48, +6.194,+11.591,+0.934
1661052420,+3.48, +6.253,+11.556,+0.933
1661053320,+3.48, +6.311,+11.540,+0.933
1661054220,+3.48, +6.350,+11.518,+0.933
1661055120,+3.48, +6.370,+11.494,+0.933
1661056020,+3.48, +6.418,+11.466,+0.933
1661056920,+3.49, +6.448,+11.455,+0.934
1661057820,+3.49, +6.477,+11.425,+0.934
1661058720,+3.49, +6.535,+11.393,+0.934
1661059620,+3.49, +6.564,+11.381,+0.934
1661060520,+3.49, +6.593,+11.345,+0.933
1661061420,+3.49, +6.632,+11.329,+0.933
1661062320,+3.49, +6.671,+11.305,+0.933
1661063220,+3.49, +6.700,+11.290,+0.933
1661064120,+3.49, +6.700,+11.288,+0.933
1661065020,+3.49, +6.758,+11.273,+0.934
1661065920,+3.49, +6.738,+11.297,+0.934
1661066820,+3.49, +6.748,+11.277,+0.933
1661067720,+3.49, +6.758,+11.283,+0.934
1661068620,+3.49, +6.758,+11.266,+0.933
1661069520,+3.49, +6.729,+11.277,+0.933
1661070420,+3.49, +6.719,+11.280,+0.933
1661071320,+3.49, +6.719,+11.296,+0.934
1661072220,+3.49, +6.690,+11.294,+0.933
1661073120,+3.49, +6.651,+11.292,+0.933
1661074020,+3.49, +6.612,+11.339,+0.934
1661074920,+3.49, +6.593,+11.337,+0.933
1661075820,+3.49, +6.545,+11.352,+0.933
1661076720,+3.49, +6.535,+11.358,+0.934
1661077620,+3.49, +6.516,+11.348,+0.933
1661078520,+3.49, +6.477,+11.366,+0.934
1661079420,+3.49, +6.438,+11.390,+0.934
1661080320,+3.48, +6.399,+11.391,+0.933
1661081220,+3.48, +6.331,+11.414,+0.934
1661082120,+3.48, +6.311,+11.415,+0.933
1661083020,+3.48, +6.263,+11.436,+0.933
1661083920,+3.48, +6.224,+11.447,+0.933
1661084820,+3.48, +6.175,+11.483,+0.934
1661085720,+3.48, +6.155,+11.482,+0.934
1661086620,+3.49, +6.155,+11.457,+0.934
1661087520,+3.49, +6.097,+11.515,+0.934
1661088420,+3.49, +6.058,+11.522,+0.934
1661089320,+3.49, +6.038,+11.503,+0.933
1661090220,+3.49, +5.979,+11.542,+0.934
1661091120,+3.49, +5.950,+11.538,+0.933
1661092020,+3.49, +5.921,+11.551,+0.933
1661092920,+3.49, +5.832,+11.581,+0.933
1661093820,+3.49, +5.813,+11.586,+0.933
1661094720,+3.49, +5.724,+11.634,+0.934
1661095620,+3.49, +5.704,+11.633,+0.933
1661096520,+3.49, +5.645,+11.667,+0.934
1661097420,+3.49, +5.606,+11.704,+0.934
1661098320,+3.49, +5.606,+11.701,+0.934
1661099220,+3.49, +5.576,+11.713,+0.933
1661100120,+3.49, +5.556,+11.748,+0.934
1661101020,+3.49, +5.517,+11.758,+0.934
1661101920,+3.49, +5.527,+11.773,+0.934
1661102820,+3.49, +5.507,+11.773,+0.934
1661103720,+3.49, +5.517,+11.765,+0.933
1661104620,+3.49, +5.527,+11.777,+0.934
1661105520,+3.49, +5.497,+11.789,+0.933
1661106420,+3.49, +5.477,+11.809,+0.934
1661107320,+3.49, +5.458,+11.840,+0.934
1661108220,+3.49, +5.458,+11.879,+0.933
1661109120,+3.49, +5.477,+11.912,+0.934
1661110020,+3.49, +5.517,+11.918,+0.933
1661110920,+3.49, +5.517,+11.926,+0.934
1661111820,+3.49, +5.527,+11.933,+0.934
1661112720,+3.49, +5.537,+11.936,+0.933
1661113620,+3.49, +5.556,+11.967,+0.933
1661114520,+3.49, +5.576,+11.994,+0.934
1661115420,+3.49, +5.596,+11.986,+0.933
1661116320,+3.49, +5.625,+11.991,+0.934
1661117220,+3.49, +5.616,+11.999,+0.933
1661118120,+3.49, +5.685,+11.970,+0.933
1661119020,+3.49, +5.675,+11.974,+0.933
1661119920,+3.49, +5.704,+11.983,+0.934
1661120820,+3.49, +5.694,+11.977,+0.933
1661121720,+3.49, +5.724,+11.959,+0.933
1661122620,+3.49, +5.744,+11.947,+0.933
