MiniDOT Logger Concatenated Data File
Sensor:             7450-149332
Concatenation Date: 2022May13 17:12:34 AKDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at pressure: 993.79 (mbar)

            Unix Timestamp,               UTC_Date_&_Time,          Alaska Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1652398260,           2022-05-12 23:31:00,           2022-05-12 15:31:00,      3.510000,     27.145000,          7.943000,                   101.975018,      0.944000
                1652398320,           2022-05-12 23:32:00,           2022-05-12 15:32:00,      3.510000,     29.763000,          7.243000,                    97.383113,      0.939000
                1652398380,           2022-05-12 23:33:00,           2022-05-12 15:33:00,      3.510000,     31.193000,          6.998000,                    96.434464,      0.937000
                1652398440,           2022-05-12 23:34:00,           2022-05-12 15:34:00,      3.510000,     32.111000,          6.836000,                    95.683457,      0.936000
                1652398500,           2022-05-12 23:35:00,           2022-05-12 15:35:00,      3.510000,     32.682000,          6.711000,                    94.842830,      0.933000
                1652398560,           2022-05-12 23:36:00,           2022-05-12 15:36:00,      3.510000,     33.097000,          6.631000,                    94.367214,      0.932000
                1652398620,           2022-05-12 23:37:00,           2022-05-12 15:37:00,      3.510000,     33.344000,          6.583000,                    94.072027,      0.931000
                1652398680,           2022-05-12 23:38:00,           2022-05-12 15:38:00,      3.510000,     33.504000,          6.545000,                    93.779194,      0.930000
                1652398740,           2022-05-12 23:39:00,           2022-05-12 15:39:00,      3.510000,     33.628000,          6.525000,                    93.686132,      0.929000
                1652398800,           2022-05-12 23:40:00,           2022-05-12 15:40:00,      3.510000,     33.690000,          6.505000,                    93.495493,      0.928000
                1652398860,           2022-05-12 23:41:00,           2022-05-12 15:41:00,      3.510000,     33.743000,          6.496000,                    93.448569,      0.928000
                1652398920,           2022-05-12 23:42:00,           2022-05-12 15:42:00,      3.510000,     33.761000,          6.488000,                    93.361453,      0.928000
                1652398980,           2022-05-12 23:43:00,           2022-05-12 15:43:00,      3.510000,     33.770000,          6.487000,                    93.361047,      0.928000
                1652399040,           2022-05-12 23:44:00,           2022-05-12 15:44:00,      3.510000,     33.770000,          6.471000,                    93.130774,      0.927000
                1652399100,           2022-05-12 23:45:00,           2022-05-12 15:45:00,      3.510000,     33.752000,          6.471000,                    93.102877,      0.926000
                1652399160,           2022-05-12 23:46:00,           2022-05-12 15:46:00,      3.510000,     33.734000,          6.482000,                    93.233201,      0.927000
                1652399220,           2022-05-12 23:47:00,           2022-05-12 15:47:00,      3.510000,     33.717000,          6.480000,                    93.178058,      0.927000
                1652399280,           2022-05-12 23:48:00,           2022-05-12 15:48:00,      3.510000,     33.672000,          6.495000,                    93.323781,      0.927000
                1652399340,           2022-05-12 23:49:00,           2022-05-12 15:49:00,      3.510000,     33.655000,          6.490000,                    93.225532,      0.927000
                1652399400,           2022-05-12 23:50:00,           2022-05-12 15:50:00,      3.510000,     33.610000,          6.492000,                    93.184359,      0.927000
                1652399460,           2022-05-12 23:51:00,           2022-05-12 15:51:00,      3.510000,     33.566000,          6.486000,                    93.029973,      0.926000
                1652399520,           2022-05-12 23:52:00,           2022-05-12 15:52:00,      3.510000,     33.513000,          6.499000,                    93.134071,      0.927000
                1652399580,           2022-05-12 23:53:00,           2022-05-12 15:53:00,      3.510000,     33.468000,          6.515000,                    93.293282,      0.928000
                1652399640,           2022-05-12 23:54:00,           2022-05-12 15:54:00,      3.510000,     33.415000,          6.512000,                    93.167854,      0.928000
                1652399700,           2022-05-12 23:55:00,           2022-05-12 15:55:00,      3.510000,     33.353000,          6.517000,                    93.142883,      0.927000
                1652399760,           2022-05-12 23:56:00,           2022-05-12 15:56:00,      3.520000,     33.309000,          6.517000,                    93.074420,      0.927000
                1652399820,           2022-05-12 23:57:00,           2022-05-12 15:57:00,      3.520000,     33.229000,          6.518000,                    92.964260,      0.927000
                1652399880,           2022-05-12 23:58:00,           2022-05-12 15:58:00,      3.520000,     33.185000,          6.530000,                    93.066874,      0.928000
