"Time..sec.","BV..Volts.","T..deg.C.","DO..mg.l.","Q..."
1654126080,3.48,6.5,11.707,0.948
1654126980,3.48,6.664,11.655,0.948
1654127880,3.48,6.819,11.598,0.948
1654128780,3.48,6.964,11.536,0.948
1654129680,3.47,7.079,11.511,0.949
1654130580,3.47,7.156,11.463,0.948
1654131480,3.47,7.252,11.416,0.948
1654132380,3.47,7.348,11.379,0.948
1654133280,3.47,7.443,11.342,0.949
1654134180,3.47,7.538,11.306,0.948
1654135080,3.47,7.634,11.281,0.949
1654135980,3.48,7.729,11.238,0.948
1654136880,3.48,7.776,11.231,0.949
1654137780,3.48,7.871,11.194,0.948
1654138680,3.48,7.928,11.166,0.948
1654139580,3.48,7.994,11.146,0.949
1654140480,3.48,8.051,11.113,0.949
1654141380,3.48,8.089,11.101,0.949
1654142280,3.48,8.107,11.104,0.949
1654143180,3.48,8.107,11.084,0.948
1654144080,3.48,8.107,11.093,0.949
1654144980,3.48,8.079,11.097,0.949
1654145880,3.48,8.041,11.105,0.949
1654146780,3.48,8.032,11.104,0.949
1654147680,3.48,7.985,11.116,0.949
1654148580,3.48,7.918,11.142,0.949
1654149480,3.48,7.909,11.145,0.949
1654150380,3.48,7.852,11.152,0.949
1654151280,3.48,7.786,11.16,0.948
1654152180,3.48,7.719,11.197,0.949
1654153080,3.48,7.662,11.204,0.949
1654153980,3.47,7.577,11.227,0.949
1654154880,3.47,7.529,11.238,0.948
1654155780,3.48,7.472,11.241,0.948
1654156680,3.48,7.376,11.276,0.948
1654157580,3.48,7.3,11.292,0.948
1654158480,3.48,7.242,11.312,0.948
1654159380,3.48,7.175,11.327,0.948
1654160280,3.48,7.108,11.364,0.949
1654161180,3.48,7.031,11.37,0.948
1654162080,3.48,6.935,11.401,0.948
1654162980,3.48,6.848,11.435,0.948
1654163880,3.48,6.781,11.459,0.948
1654164780,3.48,6.674,11.496,0.948
1654165680,3.48,6.626,11.485,0.947
1654166580,3.48,6.538,11.515,0.947
1654167480,3.48,6.451,11.554,0.948
1654168380,3.48,6.354,11.59,0.948
1654169280,3.48,6.256,11.615,0.947
1654170180,3.48,6.168,11.649,0.948
1654171080,3.48,6.09,11.673,0.947
1654171980,3.48,6.022,11.705,0.948
1654172880,3.48,5.943,11.706,0.947
1654173780,3.48,5.874,11.737,0.947
1654174680,3.48,5.766,11.762,0.947
1654175580,3.48,5.697,11.79,0.947
1654176480,3.48,5.638,11.822,0.947
1654177380,3.48,5.579,11.845,0.947
1654178280,3.48,5.48,11.878,0.947
1654179180,3.48,5.44,11.895,0.947
1654180080,3.48,5.411,11.905,0.947
1654180980,3.48,5.331,11.94,0.947
1654181880,3.48,5.301,11.96,0.947
1654182780,3.48,5.262,11.962,0.947
1654183680,3.48,5.222,11.976,0.947
1654184580,3.48,5.182,12,0.947
1654185480,3.48,5.142,12.003,0.946
1654186380,3.48,5.082,12.04,0.947
1654187280,3.48,5.092,12.029,0.947
1654188180,3.48,5.042,12.059,0.947
1654189080,3.48,5.032,12.041,0.946
1654189980,3.48,4.972,12.091,0.947
1654190880,3.48,4.992,12.092,0.947
1654191780,3.48,5.002,12.077,0.946
1654192680,3.48,5.022,12.075,0.946
1654193580,3.48,5.012,12.082,0.946
1654194480,3.48,5.042,12.09,0.947
1654195380,3.48,5.072,12.068,0.946
1654196280,3.48,5.102,12.068,0.947
1654197180,3.48,5.172,12.049,0.947
1654198080,3.48,5.252,12.031,0.947
1654198980,3.48,5.311,12.037,0.947
1654199880,3.48,5.411,11.992,0.947
1654200780,3.48,5.539,11.955,0.947
1654201680,3.48,5.628,11.937,0.947
1654202580,3.48,5.756,11.905,0.947
1654203480,3.48,5.845,11.872,0.947
1654204380,3.48,5.963,11.85,0.948
1654205280,3.48,6.1,11.802,0.948
1654206180,3.48,6.178,11.781,0.948
1654207080,3.47,6.305,11.717,0.948
1654207980,3.48,6.393,11.693,0.948
1654208880,3.48,6.577,11.65,0.948
1654209780,3.48,6.723,11.599,0.948
1654210680,3.48,6.838,11.549,0.948
1654211580,3.48,6.964,11.521,0.948
1654212480,3.48,7.098,11.474,0.948
