7450-184024
OS REV: 1.05 Sensor Cal: 1629386966
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1660115460,+3.47, +5.152,+12.164,+0.941
1660116360,+3.47, +5.092,+12.207,+0.942
1660117260,+3.47, +5.092,+12.188,+0.942
1660118160,+3.47, +5.032,+12.199,+0.941
1660119060,+3.47, +5.012,+12.201,+0.941
1660119960,+3.47, +4.972,+12.229,+0.941
1660120860,+3.47, +4.942,+12.231,+0.941
1660121760,+3.47, +4.922,+12.229,+0.941
1660122660,+3.47, +4.852,+12.277,+0.942
1660123560,+3.47, +4.832,+12.275,+0.941
1660124460,+3.47, +4.792,+12.291,+0.941
1660125360,+3.47, +4.772,+12.302,+0.941
1660126260,+3.47, +4.732,+12.326,+0.941
1660127160,+3.47, +4.712,+12.311,+0.941
1660128060,+3.47, +4.672,+12.333,+0.941
1660128960,+3.47, +4.631,+12.348,+0.941
1660129860,+3.47, +4.601,+12.350,+0.941
1660130760,+3.47, +4.571,+12.371,+0.941
1660131660,+3.47, +4.531,+12.375,+0.941
1660132560,+3.47, +4.510,+12.379,+0.941
1660133460,+3.47, +4.450,+12.416,+0.941
1660134360,+3.47, +4.430,+12.401,+0.940
1660135260,+3.47, +4.399,+12.435,+0.941
1660136160,+3.47, +4.389,+12.421,+0.941
1660137060,+3.47, +4.339,+12.448,+0.941
1660137960,+3.47, +4.308,+12.462,+0.941
1660138860,+3.47, +4.298,+12.471,+0.941
1660139760,+3.47, +4.257,+12.465,+0.941
1660140660,+3.47, +4.217,+12.496,+0.941
1660141560,+3.47, +4.166,+12.494,+0.940
1660142460,+3.47, +4.146,+12.503,+0.940
1660143360,+3.47, +4.115,+12.524,+0.941
1660144260,+3.47, +4.095,+12.528,+0.941
1660145160,+3.48, +4.085,+12.540,+0.941
1660146060,+3.47, +4.034,+12.554,+0.941
1660146960,+3.47, +3.993,+12.559,+0.940
1660147860,+3.47, +3.973,+12.585,+0.941
1660148760,+3.47, +3.952,+12.579,+0.940
1660149660,+3.47, +3.942,+12.591,+0.940
1660150560,+3.47, +3.932,+12.593,+0.940
1660151460,+3.47, +3.891,+12.611,+0.940
1660152360,+3.47, +3.891,+12.624,+0.940
1660153260,+3.47, +3.881,+12.628,+0.940
1660154160,+3.47, +3.871,+12.639,+0.940
1660155060,+3.47, +3.860,+12.636,+0.940
1660155960,+3.47, +3.871,+12.634,+0.940
1660156860,+3.47, +3.881,+12.625,+0.940
1660157760,+3.47, +3.871,+12.637,+0.940
1660158660,+3.47, +3.850,+12.640,+0.940
1660159560,+3.47, +3.850,+12.648,+0.940
1660160460,+3.47, +3.871,+12.644,+0.940
1660161360,+3.47, +3.922,+12.623,+0.940
1660162260,+3.47, +3.942,+12.631,+0.940
1660163160,+3.47, +4.013,+12.613,+0.940
1660164060,+3.47, +4.085,+12.583,+0.940
1660164960,+3.47, +4.166,+12.574,+0.940
1660165860,+3.47, +4.237,+12.547,+0.940
1660166760,+3.47, +4.318,+12.528,+0.940
1660167660,+3.47, +4.389,+12.509,+0.940
1660168560,+3.47, +4.480,+12.478,+0.940
1660169460,+3.47, +4.591,+12.440,+0.941
1660170360,+3.47, +4.662,+12.411,+0.940
1660171260,+3.47, +4.772,+12.381,+0.941
1660172160,+3.47, +4.872,+12.346,+0.941
1660173060,+3.47, +4.972,+12.314,+0.941
1660173960,+3.47, +5.062,+12.265,+0.941
1660174860,+3.47, +5.142,+12.254,+0.941
1660175760,+3.47, +5.262,+12.213,+0.941
1660176660,+3.47, +5.361,+12.182,+0.941
1660177560,+3.47, +5.440,+12.149,+0.941
1660178460,+3.47, +5.569,+12.114,+0.941
1660179360,+3.47, +5.638,+12.092,+0.942
1660180260,+3.47, +5.717,+12.060,+0.942
1660181160,+3.47, +5.796,+12.029,+0.942
1660182060,+3.47, +5.884,+11.998,+0.942
1660182960,+3.47, +5.953,+11.958,+0.942
1660183860,+3.47, +6.002,+11.942,+0.942
1660184760,+3.47, +6.031,+11.935,+0.942
1660185660,+3.47, +6.071,+11.911,+0.942
1660186560,+3.47, +6.129,+11.879,+0.942
1660187460,+3.47, +6.168,+11.863,+0.942
1660188360,+3.47, +6.227,+11.837,+0.942
1660189260,+3.47, +6.247,+11.828,+0.942
1660190160,+3.47, +6.305,+11.804,+0.942
1660191060,+3.47, +6.325,+11.794,+0.942
1660191960,+3.47, +6.334,+11.787,+0.942
1660192860,+3.47, +6.325,+11.800,+0.943
1660193760,+3.47, +6.344,+11.789,+0.943
1660194660,+3.47, +6.315,+11.798,+0.943
1660195560,+3.47, +6.305,+11.786,+0.942
1660196460,+3.47, +6.266,+11.792,+0.942
1660197360,+3.47, +6.208,+11.814,+0.942
1660198260,+3.47, +6.168,+11.816,+0.942
1660199160,+3.47, +6.120,+11.841,+0.942
1660200060,+3.47, +6.031,+11.856,+0.942
1660200960,+3.47, +5.982,+11.878,+0.942
1660201860,+3.47, +5.933,+11.890,+0.942
