Data was saved using Vista Data Vision
Saved: 2022-11-01 23:40:30

Time Period: 2017-10-19 23:59:59 - 2022-10-18 23:59:59

Time,CPCRW CRREL Main Met Station: PYR_Total_TOT[N/A],CPCRW CRREL Main Met Station: PAR_Den_AVG[W/m2]
2017-10-20 00:00:00,0,0
2017-10-20 01:00:00,0,0
2017-10-20 02:00:00,0,0
2017-10-20 03:00:00,0,0
2017-10-20 04:00:00,0,0
2017-10-20 05:00:00,0,0
2017-10-20 06:00:00,0,0
2017-10-20 07:00:00,0,0
2017-10-20 08:00:00,0.115,0.498
2017-10-20 09:00:00,2.122,10.5
2017-10-20 10:00:00,8.09,40.21
2017-10-20 11:00:00,11.05,81
2017-10-20 12:00:00,14.06,120.2
2017-10-20 13:00:00,12.55,140.6
2017-10-20 14:00:00,11.81,131.7
2017-10-20 15:00:00,8.71,108.2
2017-10-20 16:00:00,3.317,35.92
2017-10-20 17:00:00,1.411,11.04
2017-10-20 18:00:00,0.183,0.943
2017-10-20 19:00:00,0,0
2017-10-20 20:00:00,0,0
2017-10-20 21:00:00,0,0
2017-10-20 22:00:00,0,0
2017-10-20 23:00:00,0,0
2017-10-21 00:00:00,0,0
2017-10-21 01:00:00,0,0
2017-10-21 02:00:00,0,0
2017-10-21 03:00:00,0,0
2017-10-21 04:00:00,0,0
2017-10-21 05:00:00,0,0
2017-10-21 06:00:00,0,0
2017-10-21 07:00:00,0,0
2017-10-21 08:00:00,0.077,0.354
2017-10-21 09:00:00,1.873,9.05
2017-10-21 10:00:00,5.396,29.75
2017-10-21 11:00:00,14.08,92.9
2017-10-21 12:00:00,13.94,103.6
2017-10-21 13:00:00,15.47,153.7
2017-10-21 14:00:00,11.62,113.3
2017-10-21 15:00:00,13.51,96.4
2017-10-21 16:00:00,7.555,40.5
2017-10-21 17:00:00,2.408,12.03
2017-10-21 18:00:00,0.104,0.576
2017-10-21 19:00:00,0,0
2017-10-21 20:00:00,0,0
2017-10-21 21:00:00,0,0
2017-10-21 22:00:00,0,0
2017-10-21 23:00:00,0,0
2017-10-22 00:00:00,0,0
2017-10-22 01:00:00,0,0
2017-10-22 02:00:00,0,0
2017-10-22 03:00:00,0,0
2017-10-22 04:00:00,0,0
2017-10-22 05:00:00,0,0
2017-10-22 06:00:00,0,0
2017-10-22 07:00:00,0,0
2017-10-22 08:00:00,0.063,0.21
2017-10-22 09:00:00,1.324,6.905
2017-10-22 10:00:00,7.338,36.32
2017-10-22 11:00:00,15.68,82.9
2017-10-22 12:00:00,8.58,45.43
2017-10-22 13:00:00,11.84,58.25
2017-10-22 14:00:00,9.77,48.74
2017-10-22 15:00:00,10.92,50.1
2017-10-22 16:00:00,5.683,29.51
2017-10-22 17:00:00,1.896,9.86
2017-10-22 18:00:00,0.096,0.537
2017-10-22 19:00:00,0,0
2017-10-22 20:00:00,0,0
2017-10-22 21:00:00,0,0
2017-10-22 22:00:00,0,0
2017-10-22 23:00:00,0,0
2017-10-23 00:00:00,0,0
2017-10-23 01:00:00,0,0
2017-10-23 02:00:00,0,0
2017-10-23 03:00:00,0,0
2017-10-23 04:00:00,0,0
2017-10-23 05:00:00,0,0
2017-10-23 06:00:00,0,0
2017-10-23 07:00:00,0,0
2017-10-23 08:00:00,0.099,0.236
2017-10-23 09:00:00,1.601,8.18
2017-10-23 10:00:00,7.234,39.12
2017-10-23 11:00:00,10.26,65.91
2017-10-23 12:00:00,16.83,105.3
2017-10-23 13:00:00,14.17,70.01
2017-10-23 14:00:00,17.04,98.5
2017-10-23 15:00:00,10.62,65.33
2017-10-23 16:00:00,5.137,24.53
2017-10-23 17:00:00,1.604,8.6
2017-10-23 18:00:00,0.046,0.262
2017-10-23 19:00:00,0,0
2017-10-23 20:00:00,0,0
2017-10-23 21:00:00,0,0
2017-10-23 22:00:00,0,0
2017-10-23 23:00:00,0,0
2017-10-24 00:00:00,0,0
2017-10-24 01:00:00,0,0
2017-10-24 02:00:00,0,0
2017-10-24 03:00:00,0,0
2017-10-24 04:00:00,0,0
2017-10-24 05:00:00,0,0
2017-10-24 06:00:00,0,0
2017-10-24 07:00:00,0,0
2017-10-24 08:00:00,0,0
2017-10-24 09:00:00,0.626,3.391
2017-10-24 10:00:00,3.799,17.44
2017-10-24 11:00:00,7.416,33.6
2017-10-24 12:00:00,10.23,45.97
2017-10-24 13:00:00,9.16,41.08
2017-10-24 14:00:00,7.577,34.11
2017-10-24 15:00:00,4.765,21.43
