Site Name ,POKE
Site Number ,2
Logger ,Integrating Light Sensor
Logger Serial Number ,11619


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,06/05/2021 , 17:15:00,29395,29395
2,06/05/2021 , 17:30:00,24248,24248
3,06/05/2021 , 17:45:00,17022,17022
4,06/05/2021 , 18:00:00,14579,14579
5,06/05/2021 , 18:15:00,13177,13177
6,06/05/2021 , 18:30:00,11983,11983
7,06/05/2021 , 18:45:00,11068,11068
8,06/05/2021 , 19:00:00,8732,8732
9,06/05/2021 , 19:15:00,8087,8087
10,06/05/2021 , 19:30:00,7462,7462
11,06/05/2021 , 19:45:00,6105,6105
12,06/05/2021 , 20:00:00,5524,5524
13,06/05/2021 , 20:15:00,5462,5462
14,06/05/2021 , 20:30:00,4673,4673
15,06/05/2021 , 20:45:00,4580,4580
16,06/05/2021 , 21:00:00,4117,4117
17,06/05/2021 , 21:15:00,3212,3212
18,06/05/2021 , 21:30:00,2548,2548
19,06/05/2021 , 21:45:00,1801,1801
20,06/05/2021 , 22:00:00,1172,1172
21,06/05/2021 , 22:15:00,689,689
22,06/05/2021 , 22:30:00,374,374
23,06/05/2021 , 22:45:00,185,185
24,06/05/2021 , 23:00:00,93,93
25,06/05/2021 , 23:15:00,40,40
26,06/05/2021 , 23:30:00,15,15
27,06/05/2021 , 23:45:00,6,6
28,06/05/2021 , 24:00:00,2,2
29,07/05/2021 , 00:15:00,0,0
30,07/05/2021 , 00:30:00,0,0
31,07/05/2021 , 00:45:00,0,0
32,07/05/2021 , 01:00:00,0,0
33,07/05/2021 , 01:15:00,0,0
34,07/05/2021 , 01:30:00,0,0
35,07/05/2021 , 01:45:00,0,0
36,07/05/2021 , 02:00:00,0,0
37,07/05/2021 , 02:15:00,0,0
38,07/05/2021 , 02:30:00,0,0
39,07/05/2021 , 02:45:00,0,0
40,07/05/2021 , 03:00:00,0,0
41,07/05/2021 , 03:15:00,0,0
42,07/05/2021 , 03:30:00,0,0
43,07/05/2021 , 03:45:00,0,0
44,07/05/2021 , 04:00:00,3,3
45,07/05/2021 , 04:15:00,4,4
46,07/05/2021 , 04:30:00,11,11
47,07/05/2021 , 04:45:00,35,35
48,07/05/2021 , 05:00:00,115,115
49,07/05/2021 , 05:15:00,208,208
50,07/05/2021 , 05:30:00,530,530
51,07/05/2021 , 05:45:00,459,459
52,07/05/2021 , 06:00:00,425,425
53,07/05/2021 , 06:15:00,481,481
54,07/05/2021 , 06:30:00,814,814
55,07/05/2021 , 06:45:00,1096,1096
56,07/05/2021 , 07:00:00,1879,1879
57,07/05/2021 , 07:15:00,2201,2201
58,07/05/2021 , 07:30:00,2523,2523
59,07/05/2021 , 07:45:00,2292,2292
60,07/05/2021 , 08:00:00,2169,2169
61,07/05/2021 , 08:15:00,2062,2062
62,07/05/2021 , 08:30:00,3007,3007
63,07/05/2021 , 08:45:00,5406,5406
64,07/05/2021 , 09:00:00,8155,8155
65,07/05/2021 , 09:15:00,10022,10022
66,07/05/2021 , 09:30:00,9964,9964
67,07/05/2021 , 09:45:00,16414,16414
68,07/05/2021 , 10:00:00,15521,15521
69,07/05/2021 , 10:15:00,11556,11556
70,07/05/2021 , 10:30:00,13912,13912
71,07/05/2021 , 10:45:00,20770,20770
72,07/05/2021 , 11:00:00,22848,22848
73,07/05/2021 , 11:15:00,22553,22553
74,07/05/2021 , 11:30:00,22008,22008
75,07/05/2021 , 11:45:00,19987,19987
76,07/05/2021 , 12:00:00,17406,17406
77,07/05/2021 , 12:15:00,17722,17722
78,07/05/2021 , 12:30:00,17276,17276
79,07/05/2021 , 12:45:00,15477,15477
80,07/05/2021 , 13:00:00,15864,15864
81,07/05/2021 , 13:15:00,14964,14964
82,07/05/2021 , 13:30:00,13759,13759
83,07/05/2021 , 13:45:00,13847,13847
84,07/05/2021 , 14:00:00,17194,17194
85,07/05/2021 , 14:15:00,19936,19936
86,07/05/2021 , 14:30:00,17489,17489
87,07/05/2021 , 14:45:00,17841,17841
88,07/05/2021 , 15:00:00,16994,16994
89,07/05/2021 , 15:15:00,18365,18365
90,07/05/2021 , 15:30:00,20579,20579
91,07/05/2021 , 15:45:00,21236,21236
92,07/05/2021 , 16:00:00,29637,29637
93,07/05/2021 , 16:15:00,27306,27306
94,07/05/2021 , 16:30:00,23214,23214
95,07/05/2021 , 16:45:00,12991,12991
96,07/05/2021 , 17:00:00,12752,12752
97,07/05/2021 , 17:15:00,14189,14189
98,07/05/2021 , 17:30:00,15641,15641
99,07/05/2021 , 17:45:00,16835,16835
100,07/05/2021 , 18:00:00,19110,19110
101,07/05/2021 , 18:15:00,21176,21176
102,07/05/2021 , 18:30:00,17020,17020
103,07/05/2021 , 18:45:00,18316,18316
104,07/05/2021 , 19:00:00,19704,19704
105,07/05/2021 , 19:15:00,15483,15483
