Site,Date,Total width (cm):,Time,Distance (cm),Depth (cm),Velocity (m/s),Velocity 1/2 depth,Velocity 2X depth,Mean Vel (m/s)
FRCH,200615,174,10:30,26,0,0,0,0,0
FRCH,200615,,,36,118,0.22,0.26,0.18,0.22
FRCH,200615,,,56,128,0.1,0.08,0.12,0.1
FRCH,200615,,,76,132,0.165,0.21,0.12,0.165
FRCH,200615,,,96,130,0.19,0.19,0.19,0.19
FRCH,200615,,,116,124,0.185,0.19,0.18,0.185
FRCH,200615,,,136,120,0.185,0.21,0.16,0.185
FRCH,200615,,,156,114,0.185,0.17,0.2,0.185
FRCH,200615,,,176,105,0.14,0.17,0.11,0.14
FRCH,200615,,,196,93,0.14,0.15,0.13,0.14
FRCH,200716,300,10:45,65,86,0.005,0,0.01,0.005
FRCH,200716,,,95,75,0.01,0,0.02,0.01
FRCH,200716,,,125,90,0.125,0,0.25,0.125
FRCH,200716,,,155,110,0.17,0.02,0.32,0.17
FRCH,200716,,,185,111,0.335,0.3,0.37,0.335
FRCH,200716,,,215,110,0.38,0.38,0.38,0.38
FRCH,200716,,,245,115,0.35,0.34,0.36,0.35
FRCH,200716,,,275,115,0.35,0.36,0.34,0.35
FRCH,200716,,,305,100,0.255,0.22,0.29,0.255
FRCH,200716,,,335,120,0.205,0.14,0.27,0.205
FRCH,200716,,,365,115,0.095,0.01,0.18,0.095
FRCH,200805,165,9:15,40,114,0.1,0.09,0.11,0.1
FRCH,200805,,,50,126,0.215,0.22,0.21,0.215
FRCH,200805,,,60,134,0.235,0.28,0.19,0.235
FRCH,200805,,,70,138,0.24,0.27,0.21,0.24
FRCH,200805,,,80,138,0.265,0.28,0.25,0.265
FRCH,200805,,,90,138,0.265,0.28,0.25,0.265
FRCH,200805,,,100,136,0.28,0.29,0.27,0.28
FRCH,200805,,,110,134,0.285,0.3,0.27,0.285
FRCH,200805,,,120,132,0.26,0.26,0.26,0.26
FRCH,200805,,,130,132,0.27,0.3,0.24,0.27
FRCH,200805,,,140,130,0.28,0.28,0.28,0.28
FRCH,200805,,,150,128,0.28,0.31,0.25,0.28
FRCH,200805,,,160,126,0.27,0.26,0.28,0.27
FRCH,200805,,,170,122,0.26,0.26,0.26,0.26
FRCH,200805,,,180,120,0.26,0.25,0.27,0.26
FRCH,200805,,,190,116,0.215,0.16,0.27,0.215
FRCH,200805,,,200,105,0.18,0.14,0.22,0.18
FRCH,200817,180,9:30,80,122,0.115,0.08,0.15,0.115
FRCH,200817,,,90,122,0.15,0.14,0.16,0.15
FRCH,200817,,,100,124,0.115,0.11,0.12,0.115
FRCH,200817,,,110,122,0.15,0.17,0.13,0.15
FRCH,200817,,,120,122,0.155,0.16,0.15,0.155
FRCH,200817,,,130,118,0.175,0.19,0.16,0.175
FRCH,200817,,,140,116,0.17,0.17,0.17,0.17
FRCH,200817,,,150,112,0.19,0.2,0.18,0.19
FRCH,200817,,,160,112,0.19,0.19,0.19,0.19
FRCH,200817,,,170,106,0.19,0.18,0.2,0.19
FRCH,200817,,,180,104,0.185,0.17,0.2,0.185
FRCH,200817,,,190,100,0.18,0.17,0.19,0.18
FRCH,200817,,,200,102,0.17,0.16,0.18,0.17
FRCH,200817,,,210,106,0.17,0.14,0.2,0.17
FRCH,200817,,,220,102,0.17,0.15,0.19,0.17
FRCH,200817,,,230,100,0.145,0.12,0.17,0.145
FRCH,200817,,,240,94,0.115,0.11,0.12,0.115
FRCH,200817,,,250,82,0.09,0.13,0.05,0.09
FRCH,200825,180,9:30,50,108,0.165,0.18,0.15,0.165
FRCH,200825,,,60,118,0.22,0.21,0.23,0.22
