Date,Total width (cm):,Time,Distance (cm),Depth (cm),Velocity (m/s),Velocity 1/2 depth,Velocity 2X depth,Mean Vel (m/s)
200615,640,15:00,60,,,,,
200615,,,100,42,0.1,,,0.1
200615,,,150,51,0.25,,,0.25
200615,,,200,72,0.29,,,0.29
200615,,,250,72,0.36,,,0.36
200615,,,300,80,0.365,0.39,0.34,0.365
200615,,,350,86,0.325,0.38,0.27,0.325
200615,,,400,94,0.335,0.36,0.31,0.335
200615,,,450,92,0.34,0.29,0.39,0.34
200615,,,500,96,0.355,0.34,0.37,0.355
200615,,,550,92,0.31,0.22,0.4,0.31
200615,,,600,98,0.245,0.12,0.37,0.245
200615,,,650,48,0.21,,,0.21
200615,,,700,,,,,
200716,600,14:30,70,38,0,,,0
200716,,,120,48,0.06,,,0.06
200716,,,170,53,0.19,,,0.19
200716,,,220,60,0.26,,,0.26
200716,,,,80,0.295,0.29,0.3,0.295
200716,,,,78,0.325,0.31,0.34,0.325
200716,,,,84,0.29,0.24,0.34,0.29
200716,,,,98,0.29,0.27,0.31,0.29
200716,,,470,105,0.24,0.19,0.29,0.24
200716,,,520,128,0.245,0.17,0.32,0.245
200716,,,570,76,0.195,0.19,0.2,0.195
200716,,,620,80,0.125,0.13,0.12,0.125
200716,,,670,46,0,0,0,0
200721,525,14:00,110,96,0.085,0.15,0.02,0.085
200721,,,125,96,0.075,0,0.15,0.075
200721,,,155,90,0.06,0.05,0.07,0.06
200721,,,185,80,0.105,0.03,0.18,0.105
200721,,,215,82,0.225,0.18,0.27,0.225
200721,,,245,76,0.27,0.27,0.27,0.27
200721,,,275,74,0.3,,,0.3
200721,,,305,78,0.36,0.37,0.35,0.36
200721,,,335,82,0.345,0.34,0.35,0.345
200721,,,365,82,0.31,0.27,0.35,0.31
200721,,,395,84,0.335,0.28,0.39,0.335
200721,,,425,88,0.3,0.24,0.36,0.3
200721,,,455,200,0.265,0.19,0.34,0.265
200721,,,485,104,0.32,0.27,0.37,0.32
200721,,,515,126,0.27,0.18,0.36,0.27
200721,,,545,112,0.205,0.14,0.27,0.205
200721,,,575,102,0.14,0,0.28,0.14
200721,,,605,75,0.06,,,0.06
200721,,,635,30,0.03,,,0.03
200805,700,11:50,100,58,0.19,,,0.19
200805,,,140,70,0.47,,,0.47
200805,,,180,76,0.38,0.42,0.34,0.38
200805,,,220,80,0.375,0.42,0.33,0.375
200805,,,260,82,0.38,0.39,0.37,0.38
200805,,,300,86,0.375,0.46,0.29,0.375
200805,,,340,86,0.3,0.35,0.32,0.3
200805,,,380,82,0.34,0.34,0.34,0.34
200805,,,420,80,0.265,0.21,0.32,0.265
200805,,,460,68,0.23,,,0.23
200805,,,500,62,0.21,,,0.21
200805,,,540,68,0.26,,,0.26
200805,,,580,70,0.3,,,0.3
200805,,,620,66,0.3,,,0.3
200805,,,660,66,0.2,,,0.2
200805,,,700,55,0.12,,,0.12
200805,,,740,55,0.17,,,0.17
200805,,,790,12,0.02,,,0.02
200817,700,12:00,100,40,0.27,,,0.27
200817,,,140,50,0.29,,,0.29
200817,,,180,54,0.28,,,0.28
200817,,,220,60,0.3,,,0.3
200817,,,260,62,0.3,,,0.3
200817,,,300,68,0.3,,,0.3
200817,,,340,65,0.16,,,0.16
200817,,,380,60,0.17,,,0.17
200817,,,420,52,0.18,,,0.18
200817,,,460,50,0.14,,,0.14
200817,,,500,40,0.15,,,0.15
200817,,,540,50,0.34,,,0.34
200817,,,589,40,0.17,,,0.17
200817,,,620,48,0.04,,,0.04
200817,,,660,38,0.07,,,0.07
200817,,,700,38,0.01,,,0.01
200817,,,740,36,0.02,,,0.02
200902,655,14:30,100,90,0.065,0,0.13,0.065
200902,,,130,80,0.165,0.07,0.26,0.165
200902,,,160,78,0.215,0.1,0.33,0.215
200902,,,190,68,0.25,,,0.25
200902,,,220,70,0.29,,,0.29
200902,,,250,78,0.21,0.15,0.27,0.21
200902,,,280,68,0.21,,,0.21
200902,,,310,70,0.21,,,0.21
200902,,,340,64,0.2,,,0.2
200902,,,370,60,0.28,,,0.28
200902,,,400,62,0.24,,,0.24
200902,,,430,55,0.34,,,0.34
200902,,,460,42,0.2,,,0.2
200902,,,490,40,0.14,,,0.14
200902,,,520,24,0.18,,,0.18
200902,,,550,34,0.12,,,0.12
200902,,,580,40,0.13,,,0.13
200902,,,610,36,0.06,,,0.06
200902,,,640,34,0.1,,,0.1
200902,,,670,18,0.06,,,0.06
200902,,,700,10,0,,,0
200915,680,15:00,70,90,0,0,0,0
200915,,,110,92,0.15,0.03,0.27,0.15
200915,,,150,82,0.195,0.16,0.23,0.195
200915,,,190,78,0.22,0.23,0.21,0.22
200915,,,230,96,0.175,0.13,0.22,0.175
200915,,,270,90,0.175,0.13,0.22,0.175
200915,,,310,90,0.2,0.2,0.2,0.2
200915,,,350,86,0.235,0.2,0.27,0.235
200915,,,390,78,0.27,0.22,0.32,0.27
200915,,,430,66,0.24,,,0.24
200915,,,470,58,0.26,,,0.26
200915,,,510,50,0.11,,,0.11
200915,,,550,40,0.15,,,0.15
200915,,,590,42,0.15,,,0.15
200915,,,630,52,0.16,,,0.16
200915,,,670,24,0.17,,,0.17
200915,,,710,20,0.02,,,0.02
200918,660,12:05,170,90,0,0.02,0.24,0.13
200918,,,210,58,0.21,,,0.21
200918,,,250,60,0.21,,,0.21
200918,,,290,92,0.155,0.08,0.23,0.155
200918,,,330,83,0.175,0.12,0.23,0.175
200918,,,370,86,0.2105,0.18,0.241,0.2105
200918,,,410,82,0.185,0.17,0.2,0.185
200918,,,450,76,0.185,0.16,0.21,0.185
200918,,,490,66,0.13,,,0.13
200918,,,530,32,0.14,,,0.14
200918,,,570,48,0.15,,,0.15
200918,,,610,44,0.17,,,0.17
200918,,,650,42,0.17,,,0.17
200918,,,690,50,0.06,,,0.06
200918,,,730,32,0.09,,,0.09
200918,,,770,20,0.04,,,0.04
200928,655,16:55,90,80,0.19,0.07,0.31,0.19
200928,,,130,86,0.19,0.02,0.36,0.19
200928,,,170,74,0.18,,,0.18
200928,,,210,74,0.28,,,0.28
200928,,,250,90,0.295,0.3,0.29,0.295
200928,,,290,80,0.31,0.32,0.3,0.31
200928,,,330,68,0.4,,,0.4
200928,,,370,74,0.37,,,0.37
200928,,,410,71,0.34,,,0.34
200928,,,450,58,0.29,,,0.29
200928,,,490,47,0.3,,,0.3
200928,,,530,42,0.12,,,0.12
200928,,,570,44,0.17,,,0.17
200928,,,610,50,0.12,,,0.12
200928,,,650,46,0.14,,,0.14
200928,,,690,28,0.06,,,0.06
200928,,,730,16,0,,,0
