Date,Total width (cm):,Time,Distance (cm),Depth (cm),Velocity (m/s),Velocity 1/2 depth,Velocity 2X depth,Mean Vel (m/s)
210615,450,12:30,100,10,0,,,0
210615,,,125,15,0,,,0
210615,,,150,25,0.1,,,0.1
210615,,,175,34,0.14,,,0.14
210615,,,200,41,0.15,,,0.15
210615,,,225,47,0.25,,,0.25
210615,,,250,45,0.1,,,0.1
210615,,,275,55,0.19,,,0.19
210615,,,300,60,0.28,,,0.28
210615,,,325,63,0.2,,,0.2
210615,,,350,66,0.24,,,0.24
210615,,,375,64,0.24,,,0.24
210615,,,400,63,0.25,,,0.25
210615,,,425,70,0.21,,,0.21
210615,,,450,79,,0.23,0.11,0.17
210615,,,475,70,0.14,,,0.14
210615,,,500,69,0.12,,,0.12
210615,,,525,59,0.08,,,0.08
210630,465,11:30,100,18,0.03,,,0.03
210630,,,125,25,0.06,,,0.06
210630,,,150,30,0.13,,,0.13
210630,,,175,38,0.16,,,0.16
210630,,,200,42,0.2,,,0.2
210630,,,225,52,0.28,,,0.28
210630,,,250,58,0.25,,,0.25
210630,,,275,65,0.27,,,0.27
210630,,,300,72,0.35,,,0.35
210630,,,325,73,0.29,,,0.29
210630,,,350,76,,0.18,0.34,0.26
210630,,,375,74,0.27,,,0.27
210630,,,400,73,0.2,,,0.2
210630,,,425,73,0.18,,,0.18
210630,,,450,76,,0.1,0.18,0.14
210630,,,475,72,0.05,,,0.05
210630,,,500,64,0.1,,,0.1
210630,,,525,42,0.1,,,0.1
210630,,,550,24,0.16,,,0.16
210712,470,12:30,100,14,0.01,,,0.01
210712,,,125,26,0,,,0
210712,,,150,33,0.1,,,0.1
210712,,,175,34,0.15,,,0.15
210712,,,200,38,0.15,,,0.15
210712,,,225,46,0.21,,,0.21
210712,,,250,53,0.21,,,0.21
210712,,,275,61,0.24,,,0.24
210712,,,300,64,0.26,,,0.26
210712,,,325,70,0.27,,,0.27
210712,,,350,72,0.31,,,0.31
210712,,,375,72,0.26,,,0.26
210712,,,400,70,0.21,,,0.21
210712,,,425,71,0.17,,,0.17
210712,,,450,75,,0.17,0.11,0.14
210712,,,475,67,0.07,,,0.07
210712,,,500,56,0,,,0
210712,,,525,36,0.03,,,0.03
210726,465,14:00,100,26,0,,,0
210726,,,125,26,0.01,,,0.01
210726,,,150,35,0.03,,,0.03
210726,,,175,40,0.1,,,0.1
210726,,,200,42,0.13,,,0.13
210726,,,225,50,0.19,,,0.19
210726,,,250,60,0.26,,,0.26
210726,,,275,64,0.27,,,0.27
210726,,,300,70,0.3,,,0.3
210726,,,325,74,0.33,,,0.33
210726,,,350,74,0.29,,,0.29
210726,,,375,71,0.19,,,0.19
210726,,,400,72,0.09,,,0.09
210726,,,425,7,0.06,,,0.06
210726,,,450,72,0.03,,,0.03
210726,,,475,67,0.02,,,0.02
210726,,,500,50,0.02,,,0.02
210726,,,525,38,0.06,,,0.06
210811,520,12:30,60,11,0,,,0
210811,,,85,28,0,,,0
210811,,,110,47,0.06,,,0.06
210811,,,135,47,0.19,,,0.19
210811,,,160,52,0.2,,,0.2
210811,,,185,59,0.29,,,0.29
210811,,,210,66,0.37,,,0.37
210811,,,235,74,0.32,,,0.32
210811,,,260,81,,0.35,0.25,0.3
210811,,,285,85,,0.36,0.31,0.335
210811,,,310,88,,0.37,0.31,0.34
210811,,,335,91,,0.32,0.25,0.285
210811,,,360,91,,0.3,0.3,0.3
210811,,,385,90,,0.28,0.18,0.23
210811,,,410,89,,0.26,0.2,0.23
210811,,,435,92,,0.23,0.14,0.185
210811,,,460,92,,0.22,0.09,0.155
210811,,,485,86,,0.19,0.03,0.11
210811,,,510,68,0.18,,,0.18
210811,,,535,60,0.15,,,0.15
210824,540,10:00,725,14,0.01,,,0.01
210824,,,700,34,0.06,,,0.06
210824,,,675,46,0.13,,,0.13
210824,,,650,48,0.16,,,0.16
210824,,,625,58,0.2,,,0.2
210824,,,600,70,0.33,,,0.33
210824,,,575,68,0.4,,,0.4
210824,,,550,74,0.42,,,0.42
210824,,,525,73,0.4,,,0.4
210824,,,500,75,0.4,,,0.4
210824,,,475,94,0.36,0.44,0.28,0.36
210824,,,450,98,0.375,0.45,0.3,0.375
210824,,,425,98,0.345,0.44,0.25,0.345
210824,,,400,100,0.335,0.47,0.2,0.335
210824,,,375,98,0.325,0.43,0.22,0.325
210824,,,350,100,0.3,0.41,0.19,0.3
210824,,,325,98,0.245,0.34,0.15,0.245
210824,,,300,94,0.18,0.27,0.09,0.18
210824,,,275,90,0.155,0.19,0.12,0.155
210824,,,250,86,0.13,0.24,0.02,0.13
210824,,,225,48,0.1,,,0.1
210907,500,12:45,75,10,0.01,,,0.01
210907,,,100,26,0.12,,,0.12
210907,,,125,42,0.1,,,0.1
210907,,,150,47,0.17,,,0.17
210907,,,175,54,0.3,,,0.3
210907,,,200,62,0.39,,,0.39
210907,,,225,64,0.47,,,0.47
210907,,,250,70,0.4,,,0.4
210907,,,275,72,0.37,,,0.37
210907,,,300,75,0.3,,,0.3
210907,,,325,82,0.375,0.33,0.42,0.375
210907,,,350,84,0.355,0.26,0.45,0.355
210907,,,375,92,0.405,0.35,0.46,0.405
210907,,,400,100,0.335,0.24,0.43,0.335
210907,,,425,108,0.325,0.22,0.43,0.325
210907,,,450,102,0.3,0.24,0.36,0.3
210907,,,475,100,0.225,0.18,0.27,0.225
210907,,,500,96,0.235,0.21,0.26,0.235
210907,,,525,84,0.22,0.17,0.27,0.22
210907,,,550,80,0.19,0.12,0.26,0.19
210922,480,17:00,100,6,0,,,0
210922,,,125,18,0,,,0
210922,,,150,40,0.02,,,0.02
210922,,,175,42,0.09,,,0.09
210922,,,200,51,0.12,,,0.12
210922,,,225,58,0.15,,,0.15
210922,,,250,61,0.15,,,0.15
210922,,,275,64,0.14,,,0.14
210922,,,300,68,0.15,,,0.15
210922,,,350,78,,0.19,0.18,0.185
210922,,,375,78,,0.22,0.13,0.175
210922,,,400,78,,0.18,0.12,0.15
210922,,,425,76,,0.17,0.09,0.13
210922,,,450,76,,0.15,0.11,0.13
210928,485,12:45,100,12,0,,,0
210928,,,125,20,0,,,0
210928,,,150,30,0,,,0
210928,,,175,40,0,,,0
210928,,,200,40,0,,,0
210928,,,225,48,0.01,,,0.01
210928,,,250,53,0.04,,,0.04
210928,,,275,54,0.05,,,0.05
210928,,,300,68,0.06,,,0.06
210928,,,325,72,0.08,,,0.08
210928,,,350,73,0.21,,,0.21
210928,,,375,76,0.25,0.3,0.2,0.25
210928,,,400,78,0.17,0.15,0.19,0.17
210928,,,425,76,0.17,0.15,0.19,0.17
210928,,,450,72,0.19,,,0.19
210928,,,475,73,0.18,,,0.18
210928,,,500,82,0.13,0.13,0.13,0.13
210928,,,525,70,0.08,,,0.08
210928,,,550,62,0.02,,,0.02
210928,,,575,48,0.02,,,0.02
