Date,Total width (cm):,Time,Distance,Depth,Velocity,Velocity 1/2 depth,Velocity 2X depth,Mean Vel
200616,250,9:30,115,12,0.05,,,0.05
200616,,,135,26,0.75,,,0.75
200616,,,155,26,1.02,,,1.02
200616,,,175,34,0.9,,,0.9
200616,,,195,30,0.39,,,0.39
200616,,,215,30,0.16,,,0.16
200616,,,235,30,0.34,,,0.34
200616,,,255,36,1.02,,,1.02
200616,,,275,34,0.91,,,0.91
200616,,,295,40,1.01,,,1.01
200616,,,315,36,0.27,,,0.27
200616,,,335,34,0.21,,,0.21
200616,,,355,30,0.61,,,0.61
200622,270,10:15,60,36,0.1,,,0.1
200622,,,85,36,0.06,,,0.06
200622,,,110,40,1,,,1
200622,,,135,50,0.96,,,0.96
200622,,,160,58,0.95,,,0.95
200622,,,185,62,0.5,,,0.5
200622,,,210,52,0.84,,,0.84
200622,,,235,54,0.79,,,0.79
200622,,,260,54,1.18,,,1.18
200622,,,285,54,1.08,,,1.08
200622,,,310,64,0.44,,,0.44
200708,245,11:00,60,0,0,,,
200708,,,80,20,0.33,,,0.33
200708,,,100,22,0.64,,,0.64
200708,,,120,40,0.65,,,0.65
200708,,,140,26,1.26,,,1.26
200708,,,160,38,0.84,,,0.84
200708,,,180,44,0.8,,,0.8
200708,,,200,40,0.86,,,0.86
200708,,,220,40,1.38,,,1.38
200708,,,240,46,1.23,,,1.23
200708,,,260,32,1.16,,,1.16
200708,,,280,36,1.66,,,1.66
200708,,,300,36,0.89,,,0.89
200720,255,11:30,50,22,0.02,,,0.02
200720,,,70,28,0.38,,,0.38
200720,,,90,24,0.77,,,0.77
200720,,,110,34,0.46,,,0.46
200720,,,130,26,0.64,,,0.64
200720,,,150,44,0.53,,,0.53
200720,,,170,46,0.41,,,0.41
200720,,,190,48,0.44,,,0.44
200720,,,210,48,0.48,,,0.48
200720,,,230,52,0.61,,,0.61
200720,,,250,42,0.61,,,0.61
200720,,,270,44,0.79,,,0.79
200720,,,290,26,0.65,,,0.65
200720,,,305,42,0.6,,,0.6
200728,270,17:30,40,26,0,,,0
200728,,,50,36,0.01,,,0.01
200728,,,70,36,0.25,,,0.25
200728,,,90,34,0.67,,,0.67
200728,,,110,50,0.87,,,0.87
200728,,,130,38,1.02,,,1.02
200728,,,150,52,0.9,,,0.9
200728,,,170,54,0.66,,,0.66
200728,,,190,52,0.74,,,0.74
