Date,Total width (cm):,Time,Distance (cm),Depth (cm),Velocity (m/s),Velocity 1/2 depth,Velocity 2X depth,Mean Vel (m/s)
210603,310,14:00,80,32,0.13,,,0.13
210603,,,95,36,0.16,,,0.16
210603,,,110,36,0.52,,,0.52
210603,,,125,36,0.52,,,0.52
210603,,,140,32,0.53,,,0.53
210603,,,155,30,0.66,,,0.66
210603,,,170,30,0.67,,,0.67
210603,,,185,28,0.64,,,0.64
210603,,,200,28,0.69,,,0.69
210603,,,215,26,0.65,,,0.65
210603,,,230,30,0.55,,,0.55
210603,,,245,30,0.56,,,0.56
210603,,,260,32,0.6,,,0.6
210603,,,275,34,0.67,,,0.67
210603,,,290,36,0.61,,,0.61
210603,,,305,38,0.49,,,0.49
210603,,,320,44,0.53,,,0.53
210614,280,12:00,70,40,0.45,,,0.45
210614,,,85,38,0.54,,,0.54
210614,,,100,38,0.49,,,0.49
210614,,,115,38,0.49,,,0.49
210614,,,130,38,0.5,,,0.5
210614,,,145,36,0.56,,,0.56
210614,,,160,32,0.52,,,0.52
210614,,,175,34,0.53,,,0.53
210614,,,190,28,0.54,,,0.54
210614,,,205,30,0.53,,,0.53
210614,,,220,30,0.48,,,0.48
210614,,,235,30,0.54,,,0.54
210614,,,250,30,0.56,,,0.56
210614,,,265,34,0.57,,,0.57
210614,,,280,38,0.47,,,0.47
210614,,,295,40,0.49,,,0.49
210614,,,310,42,0.44,,,0.44
210614,,,325,48,0.44,,,0.44
210614,,,340,50,0.59,,,0.59
210621,290,11:00,70,40,0.33,,,0.33
210621,,,85,40,0.36,,,0.36
210621,,,100,38,0.59,,,0.59
210621,,,115,38,0.43,,,0.43
210621,,,130,34,0.49,,,0.49
210621,,,145,34,0.63,,,0.63
210621,,,160,34,0.62,,,0.62
210621,,,175,30,0.53,,,0.53
210621,,,190,30,0.55,,,0.55
210621,,,205,28,0.55,,,0.55
210621,,,220,29,0.53,,,0.53
210621,,,235,30,0.55,,,0.55
210621,,,250,32,0.49,,,0.49
210621,,,265,34,0.54,,,0.54
210621,,,280,38,0.53,,,0.53
210621,,,295,40,0.52,,,0.52
210621,,,310,42,0.49,,,0.49
210621,,,325,48,0.42,,,0.42
210621,,,340,46,0.57,,,0.57
210621,,,355,44,0.58,,,0.58
210629,290,14:00,50,36,0.23,,,0.23
210629,,,65,36,0.24,,,0.24
210629,,,80,36,0.27,,,0.27
210629,,,95,34,0.22,,,0.22
210629,,,110,32,0.24,,,0.24
210629,,,125,32,0.21,,,0.21
210629,,,140,30,0.25,,,0.25
210629,,,155,28,0.23,,,0.23
210629,,,170,28,0.21,,,0.21
210629,,,185,26,0.21,,,0.21
210629,,,200,24,0.25,,,0.25
210629,,,215,24,0.24,,,0.24
210629,,,230,26,0.25,,,0.25
210629,,,245,28,0.27,,,0.27
210629,,,260,34,0.2,,,0.2
210629,,,275,34,0.25,,,0.25
210629,,,290,32,0.26,,,0.26
210629,,,305,38,0.22,,,0.22
210629,,,320,46,0.25,,,0.25
210629,,,335,40,0.22,,,0.22
210713,285,12:30,70,33,0.45,,,0.48
210713,,,85,32,0.48,,,0.56
210713,,,100,33,0.56,,,0.41
210713,,,115,28,0.41,,,0.49
210713,,,130,29,0.49,,,0.48
210713,,,145,28,0.48,,,0.46
210713,,,160,26,0.46,,,0.39
210713,,,175,26,0.39,,,0.45
210713,,,190,26,0.45,,,0.41
210713,,,205,21,0.41,,,0.47
210713,,,220,21,0.47,,,0.44
210713,,,235,22,0.44,,,0.4
210713,,,250,22,0.4,,,0.47
210713,,,265,27,0.47,,,0.51
210713,,,280,32,0.51,,,0.55
210713,,,295,34,0.55,,,0.46
210713,,,310,34,0.46,,,0.46
210713,,,325,37,0.46,,,0.49
210713,,,340,37,0.49,,,0.49
210713,,,355,40,0.49,,,0.39
210727,290,12:00,60,36,0.39,,,0.39
210727,,,75,36,0.44,,,0.44
210727,,,90,33,0.46,,,0.46
210727,,,105,33,0.42,,,0.42
210727,,,120,32,0.39,,,0.39
210727,,,135,30,0.42,,,0.42
210727,,,150,29,0.42,,,0.42
210727,,,165,28,0.37,,,0.37
210727,,,180,26,0.38,,,0.38
210727,,,195,26,0.37,,,0.37
210727,,,210,24,0.38,,,0.38
210727,,,225,24,0.36,,,0.36
210727,,,240,28,0.38,,,0.38
210727,,,255,28,0.44,,,0.44
210727,,,270,32,0.46,,,0.46
210727,,,285,35,0.45,,,0.45
210727,,,300,38,0.43,,,0.43
210727,,,315,40,0.38,,,0.38
210727,,,330,40,0.49,,,0.49
210727,,,345,46,0.5,,,0.5
210810,280,13:15,60,36,0.37,,,0.37
210810,,,75,38,0.49,,,0.49
210810,,,90,39,0.47,,,0.47
210810,,,105,38,0.46,,,0.46
210810,,,120,34,0.49,,,0.49
210810,,,135,32,0.51,,,0.51
210810,,,150,30,0.55,,,0.55
210810,,,165,30,0.5,,,0.5
210810,,,180,28,0.51,,,0.51
