Date,Total width (cm):,Time,Distance (cm),Depth (cm),Velocity (m/s),Velocity 1/2 depth,Velocity 2X depth,Mean Vel (m/s)
220602,555,13:15,315,80,,0.28,0.34,0.31
220602,,,345,75,0.58,,,0.58
220602,,,375,84,,0.41,0.26,0.335
220602,,,405,102,,0.57,0.45,0.51
220602,,,435,104,,0.46,0.61,0.535
220602,,,465,102,,0.85,0.51,0.68
220602,,,495,102,,0.74,0.9,0.82
220602,,,525,100,,0.97,0.85,0.91
220602,,,555,104,,0.79,0.63,0.71
220602,,,585,98,,0.78,0.67,0.725
220602,,,615,94,,0.7,0.71,0.705
220602,,,645,92,,0.77,0.64,0.705
220602,,,675,90,,0.66,0.49,0.575
220602,,,705,89,,0.6,0.55,0.575
220602,,,735,80,,0.62,0.56,0.59
220602,,,765,74,0.61,,,0.61
220602,,,795,70,0.55,,,0.55
220602,,,825,64,0.51,,,0.51
220602,,,855,50,0.32,,,0.32
220608,530,13:30,250,84,,0.13,0.05,0.09
220608,,,280,84,,0.2,0.36,0.28
220608,,,310,88,,0.35,0.63,0.49
220608,,,340,90,,0.32,0.79,0.555
220608,,,370,90,,0.66,0.8,0.73
220608,,,400,90,,0.68,0.78,0.73
220608,,,430,88,,0.58,0.64,0.61
220608,,,460,84,,0.54,0.58,0.56
220608,,,490,79,,0.58,0.66,0.62
220608,,,520,78,,0.58,0.63,0.605
220608,,,550,76,,0.34,0.67,0.505
220608,,,580,70,0.56,,,0.56
220608,,,610,66,0.46,,,0.46
220608,,,640,62,0.53,,,0.53
220608,,,670,52,0.52,,,0.52
220608,,,700,48,0.51,,,0.51
220608,,,730,42,0.38,,,0.38
220608,,,760,32,0.09,,,0.09
220706,540,11:45,140,40,0.19,,,0.19
220706,,,170,35,0.16,,,0.16
220706,,,200,58,0.39,,,0.39
220706,,,230,58,0.43,,,0.43
220706,,,260,60,0.52,,,0.52
220706,,,290,62,0.57,,,0.57
220706,,,320,63,0.52,,,0.52
220706,,,350,58,0.56,,,0.56
220706,,,380,56,0.5,,,0.5
220706,,,410,56,0.53,,,0.53
220706,,,440,56,0.49,,,0.49
220706,,,470,55,0.46,,,0.46
220706,,,500,48,0.42,,,0.42
220706,,,530,45,0.42,,,0.42
220706,,,560,42,0.33,,,0.33
220706,,,590,35,0.3,,,0.3
220706,,,620,30,0.37,,,0.37
220706,,,650,25,0.29,,,0.29
220706,,,680,17,0.19,,,0.19
220722,510,18:30,60,30,0.18,,,0.18
220722,,,90,42,0.23,,,0.23
220722,,,120,45,0.29,,,0.29
220722,,,150,46,0.21,,,0.21
220722,,,180,52,0.31,,,0.31
220722,,,210,58,0.3,,,0.3
220722,,,240,62,0.35,,,0.35
220722,,,270,72,0.37,,,0.37
220722,,,300,75,,0.38,0.28,0.33
220722,,,330,77,,0.38,0.33,0.355
220722,,,360,80,,0.39,0.37,0.38
220722,,,390,82,,0.34,0.35,0.345
220722,,,420,84,,0.38,0.34,0.36
220722,,,450,81,,0.35,0.34,0.345
220722,,,480,82,,0.36,0.3,0.33
220722,,,510,76,,0.24,0.14,0.19
220722,,,540,74,0.21,,,0.21
220726,540,18:30,70,11,0.06,,,0.06
220726,,,100,22,0.13,,,0.13
220726,,,130,32,0.17,,,0.17
220726,,,160,35,0.19,,,0.19
220726,,,190,40,0.33,,,0.33
220726,,,220,42,0.24,,,0.24
220726,,,250,50,0.18,,,0.18
220726,,,280,52,0.25,,,0.25
220726,,,310,55,0.25,,,0.25
220726,,,340,56,0.17,,,0.17
220726,,,370,58,0.31,,,0.31
220726,,,400,62,0.36,,,0.36
220726,,,430,64,0.35,,,0.35
220726,,,460,65,0.3,,,0.3
220726,,,490,65,0.32,,,0.32
220726,,,520,65,0.26,,,0.26
220726,,,550,63,0.33,,,0.33
220726,,,580,51,0.22,,,0.22
220726,,,610,46,0.08,,,0.08
220810,580,12:30,120,46,0.14,,,0.14
220810,,,160,52,0.26,,,0.26
220810,,,200,58,0.25,,,0.25
220810,,,240,63,0.39,,,0.39
220810,,,280,66,0.42,,,0.42
220810,,,320,66,0.4,,,0.4
220810,,,360,64,0.39,,,0.39
220810,,,400,56,0.36,,,0.36
220810,,,440,62,0.38,,,0.38
220810,,,480,59,0.3,,,0.3
220810,,,520,54,0.31,,,0.31
220810,,,560,46,0.25,,,0.25
220810,,,600,42,0.3,,,0.3
220810,,,640,36,0.32,,,0.32
220810,,,680,26,0.2,,,0.2
220819,570,12:15,140,44,0.2,,,0.2
220819,,,170,50,0.19,,,0.19
220819,,,200,56,0.31,,,0.31
220819,,,230,58,0.41,,,0.41
220819,,,260,62,0.39,,,0.39
220819,,,290,63,0.38,,,0.38
220819,,,320,60,0.38,,,0.38
220819,,,350,55,0.43,,,0.43
220819,,,380,54,0.38,,,0.38
220819,,,410,50,0.41,,,0.41
220819,,,440,53,0.38,,,0.38
220819,,,470,51,0.35,,,0.35
220819,,,500,45,0.29,,,0.29
220819,,,530,42,0.29,,,0.29
220819,,,560,37,0.23,,,0.23
220819,,,590,35,0.25,,,0.25
220819,,,620,30,0.3,,,0.3
220819,,,650,25,0.26,,,0.26
220819,,,680,17,0.11,,,0.11
220819,,,700,10,0.03,,,0.03
220819,,,710,10,0,,,0
220902,560,12:30,80,43,0.18,,,0.18
220902,,,110,51,0.21,,,0.21
220902,,,140,62,0.31,,,0.31
220902,,,170,71,0.33,,,0.33
220902,,,200,73,0.35,,,0.35
220902,,,230,74,0.33,,,0.33
220902,,,260,56,0.31,,,0.31
220902,,,290,60,0.36,,,0.36
220902,,,320,56,0.32,,,0.32
220902,,,350,55,0.29,,,0.29
220902,,,380,55,0.29,,,0.29
220902,,,410,50,0.29,,,0.29
220902,,,440,46,0.21,,,0.21
220902,,,470,45,0.29,,,0.29
220902,,,500,40,0.24,,,0.24
220902,,,530,36,0.18,,,0.18
220902,,,560,30,0.25,,,0.25
220902,,,590,24,0.24,,,0.24
220902,,,620,16,0.04,,,0.04
220912,605,12:30,90,25,0.09,,,0.09
220912,,,120,44,0.29,,,0.29
220912,,,150,46,0.27,,,0.27
220912,,,180,50,0.39,,,0.39
220912,,,210,50,0.4,,,0.4
220912,,,240,51,0.45,,,0.45
220912,,,270,54,0.4,,,0.4
220912,,,300,53,0.44,,,0.44
220912,,,330,53,0.43,,,0.43
220912,,,360,49,0.43,,,0.43
220912,,,390,46,0.43,,,0.43
220912,,,420,45,0.42,,,0.42
220912,,,450,42,0.39,,,0.39
220912,,,480,39,0.25,,,0.25
220912,,,510,35,0.36,,,0.36
220912,,,540,37,0.27,,,0.27
220912,,,570,35,0.25,,,0.25
220912,,,600,30,0.14,,,0.14
220912,,,630,28,0.21,,,0.21
220912,,,660,18,0.17,,,0.17
221008,570,14:15,80,36,0.18,,,0.18
221008,,,110,44,0.2,,,0.2
221008,,,140,49,0.33,,,0.33
221008,,,170,54,0.35,,,0.35
221008,,,200,54,0.37,,,0.37
221008,,,230,56,0.46,,,0.46
221008,,,260,57,0.48,,,0.48
221008,,,290,54,0.45,,,0.45
221008,,,320,53,0.47,,,0.47
221008,,,350,47,0.47,,,0.47
221008,,,380,50,0.39,,,0.39
221008,,,410,50,0.42,,,0.42
221008,,,440,47,0.37,,,0.37
221008,,,470,44,0.37,,,0.37
221008,,,500,41,0.36,,,0.36
221008,,,530,38,0.25,,,0.25
221008,,,560,33,0.27,,,0.27
221008,,,590,25,0.32,,,0.32
221008,,,620,16,0.21,,,0.21
221008,,,640,11,0.1,,,0.1
