Date,Total width (cm):,Time,Distance (cm),Depth (cm),Velocity (m/s),Velocity 1/2 depth,Velocity 2X depth,Mean Vel (m/s)
200707,610,10:30,130,,,,,0
200707,,,190,80,0.335,0.3,0.37,0.335
200707,,,250,86,0.545,0.5,0.59,0.545
200707,,,310,91,0.68,0.67,0.69,0.68
200707,,,370,90,0.7,0.66,0.74,0.7
200707,,,430,84,0.625,0.57,0.68,0.625
200707,,,490,82,0.65,0.59,0.71,0.65
200707,,,550,72,0.61,,,0.61
200707,,,610,73,0.51,,,0.51
200707,,,670,66,0.47,,,0.47
200707,,,730,52,0.2,,,0.2
200707,,,740,,,,,
200722,585,11:45,225,14,0.16,,,0.16
200722,,,240,40,0.18,,,0.18
200722,,,270,70,0.4,,,0.4
200722,,,300,86,0.505,0.43,0.58,0.505
200722,,,330,90,0.6,0.54,0.66,0.6
200722,,,360,92,0.635,0.62,0.65,0.635
200722,,,390,92,0.685,0.65,0.72,0.685
200722,,,420,94,0.69,0.69,0.69,0.69
200722,,,450,90,0.705,0.67,0.74,0.705
200722,,,480,88,0.595,0.55,0.64,0.595
200722,,,510,86,0.54,0.46,0.62,0.54
200722,,,540,82,0.515,0.48,0.55,0.515
200722,,,570,84,0.455,0.33,0.58,0.455
200722,,,600,78,0.46,0.32,0.6,0.46
200722,,,630,71,0.4,,,0.4
200722,,,660,70,0.41,,,0.41
200722,,,690,68,0.46,,,0.46
200722,,,720,62,0.35,,,0.35
200722,,,750,58,0.34,,,0.34
200722,,,780,51,0.15,,,0.15
200722,,,810,41,0,,,0
200729,560,16:40,275,46,0.1,,,0.1
200729,,,315,80,0.305,0.37,0.24,0.305
200729,,,355,88,0.28,0.27,0.29,0.28
200729,,,395,90,0.37,0.38,0.36,0.37
200729,,,435,90,0.34,0.41,0.27,0.34
200729,,,475,84,0.39,0.37,0.41,0.39
200729,,,515,79,0.365,0.39,0.34,0.365
200729,,,555,80,0.32,0.37,0.27,0.32
200729,,,595,78,0.295,0.35,0.24,0.295
200729,,,635,69,0.21,,,0.21
200729,,,675,66,0.18,,,0.18
200729,,,715,60,0.15,,,0.15
200729,,,755,50,0.12,,,0.12
200729,,,795,44,0.07,,,0.07
200729,,,835,33,0,,,0
200803,590,11:30,250,,,,,
200803,,,280,50,0.18,,,0.18
200803,,,320,86,0.215,0.25,0.18,0.215
200803,,,360,92,0.24,0.27,0.21,0.24
200803,,,400,92,0.245,0.27,0.22,0.245
200803,,,440,90,0.285,0.3,0.27,0.285
200803,,,480,86,0.27,0.26,0.28,0.27
200803,,,520,82,0.255,0.28,0.23,0.255
200803,,,560,84,0.24,0.27,0.21,0.24
200803,,,600,82,0.21,0.26,0.17,0.21
200803,,,640,74,0.45,,,0.45
200803,,,680,68,0.43,,,0.43
200803,,,720,60,0.38,,,0.38
200803,,,760,54,0.21,,,0.21
200803,,,800,53,0.09,,,0.09
200803,,,840,36,0,,,0
200819,600,12:40,290,74,0.25,,,0.25
200819,,,320,80,0.235,0.18,0.29,0.235
200819,,,350,84,0.295,0.25,0.34,0.295
200819,,,380,82,0.315,0.31,0.32,0.315
200819,,,410,82,0.35,0.35,0.35,0.35
200819,,,440,82,0.385,0.39,0.38,0.385
200819,,,470,80,0.365,0.35,0.38,0.365
200819,,,500,76,0.34,0.3,0.38,0.34
200819,,,530,73,0.38,,,0.38
200819,,,560,72,0.35,,,0.35
200819,,,590,72,0.28,,,0.28
200819,,,620,72,0.24,,,0.24
200819,,,650,62,0.26,,,0.26
200819,,,680,63,0.24,,,0.24
200819,,,710,60,0.28,,,0.28
200819,,,740,54,0.26,,,0.26
200819,,,770,54,0.22,,,0.22
200819,,,800,49,0.16,,,0.16
200819,,,830,44,0.03,,,0.03
200819,,,860,27,0,,,0
200825,540,14:15,300,76,0.305,0.27,0.34,0.305
200825,,,330,84,0.34,0.31,0.37,0.34
200825,,,360,84,0.35,0.33,0.37,0.35
200825,,,390,86,0.365,0.36,0.37,0.365
200825,,,420,84,0.41,0.39,0.43,0.41
200825,,,450,84,0.375,0.32,0.43,0.375
200825,,,480,80,0.405,0.38,0.43,0.405
200825,,,510,78,0.325,0.29,0.36,0.325
200825,,,540,80,0.275,0.29,0.26,0.275
200825,,,570,78,0.255,0.25,0.26,0.255
200825,,,600,74,0.43,,,0.43
200825,,,630,70,0.36,,,0.36
200825,,,660,54,0.41,,,0.41
200825,,,690,62,0.39,,,0.39
200825,,,720,60,0.38,,,0.38
200825,,,750,50,0.31,,,0.31
200825,,,780,42,0.09,,,0.09
200825,,,810,30,0,,,0
200901,590,11:45,370,80,0.325,0.29,0.36,0.325
200901,,,400,82,0.37,0.39,0.35,0.37
200901,,,430,82,0.365,0.35,0.38,0.365
200901,,,460,80,0.355,0.35,0.36,0.355
200901,,,490,76,0.345,0.32,0.37,0.345
200901,,,520,74,0.35,,,0.35
200901,,,550,75,0.28,,,0.28
200901,,,580,74,0.34,,,0.34
200901,,,610,70,0.27,,,0.27
200901,,,640,65,0.31,,,0.31
200901,,,670,62,0.23,,,0.23
200901,,,700,58,0.24,,,0.24
200901,,,730,58,0.19,,,0.19
200901,,,760,53,0.17,,,0.17
200901,,,790,40,0.15,,,0.15
200901,,,820,36,0.01,,,0.01
200924,600,12:30,310,74,0.4,,,0.4
200924,,,350,90,0.35,0.34,0.36,0.35
200924,,,390,88,0.415,0.39,0.44,0.415
200924,,,430,90,0.385,0.36,0.41,0.385
200924,,,470,86,0.635,0.64,0.63,0.635
200924,,,510,82,0.535,0.47,0.6,0.535
200924,,,550,84,0.47,0.32,0.62,0.47
200924,,,590,80,0.455,0.4,0.51,0.455
200924,,,630,72,0.5,,,0.5
200924,,,670,66,0.5,,,0.5
200924,,,710,62,0.42,,,0.42
200924,,,750,68,0.41,,,0.41
200924,,,790,52,0.3,,,0.3
200924,,,830,38,0,,,0
201013,640,14:30,230,40,0,,,0
201013,,,270,112,0.14,0.1,0.18,0.14
201013,,,310,120,0.145,0.11,0.18,0.145
201013,,,350,120,0.17,0.15,0.19,0.17
201013,,,390,120,0.245,0.26,0.23,0.245
201013,,,430,120,0.255,0.22,0.29,0.255
201013,,,470,120,0.215,0.19,0.24,0.215
201013,,,510,116,0.155,0.1,0.21,0.155
201013,,,550,113,0.155,0.12,0.19,0.155
201013,,,590,110,0.175,0.16,0.19,0.175
201013,,,630,103,0.155,0.15,0.16,0.155
201013,,,670,103,0.145,0.15,0.14,0.145
201013,,,710,103,0.06,0.1,0.02,0.06
201013,,,750,100,0.04,0.04,0.04,0.04
201013,,,790,90,0.015,0.03,0,0.015
