Date,Total width (cm):,Time,Distance (cm),Depth (cm),Velocity (m/s),Velocity 1/2 depth,Velocity 2X depth,Mean Vel (m/s)
200616,200,13:30,120,48,0.04,,,0.04
200616,,,140,50,0.15,,,0.15
200616,,,160,50,0.38,,,0.38
200616,,,180,60,0.6,,,0.6
200616,,,200,58,0.53,,,0.53
200616,,,220,58,0.51,,,0.51
200616,,,240,54,0.53,,,0.53
200616,,,260,54,0.27,,,0.27
200616,,,280,54,0.22,,,0.22
200616,,,300,56,0.38,,,0.38
200616,,,320,58,0.35,,,0.35
200622,210,14:45,125,,,,,
200622,,,145,72,0.45,,,0.45
200622,,,165,74,0.67,,,0.67
200622,,,185,74,0.8,,,0.8
200622,,,205,68,0.73,,,0.73
200622,,,225,64,0.65,,,0.65
200622,,,245,62,0.76,,,0.76
200622,,,265,64,0.79,,,0.79
200622,,,285,64,0.7,,,0.7
200622,,,305,70,0.55,,,0.55
200622,,,325,78,0.6,0.63,0.57,0.6
200622,,,335,,,,,
200708,225,12:15,115,12,0.05,,,0.05
200708,,,135,18,0.05,,,0.05
200708,,,155,19,0.06,,,0.06
200708,,,175,24,0.13,,,0.13
200708,,,195,22,0.13,,,0.13
200708,,,215,16,0.11,,,0.11
200708,,,235,20,0.19,,,0.19
200708,,,255,20,0.2,,,0.2
200708,,,275,18,0.06,,,0.06
200708,,,295,15,0.08,,,0.08
200708,,,315,13,0.14,,,0.14
200708,,,340,13,0.06,,,0.06
200710,235,10:00,105,31,0,,,0
200710,,,125,36,0.06,,,0.06
200710,,,145,38,0.21,,,0.21
200710,,,165,42,0.23,,,0.23
200710,,,185,46,0.41,,,0.41
200710,,,205,42,0.38,,,0.38
200710,,,225,40,0.28,,,0.28
200710,,,245,38,0.3,,,0.3
200710,,,265,38,0.27,,,0.27
200710,,,285,35,0.22,,,0.22
200710,,,305,31,0.23,,,0.23
200710,,,325,32,0.31,,,0.31
200710,,,340,32,0,,,0
200720,195,15:10,125,38,0.02,,,0.02
200720,,,140,36,0.07,,,0.07
200720,,,155,34,0.07,,,0.07
200720,,,170,32,0.17,,,0.17
200720,,,185,32,0.17,,,0.17
200720,,,200,28,0.18,,,0.18
200720,,,215,28,0.17,,,0.17
200720,,,230,30,0.2,,,0.2
200720,,,245,30,0.16,,,0.16
200720,,,260,30,0.16,,,0.16
200720,,,275,28,0.12,,,0.12
200720,,,290,24,0.11,,,0.11
200720,,,305,24,0.1,,,0.1
200720,,,320,25,0.1,,,0.1
200804,360,9:30,50,18,0.07,,,0.07
200804,,,75,36,0.02,,,0.02
200804,,,100,76,0.2,0.2,0.2,0.2
200804,,,125,82,0.51,0.5,0.52,0.51
200804,,,150,80,0.535,0.57,0.5,0.535
200804,,,175,78,0.52,0.54,0.5,0.52
200804,,,200,70,0.45,,,0.45
200804,,,225,70,0.48,,,0.48
200804,,,250,70,0.57,,,0.57
200804,,,275,70,0.56,,,0.56
200804,,,300,60,0.54,,,0.54
200804,,,325,50,0.5,,,0.5
200804,,,350,42,0.49,,,0.49
200804,,,375,32,0.35,,,0.35
200804,,,400,20,0.26,,,0.26
200810,185,14:55,100,51,0.02,,,0.02
200810,,,110,48,0.06,,,0.06
200810,,,120,46,0.02,,,0.02
200810,,,130,46,0.24,,,0.24
200810,,,140,46,0.24,,,0.24
200810,,,150,46,0.26,,,0.26
200810,,,160,50,0.27,,,0.27
200810,,,170,54,0.19,,,0.19
200810,,,180,56,0.16,,,0.16
200810,,,190,60,0.16,,,0.16
200810,,,200,66,0.18,,,0.18
200810,,,210,68,0.16,,,0.16
200810,,,220,70,0.17,,,0.17
200810,,,230,71,0.18,,,0.18
200810,,,240,73,0.17,,,0.17
200810,,,250,72,0.17,,,0.17
200810,,,260,74,0.18,,,0.18
200810,,,270,74,0.17,,,0.17
200810,,,280,72,0.22,,,0.22
200818,195,9:25,80,28,0,,,0
200818,,,90,16,0.13,,,0.13
200818,,,100,17,0.1,,,0.1
200818,,,110,24,0.1,,,0.1
200818,,,120,28,0.12,,,0.12
200818,,,130,30,0.1,,,0.1
200818,,,140,31,0.17,,,0.17
200818,,,150,34,0.17,,,0.17
200818,,,160,36,0.12,,,0.12
200818,,,170,39,0.13,,,0.13
200818,,,180,44,0.16,,,0.16
200818,,,190,46,0.14,,,0.14
200818,,,200,48,0.15,,,0.15
200818,,,210,52,0.12,,,0.12
200818,,,220,52,0.18,,,0.18
200818,,,230,52,0.13,,,0.13
200818,,,240,54,0.13,,,0.13
200818,,,250,56,0.1,,,0.1
200818,,,260,52,0.12,,,0.12
200818,,,270,52,0.15,,,0.15
200831,195,12:00,100,38,0.11,,,0.11
200831,,,110,34,0.06,,,0.06
200831,,,120,38,0.08,,,0.08
200831,,,130,36,0.14,,,0.14
200831,,,140,36,0.17,,,0.17
200831,,,150,38,0.21,,,0.21
200831,,,160,40,0.18,,,0.18
200831,,,170,44,0.19,,,0.19
200831,,,180,46,0.18,,,0.18
