Date,Total width (cm):,Time,Distance (cm),Depth (cm),Velocity (m/s),Velocity 1/2 depth,Velocity 2X depth,Mean Vel (m/s)
210603,200,9:15,110,17,0.01,,,0.01
210603,,,120,15,0.01,,,0.01
210603,,,130,16,0.01,,,0.01
210603,,,140,17,0.03,,,0.03
210603,,,150,17,0.11,,,0.11
210603,,,160,19,0.15,,,0.15
210603,,,170,20,0.21,,,0.21
210603,,,180,20,0.18,,,0.18
210603,,,190,24,0.16,,,0.16
210603,,,200,26,0.19,,,0.19
210603,,,210,27,0.23,,,0.23
210603,,,220,26,0.21,,,0.21
210603,,,230,28,0.24,,,0.24
210603,,,240,26,0.22,,,0.22
210603,,,250,28,0.22,,,0.22
210603,,,260,28,0.26,,,0.26
210603,,,270,32,0.2,,,0.2
210603,,,280,34,0.21,,,0.21
210603,,,290,36,0.23,,,0.23
210603,,,300,36,0.24,,,0.24
210603,,,310,38,0.3,,,0.3
210614,200,9:15,120,18,0.02,,,0.02
210614,,,130,18,0.02,,,0.02
210614,,,140,16,0.02,,,0.02
210614,,,150,20,0.09,,,0.09
210614,,,160,22,0.18,,,0.18
210614,,,170,22,0.2,,,0.2
210614,,,180,24,0.17,,,0.17
210614,,,190,26,0.22,,,0.22
210614,,,200,28,0.21,,,0.21
210614,,,210,30,0.17,,,0.17
210614,,,220,32,0.26,,,0.26
210614,,,230,32,0.26,,,0.26
210614,,,240,32,0.28,,,0.28
210614,,,250,32,0.27,,,0.27
210614,,,260,32,0.25,,,0.25
210614,,,270,34,0.26,,,0.26
210614,,,280,34,0.24,,,0.24
210614,,,290,38,0.19,,,0.19
210614,,,300,40,0.2,,,0.2
210614,,,310,40,0.21,,,0.21
210614,,,320,40,0.22,,,0.22
210629,205,10:10,105,13,0.04,,,0.04
210629,,,115,12,0.05,,,0.05
210629,,,125,13,0.04,,,0.04
210629,,,135,14,0.02,,,0.02
210629,,,145,16,0.03,,,0.03
210629,,,155,17,0.09,,,0.09
210629,,,165,17,0.09,,,0.09
210629,,,175,19,0.11,,,0.11
210629,,,185,21,0.06,,,0.06
210629,,,195,24,0.08,,,0.08
210629,,,205,26,0.14,,,0.14
210629,,,215,26,0.15,,,0.15
210629,,,225,26,0.18,,,0.18
210629,,,235,19,0.15,,,0.15
210629,,,245,27,0.14,,,0.14
210629,,,255,29,0.14,,,0.14
210629,,,265,32,0.14,,,0.14
210629,,,275,32,0.12,,,0.12
210629,,,285,32,0.1,,,0.1
210629,,,295,32,0.14,,,0.14
210629,,,305,34,0.13,,,0.13
210713,190,9:15,70,9,0.01,,,0.01
210713,,,80,8,0,,,0
210713,,,90,7,0,,,0
210713,,,100,10,0,,,0
210713,,,110,12,0,,,0
210713,,,120,14,0.08,,,0.08
210713,,,130,18,0.04,,,0.04
210713,,,140,18,0.01,,,0.01
210713,,,150,21,0.02,,,0.02
210713,,,160,22,0.08,,,0.08
210713,,,170,24,0.06,,,0.06
210713,,,180,22,0.04,,,0.04
210713,,,190,23,0.04,,,0.04
210713,,,200,23,0.04,,,0.04
210713,,,210,26,0.04,,,0.04
210713,,,220,26,0.03,,,0.03
210713,,,230,29,0.04,,,0.04
210713,,,240,31,0.03,,,0.03
210713,,,250,30,0.03,,,0.03
210713,,,260,32,0.02,,,0.02
210727,195,9:15,100,30,0.2,,,0.2
210727,,,110,32,0.15,,,0.15
210727,,,120,34,0.11,,,0.11
210727,,,130,34,0.14,,,0.14
210727,,,140,38,0.33,,,0.33
210727,,,150,40,0.36,,,0.36
210727,,,160,38,0.33,,,0.33
210727,,,170,40,0.36,,,0.36
210727,,,180,40,0.34,,,0.34
210727,,,190,42,0.33,,,0.33
210727,,,200,42,0.31,,,0.31
210727,,,210,43,0.32,,,0.32
210727,,,220,43,0.31,,,0.31
210727,,,230,43,0.3,,,0.3
210727,,,240,45,0.3,,,0.3
210727,,,250,45,0.29,,,0.29
210727,,,260,45,0.29,,,0.29
210727,,,270,46,0.31,,,0.31
210727,,,280,46,0.3,,,0.3
210727,,,290,46,0.3,,,0.3
210727,,,295,48,0.27,,,0.27
210810,230,9:45,110,56,0.41,,,0.41
210810,,,120,56,0.6,,,0.6
210810,,,130,60,0.65,,,0.65
210810,,,140,64,0.81,,,0.81
210810,,,150,68,0.77,,,0.77
210810,,,160,68,0.86,,,0.86
210810,,,170,68,0.87,,,0.87
210810,,,180,70,0.93,,,0.93
210810,,,190,72,0.94,,,0.94
210810,,,200,72,0.9,,,0.9
210810,,,210,72,0.9,,,0.9
210810,,,220,74,0.88,,,0.88
210810,,,230,72,0.9,,,0.9
210810,,,240,72,0.84,,,0.84
210810,,,250,74,0.8,,,0.8
210810,,,260,74,0.78,,,0.78
210810,,,270,74,0.77,,,0.77
210810,,,280,74,0.76,,,0.76
210810,,,290,74,0.79,,,0.79
210810,,,300,72,0.76,,,0.76
210810,,,310,76,0.705,0.77,0.64,0.705
210810,,,320,18,0.55,,,0.55
210825,200,9:15,300,58,0.73,,,0.73
210825,,,290,56,0.71,,,0.71
210825,,,280,58,0.76,,,0.76
210825,,,270,55,0.78,,,0.78
210825,,,260,55,0.77,,,0.77
210825,,,250,55,0.76,,,0.76
210825,,,240,55,0.77,,,0.77
210825,,,230,56,0.76,,,0.76
210825,,,220,56,0.73,,,0.73
210825,,,210,56,0.73,,,0.73
210825,,,200,60,0.72,,,0.72
210825,,,190,58,0.67,,,0.67
210825,,,180,53,0.73,,,0.73
210825,,,170,55,0.68,,,0.68
210825,,,160,54,0.72,,,0.72
210825,,,150,54,0.68,,,0.68
210825,,,140,52,0.62,,,0.62
210825,,,130,50,0.45,,,0.45
210825,,,120,48,0.24,,,0.24
210908,200,9:30,70,20,0.22,,,0.22
