Date,Total width (cm):,Time,Distance (cm),Depth (cm),Velocity (m/s),Velocity 1/2 depth,Velocity 2X depth,Mean Vel (m/s)
210615,205,9:25,90,98,,0.07,0,0.035
210615,,,100,99,,0.18,0,0.09
210615,,,110,100,,0.12,0,0.06
210615,,,120,105,,0.11,0.05,0.08
210615,,,130,105,,0.09,0.15,0.12
210615,,,140,104,,0.11,0.15,0.13
210615,,,150,108,,0.06,0.16,0.11
210615,,,160,105,,0.07,0.18,0.125
210615,,,170,99,,0.03,0.18,0.105
210615,,,180,97,,0.03,0.19,0.11
210615,,,190,96,,0,0.13,0.065
210615,,,200,95,,0.03,0.13,0.08
210615,,,210,92,,0.01,0.19,0.1
210615,,,220,78,,0,0.2,0.1
210615,,,230,74,,0,0.22,0.11
210615,,,240,70,,0,0.1,0.05
210615,,,250,66,,0,0.13,0.065
210615,,,260,54,,0,0.03,0.015
210615,,,270,45,,0,0.02,0.01
210615,,,280,38,,0,0.1,0.05
210615,,,290,38,,0,0.09,0.045
210630,170,9:20,75,75,0.11,,,0.11
210630,,,85,76,,0.2,0.27,0.235
210630,,,95,76,,0.23,0.33,0.28
210630,,,105,74,0.31,,,0.31
210630,,,115,70,0.31,,,0.31
210630,,,125,68,0.33,,,0.33
210630,,,135,65,0.3,,,0.3
210630,,,145,63,0.3,,,0.3
210630,,,155,61,0.27,,,0.27
210630,,,165,58,0.26,,,0.26
210630,,,175,57,0.24,,,0.24
210630,,,185,56,0.24,,,0.24
210630,,,195,56,0.22,,,0.22
210630,,,205,55,0.15,,,0.15
210630,,,215,52,0.17,,,0.17
210630,,,225,48,0.17,,,0.17
210630,,,235,17,0.15,,,0.15
210712,200,10:00,95,12,0.39,,,0.39
210712,,,105,60,0.41,,,0.41
210712,,,115,60,0.43,,,0.43
210712,,,125,61,0.39,,,0.39
210712,,,135,60,0.38,,,0.38
210712,,,145,57,0.33,,,0.33
210712,,,155,55,0.33,,,0.33
210712,,,165,51,0.31,,,0.31
210712,,,175,51,0.28,,,0.28
210712,,,185,50,0.27,,,0.27
210712,,,195,49,0.26,,,0.26
210712,,,205,48,0.2,,,0.2
210712,,,215,48,0.19,,,0.19
210712,,,225,46,0.13,,,0.13
210712,,,235,46,0.1,,,0.1
210712,,,245,44,0.06,,,0.06
210712,,,255,43,0.06,,,0.06
210712,,,265,22,0,,,0
210712,,,275,18,0,,,0
210726,150,10:45,65,76,,0.15,0.17,0.16
210726,,,75,79,,0.23,0.15,0.19
210726,,,85,80,,0.24,0.16,0.2
210726,,,95,79,,0.23,0.17,0.2
210726,,,105,76,,0.24,0.2,0.22
210726,,,115,74,,,,0.21
210726,,,125,73,,,,0.18
210726,,,135,71,,,,0.18
210726,,,145,70,,,,0.21
210726,,,155,68,,,,0.2
210726,,,165,66,,,,0.21
210726,,,175,65,,,,0.18
210726,,,185,62,,,,0.13
210726,,,195,60,,,,0.12
210726,,,205,55,,,,0.09
210726,,,215,46,,,,0.17
210811,170,9:30,70,86,,0.13,0.14,0.135
210811,,,80,86,,0.21,0.14,0.175
210811,,,90,83,,0.24,0.19,0.215
210811,,,100,80,,0.22,0.19,0.205
210811,,,110,78,,0.24,0.26,0.25
210811,,,120,77,,0.24,0.26,0.25
210811,,,130,76,,0.21,0.24,0.225
210811,,,140,74,0.25,,,0.25
210811,,,150,72,0.26,,,0.26
210811,,,160,67,0.25,,,0.25
210811,,,170,68,0.26,,,0.26
210811,,,180,68,0.23,,,0.23
210811,,,190,66,0.18,,,0.18
210811,,,200,66,0.16,,,0.16
210811,,,210,63,0.12,,,0.12
210811,,,220,59,0.06,,,0.06
210811,,,230,50,0.16,,,0.16
210824,165,13:15,70,94,0.17,0.13,0.21,0.17
210824,,,80,96,0.175,0.19,0.16,0.175
210824,,,90,96,0.225,0.28,0.17,0.225
210824,,,100,96,0.235,0.26,0.21,0.235
210824,,,110,92,0.265,0.26,0.27,0.265
210824,,,120,90,0.285,0.28,0.29,0.285
210824,,,130,89,0.28,0.26,0.3,0.28
210824,,,140,88,0.275,0.26,0.29,0.275
210824,,,150,82,0.27,0.25,0.29,0.27
210824,,,160,78,0.255,0.23,0.28,0.255
210824,,,170,80,0.25,0.21,0.29,0.25
210824,,,180,80,0.255,0.23,0.28,0.255
210824,,,190,78,0.23,0.18,0.28,0.23
210824,,,200,76,0.195,0.2,0.19,0.195
210824,,,210,72,0.18,,,0.18
210824,,,220,65,0.09,,,0.09
210907,160,11:15,60,90,0.145,0.15,0.14,0.145
210907,,,70,95,0.21,0.16,0.26,0.21
210907,,,80,100,0.21,0.22,0.2,0.21
210907,,,90,102,0.235,0.21,0.26,0.235
