Date,Total width (cm):,Time,Distance (cm),Depth (cm),Velocity (m/s),Velocity 1/2 depth,Velocity 2X depth,Mean Vel (m/s)
220708,160,9:30,80,86,,0.32,0.18,0.25
220708,,,90,86,,0.33,0.25,0.29
220708,,,100,90,,0.35,0.24,0.295
220708,,,110,86,,0.35,0.28,0.315
220708,,,120,85,,0.35,0.35,0.35
220708,,,130,80,,0.33,0.36,0.345
220708,,,140,75,0.37,,,0.37
220708,,,150,74,0.37,,,0.37
220708,,,160,70,0.35,,,0.35
220708,,,170,69,0.28,,,0.28
220708,,,180,65,0.26,,,0.26
220708,,,190,63,0.27,,,0.27
220708,,,200,62,0.27,,,0.27
220708,,,210,61,0.19,,,0.19
220708,,,220,55,0.14,,,0.14
220708,,,230,45,0.13,,,0.13
220708,,,240,42,0.14,,,0.14
220718,160,9:45,100,86,,0.36,0.17,0.265
220718,,,110,85,,0.42,0.25,0.335
220718,,,120,85,,0.39,0.28,0.335
220718,,,130,82,,0.4,0.29,0.345
220718,,,140,80,,0.39,0.33,0.36
220718,,,150,85,,0.31,0.37,0.34
220718,,,160,80,,0.31,0.33,0.32
220718,,,170,80,,0.25,0.35,0.3
220718,,,180,75,0.3,,,0.3
220718,,,190,75,0.32,,,0.32
220718,,,200,70,0.3,,,0.3
220718,,,210,70,0.32,,,0.32
220718,,,220,68,0.28,,,0.28
220718,,,230,68,0.22,,,0.22
220718,,,240,65,0.26,,,0.26
220718,,,250,57,0.15,,,0.15
220718,,,260,50,0.18,,,0.18
220802,165,9:45,95,24,0.11,,,0.11
220802,,,105,82,,0.27,0.23,0.25
220802,,,115,82,,0.28,0.25,0.265
220802,,,125,78,,0.29,0.29,0.29
220802,,,135,76,,0.27,0.26,0.265
220802,,,145,73,0.29,,,0.29
220802,,,155,70,0.29,,,0.29
220802,,,165,68,0.25,,,0.25
220802,,,175,65,0.23,,,0.23
220802,,,185,60,0.22,,,0.22
220802,,,195,61,0.22,,,0.22
220802,,,205,56,0.2,,,0.2
220802,,,215,56,0.16,,,0.16
220802,,,225,56,0.09,,,0.09
220802,,,235,53,0.07,,,0.07
220802,,,245,46,0.07,,,0.07
220802,,,255,39,0.08,,,0.08
220816,160,9:30,95,80,,0.26,0.21,0.235
220816,,,105,82,,0.28,0.22,0.25
220816,,,115,83,,0.27,0.23,0.25
220816,,,125,81,,0.26,0.19,0.225
220816,,,135,81,,0.27,0.24,0.255
220816,,,145,81,,0.26,0.24,0.25
220816,,,155,77,,0.24,0.25,0.245
220816,,,165,73,0.27,,,0.27
220816,,,175,70,0.29,,,0.29
220816,,,185,68,0.29,,,0.29
220816,,,195,67,0.26,,,0.26
220816,,,205,66,0.26,,,0.26
220816,,,215,65,0.26,,,0.26
220816,,,225,65,0.19,,,0.19
220816,,,235,67,0.07,,,0.07
220816,,,245,63,0.1,,,0.1
220816,,,255,62,0.06,,,0.06
220831,150,9:30,230,55,0.13,,,0.13
220831,,,240,60,0.13,,,0.13
220831,,,250,60,0.1,,,0.1
220831,,,260,61,0.2,,,0.2
220831,,,270,60,0.23,,,0.23
220831,,,280,59,0.23,,,0.23
220831,,,290,60,0.25,,,0.25
220831,,,300,62,0.25,,,0.25
220831,,,310,68,0.24,,,0.24
220831,,,320,70,0.26,,,0.26
220831,,,330,74,0.26,,,0.26
220831,,,340,76,,0.27,0.26,0.265
220831,,,350,76,,0.26,0.21,0.235
220831,,,360,77,,0.29,0.18,0.235
220831,,,370,77,,0.26,0.18,0.22
220831,,,380,77,,0.13,0.13,0.13
220916,165,9:55,120,26,0.13,,,0.13
220916,,,130,54,0.07,,,0.07
220916,,,140,60,0.12,,,0.12
220916,,,150,61,0.14,,,0.14
220916,,,160,62,0.21,,,0.21
220916,,,170,62,0.3,,,0.3
220916,,,180,66,0.31,,,0.31
220916,,,190,69,0.32,,,0.32
220916,,,200,72,0.29,,,0.29
220916,,,210,75,,0.3,0.27,0.285
220916,,,220,76,,0.32,0.28,0.3
220916,,,230,80,,0.3,0.29,0.295
220916,,,240,81,,0.31,0.34,0.325
220916,,,250,82,,0.23,0.34,0.285
220916,,,260,83,,0.24,0.34,0.29
220916,,,270,84,,0.24,0.31,0.275
220916,,,280,83,,0.17,0.23,0.2
220928,150,9:50,80,81,,0.18,0.17,0.175
220928,,,90,80,,0.13,0.27,0.2
220928,,,100,81,,0.18,0.29,0.235
220928,,,110,77,,0.22,0.29,0.255
220928,,,120,77,,0.15,0.26,0.205
220928,,,130,73,0.28,,,0.28
220928,,,140,73,0.28,,,0.28
220928,,,150,70,0.27,,,0.27
220928,,,160,70,0.28,,,0.28
220928,,,170,65,0.27,,,0.27
220928,,,180,64,0.27,,,0.27
220928,,,190,63,0.25,,,0.25
220928,,,200,64,0.27,,,0.27
220928,,,210,64,0.15,,,0.15
220928,,,220,64,0.17,,,0.17
220928,,,230,61,0.11,,,0.11
221010,175,9:50,70,15,0.01,,,0.01
221010,,,75,77,,0.16,0.14,
221010,,,80,80,,0.18,0.19,
221010,,,90,77,,0.15,0.26,
221010,,,100,77,,0.15,0.23,
221010,,,110,76,,0.21,0.25,
221010,,,120,76,,0.26,0.28,
221010,,,130,71,0.27,,,0.27
221010,,,140,71,0.29,,,0.29
221010,,,150,69,0.27,,,0.27
221010,,,160,66,0.2,,,0.2
221010,,,170,63,0.26,,,0.26
221010,,,180,59,0.28,,,0.28
221010,,,190,59,0.25,,,0.25
221010,,,200,58,0.23,,,0.23
221010,,,210,55,0.15,,,0.15
221010,,,220,54,0.16,,,0.16
221010,,,230,33,0.1,,,0.1
221010,,,240,20,0.04,,,0.04
