Date,Total width (cm):,Time,Distance (cm),Depth (cm),Velocity (m/s),Velocity 1/2 depth,Velocity 2X depth,Mean Vel (m/s)
220708,480,11:45,130,15,0.05,,,0.05
220708,,,155,33,0.11,,,0.11
220708,,,180,35,0.18,,,0.18
220708,,,205,40,0.21,,,0.21
220708,,,230,44,0.24,,,0.24
220708,,,255,50,0.29,,,0.29
220708,,,280,53,0.29,,,0.29
220708,,,305,55,0.31,,,0.31
220708,,,330,58,0.33,,,0.33
220708,,,355,60,0.32,,,0.32
220708,,,380,65,0.28,,,0.28
220708,,,405,66,0.31,,,0.31
220708,,,430,65,0.31,,,0.31
220708,,,455,68,0.3,,,0.3
220708,,,480,65,0.28,,,0.28
220708,,,505,73,0.26,,,0.26
220708,,,530,74,0.16,,,0.16
220708,,,555,65,0.08,,,0.08
220708,,,580,57,0.1,,,0.1
220718,470,12:30,125,15,0.01,,,0.01
220718,,,150,30,0.08,,,0.08
220718,,,175,42,0.18,,,0.18
220718,,,200,48,0.23,,,0.23
220718,,,225,55,0.27,,,0.27
220718,,,250,58,0.31,,,0.31
220718,,,275,62,0.34,,,0.34
220718,,,300,64,0.36,,,0.36
220718,,,325,65,0.32,,,0.32
220718,,,350,68,0.31,,,0.31
220718,,,375,70,0.36,,,0.36
220718,,,400,70,0.34,,,0.34
220718,,,425,70,0.3,,,0.3
220718,,,450,70,0.29,,,0.29
220718,,,475,70,0.18,,,0.18
220718,,,500,74,0.17,,,0.17
220718,,,525,78,,0.26,0.09,0.175
220718,,,550,70,0.16,,,0.16
220718,,,575,58,0.15,,,0.15
220802,490,14:00,80,28,0.1,,,0.1
220802,,,110,36,0.15,,,0.15
220802,,,140,42,0.32,,,0.32
220802,,,170,52,0.34,,,0.34
220802,,,200,56,0.33,,,0.33
220802,,,230,58,0.35,,,0.35
220802,,,260,57,0.3,,,0.3
220802,,,290,69,0.39,,,0.39
220802,,,320,70,0.33,,,0.33
220802,,,350,70,0.28,,,0.28
220802,,,380,70,0.35,,,0.35
220802,,,410,70,0.28,,,0.28
220802,,,440,71,0.2,,,0.2
220802,,,470,78,,0.12,0.23,0.175
220802,,,500,80,,0.08,0.23,0.155
220802,,,530,74,0.09,,,0.09
220816,465,12:00,125,22,0.08,,,0.08
220816,,,150,40,0.15,,,0.15
220816,,,175,48,0.16,,,0.16
220816,,,200,52,0.23,,,0.23
220816,,,225,57,0.29,,,0.29
220816,,,250,61,0.35,,,0.35
220816,,,275,61,0.32,,,0.32
220816,,,300,62,0.31,,,0.31
220816,,,325,65,0.28,,,0.28
220816,,,350,66,0.26,,,0.26
220816,,,375,66,0.36,,,0.36
220816,,,400,66,0.26,,,0.26
220816,,,425,65,0.23,,,0.23
220816,,,450,65,0.25,,,0.25
220816,,,475,65,0.26,,,0.26
220816,,,500,71,0.23,,,0.23
220816,,,525,63,0.16,,,0.16
220816,,,550,60,0.19,,,0.19
220831,460,12:00,100,16,0,,,0
220831,,,125,26,0.11,,,0.11
220831,,,150,30,0.04,,,0.04
220831,,,175,37,0.19,,,0.19
220831,,,200,45,0.25,,,0.25
220831,,,225,47,0.28,,,0.28
220831,,,250,50,0.23,,,0.23
220831,,,275,54,0.24,,,0.24
220831,,,300,56,0.24,,,0.24
220831,,,325,59,0.29,,,0.29
220831,,,350,60,0.2,,,0.2
220831,,,375,60,0.26,,,0.26
220831,,,400,60,0.24,,,0.24
220831,,,425,62,0.21,,,0.21
220831,,,450,62,0.25,,,0.25
220831,,,475,65,0.24,,,0.24
220831,,,500,70,0.18,,,0.18
220831,,,525,54,0.11,,,0.11
220912,450,15:40,280,45,0.13,,,0.13
220912,,,305,59,0.12,,,0.12
220912,,,330,69,0.14,,,0.14
220912,,,355,67,0.18,,,0.18
220912,,,380,62,0.19,,,0.19
220912,,,405,62,0.21,,,0.21
220912,,,430,61,0.25,,,0.25
220912,,,455,51,0.26,,,0.26
220912,,,480,62,0.26,,,0.26
220912,,,505,62,0.27,,,0.27
220912,,,530,60,0.28,,,0.28
220912,,,555,58,0.26,,,0.26
220912,,,580,59,0.27,,,0.27
220912,,,605,55,0.25,,,0.25
220912,,,630,50,0.19,,,0.19
220912,,,655,42,0.14,,,0.14
220912,,,680,39,0.06,,,0.06
220912,,,705,15,0.01,,,0.01
220916,530,12:30,100,13,0.01,,,0.01
220916,,,125,24,0.06,,,0.06
220916,,,150,34,0.12,,,0.12
220916,,,175,56,0.19,,,0.19
220916,,,200,61,0.21,,,0.21
220916,,,225,73,0.36,,,0.36
220916,,,250,77,,0.28,0.38,0.33
220916,,,275,81,,0.32,0.42,0.37
220916,,,300,80,,0.29,0.38,0.335
220916,,,325,80,,0.29,0.39,0.34
220916,,,350,81,,0.34,0.33,0.335
220916,,,375,80,,0.34,0.36,0.35
220916,,,400,80,,0.27,0.35,0.31
220916,,,425,80,,0.23,0.34,0.285
220916,,,450,76,,0.32,0.43,0.375
220916,,,475,76,,0.14,0.36,0.25
220916,,,500,79,,0.21,0.33,0.27
220916,,,525,74,0.18,,,0.18
220916,,,550,72,0.15,,,0.15
220916,,,575,68,0.08,,,0.08
220916,,,600,50,0.01,,,0.01
220928,500,12:40,100,14,0,,,0
220928,,,115,21,0,,,0
220928,,,130,23,0.06,,,0.06
220928,,,160,50,0.13,,,0.13
220928,,,190,60,0.16,,,0.16
220928,,,220,71,0.25,,,0.25
220928,,,250,76,,0.25,0.3,0.275
220928,,,280,75,0.31,,,0.31
220928,,,310,72,0.34,,,0.34
220928,,,340,70,0.3,,,0.3
220928,,,370,69,0.37,,,0.37
220928,,,400,70,0.37,,,0.37
220928,,,430,67,0.32,,,0.32
220928,,,460,68,0.2,,,0.2
220928,,,490,71,0.23,,,0.23
220928,,,520,70,0.14,,,0.14
220928,,,550,65,0.1,,,0.1
220928,,,580,45,0,,,0
221010,525,12:15,70,2,0,,,0
221010,,,80,10,0,,,0
221010,,,90,17,0,,,0
221010,,,100,17,0,,,0
