"Time..sec.","BV..Volts.","T..deg.C.","DO..mg.l.","Q..."
1658527260,3.46,5.142,12.017,0.985
1658528160,3.46,5.172,12,0.984
1658529060,3.47,5.261,11.981,0.985
1658529960,3.47,5.42,11.937,0.985
1658530860,3.47,5.509,11.917,0.985
1658531760,3.47,5.627,11.857,0.984
1658532660,3.47,5.815,11.822,0.985
1658533560,3.46,5.923,11.786,0.985
1658534460,3.46,6.001,11.755,0.985
1658535360,3.46,6.031,11.729,0.984
1658536260,3.46,6.06,11.737,0.985
1658537160,3.46,6.099,11.717,0.985
1658538060,3.46,6.128,11.705,0.985
1658538960,3.46,6.177,11.694,0.985
1658539860,3.46,6.216,11.674,0.984
1658540760,3.46,6.246,11.687,0.986
1658541660,3.46,6.265,11.688,0.986
1658542560,3.46,6.314,11.647,0.985
1658543460,3.46,6.265,11.663,0.985
1658544360,3.46,6.187,11.683,0.985
1658545260,3.46,6.109,11.722,0.986
1658546160,3.47,6.021,11.744,0.985
1658547060,3.47,5.972,11.764,0.986
1658547960,3.47,5.864,11.77,0.985
1658548860,3.47,5.805,11.793,0.985
1658549760,3.47,5.687,11.826,0.985
1658550660,3.47,5.578,11.868,0.986
1658551560,3.47,5.509,11.861,0.985
1658552460,3.47,5.4,11.884,0.985
1658553360,3.47,5.311,11.928,0.985
1658554260,3.47,5.221,11.951,0.985
1658555160,3.46,5.152,11.987,0.985
1658556060,3.46,5.042,12.009,0.985
1658556960,3.46,4.962,12.039,0.985
1658557860,3.47,4.862,12.08,0.985
1658558760,3.47,4.782,12.078,0.984
1658559660,3.47,4.701,12.11,0.985
1658560560,3.47,4.641,12.117,0.984
1658561460,3.47,4.52,12.176,0.985
1658562360,3.47,4.439,12.189,0.985
1658563260,3.47,4.419,12.186,0.984
1658564160,3.47,4.348,12.231,0.985
1658565060,3.47,4.278,12.253,0.985
1658565960,3.47,4.227,12.265,0.985
1658566860,3.47,4.166,12.277,0.985
1658567760,3.47,4.135,12.295,0.985
1658568660,3.47,4.064,12.311,0.985
1658569560,3.47,3.993,12.337,0.984
1658570460,3.47,3.942,12.358,0.984
1658571360,3.46,3.86,12.381,0.984
1658572260,3.46,3.819,12.393,0.984
1658573160,3.46,3.758,12.41,0.984
1658574060,3.46,3.676,12.431,0.984
1658574960,3.46,3.625,12.452,0.984
1658575860,3.46,3.522,12.486,0.984
1658576760,3.46,3.491,12.502,0.984
1658577660,3.46,3.398,12.529,0.984
1658578560,3.46,3.316,12.559,0.983
1658579460,3.46,3.243,12.575,0.983
1658580360,3.46,3.181,12.615,0.984
1658581260,3.47,3.129,12.629,0.983
1658582160,3.47,3.088,12.649,0.983
1658583060,3.47,3.025,12.683,0.984
1658583960,3.47,2.952,12.703,0.983
1658584860,3.47,2.89,12.719,0.983
1658585760,3.47,2.848,12.749,0.983
1658586660,3.47,2.838,12.74,0.983
1658587560,3.47,2.827,12.731,0.982
1658588460,3.47,2.817,12.762,0.983
1658589360,3.47,2.817,12.755,0.983
1658590260,3.47,2.806,12.757,0.983
1658591160,3.47,2.838,12.737,0.983
1658592060,3.47,2.848,12.746,0.983
1658592960,3.47,2.89,12.729,0.983
1658593860,3.47,2.9,12.732,0.983
1658594760,3.47,2.932,12.712,0.983
1658595660,3.47,2.984,12.704,0.984
1658596560,3.46,3.025,12.681,0.983
1658597460,3.46,3.067,12.681,0.983
1658598360,3.46,3.15,12.637,0.983
1658599260,3.46,3.212,12.629,0.983
1658600160,3.46,3.285,12.612,0.983
1658601060,3.46,3.408,12.568,0.983
1658601960,3.46,3.512,12.541,0.983
1658602860,3.46,3.645,12.503,0.984
1658603760,3.46,3.778,12.471,0.984
1658604660,3.47,3.993,12.389,0.984
1658605560,3.47,4.196,12.323,0.984
1658606460,3.47,4.348,12.28,0.984
1658607360,3.47,4.46,12.253,0.985
1658608260,3.46,4.56,12.228,0.985
1658609160,3.46,4.762,12.168,0.985
1658610060,3.46,4.922,12.113,0.985
1658610960,3.46,5.022,12.096,0.985
1658611860,3.47,5.251,12.014,0.985
1658612760,3.47,5.36,11.971,0.984
1658613660,3.47,5.469,11.937,0.985
