7450-991574
OS REV: 1.05 Sensor Cal: 1629218772
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1661563920,+3.47, +5.331,+11.846,+0.982
1661564820,+3.47, +5.301,+11.870,+0.982
1661565720,+3.47, +5.291,+11.866,+0.982
1661566620,+3.47, +5.251,+11.871,+0.982
1661567520,+3.46, +5.211,+11.887,+0.982
1661568420,+3.46, +5.172,+11.904,+0.983
1661569320,+3.46, +5.122,+11.911,+0.982
1661570220,+3.46, +5.082,+11.926,+0.983
1661571120,+3.46, +5.032,+11.922,+0.982
1661572020,+3.46, +5.012,+11.916,+0.981
1661572920,+3.46, +4.972,+11.947,+0.982
1661573820,+3.46, +4.922,+11.958,+0.982
1661574720,+3.46, +4.842,+11.989,+0.982
1661575620,+3.46, +4.812,+11.971,+0.981
1661576520,+3.46, +4.762,+11.998,+0.982
1661577420,+3.46, +4.732,+12.000,+0.982
1661578320,+3.46, +4.651,+12.007,+0.981
1661579220,+3.46, +4.611,+12.025,+0.981
1661580120,+3.46, +4.571,+12.045,+0.982
1661581020,+3.47, +4.530,+12.038,+0.981
1661581920,+3.46, +4.470,+12.076,+0.982
1661582820,+3.47, +4.409,+12.081,+0.982
1661583720,+3.47, +4.379,+12.088,+0.982
1661584620,+3.47, +4.369,+12.088,+0.982
1661585520,+3.47, +4.348,+12.088,+0.981
1661586420,+3.47, +4.298,+12.109,+0.981
1661587320,+3.47, +4.308,+12.100,+0.981
1661588220,+3.47, +4.237,+12.126,+0.981
1661589120,+3.47, +4.186,+12.160,+0.982
1661590020,+3.47, +4.176,+12.151,+0.981
1661590920,+3.47, +4.135,+12.174,+0.982
1661591820,+3.47, +4.115,+12.172,+0.981
1661592720,+3.47, +4.105,+12.175,+0.981
1661593620,+3.47, +4.115,+12.186,+0.981
1661594520,+3.47, +4.085,+12.177,+0.981
1661595420,+3.47, +4.064,+12.171,+0.981
1661596320,+3.47, +4.034,+12.180,+0.981
1661597220,+3.47, +4.003,+12.182,+0.981
1661598120,+3.47, +3.983,+12.189,+0.982
1661599020,+3.46, +3.952,+12.218,+0.982
1661599920,+3.46, +3.922,+12.223,+0.981
1661600820,+3.46, +3.911,+12.234,+0.982
1661601720,+3.46, +3.870,+12.228,+0.982
1661602620,+3.46, +3.840,+12.229,+0.981
1661603520,+3.46, +3.840,+12.229,+0.981
1661604420,+3.46, +3.789,+12.264,+0.982
1661605320,+3.46, +3.809,+12.246,+0.981
1661606220,+3.46, +3.768,+12.253,+0.981
1661607120,+3.46, +3.748,+12.275,+0.982
1661608020,+3.46, +3.748,+12.269,+0.982
1661608920,+3.46, +3.727,+12.277,+0.982
1661609820,+3.46, +3.727,+12.259,+0.981
1661610720,+3.46, +3.717,+12.280,+0.982
1661611620,+3.46, +3.727,+12.258,+0.981
1661612520,+3.46, +3.686,+12.284,+0.981
1661613420,+3.46, +3.707,+12.275,+0.981
1661614320,+3.46, +3.707,+12.283,+0.981
1661615220,+3.46, +3.707,+12.291,+0.981
1661616120,+3.46, +3.717,+12.291,+0.982
1661617020,+3.46, +3.707,+12.288,+0.981
1661617920,+3.46, +3.707,+12.294,+0.981
1661618820,+3.46, +3.748,+12.291,+0.981
1661619720,+3.46, +3.789,+12.280,+0.981
1661620620,+3.46, +3.799,+12.282,+0.981
1661621520,+3.46, +3.840,+12.275,+0.981
1661622420,+3.46, +3.881,+12.278,+0.981
1661623320,+3.46, +3.901,+12.255,+0.981
1661624220,+3.46, +3.942,+12.251,+0.981
1661625120,+3.47, +4.003,+12.235,+0.981
1661626020,+3.47, +4.085,+12.202,+0.981
1661626920,+3.47, +4.176,+12.211,+0.982
1661627820,+3.47, +4.237,+12.203,+0.982
1661628720,+3.47, +4.298,+12.171,+0.981
1661629620,+3.46, +4.359,+12.178,+0.982
1661630520,+3.46, +4.439,+12.144,+0.981
1661631420,+3.46, +4.520,+12.112,+0.981
1661632320,+3.46, +4.560,+12.121,+0.982
1661633220,+3.46, +4.631,+12.087,+0.981
1661634120,+3.46, +4.711,+12.066,+0.982
1661635020,+3.46, +4.782,+12.044,+0.981
1661635920,+3.46, +4.872,+12.024,+0.982
1661636820,+3.46, +4.982,+11.978,+0.981
1661637720,+3.46, +5.082,+11.950,+0.981
1661638620,+3.46, +5.142,+11.941,+0.982
1661639520,+3.46, +5.231,+11.916,+0.982
1661640420,+3.47, +5.350,+11.874,+0.982
1661641320,+3.47, +5.479,+11.834,+0.982
1661642220,+3.47, +5.647,+11.798,+0.982
1661643120,+3.47, +5.746,+11.770,+0.983
1661644020,+3.46, +5.815,+11.726,+0.982
1661644920,+3.46, +5.893,+11.716,+0.982
1661645820,+3.46, +5.972,+11.702,+0.982
1661646720,+3.46, +6.050,+11.681,+0.983
1661647620,+3.46, +6.119,+11.625,+0.981
1661648520,+3.46, +6.109,+11.650,+0.982
1661649420,+3.46, +6.177,+11.626,+0.982
1661650320,+3.46, +6.255,+11.598,+0.983
