7450-079979
OS REV: 1.05 Sensor Cal: 1629386078
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1658353980,+3.47, +5.464,+11.965,+0.967
1658354880,+3.47, +5.682,+11.887,+0.967
1658355780,+3.47, +5.918,+11.829,+0.968
1658356680,+3.46, +6.172,+11.760,+0.968
1658357580,+3.46, +6.396,+11.697,+0.968
1658358480,+3.47, +6.552,+11.655,+0.968
1658359380,+3.47, +6.658,+11.616,+0.968
1658360280,+3.47, +6.697,+11.610,+0.968
1658361180,+3.47, +6.813,+11.558,+0.968
1658362080,+3.47, +6.929,+11.522,+0.968
1658362980,+3.47, +6.929,+11.503,+0.967
1658363880,+3.47, +6.977,+11.494,+0.968
1658364780,+3.47, +6.996,+11.486,+0.968
1658365680,+3.47, +6.977,+11.482,+0.967
1658366580,+3.47, +6.938,+11.497,+0.968
1658367480,+3.47, +6.900,+11.508,+0.968
1658368380,+3.47, +6.909,+11.507,+0.968
1658369280,+3.47, +6.880,+11.503,+0.968
1658370180,+3.47, +6.832,+11.517,+0.968
1658371080,+3.47, +6.755,+11.535,+0.968
1658371980,+3.47, +6.668,+11.564,+0.968
1658372880,+3.47, +6.571,+11.596,+0.968
1658373780,+3.47, +6.464,+11.615,+0.968
1658374680,+3.47, +6.357,+11.646,+0.968
1658375580,+3.47, +6.260,+11.650,+0.967
1658376480,+3.47, +6.172,+11.691,+0.968
1658377380,+3.47, +6.094,+11.706,+0.967
1658378280,+3.47, +5.967,+11.750,+0.968
1658379180,+3.47, +5.888,+11.750,+0.967
1658380080,+3.47, +5.790,+11.787,+0.967
1658380980,+3.47, +5.682,+11.822,+0.968
1658381880,+3.47, +5.623,+11.820,+0.967
1658382780,+3.47, +5.524,+11.846,+0.967
1658383680,+3.47, +5.415,+11.863,+0.967
1658384580,+3.47, +5.296,+11.908,+0.967
1658385480,+3.47, +5.216,+11.923,+0.967
1658386380,+3.47, +5.147,+11.946,+0.967
1658387280,+3.47, +5.057,+11.960,+0.967
1658388180,+3.47, +4.967,+11.989,+0.967
1658389080,+3.47, +4.877,+12.009,+0.967
1658389980,+3.47, +4.787,+12.035,+0.967
1658390880,+3.47, +4.727,+12.044,+0.967
1658391780,+3.47, +4.626,+12.086,+0.967
1658392680,+3.47, +4.535,+12.108,+0.967
1658393580,+3.47, +4.475,+12.114,+0.966
1658394480,+3.47, +4.414,+12.141,+0.967
1658395380,+3.47, +4.344,+12.165,+0.966
1658396280,+3.47, +4.283,+12.182,+0.966
1658397180,+3.47, +4.232,+12.192,+0.966
1658398080,+3.47, +4.161,+12.206,+0.966
1658398980,+3.47, +4.070,+12.234,+0.966
1658399880,+3.47, +3.968,+12.280,+0.966
1658400780,+3.47, +3.886,+12.303,+0.966
1658401680,+3.47, +3.804,+12.317,+0.965
1658402580,+3.47, +3.722,+12.358,+0.966
1658403480,+3.47, +3.610,+12.395,+0.965
1658404380,+3.47, +3.538,+12.416,+0.965
1658405280,+3.47, +3.435,+12.443,+0.965
1658406180,+3.47, +3.352,+12.473,+0.965
1658407080,+3.47, +3.280,+12.494,+0.965
1658407980,+3.47, +3.197,+12.524,+0.965
1658408880,+3.47, +3.124,+12.562,+0.965
1658409780,+3.47, +3.062,+12.582,+0.965
1658410680,+3.47, +3.021,+12.582,+0.965
1658411580,+3.47, +2.969,+12.595,+0.964
1658412480,+3.47, +2.937,+12.625,+0.964
1658413380,+3.47, +2.927,+12.637,+0.965
1658414280,+3.47, +2.958,+12.607,+0.964
1658415180,+3.47, +2.958,+12.631,+0.965
1658416080,+3.47, +2.979,+12.628,+0.965
1658416980,+3.47, +2.979,+12.627,+0.965
1658417880,+3.47, +3.041,+12.619,+0.965
1658418780,+3.47, +3.083,+12.603,+0.965
1658419680,+3.47, +3.145,+12.590,+0.965
1658420580,+3.47, +3.207,+12.577,+0.965
1658421480,+3.47, +3.290,+12.563,+0.965
1658422380,+3.47, +3.352,+12.531,+0.965
1658423280,+3.47, +3.466,+12.507,+0.966
1658424180,+3.47, +3.527,+12.489,+0.966
1658425080,+3.47, +3.620,+12.452,+0.966
1658425980,+3.47, +3.702,+12.430,+0.965
1658426880,+3.47, +3.804,+12.417,+0.966
1658427780,+3.47, +3.927,+12.377,+0.966
1658428680,+3.47, +3.998,+12.365,+0.966
1658429580,+3.47, +4.141,+12.316,+0.966
1658430480,+3.47, +4.212,+12.307,+0.966
1658431380,+3.47, +4.313,+12.272,+0.967
1658432280,+3.47, +4.374,+12.248,+0.966
1658433180,+3.47, +4.445,+12.250,+0.967
1658434080,+3.47, +4.546,+12.216,+0.967
1658434980,+3.47, +4.606,+12.193,+0.966
1658435880,+3.47, +4.696,+12.166,+0.967
1658436780,+3.47, +4.767,+12.165,+0.967
1658437680,+3.47, +4.827,+12.134,+0.966
1658438580,+3.47, +4.927,+12.127,+0.968
1658439480,+3.47, +4.977,+12.110,+0.967
1658440380,+3.46, +5.097,+12.065,+0.967
