"Time..sec.","BV..Volts.","T..deg.C.","DO..mg.l.","Q..."
1660604400,3.47,5.731,11.916,0.967
1660605300,3.47,5.918,11.843,0.966
1660606200,3.47,6.065,11.808,0.966
1660607100,3.47,6.202,11.759,0.966
1660608000,3.47,6.309,11.735,0.966
1660608900,3.47,6.455,11.688,0.966
1660609800,3.47,6.6,11.639,0.966
1660610700,3.47,6.61,11.651,0.966
1660611600,3.47,6.62,11.656,0.966
1660612500,3.47,6.629,11.657,0.967
1660613400,3.47,6.561,11.674,0.966
1660614300,3.47,6.503,11.673,0.966
1660615200,3.47,6.416,11.706,0.966
1660616100,3.47,6.319,11.736,0.966
1660617000,3.47,6.211,11.764,0.966
1660617900,3.47,6.143,11.783,0.966
1660618800,3.47,6.016,11.812,0.966
1660619700,3.47,5.928,11.838,0.966
1660620600,3.47,5.82,11.862,0.966
1660621500,3.47,5.711,11.881,0.965
1660622400,3.47,5.593,11.924,0.966
1660623300,3.47,5.514,11.94,0.966
1660624200,3.47,5.425,11.958,0.965
1660625100,3.47,5.316,11.982,0.966
1660626000,3.47,5.177,12.043,0.966
1660626900,3.47,5.087,12.044,0.965
1660627800,3.47,4.977,12.085,0.965
1660628700,3.47,4.877,12.111,0.965
1660629600,3.47,4.797,12.134,0.966
1660630500,3.47,4.696,12.149,0.965
1660631400,3.47,4.636,12.16,0.965
1660632300,3.47,4.546,12.191,0.965
1660633200,3.47,4.475,12.203,0.965
1660634100,3.47,4.414,12.226,0.965
1660635000,3.47,4.354,12.239,0.965
1660635900,3.47,4.313,12.254,0.965
1660636800,3.47,4.252,12.255,0.964
1660637700,3.47,4.222,12.27,0.965
1660638600,3.47,4.151,12.303,0.965
1660639500,3.47,4.11,12.305,0.965
1660640400,3.47,4.07,12.317,0.965
1660641300,3.47,4.019,12.337,0.965
1660642200,3.47,3.958,12.359,0.965
1660643100,3.47,3.937,12.354,0.964
1660644000,3.47,3.927,12.361,0.964
1660644900,3.47,3.876,12.361,0.964
1660645800,3.47,3.835,12.395,0.965
1660646700,3.47,3.804,12.407,0.965
1660647600,3.47,3.753,12.42,0.964
1660648500,3.47,3.763,12.394,0.964
1660649400,3.47,3.712,12.432,0.964
1660650300,3.47,3.681,12.449,0.964
1660651200,3.47,3.692,12.438,0.964
1660652100,3.47,3.64,12.452,0.964
1660653000,3.47,3.63,12.451,0.964
1660653900,3.47,3.651,12.453,0.965
1660654800,3.47,3.63,12.449,0.964
1660655700,3.47,3.62,12.456,0.964
1660656600,3.47,3.62,12.452,0.964
1660657500,3.47,3.568,12.479,0.964
1660658400,3.47,3.558,12.469,0.964
1660659300,3.47,3.538,12.481,0.964
1660660200,3.47,3.548,12.491,0.965
1660661100,3.47,3.548,12.482,0.964
1660662000,3.47,3.558,12.473,0.964
1660662900,3.47,3.568,12.481,0.964
1660663800,3.47,3.568,12.483,0.964
1660664700,3.47,3.599,12.481,0.964
1660665600,3.47,3.589,12.481,0.964
1660666500,3.47,3.599,12.489,0.965
1660667400,3.47,3.62,12.496,0.965
1660668300,3.47,3.651,12.475,0.965
1660669200,3.47,3.671,12.461,0.964
1660670100,3.47,3.681,12.465,0.965
1660671000,3.47,3.692,12.472,0.965
1660671900,3.47,3.712,12.468,0.965
1660672800,3.47,3.753,12.449,0.965
1660673700,3.47,3.825,12.418,0.965
1660674600,3.47,3.876,12.396,0.964
1660675500,3.47,3.958,12.382,0.965
1660676400,3.47,4.019,12.372,0.965
1660677300,3.47,4.12,12.345,0.965
1660678200,3.47,4.232,12.313,0.966
1660679100,3.47,4.354,12.278,0.966
1660680000,3.47,4.445,12.258,0.966
1660680900,3.47,4.546,12.225,0.965
1660681800,3.47,4.646,12.195,0.965
1660682700,3.47,4.737,12.186,0.966
1660683600,3.47,4.867,12.126,0.965
1660684500,3.47,4.947,12.115,0.965
1660685400,3.47,5.027,12.099,0.966
1660686300,3.47,5.107,12.089,0.966
1660687200,3.47,5.167,12.056,0.965
1660688100,3.47,5.226,12.034,0.965
1660689000,3.47,5.296,12.024,0.966
1660689900,3.47,5.326,12.006,0.966
1660690800,3.47,5.345,12.013,0.966
