Date,Total width (cm):,Time,Distance (cm),Depth (cm),Velocity (m/s),Velocity 1/2 depth,Velocity 2X depth,Mean Vel (m/s),transect Q (L/s),Q (L/s),Date,Date calculated,By: ,Notes:
8/7/2019,545,12:00,60,88,,0.3,0.03,0.165,,4096.6,8/7/2019,8/15/2019,AC,see depth at 55
,,,90,91,,0.48,0.05,0.265,57.7275,,,,,
,,,120,94,,0.55,0.28,0.415,94.35,,,,,
,,,150,104,,0.65,0.2,0.425,124.74,,,,,
,,,180,103,,0.69,0.21,0.45,135.84375,,,,,
,,,210,167,,0.76,0.46,0.61,214.65,,,,,
,,,240,165,,0.72,0.31,0.515,280.125,,,,,
,,,270,160,,0.67,0.44,0.555,260.8125,,,,,
,,,300,165,,0.64,0.48,0.56,271.78125,,,,,
,,,330,160,,0.69,0.53,0.61,285.1875,,,,,
,,,360,164,,0.66,0.54,0.6,294.03,,,,,
,,,390,160,,0.66,0.56,0.61,294.03,,,,,
,,,420,155,,0.65,0.64,0.645,296.49375,,,,,
,,,450,153,,0.73,0.63,0.68,306.075,,,,,
,,,480,150,,0.63,0.62,0.625,296.56125,,,,,
,,,510,145,,0.71,0.64,0.675,287.625,,,,,
,,,540,142,,0.75,0.66,0.705,297.045,,,,,
,,,570,136,,0.47,0.45,0.46,242.9025,,,,,
,,,600,28,,0,0,0,56.58,,,,,
6/26/2019,480,12:15,10,0,0,,,0,,467.5,6/26/2019,8/16/2019,AC,
,,,30,62,0.11,,,0.11,3.41,,,,,
,,,50,68.5,0.13,,,0.13,15.66,,,,,
,,,70,70,0.17,,,0.17,20.775,,,,,
,,,85,69.5,0.17,,,0.17,17.78625,,,,,
,,,110,61.5,0.22,,,0.22,31.93125,,,,,
,,,130,60,0.22,,,0.22,26.73,,,,,
,,,150,59,0.25,,,0.25,27.965,,,,,
,,,170,51,0.27,,,0.27,28.6,,,,,
,,,190,51.5,0.28,,,0.28,28.1875,,,,,
,,,210,51,0.19,,,0.19,24.0875,,,,,
,,,230,49,0.2,,,0.2,19.5,,,,,
,,,250,49,0.13,,,0.13,16.17,,,,,
,,,270,51,0.18,,,0.18,15.5,,,,,
,,,290,50,0.31,,,0.31,24.745,,,,,
,,,310,48,0.3,,,0.3,29.89,,,,,
,,,330,47,0.28,,,0.28,27.55,,,,,
,,,350,40,0.26,,,0.26,23.49,,,,,
,,,370,49,0.28,,,0.28,24.03,,,,,
,,,390,43,0.22,,,0.22,23,,,,,
,,,410,33,0.13,,,0.13,13.3,,,,,
,,,430,32,0.13,,,0.13,8.45,,,,,
,,,450,28,0.11,,,0.11,7.2,,,,,
,,,470,26,0.1,,,0.1,5.67,,,,,
,,,490,22,0.06,,,0.06,3.84,,,,,
6/5/2019,500,11:30,10,22,0.01,,,0.01,,676.8,6/5/2019,8/16/2019,AC,
,,,40,32,0.01,,,0.01,0.81,,,,,
,,,70,38,0.09,,,0.09,5.25,,,,,
,,,100,48,0.15,,,0.15,15.48,,,,,
,,,130,51,0.25,,,0.25,29.7,,,,,
,,,160,52,0.26,,,0.26,39.3975,,,,,
,,,190,54,0.3,,,0.3,44.52,,,,,
,,,220,58,0.33,,,0.33,52.92,,,,,
,,,250,54,0.31,,,0.31,53.76,,,,,
,,,280,56,0.18,,,0.18,40.425,,,,,
,,,310,62,0.31,,,0.31,43.365,,,,,
,,,340,64,0.31,,,0.31,58.59,,,,,
,,,370,67,0.27,,,0.27,56.985,,,,,
,,,400,69,0.3,,,0.3,58.14,,,,,
,,,430,83,0.29,,,0.29,67.26,,,,,
,,,460,84,0.29,,,0.29,72.645,,,,,
,,,490,72,0.02,,,0.02,36.27,,,,,
,,,510,54,0,,,0,1.26,,,,,
8/15/2019,600,12:00,150,97,0.225,0.39,0.06,0.225,,4342.0,,,,
,,,200,112,0.275,0.44,0.11,0.275,130.625,,,,,
,,,250,108,0.46,0.74,0.18,0.46,202.125,,,,,
,,,300,167,0.525,0.88,0.17,0.525,338.59375,,,,,
,,,350,159,0.475,0.67,0.28,0.475,407.5,,,,,
,,,400,164,0.535,0.78,0.29,0.535,407.7875,,,,,
,,,450,160,0.725,0.88,0.57,0.725,510.3,,,,,
,,,500,160,0.7,0.75,0.65,0.7,570,,,,,
,,,550,158,0.735,0.74,0.73,0.735,570.4125,,,,,
,,,600,147,0.8,0.78,0.82,0.8,585.21875,,,,,
,,,650,138,0.615,0.47,0.76,0.615,504.09375,,,,,
,,,700,12,0,,,0,115.3125,,,,,
9/17/2019,595,12:00,20,106,0,,,0,,5711.7,,,,
,,,50,103,0.11,,,0.11,17.2425,,,,,
,,,80,103,0.09,,,0.09,30.9,,,,,
,,,110,104,0.06,,,0.06,23.2875,,,,,
,,,140,103,0.25,,,0.25,48.1275,,,,,
,,,170,103,0.25,,,0.25,77.25,,,,,
,,,200,104,0.2,,,0.2,69.8625,,,,,
,,,230,97,0.2,,,0.2,60.3,,,,,
,,,260,94,0.21,,,0.21,58.7325,,,,,
,,,290,91,0.19,,,0.19,55.5,,,,,
,,,320,90,0.19,,,0.19,51.585,,,,,
,,,350,88,19,,,19,2561.865,,,,,
,,,380,89,0.2,,,0.2,2548.8,,,,,
,,,410,87,0.17,,,0.17,48.84,,,,,
,,,440,88,0.14,,,0.14,40.6875,,,,,
,,,470,90,0,,,0,18.69,,,,,
