"Date_cat","width_cm","Time","Distance_cm","depth_cm","Vel_m_s","Vel_halfdepth_m_s","Vel_twicedepth_m_s","Velocity_mn_m_s","Date","datetime","meanVel_m_s"
220613,160,"17:15",215,4,0.12,NA,NA,0.12,2022-06-13,2022-06-13 17:15:00,0.12
220613,160,"17:15",225,8,0.11,NA,NA,0.11,2022-06-13,2022-06-13 17:15:00,0.11
220613,160,"17:15",235,7,0.09,NA,NA,0.09,2022-06-13,2022-06-13 17:15:00,0.09
220613,160,"17:15",245,8,0.11,NA,NA,0.11,2022-06-13,2022-06-13 17:15:00,0.11
220613,160,"17:15",255,9,0.12,NA,NA,0.12,2022-06-13,2022-06-13 17:15:00,0.12
220613,160,"17:15",265,9,0.09,NA,NA,0.09,2022-06-13,2022-06-13 17:15:00,0.09
220613,160,"17:15",275,7,0.12,NA,NA,0.12,2022-06-13,2022-06-13 17:15:00,0.12
220613,160,"17:15",285,12,0.14,NA,NA,0.14,2022-06-13,2022-06-13 17:15:00,0.14
220613,160,"17:15",295,14,0.12,NA,NA,0.12,2022-06-13,2022-06-13 17:15:00,0.12
220613,160,"17:15",305,14,0.13,NA,NA,0.13,2022-06-13,2022-06-13 17:15:00,0.13
220613,160,"17:15",315,14,0.19,NA,NA,0.19,2022-06-13,2022-06-13 17:15:00,0.19
220613,160,"17:15",325,8,0.17,NA,NA,0.17,2022-06-13,2022-06-13 17:15:00,0.17
220613,160,"17:15",335,6,0.13,NA,NA,0.13,2022-06-13,2022-06-13 17:15:00,0.13
220613,160,"17:15",345,4,0.03,NA,NA,0.03,2022-06-13,2022-06-13 17:15:00,0.03
220712,130,"11:30",100,15,0.11,NA,NA,0.11,2022-07-12,2022-07-12 11:30:00,0.11
220712,130,"11:30",110,18,0.12,NA,NA,0.12,2022-07-12,2022-07-12 11:30:00,0.12
220712,130,"11:30",120,18,0.09,NA,NA,0.09,2022-07-12,2022-07-12 11:30:00,0.09
220712,130,"11:30",130,18,0.15,NA,NA,0.15,2022-07-12,2022-07-12 11:30:00,0.15
220712,130,"11:30",140,20,0.36,NA,NA,0.36,2022-07-12,2022-07-12 11:30:00,0.36
