agency_cd,site_no,datetime,tz_cd,1760_00060,1760_00060_cd,1761_00065,1761_00065_cd
5s,15s,20d,6s,14n,10s,14n,10s
USGS,15484000,5/18/2021 0:00,AKDT,5380,A,9.41,A
USGS,15484000,5/18/2021 0:15,AKDT,5420,A,9.43,A
USGS,15484000,5/18/2021 0:30,AKDT,5400,A,9.42,A
USGS,15484000,5/18/2021 0:45,AKDT,5440,A,9.44,A
USGS,15484000,5/18/2021 1:00,AKDT,5440,A,9.44,A
USGS,15484000,5/18/2021 1:15,AKDT,5420,A,9.43,A
USGS,15484000,5/18/2021 1:30,AKDT,5440,A,9.44,A
USGS,15484000,5/18/2021 1:45,AKDT,5470,A,9.45,A
USGS,15484000,5/18/2021 2:00,AKDT,5470,A,9.45,A
USGS,15484000,5/18/2021 2:15,AKDT,5470,A,9.45,A
USGS,15484000,5/18/2021 2:30,AKDT,5400,A,9.42,A
USGS,15484000,5/18/2021 2:45,AKDT,5420,A,9.43,A
USGS,15484000,5/18/2021 3:00,AKDT,5420,A,9.43,A
USGS,15484000,5/18/2021 3:15,AKDT,5440,A,9.44,A
USGS,15484000,5/18/2021 3:30,AKDT,5420,A,9.43,A
USGS,15484000,5/18/2021 3:45,AKDT,5380,A,9.41,A
USGS,15484000,5/18/2021 4:00,AKDT,5400,A,9.42,A
USGS,15484000,5/18/2021 4:15,AKDT,5400,A,9.42,A
USGS,15484000,5/18/2021 4:30,AKDT,5400,A,9.42,A
USGS,15484000,5/18/2021 4:45,AKDT,5380,A,9.41,A
USGS,15484000,5/18/2021 5:00,AKDT,5420,A,9.43,A
USGS,15484000,5/18/2021 5:15,AKDT,5380,A,9.41,A
USGS,15484000,5/18/2021 5:30,AKDT,5380,A,9.41,A
USGS,15484000,5/18/2021 5:45,AKDT,5360,A,9.4,A
USGS,15484000,5/18/2021 6:00,AKDT,5340,A,9.39,A
USGS,15484000,5/18/2021 6:15,AKDT,5340,A,9.39,A
USGS,15484000,5/18/2021 6:30,AKDT,5340,A,9.39,A
USGS,15484000,5/18/2021 6:45,AKDT,5300,A,9.37,A
USGS,15484000,5/18/2021 7:00,AKDT,5300,A,9.37,A
USGS,15484000,5/18/2021 7:15,AKDT,5300,A,9.37,A
USGS,15484000,5/18/2021 7:30,AKDT,5260,A,9.35,A
USGS,15484000,5/18/2021 7:45,AKDT,5280,A,9.36,A
USGS,15484000,5/18/2021 8:00,AKDT,5220,A,9.33,A
USGS,15484000,5/18/2021 8:15,AKDT,5220,A,9.33,A
USGS,15484000,5/18/2021 8:30,AKDT,5220,A,9.33,A
USGS,15484000,5/18/2021 8:45,AKDT,5220,A,9.33,A
USGS,15484000,5/18/2021 9:00,AKDT,5240,A,9.34,A
USGS,15484000,5/18/2021 9:15,AKDT,5200,A,9.32,A
USGS,15484000,5/18/2021 9:30,AKDT,5200,A,9.32,A
USGS,15484000,5/18/2021 9:45,AKDT,5160,A,9.3,A
USGS,15484000,5/18/2021 10:00,AKDT,5140,A,9.29,A
USGS,15484000,5/18/2021 10:15,AKDT,5160,A,9.3,A
USGS,15484000,5/18/2021 10:30,AKDT,5120,A,9.28,A
USGS,15484000,5/18/2021 10:45,AKDT,5100,A,9.27,A
USGS,15484000,5/18/2021 11:00,AKDT,5140,A,9.29,A
USGS,15484000,5/18/2021 11:15,AKDT,5100,A,9.27,A
USGS,15484000,5/18/2021 11:30,AKDT,5120,A,9.28,A
USGS,15484000,5/18/2021 11:45,AKDT,5100,A,9.27,A
USGS,15484000,5/18/2021 12:00,AKDT,5120,A,9.28,A
USGS,15484000,5/18/2021 12:15,AKDT,5100,A,9.27,A
USGS,15484000,5/18/2021 12:30,AKDT,5040,A,9.24,A
USGS,15484000,5/18/2021 12:45,AKDT,5080,A,9.26,A
USGS,15484000,5/18/2021 13:00,AKDT,5040,A,9.24,A
USGS,15484000,5/18/2021 13:15,AKDT,5060,A,9.25,A
USGS,15484000,5/18/2021 13:30,AKDT,5060,A,9.25,A
USGS,15484000,5/18/2021 13:45,AKDT,5080,A,9.26,A
USGS,15484000,5/18/2021 14:00,AKDT,5080,A,9.26,A
USGS,15484000,5/18/2021 14:15,AKDT,5080,A,9.26,A
USGS,15484000,5/18/2021 14:30,AKDT,5060,A,9.25,A
USGS,15484000,5/18/2021 14:45,AKDT,5140,A,9.29,A
USGS,15484000,5/18/2021 15:00,AKDT,5080,A,9.26,A
USGS,15484000,5/18/2021 15:15,AKDT,5060,A,9.25,A
USGS,15484000,5/18/2021 15:30,AKDT,5080,A,9.26,A
USGS,15484000,5/18/2021 15:45,AKDT,5100,A,9.27,A
USGS,15484000,5/18/2021 16:00,AKDT,5100,A,9.27,A
USGS,15484000,5/18/2021 16:15,AKDT,5080,A,9.26,A
USGS,15484000,5/18/2021 16:30,AKDT,5100,A,9.27,A
USGS,15484000,5/18/2021 16:45,AKDT,5100,A,9.27,A
USGS,15484000,5/18/2021 17:00,AKDT,5120,A,9.28,A
USGS,15484000,5/18/2021 17:15,AKDT,5160,A,9.3,A
USGS,15484000,5/18/2021 17:30,AKDT,5120,A,9.28,A
USGS,15484000,5/18/2021 17:45,AKDT,5140,A,9.29,A
USGS,15484000,5/18/2021 18:00,AKDT,5200,A,9.32,A
USGS,15484000,5/18/2021 18:15,AKDT,5140,A,9.29,A
USGS,15484000,5/18/2021 18:30,AKDT,5140,A,9.29,A
USGS,15484000,5/18/2021 18:45,AKDT,5120,A,9.28,A
USGS,15484000,5/18/2021 19:00,AKDT,5180,A,9.31,A
USGS,15484000,5/18/2021 19:15,AKDT,5200,A,9.32,A
USGS,15484000,5/18/2021 19:30,AKDT,5200,A,9.32,A
USGS,15484000,5/18/2021 19:45,AKDT,5220,A,9.33,A
USGS,15484000,5/18/2021 20:00,AKDT,5200,A,9.32,A
USGS,15484000,5/18/2021 20:15,AKDT,5220,A,9.33,A
USGS,15484000,5/18/2021 20:30,AKDT,5220,A,9.33,A
USGS,15484000,5/18/2021 20:45,AKDT,5240,A,9.34,A
USGS,15484000,5/18/2021 21:00,AKDT,5200,A,9.32,A
USGS,15484000,5/18/2021 21:15,AKDT,5240,A,9.34,A
USGS,15484000,5/18/2021 21:30,AKDT,5240,A,9.34,A
USGS,15484000,5/18/2021 21:45,AKDT,5260,A,9.35,A
USGS,15484000,5/18/2021 22:00,AKDT,5260,A,9.35,A
USGS,15484000,5/18/2021 22:15,AKDT,5300,A,9.37,A
USGS,15484000,5/18/2021 22:30,AKDT,5260,A,9.35,A
USGS,15484000,5/18/2021 22:45,AKDT,5260,A,9.35,A
USGS,15484000,5/18/2021 23:00,AKDT,5260,A,9.35,A
USGS,15484000,5/18/2021 23:15,AKDT,5320,A,9.38,A
USGS,15484000,5/18/2021 23:30,AKDT,5320,A,9.38,A
USGS,15484000,5/18/2021 23:45,AKDT,5280,A,9.36,A
USGS,15484000,5/19/2021 0:00,AKDT,5320,A,9.38,A
USGS,15484000,5/19/2021 0:15,AKDT,5240,A,9.34,A
USGS,15484000,5/19/2021 0:30,AKDT,5340,A,9.39,A
USGS,15484000,5/19/2021 0:45,AKDT,5300,A,9.37,A
USGS,15484000,5/19/2021 1:00,AKDT,5280,A,9.36,A
USGS,15484000,5/19/2021 1:15,AKDT,5280,A,9.36,A
USGS,15484000,5/19/2021 1:30,AKDT,5320,A,9.38,A
USGS,15484000,5/19/2021 1:45,AKDT,5260,A,9.35,A
USGS,15484000,5/19/2021 2:00,AKDT,5300,A,9.37,A
USGS,15484000,5/19/2021 2:15,AKDT,5260,A,9.35,A
USGS,15484000,5/19/2021 2:30,AKDT,5260,A,9.35,A
USGS,15484000,5/19/2021 2:45,AKDT,5260,A,9.35,A
USGS,15484000,5/19/2021 3:00,AKDT,5240,A,9.34,A
USGS,15484000,5/19/2021 3:15,AKDT,5260,A,9.35,A
USGS,15484000,5/19/2021 3:30,AKDT,5220,A,9.33,A
USGS,15484000,5/19/2021 3:45,AKDT,5200,A,9.32,A
USGS,15484000,5/19/2021 4:00,AKDT,5200,A,9.32,A
USGS,15484000,5/19/2021 4:15,AKDT,5180,A,9.31,A
USGS,15484000,5/19/2021 4:30,AKDT,5160,A,9.3,A
USGS,15484000,5/19/2021 4:45,AKDT,5160,A,9.3,A
USGS,15484000,5/19/2021 5:00,AKDT,5120,A,9.28,A
USGS,15484000,5/19/2021 5:15,AKDT,5100,A,9.27,A
USGS,15484000,5/19/2021 5:30,AKDT,5080,A,9.26,A
USGS,15484000,5/19/2021 5:45,AKDT,5080,A,9.26,A
USGS,15484000,5/19/2021 6:00,AKDT,5080,A,9.26,A
USGS,15484000,5/19/2021 6:15,AKDT,5040,A,9.24,A
USGS,15484000,5/19/2021 6:30,AKDT,5010,A,9.22,A
USGS,15484000,5/19/2021 6:45,AKDT,5010,A,9.22,A
USGS,15484000,5/19/2021 7:00,AKDT,4990,A,9.21,A
USGS,15484000,5/19/2021 7:15,AKDT,4990,A,9.21,A
USGS,15484000,5/19/2021 7:30,AKDT,4930,A,9.18,A
USGS,15484000,5/19/2021 7:45,AKDT,4930,A,9.18,A
USGS,15484000,5/19/2021 8:00,AKDT,4930,A,9.18,A
USGS,15484000,5/19/2021 8:15,AKDT,4890,A,9.16,A
USGS,15484000,5/19/2021 8:30,AKDT,4890,A,9.16,A
USGS,15484000,5/19/2021 8:45,AKDT,4870,A,9.15,A
USGS,15484000,5/19/2021 9:00,AKDT,4850,A,9.14,A
USGS,15484000,5/19/2021 9:15,AKDT,4850,A,9.14,A
USGS,15484000,5/19/2021 9:30,AKDT,4790,A,9.11,A
USGS,15484000,5/19/2021 9:45,AKDT,4830,A,9.13,A
USGS,15484000,5/19/2021 10:00,AKDT,4730,A,9.08,A
USGS,15484000,5/19/2021 10:15,AKDT,4750,A,9.09,A
USGS,15484000,5/19/2021 10:30,AKDT,4750,A,9.09,A
USGS,15484000,5/19/2021 10:45,AKDT,4730,A,9.08,A
USGS,15484000,5/19/2021 11:00,AKDT,4710,A,9.07,A
USGS,15484000,5/19/2021 11:15,AKDT,4700,A,9.06,A
USGS,15484000,5/19/2021 11:30,AKDT,4700,A,9.06,A
USGS,15484000,5/19/2021 11:45,AKDT,4680,A,9.05,A
USGS,15484000,5/19/2021 12:00,AKDT,4640,A,9.03,A
USGS,15484000,5/19/2021 12:15,AKDT,4620,A,9.02,A
USGS,15484000,5/19/2021 12:30,AKDT,4640,A,9.03,A
USGS,15484000,5/19/2021 12:45,AKDT,4620,A,9.02,A
USGS,15484000,5/19/2021 13:00,AKDT,4580,A,9,A
USGS,15484000,5/19/2021 13:15,AKDT,4580,A,9,A
USGS,15484000,5/19/2021 13:30,AKDT,4560,A,8.99,A
USGS,15484000,5/19/2021 13:45,AKDT,4520,A,8.97,A
USGS,15484000,5/19/2021 14:00,AKDT,4540,A,8.98,A
USGS,15484000,5/19/2021 14:15,AKDT,4520,A,8.97,A
USGS,15484000,5/19/2021 14:30,AKDT,4520,A,8.97,A
USGS,15484000,5/19/2021 14:45,AKDT,4470,A,8.94,A
USGS,15484000,5/19/2021 15:00,AKDT,4470,A,8.94,A
USGS,15484000,5/19/2021 15:15,AKDT,4430,A,8.92,A
USGS,15484000,5/19/2021 15:30,AKDT,4450,A,8.93,A
USGS,15484000,5/19/2021 15:45,AKDT,4410,A,8.91,A
USGS,15484000,5/19/2021 16:00,AKDT,4450,A,8.93,A
USGS,15484000,5/19/2021 16:15,AKDT,4410,A,8.91,A
USGS,15484000,5/19/2021 16:30,AKDT,4410,A,8.91,A
USGS,15484000,5/19/2021 16:45,AKDT,4430,A,8.92,A
USGS,15484000,5/19/2021 17:00,AKDT,4390,A,8.9,A
USGS,15484000,5/19/2021 17:15,AKDT,4390,A,8.9,A
USGS,15484000,5/19/2021 17:30,AKDT,4430,A,8.92,A
USGS,15484000,5/19/2021 17:45,AKDT,4390,A,8.9,A
USGS,15484000,5/19/2021 18:00,AKDT,4370,A,8.89,A
USGS,15484000,5/19/2021 18:15,AKDT,4360,A,8.88,A
USGS,15484000,5/19/2021 18:30,AKDT,4360,A,8.88,A
USGS,15484000,5/19/2021 18:45,AKDT,4360,A,8.88,A
USGS,15484000,5/19/2021 19:00,AKDT,4340,A,8.87,A
USGS,15484000,5/19/2021 19:15,AKDT,4360,A,8.88,A
USGS,15484000,5/19/2021 19:30,AKDT,4320,A,8.86,A
USGS,15484000,5/19/2021 19:45,AKDT,4360,A,8.88,A
USGS,15484000,5/19/2021 20:00,AKDT,4340,A,8.87,A
USGS,15484000,5/19/2021 20:15,AKDT,4320,A,8.86,A
USGS,15484000,5/19/2021 20:30,AKDT,4340,A,8.87,A
USGS,15484000,5/19/2021 20:45,AKDT,4320,A,8.86,A
USGS,15484000,5/19/2021 21:00,AKDT,4320,A,8.86,A
USGS,15484000,5/19/2021 21:15,AKDT,4340,A,8.87,A
USGS,15484000,5/19/2021 21:30,AKDT,4320,A,8.86,A
USGS,15484000,5/19/2021 21:45,AKDT,4320,A,8.86,A
USGS,15484000,5/19/2021 22:00,AKDT,4320,A,8.86,A
USGS,15484000,5/19/2021 22:15,AKDT,4280,A,8.84,A
USGS,15484000,5/19/2021 22:30,AKDT,4280,A,8.84,A
USGS,15484000,5/19/2021 22:45,AKDT,4280,A,8.84,A
USGS,15484000,5/19/2021 23:00,AKDT,4300,A,8.85,A
USGS,15484000,5/19/2021 23:15,AKDT,4280,A,8.84,A
USGS,15484000,5/19/2021 23:30,AKDT,4280,A,8.84,A
USGS,15484000,5/19/2021 23:45,AKDT,4300,A,8.85,A
USGS,15484000,5/20/2021 0:00,AKDT,4280,A,8.84,A
USGS,15484000,5/20/2021 0:15,AKDT,4260,A,8.83,A
USGS,15484000,5/20/2021 0:30,AKDT,4250,A,8.82,A
USGS,15484000,5/20/2021 0:45,AKDT,4260,A,8.83,A
USGS,15484000,5/20/2021 1:00,AKDT,4230,A,8.81,A
USGS,15484000,5/20/2021 1:15,AKDT,4260,A,8.83,A
USGS,15484000,5/20/2021 1:30,AKDT,4280,A,8.84,A
USGS,15484000,5/20/2021 1:45,AKDT,4260,A,8.83,A
USGS,15484000,5/20/2021 2:00,AKDT,4260,A,8.83,A
USGS,15484000,5/20/2021 2:15,AKDT,4210,A,8.8,A
USGS,15484000,5/20/2021 2:30,AKDT,4210,A,8.8,A
USGS,15484000,5/20/2021 2:45,AKDT,4230,A,8.81,A
USGS,15484000,5/20/2021 3:00,AKDT,4230,A,8.81,A
USGS,15484000,5/20/2021 3:15,AKDT,4210,A,8.8,A
USGS,15484000,5/20/2021 3:30,AKDT,4170,A,8.78,A
USGS,15484000,5/20/2021 3:45,AKDT,4190,A,8.79,A
USGS,15484000,5/20/2021 4:00,AKDT,4170,A,8.78,A
USGS,15484000,5/20/2021 4:15,AKDT,4150,A,8.77,A
USGS,15484000,5/20/2021 4:30,AKDT,4190,A,8.79,A
USGS,15484000,5/20/2021 4:45,AKDT,4150,A,8.77,A
USGS,15484000,5/20/2021 5:00,AKDT,4140,A,8.76,A
USGS,15484000,5/20/2021 5:15,AKDT,4150,A,8.77,A
USGS,15484000,5/20/2021 5:30,AKDT,4140,A,8.76,A
USGS,15484000,5/20/2021 5:45,AKDT,4120,A,8.75,A
USGS,15484000,5/20/2021 6:00,AKDT,4120,A,8.75,A
USGS,15484000,5/20/2021 6:15,AKDT,4080,A,8.73,A
USGS,15484000,5/20/2021 6:30,AKDT,4100,A,8.74,A
USGS,15484000,5/20/2021 6:45,AKDT,4080,A,8.73,A
USGS,15484000,5/20/2021 7:00,AKDT,4060,A,8.72,A
USGS,15484000,5/20/2021 7:15,AKDT,4060,A,8.72,A
USGS,15484000,5/20/2021 7:30,AKDT,4050,A,8.71,A
USGS,15484000,5/20/2021 7:45,AKDT,4050,A,8.71,A
USGS,15484000,5/20/2021 8:00,AKDT,4060,A,8.72,A
USGS,15484000,5/20/2021 8:15,AKDT,4030,A,8.7,A
USGS,15484000,5/20/2021 8:30,AKDT,4010,A,8.69,A
USGS,15484000,5/20/2021 8:45,AKDT,4010,A,8.69,A
USGS,15484000,5/20/2021 9:00,AKDT,3970,A,8.67,A
USGS,15484000,5/20/2021 9:15,AKDT,3970,A,8.67,A
USGS,15484000,5/20/2021 9:30,AKDT,3970,A,8.67,A
USGS,15484000,5/20/2021 9:45,AKDT,3960,A,8.66,A
USGS,15484000,5/20/2021 10:00,AKDT,3970,A,8.67,A
USGS,15484000,5/20/2021 10:15,AKDT,3920,A,8.64,A
USGS,15484000,5/20/2021 10:30,AKDT,3900,A,8.63,A
USGS,15484000,5/20/2021 10:45,AKDT,3900,A,8.63,A
USGS,15484000,5/20/2021 11:00,AKDT,3900,A,8.63,A
USGS,15484000,5/20/2021 11:15,AKDT,3880,A,8.62,A
USGS,15484000,5/20/2021 11:30,AKDT,3880,A,8.62,A
USGS,15484000,5/20/2021 11:45,AKDT,3870,A,8.61,A
USGS,15484000,5/20/2021 12:00,AKDT,3830,A,8.59,A
USGS,15484000,5/20/2021 12:15,AKDT,3810,A,8.58,A
USGS,15484000,5/20/2021 12:30,AKDT,3850,A,8.6,A
USGS,15484000,5/20/2021 12:45,AKDT,3800,A,8.57,A
USGS,15484000,5/20/2021 13:00,AKDT,3830,A,8.59,A
USGS,15484000,5/20/2021 13:15,AKDT,3830,A,8.59,A
USGS,15484000,5/20/2021 13:30,AKDT,3810,A,8.58,A
USGS,15484000,5/20/2021 13:45,AKDT,3760,A,8.55,A
USGS,15484000,5/20/2021 14:00,AKDT,3780,A,8.56,A
USGS,15484000,5/20/2021 14:15,AKDT,3780,A,8.56,A
USGS,15484000,5/20/2021 14:30,AKDT,3740,A,8.54,A
USGS,15484000,5/20/2021 14:45,AKDT,3730,A,8.53,A
USGS,15484000,5/20/2021 15:00,AKDT,3780,A,8.56,A
USGS,15484000,5/20/2021 15:15,AKDT,3740,A,8.54,A
USGS,15484000,5/20/2021 15:30,AKDT,3730,A,8.53,A
USGS,15484000,5/20/2021 15:45,AKDT,3740,A,8.54,A
USGS,15484000,5/20/2021 16:00,AKDT,3730,A,8.53,A
USGS,15484000,5/20/2021 16:15,AKDT,3730,A,8.53,A
USGS,15484000,5/20/2021 16:30,AKDT,3710,A,8.52,A
USGS,15484000,5/20/2021 16:45,AKDT,3730,A,8.53,A
USGS,15484000,5/20/2021 17:00,AKDT,3730,A,8.53,A
USGS,15484000,5/20/2021 17:15,AKDT,3710,A,8.52,A
