"Date_cat","width_cm","Time","Distance_cm","depth_cm","Vel_m_s","Vel_halfdepth_m_s","Vel_twicedepth_m_s","Velocity_mn_m_s","Date","datetime","meanVel_m_s"
220613,180,"13:30",70,10,0.67,NA,NA,0.67,2022-06-13,2022-06-13 13:30:00,0.67
220613,180,"13:30",85,14,0.66,NA,NA,0.66,2022-06-13,2022-06-13 13:30:00,0.66
220613,180,"13:30",100,16,0.66,NA,NA,0.66,2022-06-13,2022-06-13 13:30:00,0.66
220613,180,"13:30",115,12,0.76,NA,NA,0.76,2022-06-13,2022-06-13 13:30:00,0.76
220613,180,"13:30",130,10,0.69,NA,NA,0.69,2022-06-13,2022-06-13 13:30:00,0.69
220613,180,"13:30",145,10,0.68,NA,NA,0.68,2022-06-13,2022-06-13 13:30:00,0.68
220613,180,"13:30",160,8,0.11,NA,NA,0.11,2022-06-13,2022-06-13 13:30:00,0.11
220613,180,"13:30",175,6,0.31,NA,NA,0.31,2022-06-13,2022-06-13 13:30:00,0.31
220613,180,"13:30",190,6,0.4,NA,NA,0.4,2022-06-13,2022-06-13 13:30:00,0.4
220613,180,"13:30",205,4,0.39,NA,NA,0.39,2022-06-13,2022-06-13 13:30:00,0.39
220613,180,"13:30",220,6,0.66,NA,NA,0.66,2022-06-13,2022-06-13 13:30:00,0.66
220613,180,"13:30",235,8,0.5,NA,NA,0.5,2022-06-13,2022-06-13 13:30:00,0.5
220613,180,"13:30",250,10,0.24,NA,NA,0.24,2022-06-13,2022-06-13 13:30:00,0.24
220712,175,"14:45",135,40,0.15,NA,NA,0.15,2022-07-12,2022-07-12 14:45:00,0.15
220712,175,"14:45",145,37,0.19,NA,NA,0.19,2022-07-12,2022-07-12 14:45:00,0.19
220712,175,"14:45",155,35,0.13,NA,NA,0.13,2022-07-12,2022-07-12 14:45:00,0.13
220712,175,"14:45",165,25,0.16,NA,NA,0.16,2022-07-12,2022-07-12 14:45:00,0.16
220712,175,"14:45",175,25,0.17,NA,NA,0.17,2022-07-12,2022-07-12 14:45:00,0.17
220712,175,"14:45",185,13,0.2,NA,NA,0.2,2022-07-12,2022-07-12 14:45:00,0.2
220712,175,"14:45",195,23,0.23,NA,NA,0.23,2022-07-12,2022-07-12 14:45:00,0.23
220712,175,"14:45",205,22,0.24,NA,NA,0.24,2022-07-12,2022-07-12 14:45:00,0.24
220712,175,"14:45",215,21,0.24,NA,NA,0.24,2022-07-12,2022-07-12 14:45:00,0.24
220712,175,"14:45",225,17,0.17,NA,NA,0.17,2022-07-12,2022-07-12 14:45:00,0.17
220712,175,"14:45",235,14,0.2,NA,NA,0.2,2022-07-12,2022-07-12 14:45:00,0.2
220712,175,"14:45",245,14,0.27,NA,NA,0.27,2022-07-12,2022-07-12 14:45:00,0.27
220712,175,"14:45",255,15,0.24,NA,NA,0.24,2022-07-12,2022-07-12 14:45:00,0.24
220712,175,"14:45",265,15,0.19,NA,NA,0.19,2022-07-12,2022-07-12 14:45:00,0.19
220712,175,"14:45",275,15,0.26,NA,NA,0.26,2022-07-12,2022-07-12 14:45:00,0.26
220712,175,"14:45",285,14,0.22,NA,NA,0.22,2022-07-12,2022-07-12 14:45:00,0.22
220712,175,"14:45",295,12,0.11,NA,NA,0.11,2022-07-12,2022-07-12 14:45:00,0.11
220712,175,"14:45",305,9,0.03,NA,NA,0.03,2022-07-12,2022-07-12 14:45:00,0.03
220818,185,"13:45",110,36,0.18,NA,NA,0.18,2022-08-18,2022-08-18 13:45:00,0.18
220818,185,"13:45",120,37,0.17,NA,NA,0.17,2022-08-18,2022-08-18 13:45:00,0.17
220818,185,"13:45",130,34,0.2,NA,NA,0.2,2022-08-18,2022-08-18 13:45:00,0.2
220818,185,"13:45",140,30,0.16,NA,NA,0.16,2022-08-18,2022-08-18 13:45:00,0.16
220818,185,"13:45",150,28,0.15,NA,NA,0.15,2022-08-18,2022-08-18 13:45:00,0.15
220818,185,"13:45",160,21,0.11,NA,NA,0.11,2022-08-18,2022-08-18 13:45:00,0.11
220818,185,"13:45",170,17,0.11,NA,NA,0.11,2022-08-18,2022-08-18 13:45:00,0.11
220818,185,"13:45",180,16,0.12,NA,NA,0.12,2022-08-18,2022-08-18 13:45:00,0.12
220818,185,"13:45",190,14,0.1,NA,NA,0.1,2022-08-18,2022-08-18 13:45:00,0.1
220818,185,"13:45",200,15,0.1,NA,NA,0.1,2022-08-18,2022-08-18 13:45:00,0.1
220818,185,"13:45",210,10,0.12,NA,NA,0.12,2022-08-18,2022-08-18 13:45:00,0.12
220818,185,"13:45",220,10,0.24,NA,NA,0.24,2022-08-18,2022-08-18 13:45:00,0.24
220818,185,"13:45",230,14,0.25,NA,NA,0.25,2022-08-18,2022-08-18 13:45:00,0.25
220818,185,"13:45",240,12,0.22,NA,NA,0.22,2022-08-18,2022-08-18 13:45:00,0.22
220818,185,"13:45",250,14,0.21,NA,NA,0.21,2022-08-18,2022-08-18 13:45:00,0.21
220818,185,"13:45",260,10,0.24,NA,NA,0.24,2022-08-18,2022-08-18 13:45:00,0.24
220818,185,"13:45",270,10,0.19,NA,NA,0.19,2022-08-18,2022-08-18 13:45:00,0.19
220818,185,"13:45",280,11,0.16,NA,NA,0.16,2022-08-18,2022-08-18 13:45:00,0.16
221006,230,"12:00",90,41,0.1,NA,NA,0.1,2022-10-06,2022-10-06 12:00:00,0.1
221006,230,"12:00",100,30,0.06,NA,NA,0.06,2022-10-06,2022-10-06 12:00:00,0.06
221006,230,"12:00",110,15,0.25,NA,NA,0.25,2022-10-06,2022-10-06 12:00:00,0.25
221006,230,"12:00",120,10,0.28,NA,NA,0.28,2022-10-06,2022-10-06 12:00:00,0.28
221006,230,"12:00",130,10,0.28,NA,NA,0.28,2022-10-06,2022-10-06 12:00:00,0.28
221006,230,"12:00",140,10,0.23,NA,NA,0.23,2022-10-06,2022-10-06 12:00:00,0.23
221006,230,"12:00",150,11,0.18,NA,NA,0.18,2022-10-06,2022-10-06 12:00:00,0.18
221006,230,"12:00",160,10,0.18,NA,NA,0.18,2022-10-06,2022-10-06 12:00:00,0.18
221006,230,"12:00",170,11,0.12,NA,NA,0.12,2022-10-06,2022-10-06 12:00:00,0.12
221006,230,"12:00",180,11,0.12,NA,NA,0.12,2022-10-06,2022-10-06 12:00:00,0.12
221006,230,"12:00",190,10,0.13,NA,NA,0.13,2022-10-06,2022-10-06 12:00:00,0.13
221006,230,"12:00",200,10,0.15,NA,NA,0.15,2022-10-06,2022-10-06 12:00:00,0.15
221006,230,"12:00",210,10,0.11,NA,NA,0.11,2022-10-06,2022-10-06 12:00:00,0.11
221006,230,"12:00",220,11,0.17,NA,NA,0.17,2022-10-06,2022-10-06 12:00:00,0.17
221006,230,"12:00",230,10,0.23,NA,NA,0.23,2022-10-06,2022-10-06 12:00:00,0.23
221006,230,"12:00",240,10,0.27,NA,NA,0.27,2022-10-06,2022-10-06 12:00:00,0.27
221006,230,"12:00",250,12,0.17,NA,NA,0.17,2022-10-06,2022-10-06 12:00:00,0.17
221006,230,"12:00",260,14,0.06,NA,NA,0.06,2022-10-06,2022-10-06 12:00:00,0.06
221006,230,"12:00",270,15,0.06,NA,NA,0.06,2022-10-06,2022-10-06 12:00:00,0.06
221006,230,"12:00",280,5,0.01,NA,NA,0.01,2022-10-06,2022-10-06 12:00:00,0.01
221006,230,"12:00",290,0,0,NA,NA,0,2022-10-06,2022-10-06 12:00:00,0
221006,230,"12:00",300,0,0,NA,NA,0,2022-10-06,2022-10-06 12:00:00,0
221006,230,"12:00",310,0,0,NA,NA,0,2022-10-06,2022-10-06 12:00:00,0
221006,230,"12:00",320,0,0,NA,NA,0,2022-10-06,2022-10-06 12:00:00,0
