"","Site","Date","NitrateN_mgL","TDP_uM","TDN_mgL","DOC_mgL","Ammonium_uM"
"1","MOOS",NA,NA,NA,0.6415,9.687,NA
"2","FRCH",2022-07-07,0.3678,NA,0.6861,79.25,NA
"3","POKE",2022-06-18,0.4212,NA,0.5702,3.077,NA
"4","FRCH",2022-07-02,0.3452,NA,0.6141,64.58,NA
"5","POKE",2022-06-12,0.5157,NA,0.6532,2.545,NA
"6","POKE",2022-06-07,0.5172,NA,0.7314,2.866,NA
"7","VAUL",2022-06-08,0.5332,NA,1.212,14.12,NA
"8","POKE",2022-06-09,0.5147,NA,0.7044,4.117,NA
"9","VAUL",2022-06-07,0.4916,NA,1.174,14.12,NA
"10","VAUL",2022-06-09,0.5396,NA,1.173,13.81,NA
"11","POKE",2022-06-17,0.4364,NA,0.5765,3.134,NA
"12","FRCH",2022-07-03,0.3766,NA,0.6904,74.23,NA
"13","STRT",2022-06-27,0.2028,NA,0.414,3.333,NA
"14","POKE",2022-06-19,0.458,NA,0.5803,2.621,NA
"15","STRT",2022-07-01,0.195,NA,0.4071,4.336,NA
"16","POKE",2022-06-14,0.4639,NA,0.6467,2.797,NA
"17","POKE",2022-06-16,0.4649,NA,0.6065,2.443,NA
"18","POKE",2022-06-22,0.4277,NA,0.7633,49.52,NA
"19","VAUL",2022-06-16,0.2832,NA,1.055,13.16,NA
"20","VAUL",2022-06-17,0.324,NA,1.118,14.2,NA
"21","MOOS",2022-07-02,0.2356,NA,0.5382,60.95,NA
"22","POKE",2022-06-11,0.4917,NA,0.6755,2.539,NA
"23","POKE",2022-06-06,0.5462,NA,0.7289,2.858,NA
"24","VAUL",2022-06-18,0.416,NA,1.052,14.09,NA
"25","VAUL",2022-06-19,0.3468,NA,1.293,17.59,NA
"26","MOOS",2022-07-08,0.2091,NA,0.4795,5.28,NA
"27","VAUL",2022-06-15,0.3352,NA,1.022,13.65,NA
"28","POKE",2022-06-08,0.512,NA,0.7215,2.478,NA
"29","FRCH",2022-06-26,0.4061,NA,0.6921,51.29,NA
"30","POKE",2022-06-10,0.5072,NA,0.653,2.887,NA
"31","POKE",2022-06-13,0.4776,NA,0.573,2.682,NA
"32","VAUL",2022-06-11,0.5568,NA,1.164,13.43,NA
"33","VAUL",2022-06-12,0.3376,NA,1.131,13,NA
"34","VAUL",2022-06-10,0.4072,NA,1.125,13.57,NA
"35","VAUL",2022-06-13,0.3704,NA,1.109,12.79,NA
"36","VAUL",2022-06-14,0.4328,NA,1.06,14.42,NA
"37","POKE",2022-06-15,0.4387,NA,0.6235,3.125,NA
"38","VAUL",2022-07-10,0.44,NA,1.08,76.25,NA
"39","VAUL",NA,0.0414,NA,NA,NA,NA
"40","POKE",2022-06-21,0.486,NA,1.13133333333333,40.6166666666667,NA
"41","POKE",2022-06-25,0.3931,NA,0.6974,62.52,NA
"42","MOOS",2022-07-05,0.2555,NA,0.5636,34.11,NA
"43","MOOS",2022-06-22,0.4101,NA,0.7969,106.7,NA
"44","STRT",2022-06-21,0.3152,NA,0.5373,5.05,NA
"45","STRT",2022-06-16,0.2944,NA,0.524,4.223,NA
"46","STRT",2022-06-28,0.2156,NA,0.4214,3.987,NA
"47","FRCH",2022-06-24,0.4035,NA,0.8235,43.12,NA
"48","POKE",2022-07-19,0.3791,NA,0.4563,25.9,NA
"49","MOOS",2022-06-23,0.3485,NA,0.6599,64.94,NA
"50","STRT",2022-06-08,0.4379,NA,0.6456,3.625,NA
"51","STRT",2022-06-10,0.3637,NA,0.5989,4.739,NA
"52","MOOS",2022-06-25,0.3802,NA,0.6746,41.11,NA
"53","MOOS",2022-06-28,0.2803,NA,NA,NA,NA
"54","FRCH",2022-06-28,0.3642,NA,0.6692,57.15,NA
"55","POKE",2022-06-29,0.329,NA,0.6698,53.22,NA
